CHILDID	PLANID	PLAN
ET040033	1	1
ET040034	1	3
ET040035	1	99
ET040036	1	10
ET040037	1	8
ET040038	1	4
ET040038	2	10
ET040039	1	1
ET040040	1	1
ET040041	1	9
ET040041	2	4
ET040042	1	9
ET040043	1	1
ET040044	1	5
ET040044	2	4
ET040045	1	4
ET040045	2	10
ET040046	1	1
ET040047	1	1
ET040048	1	2
ET040048	2	4
ET040049	1	10
ET040050	1	10
ET040051	1	1
ET040052	1	5
ET040052	2	7
ET040053	1	99
ET040054	1	3
ET040054	2	4
ET040055	1	2
ET040056	1	1
ET040057	1	1
ET040058	1	1
ET040059	1	1
ET040060	1	1
ET040061	1	4
ET040062	1	10
ET040063	1	10
ET040064	1	4
ET040065	1	4
ET040066	1	4
ET040066	2	10
ET040067	1	10
ET040068	1	1
ET040069	1	4
ET040069	2	8
ET040070	1	5
ET040071	1	4
ET040072	1	10
ET040073	1	10
ET040074	1	10
ET040075	1	2
ET040076	1	4
ET040077	1	4
ET040078	1	5
ET040078	2	4
ET040079	1	1
ET040080	1	5
ET040080	2	2
ET040081	1	1
ET040082	1	10
ET040083	1	4
ET040083	2	7
ET040084	1	2
ET040084	2	3
ET040085	1	10
ET040085	2	8
ET040086	1	1
ET040087	1	8
ET040088	1	8
ET040088	2	4
ET040089	1	8
ET040089	2	10
ET040090	1	5
ET040090	2	7
ET040091	1	5
ET040091	2	7
ET040092	1	4
ET040093	1	5
ET040093	2	4
ET040094	1	10
ET040095	1	10
ET040096	1	1
ET040097	1	10
ET040098	1	10
ET040099	1	10
ET040100	1	1
ET050001	1	1
ET050002	1	1
ET050003	1	1
ET050004	1	4
ET050005	1	1
ET050006	1	1
ET050007	1	8
ET050007	2	2
ET050008	1	1
ET050009	1	7
ET050010	1	1
ET050011	1	10
ET050012	1	8
ET050013	1	4
ET050014	1	8
ET050014	2	4
ET050015	1	7
ET050015	2	4
ET050016	1	1
ET050017	1	1
ET050018	1	4
ET050019	1	1
ET050020	1	1
ET050021	1	1
ET050022	1	4
ET050023	1	1
ET050024	1	1
ET050025	1	1
ET050026	1	99
ET050027	1	10
ET050028	1	1
ET050029	1	4
ET050029	2	2
ET050030	1	1
ET050031	1	1
ET050032	1	1
ET050033	1	1
ET050034	1	5
ET050035	1	1
ET050036	1	1
ET050037	1	1
ET050038	1	8
ET050039	1	10
ET050040	1	8
ET050041	1	1
ET050042	1	8
ET050043	1	10
ET050044	1	1
ET050045	1	10
ET050046	1	8
ET050046	2	4
ET050047	1	1
ET050048	1	1
ET050049	1	4
ET050050	1	4
ET050051	1	1
ET050052	1	4
ET050053	1	1
ET050054	1	1
ET050055	1	1
ET050056	1	1
ET050057	1	99
ET050058	1	1
ET050059	1	10
ET050060	1	1
ET050061	1	8
ET050062	1	1
ET050063	1	1
ET050064	1	1
ET050065	1	8
ET050065	2	4
ET050066	1	1
ET050067	1	5
ET050068	1	1
ET050069	1	2
ET050070	1	1
ET050071	1	1
ET050072	1	7
ET050072	2	3
ET050073	1	4
ET050074	1	1
ET050075	1	4
ET050076	1	4
ET050077	1	10
ET050078	1	10
ET050079	1	10
ET050080	1	8
ET050080	2	4
ET050081	1	4
ET050082	1	1
ET050083	1	2
ET050084	1	1
ET050085	1	1
ET050086	1	1
ET050087	1	1
ET050088	1	2
ET050089	1	1
ET050090	1	1
ET050091	1	1
ET050092	1	1
ET050093	1	1
ET050094	1	8
ET050095	1	1
ET050096	1	1
ET050097	1	1
ET050098	1	6
ET050098	2	4
ET050099	1	1
ET050100	1	5
ET050100	2	4
ET060001	1	1
ET060002	1	1
ET060003	1	1
ET060004	1	1
ET060005	1	1
ET060006	1	1
ET060007	1	1
ET060008	1	3
ET060008	2	2
ET060009	1	1
ET060010	1	8
ET060011	1	1
ET060012	1	1
ET060013	1	1
ET060014	1	1
ET060015	1	1
ET060016	1	1
ET060017	1	1
ET060018	1	9
ET060018	2	3
ET060019	1	8
ET060020	1	1
ET060021	1	10
ET060022	1	1
ET060023	1	4
ET060024	1	4
ET060025	1	2
ET060025	2	3
ET060026	1	10
ET060027	1	1
ET060028	1	1
ET060029	1	1
ET060030	1	1
ET060031	1	1
ET060032	1	1
ET060033	1	4
ET060033	2	6
ET060034	1	10
ET060035	1	4
ET060036	1	8
ET060037	1	1
ET060038	1	1
ET060039	1	7
ET060039	2	9
ET060040	1	1
ET060041	1	7
ET060042	1	5
ET060042	2	6
ET060043	1	1
ET060044	1	8
ET060045	1	1
ET060046	1	6
ET060046	2	2
ET060047	1	1
ET060048	1	1
ET060049	1	1
ET060050	1	9
ET060051	1	9
ET060052	1	1
ET060053	1	1
ET060054	1	1
ET060055	1	1
ET060056	1	1
ET060057	1	5
ET060058	1	4
ET060059	1	1
ET060060	1	9
ET060060	2	10
ET060061	1	1
ET060062	1	4
ET060062	2	7
ET060063	1	10
ET060064	1	1
ET060065	1	1
ET060066	1	1
ET060067	1	1
ET060068	1	1
ET060069	1	1
ET060070	1	10
ET060070	2	4
ET060071	1	7
ET060071	2	5
ET060072	1	1
ET060073	1	1
ET060074	1	2
ET060075	1	1
ET060076	1	1
ET060077	1	1
ET060078	1	1
ET060079	1	3
ET060079	2	8
ET060080	1	1
ET060081	1	1
ET060082	1	4
ET060083	1	4
ET060084	1	1
