childid	id	age	sex	relate	still	yrschool	disabled	care	support
ET010032	1	65	1	12	2	0	1	2	2
ET010032	2	43	2	4	2	0	2	1	1
ET010032	3	33	2	1	2	12	2	1	1
ET010032	4	23	2	4	2	12	2	1	1
ET010032	5	18	2	6	1	6	2	1	2
ET010032	6	7	1	6	1	0	2	1	2
ET010032	7	37	1	1	2	6	2	1	2
ET010033	1	58	2	13	2	 	1	1	1
ET010033	2	44	2	3	2	5	2	1	1
ET010033	3	27	2	1	2	11	2	1	1
ET010033	4	12	1	13	1	8	2	2	2
ET010034	1	27	2	1	2	6	1	1	1
ET010034	2	23	2	4	2	6	1	1	1
ET010034	3	9	1	5	1	2	2	2	2
ET010034	4	5	2	5	 	 	2	 	 
ET010035	1	31	1	1	2	8	2	1	1
ET010035	2	30	2	1	2	9	2	1	1
ET010035	3	15	2	5	2	3	2	2	2
ET010035	4	14	2	5	1	10	2	2	2
ET010035	5	9	1	5	1	3	2	2	2
ET010036	1	40	1	1	2	7	2	2	1
ET010036	2	25	2	1	2	0	2	1	1
ET010036	3	6	2	5	1	0	2	2	2
ET010036	15	4	1	5	 	 	2	 	 
ET010037	1	45	2	3	2	5	2	1	1
ET010037	2	29	2	1	2	14	2	1	1
ET010037	3	26	1	4	2	12	2	2	1
ET010037	4	15	2	4	1	9	2	1	2
ET010037	5	14	2	3	2	0	2	1	2
ET010038	1	37	1	1	2	12	2	1	1
ET010038	2	28	2	1	2	3	2	1	2
ET010038	3	16	2	4	1	3	2	2	2
ET010038	4	30	1	4	2	 	2	2	2
ET010038	5	7	1	5	1	2	2	2	2
ET010038	15	3	1	5	 	 	2	 	 
ET010039	1	40	1	1	2	4	1	1	2
ET010039	2	27	2	1	2	5	2	1	2
ET010039	3	27	1	4	2	7	2	2	2
ET010039	4	10	2	6	1	3	2	2	2
ET010039	5	5	1	5	1	0	2	2	2
ET010040	1	30	1	1	2	5	2	1	1
ET010040	2	24	2	1	2	8	2	1	2
ET010040	3	23	1	6	2	12	2	2	2
ET010040	4	12	2	6	1	2	2	2	2
ET010040	15	4	1	5	 	 	2	 	 
ET010040	16	 	1	5	 	 	2	 	 
ET010041	1	55	2	3	2	0	2	1	1
ET010041	2	25	2	1	2	10	1	1	1
ET010041	3	23	2	4	2	8	2	2	2
ET010041	4	20	1	4	2	8	1	2	1
ET010041	5	15	2	4	1	7	2	1	2
ET010041	6	14	2	4	2	3	1	1	2
ET010041	15	3	1	5	 	 	1	 	 
ET010042	1	55	1	3	2	7	1	2	2
ET010042	2	37	2	3	2	8	1	1	2
ET010042	3	24	2	1	2	9	2	1	1
ET010042	4	20	1	4	2	8	2	1	1
ET010043	1	40	1	1	2	8	 	1	1
ET010043	2	28	2	1	2	0	 	1	1
ET010043	3	22	1	5	2	3	2	2	2
ET010043	4	14	1	5	1	5	 	2	2
ET010043	5	11	2	5	1	4	 	2	2
ET010043	6	8	1	5	1	1	 	2	2
ET010043	7	6	1	5	1	0	 	2	2
ET010043	15	4	1	5	1	 	 	 	 
ET010044	1	45	1	1	2	5	1	1	2
ET010044	2	40	2	1	2	10	1	1	2
ET010044	3	28	1	5	2	6	2	1	2
ET010044	4	25	1	5	2	9	2	1	2
ET010044	5	22	1	5	2	12	2	1	2
ET010044	6	16	1	5	1	9	2	1	2
ET010044	7	9	2	5	1	4	2	1	2
ET010044	8	17	2	5	1	6	2	1	2
ET010045	1	45	2	3	2	0	1	1	2
ET010045	2	27	1	1	2	6	2	1	1
ET010045	3	25	2	1	2	0	2	1	1
ET010045	4	5	2	5	1	0	2	1	2
ET010046	1	40	1	1	2	0	2	2	1
ET010046	2	30	2	1	2	6	2	1	2
ET010046	3	16	1	5	1	7	2	2	2
ET010046	4	10	1	5	1	4	2	2	2
ET010046	5	7	2	5	1	0	2	1	2
ET010046	15	4	2	5	 	 	1	 	 
ET010047	1	30	2	1	2	0	1	1	1
ET010047	2	27	1	4	2	12	2	1	2
ET010047	3	13	2	4	1	7	2	1	2
ET010048	1	27	1	1	2	9	2	2	1
ET010048	2	25	2	1	2	0	2	1	2
ET010048	3	18	1	5	2	0	2	2	2
ET010048	4	10	1	5	2	0	2	2	2
ET010049	1	35	1	1	2	3	2	1	1
ET010049	2	25	2	1	2	2	2	1	1
ET010049	3	9	1	5	1	3	2	1	2
ET010049	4	8	2	5	1	1	2	1	2
ET010050	1	40	1	1	2	9	2	1	1
ET010050	2	23	2	1	2	10	2	1	1
ET010051	1	35	1	1	2	1	2	1	1
ET010051	2	29	2	1	2	0	2	1	1
ET010051	3	14	2	5	1	7	2	1	2
ET010051	4	13	2	5	1	6	2	1	2
ET010051	5	10	2	5	1	4	2	1	2
ET010051	6	8	1	5	1	2	2	1	2
ET010052	1	33	1	1	2	8	2	1	1
ET010052	2	29	2	1	2	12	2	1	1
ET010052	3	5	2	5	1	0	2	1	2
ET010052	4	5	2	5	1	0	2	1	2
ET010053	1	59	1	3	2	0	2	1	2
ET010053	2	45	1	4	2	7	1	2	2
ET010053	3	42	2	4	2	0	2	1	2
ET010053	4	28	1	4	1	8	2	1	2
ET010053	5	27	2	4	2	0	2	1	2
ET010053	6	24	1	4	1	5	2	2	2
ET010053	7	18	2	1	2	6	2	1	1
ET010053	8	13	1	4	1	1	2	2	2
ET010054	1	40	1	1	2	12	2	1	1
ET010054	2	30	2	1	2	11	2	1	1
ET010054	3	7	1	5	1	1	2	1	2
ET010055	1	31	1	1	2	6	2	1	1
ET010055	2	21	2	1	2	3	1	1	1
ET010055	3	23	1	4	1	10	2	1	2
ET010056	1	55	2	4	2	0	2	1	1
ET010056	2	35	2	6	2	7	2	1	2
ET010056	3	22	2	6	2	0	2	2	2
ET010056	4	8	2	13	2	0	2	2	2
ET010056	5	7	2	13	2	0	2	2	2
ET010056	6	24	2	1	2	7	2	1	1
ET010057	1	35	1	1	2	11	2	2	1
ET010057	2	28	2	1	2	7	2	1	2
ET010057	3	15	1	4	1	5	2	1	2
ET010057	15	4	2	5	 	 	2	 	 
ET010058	1	27	1	4	2	2	2	1	2
ET010058	2	23	1	1	2	8	2	1	1
ET010058	3	20	2	1	2	5	2	1	2
ET010059	1	50	2	3	2	0	2	1	1
ET010059	2	25	1	4	2	8	2	1	2
ET010059	3	22	2	5	2	9	2	1	1
ET010059	4	20	1	5	2	7	1	1	1
ET010059	5	12	2	5	2	7	2	2	2
ET010059	6	8	1	5	1	4	1	1	2
ET010060	1	42	1	1	2	6	1	1	1
ET010060	2	30	2	1	2	6	2	1	1
ET010060	3	13	2	5	1	6	2	2	2
ET010061	1	34	1	1	2	12	1	1	2
ET010061	2	26	2	1	2	7	2	2	2
ET010061	3	22	1	4	2	12	2	2	2
ET010061	4	17	1	12	1	9	2	2	2
ET010061	5	11	2	4	1	5	2	2	2
ET010062	1	28	1	2	2	12	2	2	1
ET010062	2	26	2	1	2	12	2	1	2
ET010062	15	2	1	5	 	 	2	 	 
ET010063	1	50	1	3	2	5	2	2	2
ET010063	2	49	2	3	2	0	2	2	2
ET010063	3	35	2	3	2	0	2	2	2
ET010063	4	25	2	4	2	8	2	2	2
ET010063	5	24	1	4	2	10	2	2	1
ET010063	6	23	1	4	2	4	2	2	2
ET010063	7	22	2	4	2	12	2	1	2
ET010063	8	20	1	4	2	8	2	2	2
ET010063	9	16	2	4	1	7	2	2	2
ET010064	1	31	2	1	2	0	2	1	1
ET010064	2	7	2	5	2	0	2	2	2
ET010065	1	27	1	2	2	5	1	2	1
ET010065	2	26	1	4	2	10	1	2	2
ET010065	3	22	2	1	2	9	1	2	2
ET010065	4	17	2	4	1	9	1	2	2
ET010065	5	16	1	4	2	2	2	2	2
ET010065	15	3	1	5	 	 	2	 	 
ET010066	1	70	1	3	2	0	2	2	2
ET010066	2	35	1	2	2	9	2	2	1
ET010066	3	29	2	1	2	0	2	1	2
ET010066	4	12	2	4	2	0	2	2	2
ET010066	5	5	1	5	2	0	2	2	2
ET010066	15	1	1	5	 	 	2	 	 
ET010067	1	50	1	2	2	4	2	2	1
ET010067	2	30	2	1	2	4	2	1	2
ET010067	3	9	2	5	1	3	2	2	2
ET010067	4	6	1	5	2	0	2	2	2
ET010068	1	30	1	1	2	6	2	2	1
ET010068	2	27	2	1	2	0	1	1	2
ET010069	1	70	1	3	2	0	2	2	1
ET010069	2	65	2	3	2	0	2	1	2
ET010069	3	30	1	4	2	7	2	2	2
ET010069	4	25	1	1	2	8	2	2	2
ET010069	5	12	2	4	2	5	2	2	2
ET010069	6	10	2	4	2	5	2	2	2
ET010069	7	8	2	4	2	3	2	2	2
ET010069	8	6	1	4	2	2	2	2	2
ET010069	9	19	2	1	2	7	2	2	2
ET010069	15	4	1	4	 	 	2	 	 
ET010070	1	25	2	1	2	2	2	1	2
ET010070	2	8	2	5	1	1	2	2	2
ET010070	3	6	2	5	1	1	2	2	2
ET010070	15	4	2	5	 	 	2	 	 
ET010071	1	60	2	3	2	0	2	2	2
ET010071	2	50	1	2	2	0	2	2	2
ET010071	3	45	2	1	2	0	2	1	1
ET010071	4	30	2	4	2	9	2	2	2
ET010071	5	28	1	4	2	7	2	2	2
ET010071	6	19	2	4	1	10	2	2	2
ET010071	7	18	1	4	1	9	2	2	2
ET010071	8	11	2	4	1	4	2	2	2
ET010071	9	10	2	5	1	1	2	2	2
ET010071	10	5	1	5	2	0	2	2	2
ET010072	1	25	1	2	2	7	2	2	1
ET010072	2	20	2	1	2	8	2	1	2
ET010073	1	70	2	3	2	0	2	1	2
ET010073	2	24	2	1	2	9	2	1	1
ET010074	1	58	2	3	2	0	2	1	1
ET010074	2	30	1	4	2	6	2	2	2
ET010074	3	28	1	4	2	12	2	2	2
ET010074	4	25	2	4	2	3	2	2	2
ET010074	5	22	2	1	2	0	2	1	2
ET010074	6	18	2	4	1	8	2	2	2
ET010074	7	7	2	4	1	2	2	2	2
ET010075	1	30	1	2	2	5	2	2	1
ET010075	2	20	2	1	2	2	2	1	2
ET010075	3	14	2	4	2	0	2	2	2
ET010075	4	15	1	5	2	0	2	2	2
ET010076	1	33	1	1	2	5	2	2	1
ET010076	2	31	2	1	2	14	2	1	2
ET010076	3	29	2	4	1	12	2	2	2
ET010076	4	28	1	4	2	6	1	2	2
ET010076	5	23	1	4	1	5	2	2	2
ET010076	6	21	2	4	1	9	2	2	2
ET010076	7	17	1	4	1	4	2	2	2
ET010076	8	13	2	6	1	4	2	2	2
ET010076	9	10	1	5	1	3	2	2	2
ET010076	10	6	1	5	1	0	2	2	2
ET010076	15	3	2	5	 	 	1	 	 
ET010077	1	25	1	2	2	3	2	2	1
ET010077	2	21	2	1	2	0	2	1	1
ET010077	3	16	2	4	2	1	2	2	2
ET010077	4	8	2	4	2	0	2	2	2
ET010077	15	2	1	4	 	 	2	 	 
ET010078	1	37	2	3	2	2	2	1	1
ET010078	2	26	1	4	2	12	2	2	2
ET010078	3	20	2	4	2	3	2	2	2
ET010078	4	18	2	1	2	4	2	1	2
ET010079	1	47	1	4	2	7	1	2	2
ET010079	2	40	1	1	2	0	2	1	1
ET010079	3	23	2	1	2	7	2	1	1
ET010079	4	22	2	7	2	0	2	1	2
ET010080	1	45	2	4	2	0	2	2	2
ET010080	2	30	2	4	2	6	2	2	2
ET010080	3	25	2	1	2	7	2	1	1
ET010080	4	20	2	4	2	5	2	2	2
ET010080	5	15	2	4	1	2	2	2	2
ET010080	6	13	2	4	1	7	2	2	2
ET010081	1	40	2	3	2	0	1	1	2
ET010081	2	26	1	1	2	10	2	1	1
ET010081	3	24	2	1	2	10	2	1	1
ET010081	4	22	2	5	2	8	2	1	2
ET010081	5	11	2	5	1	0	2	1	2
ET010082	1	39	1	1	1	5	2	1	1
ET010082	2	24	2	1	2	0	2	1	2
ET010082	3	5	1	5	2	0	2	2	2
ET010082	15	3	1	5	 	 	1	 	 
ET010083	1	39	1	1	2	6	2	2	2
ET010083	2	36	2	1	2	9	2	1	1
ET010083	3	20	1	4	2	12	2	2	2
ET010083	4	17	2	7	2	6	2	2	2
ET010083	5	13	1	4	1	6	1	2	2
ET010083	6	6	2	4	1	 	2	2	2
ET010083	7	11	2	4	1	2	2	1	2
ET010084	1	38	1	1	2	3	2	1	1
ET010084	2	36	1	4	2	0	2	1	1
ET010084	3	28	2	1	2	1	2	1	2
ET010084	4	16	2	5	1	4	2	1	2
ET010084	5	13	1	5	1	4	2	1	2
ET010084	6	10	2	5	1	0	2	2	2
ET010084	7	8	1	5	1	2	2	1	2
ET010084	8	6	1	5	1	0	2	1	2
ET010084	15	4	1	5	 	 	2	 	 
ET010085	1	33	1	1	2	12	2	1	1
ET010085	2	25	2	1	2	10	2	1	2
ET010085	3	6	1	5	1	0	2	1	2
ET010086	1	29	1	1	2	0	2	1	1
ET010086	2	20	2	1	2	8	2	1	1
ET010087	1	40	2	6	2	0	1	1	1
ET010087	2	23	2	1	2	8	2	1	2
ET010088	1	55	1	3	2	2	2	1	1
ET010088	2	45	2	3	2	0	1	1	2
ET010088	3	23	1	4	2	7	1	1	2
ET010088	4	19	2	1	2	8	2	1	2
ET010088	5	17	2	4	2	6	2	1	2
ET010088	6	16	1	4	1	8	2	1	2
ET010088	7	14	2	4	1	4	2	1	2
ET010088	15	4	1	4	 	 	2	 	 
ET010088	16	2	1	4	 	 	2	 	 
ET010089	1	45	1	2	2	0	2	2	1
ET010089	2	28	2	1	2	0	1	1	2
ET010089	3	12	2	5	1	6	2	2	2
ET010089	4	11	1	5	1	5	2	2	2
ET010089	5	8	1	5	1	2	2	2	2
ET010089	15	4	2	5	 	 	2	 	 
ET010090	1	45	1	3	2	14	2	1	1
ET010090	2	66	2	13	2	0	2	2	2
ET010090	3	43	1	6	2	7	2	1	1
ET010090	4	41	2	3	2	12	2	1	1
ET010090	5	22	1	6	1	13	1	1	2
ET010090	6	21	1	6	2	8	2	1	1
ET010090	7	20	1	6	1	13	2	1	2
ET010090	8	19	2	1	2	12	2	1	2
ET010090	9	17	1	6	2	10	2	1	2
ET010090	10	15	1	6	1	9	2	1	2
ET010091	1	30	1	1	2	12	1	1	1
ET010091	2	26	2	1	2	4	2	1	2
ET010091	3	20	2	4	1	3	2	1	2
ET010091	4	18	2	7	2	0	2	1	2
ET010091	5	18	1	7	2	4	2	1	2
ET010091	15	4	2	5	 	 	2	 	 
ET010092	1	48	2	3	2	0	2	1	2
ET010092	2	37	1	1	2	9	2	1	1
ET010092	3	29	2	1	2	7	2	1	2
ET010092	4	14	2	5	2	6	2	1	2
ET010092	5	12	1	5	2	4	2	1	2
ET010092	6	9	2	5	2	2	2	1	2
ET010093	1	42	1	13	2	8	2	2	2
ET010093	2	40	2	13	2	3	2	1	1
ET010093	3	20	2	13	1	8	2	2	2
ET010093	4	20	2	1	2	0	2	1	1
ET010093	5	16	2	13	1	9	2	1	2
ET010093	6	12	2	13	1	5	2	1	2
ET010093	7	9	2	13	1	3	2	1	2
ET010093	8	6	1	13	1	0	2	1	2
ET010093	9	 	1	13	1	0	2	1	2
ET010093	10	21	2	13	1	12	2	1	2
ET010093	15	3	1	5	 	 	2	 	 
ET010094	1	46	1	1	2	7	2	1	1
ET010094	2	38	2	1	2	7	2	1	1
ET010094	3	16	1	5	1	9	2	1	2
ET010094	4	14	2	6	1	0	2	1	2
ET010094	5	10	2	5	1	4	2	1	2
ET010095	1	35	1	1	2	9	2	1	1
ET010095	2	26	2	1	2	7	2	1	1
ET010095	3	15	2	4	1	1	2	1	2
ET010095	15	2	2	5	 	 	2	 	 
ET010096	1	38	1	1	2	14	2	1	1
ET010096	2	28	2	1	2	12	2	1	2
ET010096	3	11	2	4	1	3	2	1	2
ET010096	4	5	1	5	1	0	2	1	2
ET010097	1	41	1	1	2	9	2	1	1
ET010097	2	35	2	1	2	6	2	1	2
ET010097	3	9	2	5	1	3	2	1	2
ET010097	4	7	1	5	1	1	2	1	2
ET010097	15	2	2	5	 	 	2	 	 
ET010098	1	27	1	1	2	7	2	1	1
ET010098	2	24	2	1	2	10	2	1	2
ET010099	1	29	1	1	2	7	2	1	1
ET010099	2	27	2	1	2	12	1	1	2
ET010099	3	14	2	 	1	2	1	1	2
ET010100	1	60	2	3	2	0	2	1	1
ET010100	2	27	1	4	2	8	2	1	2
ET010100	3	25	2	1	2	10	2	1	2
ET010100	4	23	2	4	2	12	2	1	2
ET010100	5	5	2	6	1	0	2	1	2
ET010100	15	3	2	6	 	 	2	 	 
ET020001	1	67	1	3	2	0	2	2	1
ET020001	2	52	2	3	2	0	2	1	1
ET020001	3	34	2	4	2	6	2	1	2
ET020001	4	33	1	1	2	6	2	1	1
ET020001	5	33	1	4	2	7	2	2	2
ET020001	6	29	1	4	1	7	2	1	1
ET020001	7	23	2	1	2	4	2	1	2
ET020001	15	4	2	5	 	 	2	 	 
ET020002	1	48	1	1	2	7	2	2	1
ET020002	2	32	2	1	2	7	2	1	1
ET020002	3	23	1	5	2	3	2	2	2
ET020002	4	12	1	5	1	4	2	2	2
ET020002	5	11	2	5	1	3	2	1	2
ET020002	6	8	2	5	1	2	2	2	2
ET020002	7	5	2	5	1	0	2	2	2
ET020003	1	42	2	3	2	0	2	2	2
ET020003	2	23	1	4	2	6	2	2	2
ET020003	3	19	2	1	2	0	2	1	1
ET020003	4	15	2	4	1	4	1	2	2
ET020003	5	13	2	4	1	2	2	2	2
ET020003	6	11	1	4	1	3	2	2	2
ET020004	1	30	2	1	2	5	2	1	1
ET020004	2	13	1	5	1	6	2	2	2
ET020004	3	8	2	5	1	1	2	2	2
ET020004	4	38	1	1	2	12	2	2	1
ET020005	1	26	1	1	2	7	2	1	1
ET020005	2	21	1	4	1	8	2	1	2
ET020005	3	19	2	1	2	10	2	1	1
ET020006	1	55	1	1	2	0	2	2	1
ET020006	2	42	2	1	2	0	2	1	1
ET020006	3	22	2	5	1	3	2	1	2
ET020006	4	19	1	5	1	7	2	2	2
ET020006	5	14	1	5	1	0	2	2	2
ET020006	6	12	2	5	1	4	2	2	2
ET020006	7	9	1	5	1	0	2	2	2
ET020006	8	8	1	5	1	1	2	2	2
ET020007	1	45	2	3	2	0	2	2	2
ET020007	2	27	2	4	2	6	2	2	2
ET020007	3	26	1	4	2	9	2	2	2
ET020007	4	24	2	1	2	5	2	2	2
ET020007	15	2	2	6	 	 	2	 	 
ET020008	1	42	1	1	2	12	2	2	1
ET020008	2	29	2	1	2	6	2	1	2
ET020008	3	12	1	5	1	2	2	1	2
ET020008	4	8	1	5	1	1	2	2	2
ET020009	1	35	1	1	2	7	1	1	1
ET020009	2	22	2	1	2	6	2	1	2
ET020010	1	50	1	3	2	0	2	2	1
ET020010	2	48	2	3	2	0	2	1	1
ET020010	3	26	2	1	2	8	1	1	2
ET020010	4	20	2	4	2	10	2	2	2
ET020010	5	18	1	4	1	7	1	1	2
ET020010	6	16	1	4	1	8	2	2	2
ET020010	7	12	1	4	1	7	2	2	2
ET020010	8	10	2	4	1	5	2	2	2
ET020010	15	4	1	6	 	 	1	 	 
ET020011	1	80	2	3	2	0	2	1	2
ET020011	2	45	1	1	2	14	2	2	1
ET020011	3	26	2	1	2	7	2	1	2
ET020011	15	4	2	5	 	 	1	 	 
ET020012	1	58	1	3	2	3	1	2	1
ET020012	2	50	2	3	2	0	1	1	2
ET020012	3	22	1	5	2	8	2	2	2
ET020012	4	17	1	5	1	9	2	1	2
ET020012	5	15	2	5	1	9	2	1	2
ET020012	6	13	2	5	1	4	2	1	2
ET020012	7	12	1	5	1	6	2	2	2
