childid	id	age	sex	relate	still	yrschool	disabled	care	support
ET010001	1	43	1	3	2	11	2	2	2
ET010001	2	41	2	3	2	0	2	2	2
ET010001	3	25	2	4	2	8	2	2	2
ET010001	4	24	2	6	1	10	2	2	2
ET010001	5	22	2	6	2	0	2	2	2
ET010001	6	19	2	7	2	0	2	2	2
ET010001	7	34	1	7	2	0	2	2	2
ET010001	8	19	2	1	2	7	2	2	2
ET010001	9	13	2	6	1	6	2	2	2
ET010001	10	11	1	4	1	4	2	2	2
ET010001	11	5	2	4	1	0	2	2	2
ET010001	15	1	1	6	 	 	2	 	 
ET010002	1	32	1	1	2	8	2	1	1
ET010002	2	20	2	1	2	8	2	1	2
ET010003	1	65	2	4	2	0	1	1	1
ET010003	2	55	2	4	2	0	2	1	2
ET010003	3	23	1	 	2	12	2	2	2
ET010003	4	17	2	 	1	8	2	2	2
ET010003	5	12	2	 	1	6	2	2	2
ET010003	6	12	2	 	1	3	2	2	2
ET010004	1	75	2	3	2	0	2	1	2
ET010004	2	40	1	1	2	11	2	2	1
ET010004	3	35	2	1	2	6	2	2	1
ET010004	4	18	2	5	1	8	2	1	2
ET010004	5	15	1	5	1	7	2	2	2
ET010004	6	13	1	5	1	6	2	2	2
ET010004	7	10	1	5	1	5	2	2	2
ET010005	1	30	1	1	2	4	2	1	1
ET010005	2	28	2	1	2	0	2	1	2
ET010005	3	10	1	5	1	1	2	2	2
ET010005	4	8	1	5	1	1	2	2	2
ET010005	5	8	2	5	2	0	2	2	2
ET010006	1	30	1	1	2	14	2	1	1
ET010006	2	26	2	1	2	16	2	1	1
ET010006	3	22	2	4	2	 	2	1	2
ET010006	4	20	1	6	1	7	2	2	2
ET010006	5	18	2	7	2	0	2	1	2
ET010006	6	15	2	4	1	0	2	1	2
ET010006	7	24	1	4	1	12	2	1	2
ET010007	1	55	1	6	2	0	2	2	1
ET010007	2	45	2	 	2	0	1	2	1
ET010007	3	70	1	 	2	 	2	1	2
ET010007	4	34	1	1	2	12	1	1	1
ET010007	5	27	1	6	2	10	2	1	1
ET010007	6	24	1	4	1	7	2	1	1
ET010007	7	25	1	4	1	12	2	1	1
ET010007	8	20	2	1	2	5	2	1	1
ET010007	9	14	2	6	1	6	2	1	2
ET010007	15	4	1	4	 	 	2	 	 
ET010008	1	40	2	3	2	0	1	1	1
ET010008	2	25	2	4	2	8	2	2	2
ET010008	3	23	2	4	2	8	2	1	1
ET010008	4	21	1	4	2	10	2	2	1
ET010008	5	19	2	4	2	12	2	2	2
ET010008	6	18	2	1	2	7	1	2	1
ET010008	7	16	2	4	1	7	 	1	2
ET010008	8	14	1	4	1	6	 	2	2
ET010008	9	12	1	4	1	4	 	2	2
ET010009	1	48	1	1	2	0	1	2	1
ET010009	2	45	2	4	2	0	2	2	2
ET010009	3	40	2	1	2	0	1	1	2
ET010009	4	15	1	5	1	9	1	2	2
ET010009	5	13	2	5	1	7	1	2	2
ET010009	6	9	2	5	1	3	1	2	2
ET010009	7	8	2	5	1	2	1	2	2
ET010010	1	37	1	1	2	12	2	1	1
ET010010	2	35	2	1	2	4	2	1	1
ET010011	1	45	1	1	2	0	2	2	1
ET010011	2	30	2	1	2	0	1	1	1
ET010011	3	18	2	5	1	8	2	2	2
ET010011	4	18	2	5	1	8	2	2	2
ET010011	5	15	1	5	1	7	2	2	2
ET010011	6	9	1	5	1	1	2	2	2
ET010011	7	6	1	5	1	0	2	2	2
ET010011	15	4	2	5	 	 	1	 	 
ET010012	1	30	1	1	2	8	2	2	2
ET010012	2	30	2	1	2	0	2	2	2
ET010012	3	15	1	5	2	4	2	2	2
ET010012	4	20	1	6	2	4	1	2	2
ET010012	5	12	1	5	1	3	2	2	2
ET010012	6	8	1	5	1	1	2	1	2
ET010012	7	7	2	6	2	0	2	2	2
ET010012	15	4	1	5	 	 	2	 	 
ET010012	16	4	1	5	 	 	1	 	 
ET010013	1	23	2	1	2	6	2	1	1
ET010013	15	3	1	5	 	 	2	 	 
ET010014	1	32	1	1	2	5	2	2	1
ET010014	2	28	2	1	2	8	2	1	1
ET010014	3	23	1	4	2	6	2	2	1
ET010014	4	21	1	4	2	5	2	2	2
ET010014	5	8	2	5	1	1	2	2	2
ET010014	6	9	1	6	2	0	2	1	2
ET010015	1	45	1	1	2	5	2	1	1
ET010015	2	30	2	1	2	7	2	1	1
ET010015	3	8	1	5	1	2	2	2	2
ET010015	4	5	2	5	1	0	2	2	2
ET010015	15	2	1	5	 	 	2	 	 
ET010016	1	45	2	3	2	4	2	2	1
ET010016	2	26	1	1	2	7	2	1	1
ET010016	3	25	2	1	2	7	2	1	1
ET010016	4	12	2	7	1	2	2	1	2
ET010016	15	3	1	5	 	 	2	 	 
ET010017	1	60	1	3	2	0	1	2	2
ET010017	2	53	2	3	2	3	1	1	1
ET010017	3	24	2	1	2	12	2	2	1
ET010017	4	21	2	4	2	14	2	1	1
ET010017	5	18	1	4	1	10	2	1	2
ET010017	6	16	2	4	1	7	2	1	2
ET010017	7	14	2	4	1	7	2	1	2
ET010017	15	3	2	5	 	 	2	 	 
ET010018	1	25	2	 	2	9	2	1	1
ET010018	2	11	1	4	1	6	2	1	2
ET010018	3	6	2	4	1	1	2	1	2
ET010019	1	60	1	3	2	8	2	2	1
ET010019	2	60	2	3	2	0	2	2	1
ET010019	3	30	2	4	2	8	2	2	2
ET010019	4	27	2	4	2	9	2	2	2
ET010019	5	25	1	4	2	7	2	2	2
ET010019	6	23	1	4	2	6	2	2	2
ET010019	7	23	2	1	2	7	2	1	1
ET010019	15	4	1	6	 	 	2	 	 
ET010020	1	50	1	3	2	0	2	2	2
ET010020	2	35	1	4	2	6	1	2	2
ET010020	3	27	1	4	2	2	2	2	2
ET010020	4	22	2	4	2	8	2	2	2
ET010020	5	19	2	4	2	6	2	2	2
ET010020	6	17	2	1	2	6	2	1	1
ET010020	7	14	1	4	1	5	2	2	2
ET010020	8	11	2	4	1	4	2	2	 
ET010020	9	5	1	6	2	0	2	2	 
ET010020	10	28	1	12	2	0	1	2	 
ET010020	15	1	2	6	 	 	2	 	 
ET010021	1	32	1	1	2	6	2	1	1
ET010021	2	26	2	1	2	8	2	1	2
ET010021	3	10	2	4	1	0	2	1	2
ET010021	4	5	2	4	1	0	2	1	2
ET010022	1	37	2	3	2	8	1	1	2
ET010022	2	22	2	4	2	0	2	2	2
ET010022	3	20	2	1	2	10	2	1	1
ET010023	1	75	2	3	2	0	2	1	2
ET010023	2	28	1	1	2	9	2	1	1
ET010023	3	21	2	1	2	10	2	1	2
ET010023	4	18	1	4	2	9	2	2	2
ET010024	1	35	1	1	2	7	2	1	1
ET010024	2	28	1	4	2	12	2	2	1
ET010024	3	25	1	4	2	12	 	2	2
ET010024	4	18	2	1	2	4	2	1	1
ET010025	1	27	1	1	2	9	2	1	1
ET010025	2	25	2	1	2	0	2	1	1
ET010025	3	16	2	4	1	3	2	2	2
ET010025	4	11	2	6	1	4	2	2	2
ET010025	15	3	2	5	 	 	2	 	 
ET010026	1	29	1	1	1	9	2	1	1
ET010026	2	20	2	1	1	7	2	1	2
ET010027	1	45	2	3	2	0	2	1	1
ET010027	2	24	2	4	2	0	2	2	2
ET010027	3	22	2	1	2	9	2	1	2
ET010027	4	21	1	4	2	11	2	1	1
ET010027	5	20	1	4	2	12	2	2	2
ET010027	6	19	1	4	2	10	2	2	2
ET010027	7	18	2	4	1	8	2	1	2
ET010027	8	16	2	4	2	2	2	2	2
ET010027	9	14	1	4	1	5	2	2	2
ET010027	10	12	2	4	1	4	2	2	2
ET010027	11	10	1	4	1	3	2	2	2
ET010027	15	1	2	6	 	 	2	 	 
ET010028	1	31	1	1	2	12	2	1	1
ET010028	2	28	2	1	2	12	2	1	2
ET010029	1	36	1	1	2	8	2	1	1
ET010029	2	25	2	1	2	12	2	1	2
ET010030	1	50	2	3	2	0	2	2	2
ET010030	2	35	2	4	2	0	1	1	1
ET010030	3	25	1	1	2	8	2	1	1
ET010030	4	21	2	1	2	8	2	1	1
ET010030	5	9	2	4	1	0	2	2	2
ET010031	1	47	1	1	2	0	1	2	2
ET010031	2	29	2	1	2	6	1	2	2
ET010031	3	18	1	4	2	6	1	2	2
ET010031	4	16	2	6	2	0	2	1	2
ET010031	5	9	2	5	1	1	2	2	2
ET010031	6	7	1	5	1	0	2	2	2
ET010031	15	3	2	5	 	 	2	 	 
