CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	THSVILR5	HHCSTER5	DOBHHMR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	TYPATDR5
11001	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	2	1	1	16	0	 	 	 	 	 	 
11001	1	 	1	 	46	49	 	1	1	 	24	 	 	1	0	4	99	1	7	0	 	 	 	 	 	 
11001	2	 	1	 	38	41	 	2	1	 	24	 	1	1	0	98	99	1	5	0	 	 	 	 	 	 
11001	3	 	1	 	21	24	 	1	7	 	24	 	2	0	0	2	1	1	13	0	 	 	 	 	 	 
11001	4	 	1	 	60	63	 	2	6	 	24	 	3	3	0	99	99	1	7	0	 	 	 	 	 	 
11002	0	 	1	 	19	22	 	2	0	 	24	 	6	1	0	98	98	1	12	0	 	 	 	 	 	 
11002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	2	 	4	 	46	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	3	 	4	 	41	44	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	4	 	4	 	24	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	5	 	4	 	23	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	6	 	1	 	28	31	 	1	25	 	24	 	2	1	0	10	9	1	10	0	 	 	 	 	 	 
11002	7	 	1	 	1	4	 	1	27	 	24	 	5	 	0	0	6	 	 	 	 	 	 	 	 	 
11002	8	 	1	 	 	3	 	2	27	 	24	 	5	 	0	0	6	 	 	 	 	 	 	 	 	 
11002	9	 	1	 	 	68	 	1	26	 	24	 	 	1	0	99	99	1	10	0	 	 	 	 	 	 
11002	10	 	1	 	 	50	 	2	26	 	24	 	1	1	0	99	99	1	5	0	 	 	 	 	 	 
11003	0	 	1	 	19	22	 	2	0	 	23	 	2	0	0	2	1	1	13	0	 	 	 	 	 	 
11003	1	 	1	 	41	44	 	1	1	 	23	 	 	1	0	98	99	1	4	0	 	 	 	 	 	 
11003	2	 	1	 	34	37	 	2	1	 	23	 	1	1	0	98	98	1	7	0	 	 	 	 	 	 
11003	3	 	1	 	18	21	 	2	7	 	23	 	2	0	0	2	1	1	15	1	 	 	 	 	 	 
11003	28	 	1	 	15	18	 	1	7	 	23	 	2	0	0	2	1	1	10	0	 	 	 	 	 	 
11004	0	 	1	 	19	22	 	1	0	 	24	 	2	0	0	2	1	1	10	0	 	 	 	 	 	 
11004	1	 	1	 	51	54	 	1	1	 	24	 	 	1	0	99	99	0	 	 	 	 	 	 	 	 
