CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
171003	1	1	2	11	2
171004	1	1	2	11	2
171005	1	5	1	11	1
171005	2	1	4	11	4
171006	1	7	1	11	0
171006	2	5	4	11	4
171006	3	4	2	11	2
171007	1	7	1	11	0
171007	2	5	11	11	11
171007	3	4	3	11	3
171008	1	1	6	11	6
171008	2	4	3	11	3
171008	3	18	9	11	9
171009	1	1	3	29	3
171010	1	1	6	11	6
171010	2	4	1	11	1
171011	1	1	5	11	5
171011	2	4	4	11	4
171011	3	13	8	7	8
171012	1	1	3	11	3
171012	2	4	2	11	2
171012	3	8	2	12	2
171013	1	1	5	11	5
171013	2	7	1	11	0
171013	3	5	1	11	0
171013	4	4	4	11	4
171014	1	7	1	11	0
171014	2	5	5	11	5
171014	3	4	3	11	3
171015	1	7	1	11	0
171015	2	1	4	11	4
171016	1	7	1	11	0
171016	2	1	4	11	4
171017	1	4	2	11	2
171017	2	1	6	11	6
171018	1	1	3	29	3
171019	1	1	5	11	5
171019	2	4	3	11	3
171019	3	7	1	11	0
171019	4	3	1	11	0
171020	1	 	 	 	 
171021	1	1	5	11	5
171021	2	4	1	11	0
171021	3	3	1	11	0
171021	4	7	1	11	0
171022	1	5	5	11	5
171022	2	4	3	11	3
171022	3	1	8	11	8
171023	1	1	6	11	6
171023	2	4	3	11	3
171023	3	7	1	11	0
171024	1	1	8	11	8
171024	3	5	6	11	6
171024	4	7	1	11	0
171025	1	1	5	11	5
171025	2	4	3	11	3
171025	3	3	1	11	0
171025	4	7	1	11	0
171026	1	1	3	11	3
171026	2	4	3	11	3
171026	3	5	1	11	1
171026	4	7	1	11	0
171026	5	5	1	11	1
171027	1	1	3	11	3
171027	2	7	1	11	0
171028	1	1	2	11	2
171029	1	7	1	11	0
171029	2	4	2	11	2
171029	3	1	3	11	3
171030	1	25	1	24	1
171031	1	1	4	11	4
171031	2	4	2	11	0
171031	3	7	1	11	0
171032	1	1	4	11	4
171032	2	4	4	11	4
171032	3	7	1	11	0
171033	1	25	1	24	1
171035	1	13	15	7	15
171035	2	11	10	4	10
171036	1	25	1	24	1
171037	1	13	6	7	6
171038	1	1	7	11	7
171038	2	7	1	11	0
171038	3	21	1	21	1
171038	4	25	1	24	1
171039	1	23	2	23	2
171040	1	7	1	11	0
171040	2	4	3	11	0
171040	3	1	3	11	3
171040	4	25	1	24	1
171041	1	30	4	26	4
171042	1	1	5	11	5
171042	2	4	3	11	3
171042	3	7	1	11	0
171043	1	1	3	11	3
171044	1	15	6	23	6
171045	1	1	2	11	2
171045	2	7	1	11	0
171046	1	7	1	11	0
171046	2	4	1	11	1
171047	1	1	3	11	3
171047	2	7	1	11	0
171047	3	4	3	11	3
171048	1	1	3	11	3
171048	2	7	1	11	0
171049	1	1	3	11	3
171049	2	7	1	11	0
171049	4	5	1	11	1
171050	1	7	2	11	0
171050	2	6	1	11	0
171050	3	4	2	11	0
181001	1	1	4	11	4
181001	2	4	3	11	3
181001	3	7	1	11	0
181002	1	1	2	29	2
181003	1	25	1	24	1
181004	1	1	2	11	2
181004	2	15	3	12	2
181004	3	7	1	11	0
181005	1	1	5	11	5
181005	2	4	3	11	0
181005	3	5	1	11	0
181005	4	7	1	11	0
181007	1	7	1	11	0
181007	2	5	10	11	10
181007	3	1	3	11	3
181008	1	1	5	11	5
181008	2	4	3	11	3
181008	3	7	1	11	0
181009	1	25	1	24	0
181010	1	25	1	24	1
181011	1	1	3	11	3
181011	2	4	3	11	3
181011	3	7	1	11	0
181012	1	1	6	11	6
181012	2	3	1	11	1
181012	3	5	1	11	1
181012	4	7	1	11	0
181013	1	1	5	11	5
181013	2	4	3	11	3
181013	3	5	1	11	0
181013	4	7	1	11	0
181014	1	1	3	11	3
181014	2	4	3	11	0
181014	3	7	1	11	0
181015	1	13	4	7	4
181016	1	23	15	23	0
181016	2	1	3	29	3
181017	1	13	4	16	4
181018	1	13	2	7	2
181019	1	25	1	24	1
181020	1	1	6	11	6
181020	2	3	1	11	1
181020	3	5	1	11	1
181020	4	7	1	11	0
181021	1	7	1	11	0
181021	2	5	12	11	12
181021	3	15	20	12	20
181023	1	1	3	11	3
181023	2	4	2	11	0
181023	3	7	1	11	0
181024	1	1	6	11	6
181024	2	4	3	11	3
181024	3	5	1	11	0
181024	5	7	1	11	0
181025	1	1	5	11	5
181025	2	4	2	11	2
181025	3	7	1	11	0
181026	1	1	3	11	3
181026	2	6	2	11	2
181026	3	7	1	11	0
181027	1	5	15	11	15
181027	2	4	4	11	4
181027	3	7	1	11	0
181028	1	1	8	11	8
181028	2	4	2	11	0
181028	3	7	1	11	0
181029	1	1	3	11	3
181029	2	4	2	11	2
181029	3	7	1	11	1
181030	1	1	10	11	10
181030	2	4	5	11	5
181030	3	7	1	11	1
181031	1	1	12	11	12
181031	2	4	4	11	4
181031	3	7	1	11	0
181032	1	1	3	11	3
181032	2	4	3	11	0
181032	3	7	1	11	0
181033	1	1	14	8	14
181033	2	7	1	11	0
181033	3	23	20	23	20
181035	1	1	2	11	2
181036	1	1	3	11	3
181036	2	4	3	11	0
181036	3	7	1	11	0
181037	1	4	3	11	3
181038	1	1	12	11	12
181038	2	4	2	11	2
181038	3	7	1	11	0
181039	1	7	1	11	0
181039	2	1	3	11	3
181040	1	1	10	11	10
181040	2	4	1	11	1
181040	3	7	1	11	0
181041	1	17	1	11	1
181041	2	7	1	11	0
181041	3	4	3	11	3
181042	1	1	8	11	8
181042	2	4	3	11	3
181042	3	7	1	11	0
181043	1	25	1	23	1
181043	2	13	10	23	10
181044	1	25	1	24	1
181044	2	1	3	5	3
181045	1	1	10	11	10
181045	2	4	3	11	3
181045	3	7	1	11	0
181046	1	1	3	11	3
181047	1	1	6	11	6
181047	2	7	1	11	0
181047	3	6	1	11	0
181048	1	1	4	11	4
181048	2	7	1	11	0
181049	1	1	2	11	2
181049	2	7	1	11	0
181050	1	21	1	21	1
191002	1	1	4	11	4
191002	2	4	3	11	3
191002	3	7	1	11	0
191002	4	5	1	11	1
191003	1	1	3	11	3
191003	2	4	2	11	2
191003	3	7	1	11	0
191004	1	1	2	11	2
191004	2	7	1	11	0
191005	1	1	5	11	1
191005	2	5	1	11	1
191005	3	7	1	11	0
191006	1	7	1	11	1
191006	2	5	13	11	13
191007	1	1	10	11	10
191007	2	5	1	11	1
191007	3	7	1	11	0
191008	1	1	3	5	3
191008	2	2	1	11	1
191008	3	4	3	11	3
191008	4	7	1	11	0
191008	5	3	1	11	1
191010	1	7	1	11	0
191010	2	5	24	11	24
191010	3	21	2	21	2
191011	1	1	12	8	12
191011	2	13	20	7	20
191012	1	1	8	11	8
191012	2	3	1	11	1
191012	3	4	1	11	1
191012	4	7	1	11	0
191013	1	1	3	5	3
191013	2	4	2	11	2
191013	3	5	1	11	1
191013	4	3	1	11	1
191013	5	7	1	11	0
191014	1	1	3	11	3
191014	2	4	2	11	0
191014	3	7	1	11	0
191015	1	1	4	11	4
191015	2	4	2	11	0
191015	3	7	1	11	0
191015	4	5	1	11	1
191016	1	1	3	5	3
191016	2	4	3	11	0
191016	3	7	1	11	0
191017	1	1	10	11	10
191017	2	4	3	11	2
191017	3	5	1	11	1
191017	4	7	1	11	0
191017	5	30	1	10	1
191018	1	1	3	5	3
191019	1	17	1	24	0
191020	1	13	10	7	6
191020	2	1	3	11	3
191021	1	1	3	11	3
191021	2	7	1	11	0
191022	1	5	12	11	12
191022	2	7	1	11	0
191022	3	1	5	11	5
191023	1	1	15	11	15
191023	2	4	4	11	4
191023	3	5	1	11	1
191023	4	7	1	11	0
191024	1	7	1	11	0
191024	2	5	12	11	12
191024	3	4	2	11	0
191026	1	30	3	26	3
191027	1	1	10	11	10
191027	2	4	4	11	4
191027	3	5	2	11	2
191027	4	7	1	11	0
191028	1	1	12	11	12
191028	2	5	2	11	2
191028	3	7	1	11	0
191029	1	7	1	11	0
191029	2	5	20	11	20
191029	3	4	3	11	0
191030	1	1	4	11	4
191030	2	3	1	11	0
191030	3	5	1	11	1
191030	4	7	1	11	0
191030	5	4	2	11	0
191031	1	1	3	11	3
191031	2	7	1	11	0
191031	3	23	2	23	2
191032	1	1	14	11	14
191032	2	5	1	11	1
191032	3	7	1	11	1
191033	1	1	3	11	3
191033	2	4	3	11	0
191033	3	5	1	11	1
191033	4	3	1	11	1
191033	5	7	1	11	0
191034	1	1	11	11	11
191034	2	4	2	11	1
191034	3	5	1	11	1
191034	4	7	1	11	0
191035	1	1	3	11	3
191035	2	4	3	11	3
191035	3	5	1	11	1
191035	4	7	1	11	0
191036	1	1	7	11	7
191036	2	4	2	11	0
191036	3	7	1	11	0
191037	1	1	3	11	3
191037	2	4	3	11	3
191037	3	5	3	11	3
191037	4	7	1	11	0
191038	1	1	12	11	12
191038	2	3	2	11	2
191038	3	5	2	11	2
191038	4	6	1	11	1
191039	1	15	20	12	20
191040	1	7	1	11	0
191040	2	5	20	11	0
191040	3	4	2	11	0
191041	1	25	1	23	1
191042	1	13	6	26	6
191043	1	1	6	8	6
191043	2	21	2	21	2
191044	1	15	15	12	15
191044	2	30	40	26	40
191045	1	1	12	11	12
191045	2	3	1	11	1
191045	3	5	1	11	1
191045	4	7	1	11	0
191046	1	7	1	11	1
191046	2	5	46	11	46
191046	3	4	3	11	3
191047	1	1	3	11	3
191047	2	4	3	11	3
191047	3	5	1	11	1
191047	4	7	1	11	0
191048	1	1	7	11	7
191048	2	7	1	11	0
191048	3	4	5	11	5
191048	4	3	1	11	1
191049	1	7	1	11	0
191049	2	1	3	11	3
191050	1	5	5	11	5
191050	2	1	3	11	3
201002	1	 	 	 	 
201004	1	25	1	24	1
201007	1	30	0	26	0
201008	1	30	1	31	1
201013	2	10	0	3	0
201015	1	13	5	8	5
201016	1	13	4	8	4
201020	1	23	6	23	6
201023	1	21	2	21	2
201026	1	25	1	24	1
201027	1	1	3	11	3
201027	2	7	1	11	0
201029	1	15	10	12	10
201032	1	9	5	2	5
201033	1	30	5	26	5
201034	1	21	3	21	3
201036	1	18	4	18	4
201039	1	25	3	24	3
201042	1	25	1	24	1
201044	1	14	9	9	9
201048	1	25	1	24	0
201049	1	30	6	26	6
