CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
51012	2	1	5	11	5
51013	1	1	6	11	6
51014	1	30	1	26	1
51016	1	1	15	11	15
51016	2	2	1	11	1
51016	3	4	4	11	4
51017	1	12	1	32	1
51020	1	1	1	11	1
51021	1	30	2	30	2
51022	1	1	3	11	3
51024	1	23	5	23	5
51025	1	1	3	5	3
51026	1	1	2	5	2
51028	1	13	5	26	5
51029	1	1	5	11	5
51031	1	1	5	11	5
51032	1	1	5	11	5
51033	1	1	3	5	2
51034	1	1	5	11	5
51035	1	13	4	26	4
51036	1	1	4	11	4
51037	1	13	4	5	4
51039	1	1	4	11	4
51040	1	1	5	11	5
51041	1	1	3	5	3
51043	1	1	3	5	2
51044	1	1	3	5	3
51045	1	1	3	5	3
51046	1	1	2	11	2
51047	1	1	2	5	2
51048	1	1	5	11	5
51050	1	1	4	5	4
61001	1	1	4	11	4
61001	2	4	1	11	1
61001	3	7	1	11	0
61002	1	4	1	11	1
61002	2	3	1	11	1
61002	3	1	4	11	4
61002	4	7	1	11	0
61003	1	1	6	11	6
61003	2	7	1	11	0
61003	3	12	2	32	2
61004	1	1	4	5	4
61005	1	17	11	18	0
61007	1	1	4	11	4
61009	1	1	8	11	8
61009	2	3	1	11	0
61009	3	7	1	11	0
61010	1	1	6	11	6
61010	2	3	1	11	0
61011	1	1	2	11	2
61011	2	30	5	26	5
61012	1	1	5	5	5
61013	1	1	2	5	2
61014	1	1	4	11	4
61014	2	4	1	11	1
61014	3	7	1	11	0
61015	1	1	5	11	5
61015	2	3	1	11	1
61015	3	7	1	11	0
61016	1	1	6	11	6
61016	2	3	1	11	1
61016	3	7	1	11	1
61017	1	1	5	11	5
61017	2	7	1	11	0
61018	1	1	4	11	4
61018	2	7	1	11	0
61019	1	 	 	 	 
61020	1	23	2	23	2
61020	2	24	1	23	1
61021	1	1	2	11	2
61021	2	7	1	11	0
61021	3	3	1	11	0
61022	1	1	3	11	3
61023	1	1	8	5	5
61024	1	1	4	11	4
61025	1	1	6	11	6
61027	1	1	6	11	2
61028	1	13	5	7	5
61029	1	1	9	11	9
61029	2	4	4	11	4
61029	3	3	1	11	1
61030	1	1	5	5	5
61031	1	1	13	11	13
61031	2	3	1	11	1
61031	3	4	2	11	1
61032	1	4	1	11	1
61032	2	3	1	11	1
61032	3	1	2	11	2
61032	4	7	1	11	0
61033	1	1	8	11	8
61033	2	3	1	11	1
61033	3	4	3	11	1
61035	1	1	10	11	10
61036	1	1	7	11	7
61036	2	7	1	11	0
61036	3	3	1	11	0
61038	1	1	10	11	10
61038	2	3	1	11	1
61038	3	4	4	11	4
61039	1	8	3	26	3
61040	1	1	1	11	1
61041	1	1	10	11	10
61041	2	3	1	11	1
61041	3	4	4	11	3
61042	1	1	6	5	6
61043	1	1	7	11	7
61044	1	30	4	1	4
61045	1	13	5	7	5
61045	2	1	3	11	3
61046	1	13	8	26	8
61047	1	1	10	11	10
61047	2	3	1	11	0
61048	1	1	8	5	8
61049	1	25	1	24	0
61050	1	1	5	11	5
71001	1	1	6	11	6
71002	1	1	3	23	3
71003	1	23	8	23	8
71004	1	 	 	 	 
71005	1	1	8	11	8
71005	2	4	2	11	2
71005	3	3	1	11	0
71006	1	1	3	11	3
71006	2	7	1	11	0
71006	3	3	1	11	1
71006	4	4	1	11	1
71007	1	13	2	5	2
71008	1	1	6	11	6
71008	2	3	1	11	0
71008	3	7	1	11	0
71008	4	30	1	23	1
71010	1	22	10	22	0
71011	1	4	1	11	1
71011	2	1	3	11	3
71011	3	2	1	11	1
71011	4	7	1	11	0
71011	5	3	1	11	0
71012	1	1	3	11	3
71012	2	7	1	11	0
71012	3	3	1	11	0
71013	1	1	3	11	3
71013	2	1	1	29	1
71014	1	1	2	11	2
71015	1	23	7	23	7
71016	1	1	5	11	5
71016	2	4	1	11	0
71016	3	3	1	11	0
71017	1	7	1	11	1
71017	2	1	5	11	5
71017	3	3	1	11	1
71018	1	1	4	11	4
71018	2	2	1	11	0
71018	3	7	1	11	0
71018	4	4	1	11	0
71019	1	1	3	11	3
71019	2	3	1	11	0
71019	3	7	1	11	0
71020	1	7	1	11	1
71020	2	3	4	11	4
71020	3	1	1	11	1
71020	4	6	1	11	1
71021	1	1	6	11	6
71022	1	21	1	21	1
71023	1	23	10	23	10
71023	2	25	1	23	1
71024	1	1	6	11	6
71024	2	7	1	11	0
71024	3	6	1	11	0
71025	1	1	3	11	3
71025	2	7	1	11	0
71025	3	6	1	11	0
71026	1	1	5	11	5
71026	2	7	1	11	0
71026	3	6	1	11	0
71027	1	7	1	11	0
71027	2	2	1	11	1
71027	3	1	3	11	3
71027	4	4	1	11	1
71028	1	1	5	11	5
71028	2	13	4	7	4
71030	1	1	2	11	2
71031	1	1	8	11	8
71031	2	5	1	11	1
71031	3	6	1	11	0
71032	1	1	5	11	5
71033	1	1	15	11	15
71033	2	25	3	24	3
71033	3	3	1	11	1
71033	4	7	1	11	0
71034	1	1	6	11	6
71034	2	7	1	11	0
71034	3	6	1	11	0
71035	1	1	10	11	8
71035	2	7	1	11	0
71035	3	6	1	11	0
71035	4	3	4	11	1
71036	1	1	4	11	4
71039	1	1	3	11	3
71039	2	4	1	11	1
71039	3	7	1	11	0
71039	4	6	1	11	0
71040	1	15	20	12	20
71041	1	25	1	24	0
71043	1	4	3	11	3
71043	2	8	2	11	2
71043	3	7	1	11	0
71043	4	3	1	11	0
71044	1	1	8	11	8
71044	2	3	1	11	1
71044	3	7	1	11	0
71045	1	30	10	7	10
71046	1	1	4	11	4
71046	2	30	5	7	5
71047	1	23	5	23	5
71047	2	1	2	29	2
71047	3	30	1	26	1
71048	1	1	5	11	5
71049	1	1	2	11	2
71050	1	13	5	7	5
71050	2	13	1	14	1
81001	1	1	4	11	4
81002	1	1	3	11	3
81003	1	1	6	11	6
81003	2	21	1	21	1
81004	1	1	4	11	4
81006	1	1	5	11	5
81007	1	1	6	11	6
81008	1	1	4	11	4
81009	1	 	 	 	 
81010	1	1	3	11	3
81010	2	21	1	21	1
81012	1	1	20	11	20
81012	2	5	1	11	1
81012	3	21	1	21	1
81016	1	1	4	11	4
81017	1	1	5	11	5
81018	1	 	 	 	 
81019	1	30	1	24	1
