CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
31010	1	.00999999977648258	0	 
31010	2	0	0	 
31011	1	.200000002980232	0	 
31011	2	0	0	 
31012	1	0	 	 
31012	2	0	 	 
31013	1	.0299999993294477	0	 
31013	2	0	0	 
31014	1	.0199999995529652	0	 
31014	2	0	0	 
31015	1	0	 	 
31015	2	0	 	 
31016	1	.00999999977648258	0	 
31016	2	0	0	 
31018	1	.00999999977648258	0	 
31018	2	0	0	 
31019	1	.00999999977648258	0	 
31019	2	0	0	 
31020	1	.0199999995529652	0	 
31020	2	0	0	 
31022	1	0	 	 
31022	2	0	 	 
31023	1	.0199999995529652	0	 
31023	2	0	0	 
31024	1	.0299999993294477	0	 
31024	2	0	0	 
31025	1	.0299999993294477	0	 
31025	2	0	0	 
31026	1	0	 	 
31026	2	0	 	 
31027	1	.0399999991059303	0	 
31027	2	0	0	 
31028	1	.0199999995529652	0	 
31028	2	0	0	 
31029	1	0	 	 
31029	2	0	 	 
31030	1	.0199999995529652	0	 
31030	2	0	0	 
31031	1	.0399999991059303	0	 
31031	2	0	0	 
31032	1	.00999999977648258	0	 
31032	2	0	0	 
31033	1	.0299999993294477	0	 
31033	2	0	0	 
31034	1	0	 	 
31034	2	0	 	 
31035	1	.0199999995529652	0	 
31035	2	0	0	 
31036	1	0	 	 
31036	2	.0199999995529652	 	 
31038	1	.0500000007450581	0	 
31038	2	0	0	 
31039	1	.0199999995529652	 	 
31039	2	0	 	 
31040	1	.119999997317791	0	 
31040	2	0	0	 
31041	1	0	 	 
31041	2	0	 	 
31042	1	0	 	 
31042	2	0	 	 
31043	1	.0599999986588955	0	 
31043	2	0	0	 
31047	1	.0299999993294477	0	 
31047	2	0	0	 
31048	1	0	 	 
31048	2	0	 	 
31049	1	.0199999995529652	0	 
31049	2	0	0	 
31050	1	0	 	 
31050	2	0	 	 
41001	1	.0299999993294477	1	4
41001	2	0	0	 
41002	1	.0299999993294477	1	5
41002	2	0	1.5	5
41003	1	.0299999993294477	0	 
41003	2	0	0	 
41004	1	.0199999995529652	1	5
41004	2	0	0	 
41005	1	.0799999982118607	2	4
41005	2	-77	0	 
41006	1	.0199999995529652	1	5
41006	2	0	0	 
41007	1	0	 	 
41007	2	0	 	 
41009	1	.0299999993294477	2.75	5
41009	2	0	0	 
41010	1	.0199999995529652	1.5	5
41010	2	0	0	 
41011	1	.0199999995529652	1.5	5
41011	2	0	0	 
41012	1	.0299999993294477	1	5
41012	2	0	0	 
41013	1	.0399999991059303	.5	5
41013	2	0	0	 
41014	1	.0299999993294477	3	5
41014	2	0	0	 
41015	1	.0299999993294477	2	5
41015	2	0	0	 
41016	1	.0299999993294477	5.5	5
41016	2	0	0	 
41017	1	.0199999995529652	1	4
41017	2	0	0	 
41018	1	.0199999995529652	.600000023841858	5
41018	2	0	0	 
41019	1	.0299999993294477	0	 
41019	2	0	0	 
41020	1	.0500000007450581	1	5
41020	2	0	2	4
41021	1	.0199999995529652	0	 
41021	2	0	0	 
41022	1	.0299999993294477	1.29999995231628	5
41022	2	0	0	 
41023	1	.0299999993294477	4	4
41023	2	0	0	 
41024	1	.0199999995529652	5	5
41024	2	0	0	 
41025	1	.0299999993294477	3	5
41025	2	0	0	 
41026	1	.0199999995529652	3	5
41026	2	0	0	 
41027	1	.0199999995529652	0	 
41027	2	0	0	 
41028	1	.0299999993294477	0	 
41028	2	0	0	 
41029	1	.0500000007450581	6	5
41029	2	-77	-77	 
41031	1	0	0	 
41031	2	.0199999995529652	0	 
41032	1	.0299999993294477	0	 
41032	2	0	0	 
41033	1	.0299999993294477	0	 
41033	2	0	0	 
41034	1	.0199999995529652	0	 
41034	2	0	0	 
41035	1	.0199999995529652	0	 
41035	2	0	0	 
41036	1	0	 	 
41036	2	.0199999995529652	 	 
41037	1	.0299999993294477	0	 
41037	2	0	0	 
41039	1	.0500000007450581	17	5
41039	2	-77	-77	 
41040	1	.0500000007450581	0	 
41040	2	0	0	 
41041	1	.0299999993294477	0	 
41041	2	0	0	 
41042	1	.0299999993294477	0	 
41042	2	0	0	 
41043	1	.0299999993294477	0	 
41043	2	0	0	 
41044	1	.0199999995529652	2	5
41044	2	.0399999991059303	0	 
41045	1	0	0	 
41045	2	.0299999993294477	0	 
41046	1	0	3	5
41046	2	0	0	 
41047	1	.0299999993294477	5	1
41047	2	0	2	5
41048	1	.0299999993294477	1.5	5
41048	2	0	0	 
41049	1	.0299999993294477	0	 
41049	2	0	0	 
51001	1	.0199999995529652	2	2
51001	2	0	0	 
51002	1	.0399999991059303	0	 
51002	2	0	.5	4
51003	1	.0199999995529652	.5	5
51003	2	0	0	 
51004	1	.00999999977648258	3	4
51004	2	0	0	 
51005	1	.0199999995529652	1	5
51005	2	0	0	 
51006	1	.0199999995529652	.200000002980232	5
51006	2	0	0	 
51007	1	.0299999993294477	2	5
51007	2	0	0	 
51008	1	.0199999995529652	.5	5
51008	2	0	1	5
51009	1	.0199999995529652	2	5
51009	2	0	0	 
51010	1	.0199999995529652	.300000011920929	4
51010	2	0	1	4
51011	1	.0299999993294477	 	 
51011	2	0	 	 
51012	1	.0199999995529652	4.5	5
51012	2	0	0	 
51013	1	.0399999991059303	0	 
51013	2	0	0	 
51014	1	.0399999991059303	 	 
51014	2	0	 	 
51016	1	.100000001490116	1	3
51016	2	0	4	2
51017	1	.0199999995529652	0	 
51017	2	0	0	 
51018	1	.0299999993294477	1	5
51018	2	0	0	 
51019	1	.0199999995529652	 	 
51019	2	0	 	 
51020	1	.0199999995529652	.5	5
51020	2	0	0	 
51021	1	.0199999995529652	0	 
51021	2	0	0	 
51022	1	0	.5	5
51022	2	0	0	 
51023	1	.0199999995529652	 	 
51023	2	0	 	 
51024	1	.0500000007450581	0	 
51024	2	0	0	 
51025	1	.0399999991059303	0	 
51025	2	0	0	 
51026	1	.0199999995529652	0	 
51026	2	0	0	 
51027	1	0	 	 
51027	2	0	 	 
51028	1	0	 	 
51028	2	0	 	 
51029	1	.0199999995529652	1	5
51029	2	0	0	 
51030	1	.0399999991059303	2	5
51030	2	0	0	 
51031	1	.0299999993294477	1	5
51031	2	0	0	 
51032	1	.0700000002980232	1	5
51032	2	-77	-77	 
51033	1	.00999999977648258	0	 
51033	2	0	0	 
51034	1	.0199999995529652	0	 
51034	2	0	0	 
51035	1	.0199999995529652	1	5
51035	2	0	0	 
51036	1	.0299999993294477	1	5
51036	2	0	0	 
51037	1	.0299999993294477	2	5
51037	2	0	0	 
51038	1	1.04999995231628	0	 
51038	2	0	0	 
51039	1	.0299999993294477	0	 
51039	2	0	0	 
51040	1	.0299999993294477	1	4
51040	2	0	0	 
51041	1	.0599999986588955	0	 
51041	2	0	0	 
51042	1	.0199999995529652	0	 
51042	2	0	0	 
51043	1	.0299999993294477	0	 
51043	2	0	1	5
51044	1	.0299999993294477	0	 
51044	2	0	0	 
51045	1	.0299999993294477	0	 
51045	2	0	0	 
51046	1	.0199999995529652	1	5
51046	2	0	0	 
51047	1	.0199999995529652	0	 
51047	2	0	0	 
51048	1	.0299999993294477	0	 
51048	2	0	2	5
51049	1	.0299999993294477	0	 
51049	2	0	0	 
51050	1	.0199999995529652	0	 
51050	2	0	0	 
61001	1	.0599999986588955	2	4
61001	2	0	0	 
61002	1	.0500000007450581	2.5	1
61002	2	0	0	 
61003	1	.0299999993294477	2	4
61003	2	0	0	 
61004	1	.0299999993294477	.150000005960464	4
61004	2	0	0	 
61005	1	.0199999995529652	.300000011920929	5
61005	2	0	0	 
61006	1	.0399999991059303	3	5
61006	2	0	0	 
61007	1	.0199999995529652	.200000002980232	2
61007	2	0	0	 
61008	1	0	 	 
61008	2	.0199999995529652	 	 
61009	1	.0500000007450581	.699999988079071	4
61009	2	0	0	 
61010	1	.600000023841858	1.5	5
61010	2	0	0	 
61011	1	.00999999977648258	0	 
61011	2	0	0	 
61012	1	.00999999977648258	.400000005960464	5
61012	2	0	0	 
61013	1	.0299999993294477	0	 
61013	2	0	0	 
61014	1	.0599999986588955	1	4
61014	2	0	.699999988079071	4
61015	1	.5	1	4
61015	2	0	0	 
61016	1	.00999999977648258	2	2
61016	2	0	0	 
61017	1	.0199999995529652	2	4
61017	2	0	0	 
61018	1	.0199999995529652	.5	4
61018	2	0	0	 
61019	1	.0399999991059303	0	 
61019	2	0	0	 
61020	1	.100000001490116	0	 
61020	2	0	0	 
61021	1	.0500000007450581	.300000011920929	5
61021	2	0	0	 
61022	1	.0199999995529652	0	 
61022	2	0	0	 
61023	1	.00999999977648258	0	 
61023	2	0	0	 
61024	1	.600000023841858	.600000023841858	4
61024	2	0	0	 
61025	1	.0399999991059303	 	 
61025	2	0	 	 
61026	1	0	 	 
61026	2	0	 	 
61027	1	.0199999995529652	0	 
