CHILDCODE	NREGIDR5	MEMREGR5	NEG1DYR5	NEG1WGR5	NEG2DYR5	NEG2WGR5
11006	1	6	3	300	0	 
11006	2	10	12	1080	0	 
11031	1	6	20	1500	7	525
11031	2	5	10	750	5	375
11042	1	 	 	 	 	 
11048	1	4	8	720	0	 
11048	2	5	12	1080	0	 
21001	1	1	20	2600	10	1000
21001	2	2	15	1500	20	2000
21001	3	3	30	3000	0	 
21002	1	1	50	4500	16	1440
21003	1	2	10	1200	22	2200
21004	1	1	20	1400	10	700
21004	2	2	10	700	20	1400
21005	1	1	52	6240	0	 
21005	3	3	6	720	0	 
21006	1	1	10	1000	0	 
21007	1	1	50	5400	15	1350
21008	1	1	40	4800	10	1200
21009	1	2	14	1680	0	 
21010	1	4	40	3200	20	1400
21012	1	1	21	2100	0	 
21013	1	5	20	2100	0	 
21013	2	6	15	1000	0	 
21014	1	2	24	2880	0	 
21015	1	2	6	600	25	1750
21015	2	0	25	2500	25	1750
21016	1	2	20	1400	21	1470
21016	2	3	21	1470	21	1470
21016	3	4	7	490	7	490
21016	4	0	0	 	0	 
21016	5	5	10	70	7	280
21017	1	4	20	1400	15	1050
21017	2	3	20	1400	10	700
21017	3	0	20	1400	20	1400
21019	1	2	14	1400	20	2000
21020	1	6	30	3000	0	 
21021	1	2	60	4200	20	1400
21021	2	3	45	3150	10	700
21021	3	4	20	1400	20	1400
21022	1	2	50	6250	0	 
21023	1	1	15	1800	0	 
21023	2	2	20	3000	15	1950
21025	1	2	40	3200	0	 
21025	2	1	30	2700	0	 
21025	3	0	20	1600	0	 
21026	1	2	30	2400	21	1680
21030	1	2	30	3600	10	1200
21030	2	3	17	2040	10	1200
21032	1	2	20	1600	0	 
21034	1	9	22	1690	0	 
21035	1	0	30	3000	0	 
21035	2	4	30	3000	0	 
21035	3	8	30	3000	0	 
21036	1	1	30	3600	0	 
21036	2	2	45	3600	0	 
21037	2	2	20	1400	20	1400
21038	1	3	20	3000	10	1200
21039	1	5	10	1300	0	 
21039	2	2	20	2600	0	 
21039	3	6	15	1950	0	 
21039	4	0	21	2730	0	 
21043	1	1	10	1000	10	1000
21043	2	0	15	1500	0	 
21043	3	2	15	1500	0	 
21044	1	1	10	1000	0	 
21044	2	2	10	1000	0	 
21044	3	0	20	2000	0	 
21046	1	2	40	3200	20	1600
21046	2	1	40	3200	10	800
21047	1	0	30	3000	0	 
21050	1	0	30	3300	0	 
41001	1	1	5	400	0	 
41001	2	2	10	800	0	 
41002	1	1	40	2600	10	650
41002	2	2	50	3250	0	 
41002	3	3	30	1950	0	 
41002	4	4	20	1300	0	 
41004	1	1	20	2000	0	 
41004	2	4	21	2100	0	 
41004	3	5	20	2000	0	 
41004	4	11	21	2100	0	 
41005	1	1	30	2040	35	2800
41005	2	2	45	4050	10	800
41006	1	1	30	2100	0	 
41006	2	2	20	1400	0	 
41006	3	0	20	1400	0	 
41009	1	2	20	1400	10	700
41009	2	1	20	1400	10	700
41010	1	1	30	3000	2	140
41010	2	2	30	3000	10	700
41010	3	3	10	800	0	 
41011	1	4	30	4200	0	 
41011	2	5	28	3800	0	 
41011	3	0	28	3800	0	 
41012	1	1	30	3400	0	 
41012	2	2	30	3500	0	 
41012	3	0	20	2300	0	 
41012	4	4	20	2300	0	 
41013	1	2	18	1080	0	 
41013	2	3	15	900	0	 
41014	1	2	20	1400	0	 
41014	2	1	20	1400	0	 
41014	3	0	20	1400	0	 
41015	1	0	40	3300	0	 
41015	2	4	50	4200	0	 
41016	1	2	30	2100	5	350
41016	2	1	30	2100	5	350
41016	3	0	30	2100	0	 
41017	1	5	30	2700	0	 
41017	2	6	41	3690	0	 
41017	3	9	20	1800	0	 
41018	1	1	30	2700	0	 
41018	2	2	25	2250	0	 
41019	1	2	55	3300	15	750
41019	2	1	60	3600	4	200
41020	1	0	20	1100	10	500
41020	2	10	25	1500	20	1000
41020	3	12	18	1044	15	900
41020	4	11	30	2400	6	320
41021	1	2	40	2800	0	 
41021	2	1	40	2800	0	 
41022	1	1	18	1620	0	 
41022	2	2	22	1980	0	 
41023	1	1	26	2340	0	 
41023	2	2	31	2790	0	 
41023	3	0	14	1260	0	 
41024	1	1	30	2500	0	 
41024	2	2	30	2600	0	 
41025	1	1	30	2100	10	700
41025	2	3	30	210	10	700
41026	1	2	40	3200	0	 
41026	2	0	40	3200	0	 
41031	1	2	60	7500	0	 
41033	1	0	30	3000	10	1000
41033	2	3	30	3000	10	1000
41033	3	4	30	3000	10	1000
41033	4	1	10	1000	10	1000
41035	1	2	60	6600	0	 
41035	2	1	30	3300	0	 
41047	1	3	51	6120	0	 
41047	2	4	14	1680	0	 
41048	1	1	12	1080	0	 
41048	2	2	34	3060	0	 
51001	1	1	30	2600	0	 
51001	2	2	30	2600	0	 
51002	1	1	24	1529	0	 
51002	2	2	30	2241	0	 
51003	1	1	14	1057	0	 
51003	2	2	14	1013	0	 
51004	1	2	10	450	15	950
51005	1	2	6	621	17	1543
51008	1	1	10	1146	8	940
51008	2	2	10	1128	8	782
51010	1	0	30	2800	0	 
51010	2	1	40	3000	0	 
51010	3	2	30	2800	0	 
51014	1	1	16	1548	24	2459
51016	1	4	30	2492	0	 
51016	2	3	35	3025	0	 
51020	1	1	30	3000	0	 
51020	2	2	30	3000	0	 
51021	1	2	16	1789	20	2175
51023	1	1	20	2300	0	 
51025	1	1	35	1925	26	1430
51025	2	0	43	2365	40	2400
51026	1	2	43	3440	0	 
51029	1	3	40	3800	0	 
51031	1	2	40	4000	0	 
51031	2	3	30	3000	0	 
51032	1	2	57	2850	20	1000
51033	1	3	20	1800	0	 
51033	2	2	20	1800	0	 
51035	1	0	50	4000	0	 
51036	1	1	9	720	0	 
51036	2	2	20	1600	0	 
51039	1	2	30	2500	0	 
51039	2	3	20	2000	0	 
51041	1	2	30	2400	0	 
51042	1	2	6	900	0	 
51043	1	3	60	4800	0	 
51044	1	4	60	4800	15	1200
51046	1	1	26	2080	0	 
51046	2	2	10	800	0	 
51046	3	3	16	1280	0	 
51047	1	2	63	5040	21	1680
51048	1	3	46	3680	0	 
51048	2	4	31	2480	0	 
51050	1	2	60	4200	0	 
61001	1	3	30	3500	0	 
61001	2	8	15	1500	0	 
61001	3	9	18	2000	0	 
61002	1	1	18	2300	0	 
61002	2	2	18	2300	0	 
61003	1	2	20	1450	0	 
61003	2	1	20	1450	0	 
61004	1	2	45	4670	8	1182
61007	1	3	19	2114	0	 
61007	2	4	44	5096	0	 
