CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
11001	1	47	 	 	 	2	2	22	88
11001	2	88	 	 	 	 	 	 	 
11001	3	88	 	 	 	 	 	 	 
11002	1	47	 	 	3	3	2	17	7
11002	2	39	 	 	 	4	16	17	7
11002	3	88	 	 	 	 	 	 	 
11003	1	47	 	 	 	2	2	18	88
11003	2	88	 	 	 	 	 	 	 
11003	3	88	 	 	 	 	 	 	 
11004	1	38	 	 	4	 	6	2	88
11004	2	88	 	 	 	 	 	 	 
11004	3	88	 	 	 	 	 	 	 
11005	1	47	 	 	 	2	2	18	88
11005	2	88	 	 	 	 	 	 	 
11005	3	88	 	 	 	 	 	 	 
11006	1	1	 	4	 	 	18	9	88
11006	2	88	 	 	 	 	 	 	 
11006	3	88	 	 	 	 	 	 	 
11007	1	 	 	 	 	 	 	 	 
11007	2	 	 	 	 	 	 	 	 
11007	3	 	 	 	 	 	 	 	 
11008	1	34	 	 	4	 	10	2	7
11008	2	36	 	 	3	 	6	2	7
11008	3	47	 	 	2	2	2	6	7
11009	1	47	 	2	2	 	6	2	7
11009	2	88	 	 	 	 	 	 	 
11009	3	88	 	 	 	 	 	 	 
11010	1	28	 	3	4	 	3	10	7
11010	2	29	2	 	3	 	6	10	7
11010	3	37	 	 	4	3	17	16	7
11011	1	45	 	 	4	 	2	18	88
11011	2	88	 	 	 	 	 	 	 
11011	3	88	 	 	 	 	 	 	 
11012	1	 	 	 	 	 	 	 	 
11012	2	 	 	 	 	 	 	 	 
11012	3	 	 	 	 	 	 	 	 
11013	1	38	 	 	 	2	2	18	88
11013	2	45	 	 	4	 	9	22	88
11013	3	88	 	 	 	 	 	 	 
11014	1	 	 	 	 	 	 	 	 
11014	2	 	 	 	 	 	 	 	 
11014	3	 	 	 	 	 	 	 	 
11015	1	 	 	 	 	 	 	 	 
11015	2	 	 	 	 	 	 	 	 
11015	3	 	 	 	 	 	 	 	 
11016	1	38	4	 	 	 	16	7	88
11016	2	88	 	 	 	 	 	 	 
11016	3	88	 	 	 	 	 	 	 
11018	1	29	 	 	4	 	6	18	88
11018	2	47	 	3	2	3	2	1	88
11018	3	88	 	 	 	 	 	 	 
11019	1	47	 	2	3	3	2	18	88
11019	2	88	 	 	 	 	 	 	 
11019	3	88	 	 	 	 	 	 	 
11021	1	35	 	4	 	 	16	7	88
11021	2	47	 	 	3	 	2	7	88
11021	3	88	 	 	 	 	 	 	 
11022	1	42	 	 	3	 	16	9	88
11022	2	47	 	2	2	3	2	18	88
11022	3	88	 	 	 	 	 	 	 
11023	1	36	 	2	 	 	17	88	88
11023	2	88	 	 	 	 	 	 	 
11023	3	88	 	 	 	 	 	 	 
11024	1	47	2	3	4	2	18	2	88
11024	2	88	 	 	 	 	 	 	 
11024	3	88	 	 	 	 	 	 	 
11025	1	39	 	 	3	 	10	88	88
