CHILDCODE	VSIMPR5	PPVTDAY	PPVTMTH	PPVTYEAR	STRTHRPP	STRTMNPP	ENDHRPP	ENDMNPP	PPVT004	PPVT007	PPVT008	PPVT009	PPVT011	PPVT012	PPVT016	PPVT023	PPVT024	PPVT025	PPVT026	PPVT028	PPVT029	PPVT030	PPVT031	PPVT033	PPVT035	PPVT039	PPVT045	PPVT046	PPVT047	PPVT052	PPVT055	PPVT057	PPVT059	PPVT060	PPVT063	PPVT064	PPVT071	PPVT074	PPVT075	PPVT077	PPVT078	PPVT079	PPVT080	PPVT082	PPVT084	PPVT087	PPVT088	PPVT090	PPVT091	PPVT092	PPVT101	PPVT103	PPVT106	PPVT107	PPVT110	PPVT120	PPVT129	PPVT130	PPVT131	PPVT151	PPVT163	PPVT179	PPVT197	ENGDAY	ENGMTH	ENGYEAR	STRTHREN	STRTMNEN	ENDHREN	ENDMNEN	ENGITM01	ENGITM02	ENGITM03	ENGITM04	ENGITM05	ENGITM06	ENGITM07	ENGITM08	ENGITM09	ENGITM10	ENGITM11	ENGITM12	ENGITM13	ENGITM14	ENGITM15	ENGITM16	ENGITM17	ENGITM18	ENGITM19	ENGITM20	ENGITM21	ENGITM22	ENGITM23	ENGITM24	ENGITM25	ENGITM26	ENGITM27	MATHDAY	MATHMTH	MATHYEAR	STRTHRMT	STRTMNMT	ENDHRMT	ENDMNMT	MTHITM01	MTHITM02	MTHITM03	MTHITM04	MTHITM05	MTHITM06	MTHITM07	MTHITM08	MTHITM09	MTHITM10	MTHITM11	MTHITM12	MTHITM13	MTHITM14	MTHITM15	MTHITM16	MTHITM17	MTHITM18	MTHITM19	MTHITM20	MTHITM21	MTHITM22	MTHITM23	MTHITM24	MTHITM25	MTHITM26	MTHITM27	MTHITM28	MTHITM29	MTHITM30	LANGPPVT	LANGMATH	LANGREAD	correct01maths	correct02maths	correct03maths	correct04maths	correct05maths	correct09maths	correct10maths	correct11maths	correct12maths	correct13maths	correct14maths	correct16maths	correct17maths	correct18maths	correct19maths	correct20maths	correct21maths	correct22maths	correct23maths	correct24maths	correct25maths	correct26maths	correct27maths	correct28maths	correct30maths	correct06maths	correct07maths	correct08maths	correct15maths	correct29maths	maths_raw	maths_perco	correct01read	correct02read	correct03read	correct04read	correct05read	correct06read	correct07read	correct08read	correct09read	correct10read	correct11read	correct12read	correct13read	correct14read	correct15read	correct16read	correct17read	correct18read	correct19read	correct20read	correct21read	correct22read	correct23read	correct24read	correct25read	correct26read	correct27read	reading_raw	reading_perco	correct004ppvt	correct007ppvt	correct008ppvt	correct009ppvt	correct011ppvt	correct012ppvt	correct016ppvt	correct023ppvt	correct024ppvt	correct025ppvt	correct026ppvt	correct028ppvt	correct029ppvt	correct030ppvt	correct031ppvt	correct033ppvt	correct035ppvt	correct039ppvt	correct045ppvt	correct046ppvt	correct047ppvt	correct052ppvt	correct055ppvt	correct057ppvt	correct059ppvt	correct060ppvt	correct063ppvt	correct064ppvt	correct071ppvt	correct074ppvt	correct075ppvt	correct077ppvt	correct078ppvt	correct079ppvt	correct080ppvt	correct082ppvt	correct084ppvt	correct087ppvt	correct088ppvt	correct090ppvt	correct091ppvt	correct092ppvt	correct101ppvt	correct103ppvt	correct106ppvt	correct107ppvt	correct110ppvt	correct120ppvt	correct129ppvt	correct130ppvt	correct131ppvt	correct151ppvt	correct163ppvt	correct179ppvt	correct197ppvt	ppvt_raw	ppvt_perco
10001	0	24	4	2009	9	30	9	45	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	2	1	2	3	4	1	1	4	2	4	1	24	4	2009	7	41	8	25	2	1	2	3	3	2	1	2	4	1	3	2	4	1	1	1	1	2	4	1	4	2	2	3	4	1	1	24	4	2009	8	30	9	23	5	-99	480	45	30	16.143	18.25	18/24	265	4	3	3	2	99	-99	99	99	99	99	4	3	1	3	4	99	99	99	3	120000	2	2	2	2	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	7	23.3333339691162	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	17	62.962963104248	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	52	94.5454559326172
10002	0	19	3	2009	17	17	17	32	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	2	1	3	3	4	1	1	4	2	4	1	20	3	2009	8	35	8	47	2	3	1	3	3	2	1	3	4	1	3	3	4	4	4	4	1	1	2	1	3	1	4	1	4	1	1	19	3	2009	17	35	17	58	6	624	240	45	3	17.43	18.03	43	240.26	3	4	3	2	2	5	2	3	4	4	3	3	4	4	1	2	3	2	2	9	3	2	2	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	9	30	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	11	40.7407417297363	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	51	92.7272720336914
10004	0	8	4	2009	9	31	9	38	1	2	3	4	2	3	1	2	4	1	3	4	1	3	3	2	4	2	4	2	3	1	2	2	3	4	2	2	2	3	4	2	3	4	3	4	3	3	2	1	4	3	2	3	4	3	2	3	4	1	3	3	2	4	1	8	4	2009	8	38	8	48	2	1	2	3	3	3	3	3	3	1	3	1	3	1	1	1	2	1	2	1	4	3	2	2	2	4	4	8	4	2009	8	18	8	33	5	9134	63	41	6	17.73	18.05	22/22	130%	5	3	1	2	1	7/15	2	3	1	1	3	4	4	1	1	1	3	1	2	13	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	13.3333330154419	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	10	37.037036895752	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	33	60
10005	0	20	4	2009	17	41	17	49	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	1	3	4	2	3	3	4	3	1	3	2	1	4	3	1	4	1	4	3	4	3	2	1	2	4	4	1	1	4	3	4	1	20	4	2009	16	30	16	50	2	1	2	3	3	2	1	2	4	1	3	2	4	3	1	2	2	4	4	1	1	4	4	1	4	3	3	20	4	2009	16	50	17	40	5	624	240	45	3	17.43	18.03	72.6	6.060	3	2	3	2	4	-99	4	2	1	2	2	3	2	3	2	1	2	1	4	22	2	2	2	2	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	15	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	21	77.7777786254883	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	47	85.4545440673828
10006	0	18	4	2009	10	38	10	45	1	2	3	4	2	3	4	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	2	4	2	3	4	1	4	4	2	4	1	18	4	2009	10	5	10	35	2	3	2	3	3	2	1	2	4	1	3	2	4	3	1	99	2	2	99	2	1	2	4	1	99	4	2	18	4	2009	9	13	10	1	5	624	240	45	3	17.43	1.821	27/16	60	4	2	3	4	2	4	2	2	1	2	3	1	1	3	2	1	2	2	4	26.6	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	20	66.6666641235352	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	23	85.185188293457	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	51	92.7272720336914
10007	0	27	3	2009	10	57	11	8	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	1	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	2	1	2	3	4	1	4	4	2	4	1	27	3	2009	9	40	10	20	2	1	2	3	3	2	1	2	4	1	3	2	4	3	1	2	2	2	4	2	1	2	3	1	2	4	3	27	3	2009	10	25	10	55	5	624	240	45	3	17.43	18.03	18/24	6000	3	2	3	4	4	6/5	1	1	1	3	3	3	2	1	2	4	3	2	2	7	3	2	2	2	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	18	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	24	88.8888854980469	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52	94.5454559326172
10008	0	10	4	2009	11	25	11	31	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	2	1	2	3	4	1	4	4	2	4	1	10	4	2009	10	39	11	20	2	1	2	3	3	2	1	2	4	1	3	2	4	3	4	2	2	2	4	2	1	2	4	1	2	4	4	10	4	2009	9	45	10	35	5	624	240	45	3	17.43	18.03	3/4	60	5	99	3	4	2	5	3	4	1	2	3	2	1	3	2	2	2	3	1	-99	1	2	2	2	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	19	63.3333320617676	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	24	88.8888854980469	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	96.363639831543
10009	0	20	5	2009	17	34	17	50	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	3	4	4	1	4	1	4	2	4	3	2	1	3	3	4	1	4	4	2	4	1	20	5	2009	16	55	17	33	2	1	2	3	3	2	1	2	4	1	3	2	4	3	1	2	2	2	4	1	1	2	4	1	3	4	2	3	5	2009	16	23	16	58	5	624	240	45	3	17.43	18.03	18/24	60	5	2	3	4	4	30	1	1	3	3	1	3	1	2	1	2	2	2	1	28	2	2	2	2	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	21	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	26	96.2962951660156	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	51	92.7272720336914
10010	0	17	3	2009	8	31	8	37	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	1	1	4	2	3	3	2	1	2	3	4	1	4	4	2	4	1	17	3	2009	8	10	8	20	2	3	2	3	3	2	1	2	4	1	3	3	4	1	1	4	3	2	2	4	1	99	99	99	99	2	2	17	3	2009	7	34	8	8	5	624	230	45	3	17.53	18.21	18/24	1540	2	3	3	2	1	12	3	2	4	1	1	2	2	4	4	1	2	2	4	20	2	2	2	2	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	10	33.3333320617676	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	15	55.5555572509766	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	51	92.7272720336914
10011	0	17	3	2009	11	23	11	35	1	2	3	4	2	3	1	2	4	1	3	4	1	2	3	2	4	3	4	2	3	2	1	2	3	4	2	3	3	4	3	1	3	2	1	4	4	1	4	1	4	2	4	3	4	1	2	3	4	1	1	4	2	4	1	17	3	2009	10	40	11	20	2	3	2	3	3	2	1	2	4	1	3	2	4	3	1	3	1	2	1	1	1	2	2	1	2	2	2	17	3	2009	10	0	10	35	5	624	240	45	9	17.43	-99	18/16	8/20	1	1	1	2	2	7.5	1	2	1	4	2	1	1	4	1	1	1	3	1	22	4	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	9	30	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	19	70.3703689575195	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	51	92.7272720336914
