placeid	departid	clustid	survcode	survday	survmnth	survyear	survdate	popsize	housing	illoccup	othres	agric	livest	fishing	mining	indust	handicr	retail	othuse	city	timecap	trans1	trans2	trans3	howlong4	timeloc	trnslcl1	trnslcl2	trnslcl3	a_4yrslocl	pvedn	earthn	unpavedn	tracksn	rivern	airn	railn	ottrann	pvedn4yr	earth4yr	unpav4yr	track4yr	river4yr	airn4yr	railn4yr	ottrn4yr	indwprob	minwprob	garwprob	anmwprob	frmdump	firmafct	frmdump4	fmlydump	locldump	excrdump	grbbrng	indsactv	carspssg	pesticid	noisepll	stndwatr	other1	other2	lbrunion	commkitc	mthrclub	apafa	poltgrp	relggrp	svgscoop	houscoop	lendcoop	sprtassc	crmassc	psntassc	ntvassc	agriassc	prdcrs	others1	others2	others3	others4	others5	rlothr1	rlothr2	rlothr3	rlothr4	rlothr5	robbery	cttlthft	prstitn	gangs	adltbnds	drugsllg	drugadct	alchlsm	vlntcrme	othrprb1	othrprb2	lttlchld	adlscnt	fmlycmpg	theatre	videogms	bullfght	fairgrnd	slotmch	relginst	pbltele	prvtele	pblinrnt	elctrcty	drnkwatr	sewager	timerelg	timetele	timeintr	trnsrelg	trnstele	trnsint	plcsttn	nonjudg	profjudg	ntlbank	othrbank	lclgovrn	infdaycr	cmsuppre	prvpresc	prmrysc	secdrysc	hlthest	demuna	prvcbltv	pubcbltv	cellphne	serpost	othserv1	othserv2	othserv3	timepolc	timenon	timeprof	timenatl	timepriv	timegov	timeday	timecpr	timeppr	timeprm	timesec	timehlt	timeprc	timeser	timeoth1	timeoth2	timeoth3	trnspolc	trnnonjg	trnprojg	trnntabk	trnothbk	trnsgov	trnsday	trnscpr	trnsppr	trnspri	trnssec	trnshlt	trnsprc	trnsser	trnsoth1	trnsoth2	trnsoth3	toiletin	toiltout	pitin	pitout	shrpit	hillopen	rvrtoilt	othrtolt	pipedwll	pipewatr	prvttube	pubfntn	pubwell	wtrtruck	spring	other	access	days	typchrg	typngo	typwtoth	trtngo	trtwtoth	whtrngo	whtrwtot	oftnngo	oftnwtot	tyrango	tyrawtot	grbgtrck	street	wastland	regulate	rivergrb	buried	pigfeed	cropflds	othrgrb	glssmilk	foodwork	foodbskt	compfeed	othfood1	othfood2	glsmilk4	comkitc4	foodwrk4	foodbkt4	comfeed4	othfd1y4	othfd2y4	wawawasi	pronoei	schbkfst	schclth	schltext	litrcy	promlibr	altbsced	laptopch	eductn1	eductn2	wawa4yr	pron4yr	bkfst4yr	clth4yr	text4yr	ltrcy4yr	promo4yr	altbs4yr	lptop4yr	edc14yr	edc24yr	hlthinsr	grwth	fmlyplng	tubcntrl	prgimmz	hemoflu	hepb	fieamar	malaria	hivsida	mentlhth	cntrlstd	hlthoth1	hlthoth2	insr4yr	grwth4yr	fmly4yr	tub4yr	primm4yr	heflu4yr	hepb4yr	fieam4yr	malar4yr	hiv4yr	mentl4yr	std4yr	hlth14yr	hlth24yr	rprschl	rprhlth	rprwtr	rprswr	rprpit	rprbrdg	rprand	reforest	irrgtn	infroth1	infroth2	schl4yr	hlth4yr	wtr4yr	swr4yr	pit4yr	brdg4yr	and4yr	rfrst4yr	irrgn4yr	infr14yr	infr24yr	agritech	animal	agrinput	titling	techncal	microcrd	laborenr	recycprg	juntoprg	othothr1	othothr2	agrtch4y	animal4y	agrinp4y	titlng4y	tchncl4y	mcrcrd4y	lbrenr4y	recycl4y	juntos4y	a_4yothr1	a_4yothr2	agrimale	othrmale	mmonagri	mmonothr	agrifmle	othrfmle	fmonagri	fmonothr	agrchld	othrchld	cmonagri	cmonothr	lndrmale	helpmale	cnstmale	factmale	othmale1	othmale2	lndrfmle	helpfmle	cnstfmle	factfmle	othfmle1	othfmle2	lndrchld	helpchld	cnstchld	factchld	paprchld	shoechld	carwchld	stvnchld	othchld1	othchld2	othchld3	othchld4	noteprc1	shoeprc1	byshprc1	grshprc1	byptprc1	grskprc1	oralprc1	paraprc1	amoxprc1	mebeprc1	potaprc1	riceprc1	spagprc1	coffprc1	nescprc1	milkprc1	sugrprc1	oilprc1	saltprc1	cigrprc1	detgprc1	krsnprc1	mtchprc1	prcirrgt	prcdry	prcbuild	minirrgt	mindry	minbuild	maxirrgt	maxdry	maxbuild	mdrncow	tradcow	ox	donkey	mule	sheep	goat	pig	chckn	rabbit	gneapig	llama	mxbull	othanml	minmdrn	mintrad	minox	mindnky	minmule	minsheep	mingoat	minpig	minchckn	minrbbt	mingnea	minllama	minmxbll	minotanm	maxmdrn	maxtrad	maxox	maxdnky	maxmule	maxsheep	maxgoat	maxpig	maxchckn	maxrbbt	maxgnea	maxllama	maxmxbll	maxotanm	priccrop	mincrop	maxcrop
PE12MC17	15	12	69	27	7	2009	7/27/2009	1000	1	5	88	5	5	5	5	5	3	2	88	1	20	7	88	88	20	-88	88	88	88	-88	1	0	0	0	0	0	0	88	0	1	0	0	0	0	0	88	0	0	0	0	0	 	 	0	1	1	1	1	0	0	0	1	1	88	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	88	88	88	88	15	88	88	88	88	1	0	0	1	0	1	1	1	1	88	88	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	88	88	88	20	-88	15	10	10	15	5	5	5	5	5	5	20	10	-88	-88	-88	7	88	7	7	7	7	7	7	7	7	7	5	7	7	88	88	88	1	0	1	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	1	88	1	0	0	0	0	1	88	0	0	1	0	1	0	1	0	0	88	88	1	1	1	0	1	0	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	88	88	0	0	1	1	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	20	20	-11	-88	-88	15	20	-11	-11	-88	-88	-11	-11	-11	-11	10	-11	-11	-11	-88	-88	-88	-88	1.5	35	15	15	25	25	1	.200000002980232	.400000005960464	.100000001490116	1	2	3	15	.600000023841858	2.5	1.79999995231628	6	.800000011920929	4	1.20000004768372	-88	.200000002980232	-88	-88	450	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE12MC18	15	12	7	22	7	2009	7/22/2009	550	1	5	88	5	5	5	5	5	3	2	88	1	20	7	88	88	20	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	0	0	1	0	0	1	0	1	0	88	88	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	1	0	0	0	0	0	88	88	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	5	-88	-88	5	88	88	0	88	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	88	88	8	-88	15	15	5	5	5	10	10	10	6	10	5	15	5	-88	-88	7	88	7	7	1	1	1	1	1	1	1	1	1	7	7	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	0	0	0	0	88	88	0	0	0	0	0	88	88	0	0	1	0	1	77	0	0	0	88	88	0	0	1	0	1	77	0	0	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	1	1	1	0	1	1	1	1	1	1	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	20	30	-11	-88	-88	15	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	37	12	12	24	20	1.20000004768372	.200000002980232	.300000011920929	.200000002980232	1.20000004768372	2	3.79999995231628	-88	.699999988079071	2.5	2	6	.800000011920929	5	1.20000004768372	-88	.300000011920929	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	25	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE12MC19	15	12	7	2	8	2009	8/2/2009	28000	1	5	88	5	5	5	5	5	3	2	88	1	5	77	88	88	5	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	0	1	1	1	0	1	0	1	0	88	88	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	88	11	15	15	9	88	1	0	1	1	0	1	1	0	1	88	88	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	88	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	1	88	88	5	-88	-88	5	5	-77	-88	-88	-88	-88	-88	5	5	5	-88	-88	-88	7	88	88	7	7	88	88	88	88	88	88	1	7	7	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	1	88	1	1	0	0	0	1	88	1	1	1	0	1	0	0	0	0	88	88	1	1	1	0	1	0	0	1	0	 	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	25	30	-11	-88	-88	-77	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	40	17	17	27	26	.5	.0299999993294477	.150000005960464	.0399999991059303	1.20000004768372	2	3.20000004768372	14	.600000023841858	2.5	1.79999995231628	5.80000019073486	.800000011920929	4.40000009536743	1.10000002384186	10	.200000002980232	-88	-88	180	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	25	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE12MC20	15	12	7	3	8	2009	8/3/2009	250	1	5	88	5	5	5	5	5	5	2	88	1	20	7	1	88	20	-88	88	88	88	-88	0	0	0	1	0	0	0	88	0	0	0	1	0	0	0	88	0	0	0	0	0	 	 	1	0	1	1	0	0	0	1	1	88	88	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	88	88	88	88	15	88	88	88	88	1	0	0	0	1	0	0	0	0	1	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	88	88	88	20	-88	20	15	15	15	10	10	10	10	10	10	30	25	-88	-88	-88	5	88	7	5	5	5	1	1	1	1	1	1	7	7	88	88	88	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	88	88	88	0	0	88	88	88	88	88	88	88	88	88	0	0	0	0	0	0	0	0	1	1	0	0	0	1	88	1	0	0	0	0	1	88	0	1	1	0	1	0	0	1	0	88	88	0	1	1	0	1	0	0	1	0	88	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1.5	30	12	12	30	28	.5	.0299999993294477	.150000005960464	.0399999991059303	1.20000004768372	2	3.20000004768372	-88	.600000023841858	2.5	1.79999995231628	6	.5	4	1.10000002384186	-88	.200000002980232	-88	-88	100	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	25	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE12MC21	15	12	73	21	2	2010	2/21/2010	15500	1	3	88	5	5	5	5	5	5	2	88	1	-88	88	88	88	-88	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	1	0	1	0	0	1	0	0	0	88	88	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	1	1	0	1	1	1	1	88	88	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	88	88	88	15	15	15	10	10	15	20	10	-88	-88	-88	25	30	20	-88	-88	-88	1	1	1	1	1	1	1	1	88	88	88	1	1	1	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	0	0	0	0	88	88	1	1	0	0	0	88	88	0	1	1	0	1	0	1	1	1	88	88	0	1	1	0	1	0	1	0	1	88	88	1	1	1	1	1	1	1	0	0	1	1	1	88	88	1	1	1	1	1	0	1	0	0	1	0	1	88	88	1	1	0	0	0	0	0	0	0	88	88	1	1	1	0	0	0	0	0	0	88	88	0	0	0	0	0	0	1	1	0	88	88	0	0	0	0	0	0	1	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	25	20	-11	-88	-88	10	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-77	5	3	-88	-88	-88	-88	1.5	35	15	15	22	22	.200000002980232	.100000001490116	.400000005960464	.200000002980232	2.20000004768372	2.20000004768372	2	6	1	2.5	2.40000009536743	5.80000019073486	1	5	2.79999995231628	7	.200000002980232	-88	-88	-77	-88	-88	1000	-88	-88	1200	-88	-88	-88	-88	-88	-88	-88	-88	-77	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	18	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	25	-88	-88	-88	-88	-88	-88	-88	-88
PE13MC01	15	13	23	11	7	2009	7/11/2009	4000	1	2	88	5	5	5	5	5	5	3	88	1	40	7	88	88	40	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	1	 	 	0	0	0	0	0	0	0	0	0	88	88	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	1	1	1	1	1	1	1	88	88	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	88	88	88	8	-88	8	40	8	8	10	-88	-88	-88	-88	-88	8	40	-88	-88	-88	5	88	5	7	5	5	5	88	88	88	88	88	5	7	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	4	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	88	88	1	1	0	0	0	88	88	0	1	1	0	1	0	0	0	0	88	88	0	1	1	0	1	0	0	0	0	88	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	0	0	0	0	0	0	0	1	0	88	88	0	0	0	0	0	0	0	1	0	88	88	0	0	0	1	0	0	0	0	0	88	88	0	0	0	1	0	0	1	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	-11	30	-11	-88	-88	15	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	10	-11	12	-88	-88	-88	-88	1	20	10	10	25	20	.899999976158142	.300000011920929	.25	.200000002980232	1	1.79999995231628	2.79999995231628	-88	.699999988079071	2.5	2	5.5	.800000011920929	3.5	2	-88	.200000002980232	-88	-88	75	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE13MC02	15	13	31	17	12	2009	12/17/2009	1200	1	5	88	5	5	5	5	5	5	2	88	1	10	7	88	88	10	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	0	0	0	0	0	1	0	1	0	88	88	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	1	0	0	0	0	0	88	88	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	88	88	88	15	-88	15	15	15	15	15	-88	-88	-88	15	10	15	15	-88	-88	-88	7	88	7	7	7	7	7	88	88	88	7	5	7	7	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	88	88	1	1	1	0	1	88	88	0	1	0	0	1	0	0	0	0	88	88	0	1	1	0	1	0	0	0	0	88	88	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	88	88	1	1	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	-11	30	-11	-88	-88	24	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	45	20	20	35	35	-88	.0299999993294477	.150000005960464	.0900000035762787	1	2.40000009536743	3.20000004768372	-88	6	2.5	2.20000004768372	5.5	.800000011920929	4	1	-88	.200000002980232	-88	-88	625	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC01	15	14	16	3	8	2009	8/3/2009	4500	5	5	1	5	5	5	5	5	3	2	5	1	15	7	88	88	15	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	1	0	0	0	1	0	0	0	0	88	88	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	1	1	1	1	1	0	88	88	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	88	88	88	10	15	15	15	15	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	7	7	7	7	7	7	88	88	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	1	0	88	88	1	1	0	1	0	88	88	1	1	1	0	1	1	0	0	0	88	88	1	1	1	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	88	88	0	1	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	-11	40	-11	-88	-88	10	-11	-11	-11	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.29999995231628	38	15	15	28	22	.879999995231628	.0299999993294477	.150000005960464	.109999999403954	1.20000004768372	2	3.20000004768372	-88	1	2.5	2	5.5	.800000011920929	4.5	1.29999995231628	10.5	.200000002980232	-88	-88	29	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-77	-77	-77	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	10	15	12	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	15	20	15	-88	-88	-88	-88	-88	-88
PE14MC02	15	14	16	3	8	2009	8/3/2009	-77	5	1	88	5	5	5	5	5	5	2	88	1	10	7	88	88	10	-88	88	88	88	-88	1	1	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	0	0	1	1	0	0	0	0	1	88	88	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	1	0	0	1	1	0	88	88	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	-88	-88	10	88	88	1	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	88	88	88	10	-88	10	10	10	20	5	5	5	5	5	5	10	10	-88	-88	-88	7	88	7	7	7	7	5	5	5	5	5	5	7	7	88	88	88	0	0	1	0	0	0	0	88	0	0	0	0	0	1	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	1	88	1	0	0	0	0	1	88	0	0	1	0	1	0	0	0	0	88	88	0	0	1	0	1	1	0	0	0	 	88	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	30	40	25	-88	-88	15	30	-11	25	-88	-88	-11	-11	-11	-11	-11	-11	-11	-11	-88	-88	-88	-88	1.5	35	12	12	28	25	.879999995231628	.0299999993294477	.150000005960464	.109999999403954	1	1.79999995231628	3	-88	1	25	1.79999995231628	5	.800000011920929	4	1.29999995231628	10.5	.200000002980232	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	20	25	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC03	15	14	16	20	7	2009	7/20/2009	-77	5	1	88	5	5	5	5	5	5	2	88	1	40	7	88	88	40	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	1	1	0	1	0	0	0	0	0	88	88	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	0	0	1	1	0	0	88	88	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	10	-88	-88	1	88	88	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	88	88	88	10	40	40	30	30	30	20	-88	15	-88	10	10	10	40	-88	-88	-88	7	7	7	7	7	7	1	88	1	88	7	7	7	7	88	88	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	0	0	88	88	1	1	0	0	0	88	88	0	1	1	0	1	0	0	0	0	88	88	0	1	1	0	1	0	0	0	0	 	88	1	1	1	1	1	1	1	1	0	0	0	0	88	88	1	1	1	1	1	77	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	1	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	-88	-88	88	88	-88	-88	88	88	-88	-88	88	88	-77	15	35	-88	-88	-88	20	-11	-11	-88	-88	-88	-77	-11	-11	-88	-11	-11	-77	15	-88	-88	-88	-88	1.29999995231628	32	12	12	28	25	.879999995231628	.0299999993294477	.150000005960464	.109999999403954	1.20000004768372	2.29999995231628	3.59999990463257	-88	1	2.5	1.79999995231628	5.80000019073486	.800000011920929	5	1.70000004768372	9.80000019073486	.200000002980232	-88	-88	-77	-88	-88	50	-88	-88	60	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC04	15	14	34	20	7	2009	7/20/2009	-77	1	2	88	5	5	5	5	5	5	3	88	1	20	7	88	88	20	-88	88	88	88	-88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	0	0	0	0	0	 	 	1	0	1	1	0	0	0	0	1	88	88	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	1	0	0	1	0	1	1	1	1	88	88	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	-88	-88	-88	88	88	88	0	88	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	88	88	88	20	-88	20	20	20	25	-88	20	-88	-88	-88	-88	20	25	-88	-88	-88	7	88	7	7	7	7	88	7	88	88	88	88	7	7	88	88	88	1	0	0	0	0	0	0	88	1	0	0	0	0	0	0	88	24	7	1	0	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	88	1	0	1	1	1	88	1	1	0	1	1	1	88	1	1	1	0	1	0	0	1	0	88	88	1	1	1	0	1	1	0	1	0	 	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	1	1	1	1	1	1	1	1	1	1	88	88	1	1	0	0	0	0	0	0	0	88	88	0	1	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	0	1	0	0	88	88	-8	-88	88	88	-88	-88	88	88	-88	-88	88	88	-11	-11	20	20	-88	-88	25	-11	-11	20	-88	-88	-11	-11	-11	-11	20	-11	-11	10	-88	-88	-88	-88	1.5	35	13	13	27	25	1	.0299999993294477	.150000005960464	.109999999403954	1	2.29999995231628	3	-88	1	2.40000009536743	1.79999995231628	5.5	.800000011920929	4	1.20000004768372	-88	.200000002980232	-88	-88	43.75	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
