CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
11001	1	41	1	1	1
11002	1	41	3	1	1
11002	2	51	3	3	3
11003	1	41	2	2	2
11004	1	51	4	4	4
11004	2	41	1	1	1
11005	1	41	1	1	1
11005	2	51	3	3	3
11006	1	41	1	1	1
11006	2	51	3	3	3
11007	1	41	2	2	2
11008	1	41	1	1	1
11009	1	41	1	1	1
11010	1	41	3	1	2
11011	1	41	1	1	1
11011	2	51	3	3	3
11012	1	41	1	1	1
11012	2	51	4	4	4
11015	1	41	1	1	1
11015	2	51	3	3	3
11016	1	41	1	1	1
11016	2	51	4	4	4
11016	3	53	4	4	5
11018	1	41	1	1	1
11019	1	41	1	1	1
11019	2	51	4	4	4
11019	3	53	4	4	4
11019	4	56	4	4	4
11020	1	41	1	1	1
11020	2	51	3	3	3
11021	1	41	1	1	1
11021	2	51	3	3	3
11022	1	41	1	1	1
11022	2	51	4	4	3
11024	1	41	1	1	1
11025	1	41	1	1	1
11025	2	51	4	4	4
11026	1	41	1	1	1
11029	1	41	2	2	2
11029	2	51	4	4	4
11030	1	41	1	1	1
11030	2	51	4	3	4
11030	3	56	5	4	5
11031	1	41	1	1	1
11031	2	51	3	3	3
11032	1	41	1	1	1
11033	1	41	1	1	1
11033	2	51	3	3	3
11034	1	41	2	1	2
11034	2	51	2	1	3
11034	3	53	3	3	3
11035	1	41	1	1	1
11037	1	41	1	1	1
11037	2	51	1	3	3
11038	1	41	1	1	1
11038	2	51	3	2	2
11039	1	41	1	2	2
11040	1	41	1	1	1
11041	1	41	1	1	1
11042	1	41	1	1	1
11043	1	41	2	3	2
11043	2	46	3	3	5
11044	1	41	1	1	1
11047	1	41	2	3	3
11048	1	41	2	2	2
11048	2	51	3	3	3
11050	1	41	2	1	3
11050	2	51	4	3	3
11052	1	41	3	1	3
11052	2	51	4	4	4
11061	1	41	1	1	1
11061	2	42	3	2	3
11063	1	41	1	2	2
11063	2	51	4	4	4
11069	1	41	1	1	2
11074	1	41	1	1	1
11088	1	41	1	1	1
11088	2	51	1	1	1
21002	1	41	1	1	1
21004	1	41	1	1	1
21005	1	41	2	2	2
21005	2	51	3	3	3
21007	1	41	1	1	2
21008	1	41	1	1	1
21008	2	51	4	4	4
21009	1	41	1	1	1
21009	2	51	3	3	3
21011	1	41	2	1	2
21012	1	41	1	1	1
21012	2	51	4	4	4
21013	1	41	1	1	1
21015	1	41	1	1	1
21017	1	41	1	1	1
21017	2	51	3	3	3
21018	1	41	1	1	1
21020	1	41	1	1	1
21022	1	41	1	1	1
21022	2	51	3	3	4
21023	1	41	1	1	1
21023	2	51	4	4	3
21024	1	41	1	1	1
21024	2	51	4	4	4
21025	1	41	1	1	1
21026	1	41	1	1	1
21027	1	41	2	3	2
21027	2	51	4	4	4
21029	1	41	1	1	1
21029	2	51	4	3	4
21030	1	41	1	1	1
21030	2	51	3	3	3
21031	1	41	1	1	1
21031	2	51	4	4	4
21032	1	41	1	1	1
21032	2	51	4	3	4
21033	1	41	1	1	1
21034	1	41	1	1	1
21036	1	41	1	1	1
21036	2	51	4	3	3
21037	1	41	2	2	2
21039	1	41	1	1	1
21039	2	51	4	3	4
21040	1	41	1	2	2
21041	1	41	1	1	1
21041	2	51	4	4	4
21042	1	41	1	1	1
21042	2	51	4	4	4
21043	1	41	1	1	1
21043	2	51	4	4	4
21044	1	41	1	1	1
21046	1	41	1	1	1
21046	2	51	5	4	4
21047	1	41	1	1	1
21047	2	51	4	4	4
21048	1	41	1	1	1
21056	1	41	1	1	1
21056	2	51	4	4	4
21069	1	41	1	1	1
21069	2	51	1	1	1
21069	3	55	4	4	4
21072	1	41	1	1	1
21072	2	51	4	2	3
21083	1	41	1	1	1
21089	1	41	1	1	1
21089	2	51	4	4	4
21094	1	41	1	1	1
21094	2	51	4	4	3
31001	1	41	1	1	1
31001	2	51	1	1	3
31003	1	41	2	2	2
31004	1	50	2	2	77
31004	2	41	3	3	3
31006	1	41	2	2	2
31007	1	41	2	2	2
31007	2	50	2	2	2
31008	1	41	1	1	1
31008	2	50	1	1	1
31009	1	41	1	1	1
31010	1	41	2	2	2
31011	1	41	2	2	2
31011	2	51	4	3	4
31012	1	41	2	3	3
31012	2	50	2	3	3
31013	1	41	3	3	4
31013	2	50	3	4	4
31018	1	50	2	2	5
31018	2	41	3	3	3
31020	1	41	3	3	4
31021	1	41	1	1	1
31021	2	51	3	3	2
31021	3	58	3	2	2
31023	1	41	2	2	3
31023	2	50	2	5	5
31024	1	50	2	2	5
31024	2	41	3	3	3
31025	1	50	2	2	5
31025	2	41	3	3	3
31027	1	50	2	2	5
31027	2	41	2	2	2
31028	1	41	1	1	1
31029	1	41	3	3	4
31029	2	50	1	1	77
31031	1	41	2	2	3
31031	2	50	2	77	77
31033	1	41	1	1	1
31033	2	51	3	3	3
31034	1	41	2	2	2
31035	1	41	2	3	4
31035	2	50	2	77	77
31036	1	41	1	1	1
31036	2	51	4	4	4
31036	3	56	4	4	4
31037	1	41	2	2	2
31038	1	41	1	1	1
31039	1	41	2	1	2
31040	1	41	1	1	1
31041	1	41	1	1	1
31043	1	41	1	1	1
31043	2	51	4	4	4
31045	1	41	1	1	1
31045	2	51	3	3	3
31046	1	41	1	1	2
31046	2	51	3	3	3
31048	1	41	1	1	1
31049	1	41	1	1	1
31049	2	51	3	3	3
31050	1	41	2	2	2
31050	2	51	3	3	3
31052	1	50	2	2	77
31052	2	41	2	2	2
31058	1	41	2	2	2
31059	1	41	1	1	1
31059	2	50	1	1	1
31060	1	41	2	2	3
31060	2	50	2	5	5
31079	1	41	2	2	3
31096	1	50	1	1	1
31098	1	41	2	3	4
31098	2	50	2	4	4
31108	1	41	2	2	2
31108	2	50	2	5	5
31134	1	41	2	2	2
41001	1	41	1	1	1
41001	2	51	4	4	4
41002	1	41	1	1	1
41002	2	51	4	4	4
41003	1	41	1	1	1
41003	2	51	4	4	4
41004	1	41	1	1	2
41004	2	51	4	4	4
41005	1	41	1	1	1
41005	2	51	4	4	4
41006	1	41	1	1	1
41006	2	51	4	4	4
41007	1	41	1	1	1
41007	2	51	4	4	3
41008	1	41	1	1	1
41009	1	41	1	2	2
41009	2	51	3	3	3
41010	1	41	3	2	3
41010	2	51	4	4	4
41011	1	41	1	1	1
41012	1	41	1	1	1
41012	2	51	5	4	4
41013	1	41	1	1	1
41013	2	51	4	4	4
41014	1	41	1	1	1
41015	1	41	1	1	1
41015	2	51	3	3	3
41016	1	41	1	1	1
41016	2	51	3	2	3
41016	3	55	4	4	4
41017	1	41	1	1	1
41017	2	51	4	4	4
41019	1	41	2	2	2
41019	2	51	4	4	4
41020	1	41	1	1	1
41020	2	51	4	3	4
41021	1	41	1	1	1
41021	2	51	4	4	4
41022	1	41	1	1	1
41023	1	41	1	1	1
41023	2	51	3	3	3
41024	1	41	1	1	1
41024	2	51	3	3	3
41025	1	41	1	1	1
41025	2	51	4	4	4
41026	1	41	1	1	1
41026	2	51	4	4	4
41027	1	41	1	1	1
41027	2	51	4	4	4
41028	1	41	1	1	1
41030	1	41	1	1	1
41030	2	51	3	3	3
41031	1	41	1	1	1
41032	1	41	1	1	1
41034	1	41	1	1	1
41036	1	41	3	2	2
41036	2	52	4	4	4
41037	1	41	2	2	2
41037	2	51	4	4	4
41038	1	41	1	1	1
41038	2	51	4	4	4
41039	1	41	1	1	1
41041	1	41	2	2	2
41041	2	51	4	4	4
41042	1	41	1	1	1
41042	2	51	4	4	4
41042	3	55	3	3	3
41043	1	41	1	1	1
41043	2	51	4	4	4
41046	1	41	1	1	1
41046	2	51	4	4	4
41047	1	41	1	1	1
41049	1	41	1	1	1
41049	2	51	4	4	4
41050	1	41	1	1	1
41050	2	51	4	3	4
41059	1	41	1	1	1
41059	2	51	3	3	3
41092	1	41	2	2	2
41106	1	41	1	2	2
41106	2	51	4	4	4
41109	1	41	1	1	1
41109	2	42	4	3	3
41109	3	51	4	3	3
41110	1	41	1	1	1
41110	2	51	4	3	3
41114	1	41	1	1	1
41114	2	51	2	2	2
41130	1	41	1	1	1
41130	2	51	3	3	3
51002	1	41	1	1	1
51002	2	51	3	3	3
51002	3	55	3	3	3
51003	1	41	2	2	2
51004	1	41	1	1	1
51005	1	41	1	1	1
51005	2	51	4	4	4
51006	1	41	2	3	3
51008	1	41	1	2	2
51009	1	41	1	1	1
51009	2	51	4	4	4
51010	1	41	2	2	2
51011	1	41	1	1	1
51013	1	41	1	1	1
51015	1	41	1	1	1
51015	2	51	4	3	4
51016	1	41	1	1	1
51016	2	51	3	3	3
51016	3	53	4	4	4
51017	1	41	1	1	1
51017	2	51	3	3	3
51018	1	41	1	1	1
51019	1	41	1	1	1
51019	2	51	3	2	2
51020	1	41	1	1	1
51020	2	51	3	3	3
51020	3	53	4	4	4
51022	1	41	1	1	1
51022	2	51	4	4	4
51023	1	41	1	1	1
51024	1	41	1	1	1
51024	2	51	3	3	3
51025	1	41	1	1	1
51026	1	41	2	2	2
51026	2	51	4	4	4
51028	1	41	1	1	1
51028	2	51	5	5	5
51029	1	41	2	2	2
51031	1	41	1	1	1
51031	2	51	2	2	2
51032	1	41	1	1	1
51033	1	41	1	1	1
51033	2	51	2	2	2
51034	1	41	1	1	1
51034	2	51	3	3	3
51035	1	41	1	1	1
51036	1	41	1	1	1
51036	2	51	3	3	3
51037	1	41	1	1	2
51037	2	42	4	3	4
51037	3	51	4	2	2
51038	1	41	1	1	1
51039	1	41	1	1	1
51040	1	41	2	3	3
51041	1	41	1	1	1
51042	1	41	1	1	1
51042	2	51	4	3	4
51043	1	41	1	1	1
51043	2	51	3	2	3
51044	1	41	1	1	1
51045	1	51	3	3	3
51046	1	41	1	1	1
51046	2	51	4	4	4
51047	1	41	1	1	1
51047	2	51	3	3	3
51048	1	41	1	1	1
51048	2	51	3	1	3
51049	1	41	1	1	1
51057	1	41	1	1	1
51070	1	41	1	1	1
51070	2	51	4	2	4
61001	1	41	2	2	2
61003	1	41	1	1	1
61004	1	41	2	2	2
61004	2	51	4	4	4
61006	1	41	1	1	1
61008	1	41	1	1	1
61008	2	51	3	3	3
61009	1	41	1	1	1
61009	2	51	2	2	2
61011	1	41	1	1	1
61012	1	41	2	2	2
61012	2	51	5	4	4
61013	1	41	1	1	1
61014	1	41	1	1	1
61014	2	51	3	3	3
61015	1	41	1	1	1
61016	1	41	1	1	1
61017	1	41	2	2	2
61017	2	51	4	4	4
61018	1	41	3	2	2
61019	1	41	2	2	2
61019	2	51	3	3	3
61020	1	41	1	1	1
61021	1	41	1	1	1
61021	2	51	4	3	3
61024	1	41	1	1	1
61025	1	41	1	1	1
61026	1	41	1	3	1
61028	1	41	2	2	2
61029	1	41	1	1	1
61029	2	51	4	4	4
61030	1	41	1	1	1
61030	2	51	3	3	3
61031	1	41	2	2	2
61031	2	51	4	3	3
61032	1	41	1	1	1
61032	2	51	3	3	3
61033	1	41	1	1	1
61034	1	41	1	1	1
61034	2	51	4	3	4
61035	1	51	2	2	2
61035	2	53	4	4	4
61035	3	42	3	3	3
61036	1	41	2	2	2
61037	1	41	1	1	1
61037	2	51	4	5	4
61038	1	41	2	2	2
61038	2	51	5	4	4
61039	1	41	1	1	1
61039	2	51	3	3	3
61040	1	41	1	1	1
61040	2	51	4	3	3
61041	1	41	1	1	1
61041	2	51	4	4	4
61042	1	41	1	1	1
61042	2	51	4	4	4
61043	1	41	3	3	4
61044	1	41	1	1	1
61044	2	51	3	3	3
61046	1	41	1	1	1
61047	1	41	1	1	1
61047	2	51	3	3	3
61048	1	41	1	1	1
61048	2	51	4	3	5
61049	1	41	1	1	1
61049	2	51	4	3	4
61050	1	41	1	2	2
61052	1	41	2	3	3
61055	1	41	1	1	1
61055	2	51	4	3	4
61056	1	41	1	1	1
61057	1	41	3	2	2
61076	1	41	2	3	2
61079	1	41	2	3	3
61079	2	51	4	4	4
61104	1	41	1	1	1
61104	2	51	3	3	3
71001	1	41	1	1	1
71002	1	41	2	3	3
71003	1	41	1	1	1
71004	1	41	1	1	2
71004	2	51	3	2	3
71005	1	41	1	1	1
71005	2	51	3	3	3
71005	3	56	3	3	5
71007	1	41	1	1	1
71007	2	51	5	5	3
71008	1	41	1	1	1
71009	1	41	1	1	1
71009	2	51	4	4	4
71010	1	41	1	1	1
71010	2	51	1	2	3
71010	3	56	4	4	4
71011	1	41	2	2	2
71013	1	41	1	1	1
71014	1	41	1	1	1
