CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTWEKR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PDPCPRR5	PRFACTR5	MTHPRFR5
11001	1	1	2	2	2	1	0	 	 	 	 	0	 
11001	2	88	 	 	 	 	 	 	 	 	 	 	 
11001	3	88	 	 	 	 	 	 	 	 	 	 	 
11002	1	1	2	1	20	6	0	 	 	 	 	0	 
11002	2	88	 	 	 	 	 	 	 	 	 	 	 
11002	3	88	 	 	 	 	 	 	 	 	 	 	 
11003	1	9	6	12	30	10	1	120	 	2	 	1	12
11003	2	88	 	 	 	 	 	 	 	 	 	 	 
11003	3	88	 	 	 	 	 	 	 	 	 	 	 
11004	1	13	1	8	26	8	1	4600	 	4	 	0	 
11004	2	88	 	 	 	 	 	 	 	 	 	 	 
11004	3	88	 	 	 	 	 	 	 	 	 	 	 
11005	1	13	1	4	26	9	1	2800	 	4	 	0	 
11005	2	88	 	 	 	 	 	 	 	 	 	 	 
11005	3	88	 	 	 	 	 	 	 	 	 	 	 
11006	1	13	1	4	26	8	1	6000	 	4	 	0	 
11006	2	1	2	2	12	6	0	 	 	 	 	0	 
11006	3	88	 	 	 	 	 	 	 	 	 	 	 
11007	1	 	 	 	 	 	 	 	 	 	 	 	 
11007	2	 	 	 	 	 	 	 	 	 	 	 	 
11007	3	 	 	 	 	 	 	 	 	 	 	 	 
11008	1	9	3	12	25	5	1	6000	 	4	 	1	12
11008	2	1	2	6	5	3	0	 	 	 	 	1	12
11008	3	88	 	 	 	 	 	 	 	 	 	 	 
11009	1	20	2	6	25	8	0	 	 	 	 	1	12
11009	2	88	 	 	 	 	 	 	 	 	 	 	 
11009	3	88	 	 	 	 	 	 	 	 	 	 	 
11010	1	12	3	12	20	8	1	5000	 	4	 	1	12
11010	2	1	6	2	10	7	0	 	 	 	 	0	 
11010	3	88	 	 	 	 	 	 	 	 	 	 	 
11011	1	19	2	12	8	3	0	 	 	 	 	1	7
11011	2	88	 	 	 	 	 	 	 	 	 	 	 
11011	3	88	 	 	 	 	 	 	 	 	 	 	 
11012	1	13	1	8	28	12	1	3000	 	4	 	1	-77
11012	2	88	 	 	 	 	 	 	 	 	 	 	 
11012	3	88	 	 	 	 	 	 	 	 	 	 	 
11015	1	13	1	1	26	8	1	5000	 	4	 	1	12
11015	2	88	 	 	 	 	 	 	 	 	 	 	 
11015	3	88	 	 	 	 	 	 	 	 	 	 	 
11016	1	13	3	12	30	16	1	3500	 	4	 	1	6
11016	2	13	1	12	26	8	1	4600	 	4	 	0	 
11016	3	88	 	 	 	 	 	 	 	 	 	 	 
11018	1	1	2	2	30	12	5	0	 	4	 	1	6
11018	2	88	 	 	 	 	 	 	 	 	 	 	 
11018	3	88	 	 	 	 	 	 	 	 	 	 	 
11019	1	13	1	8	25	8	1	5500	 	4	 	1	12
11019	2	88	 	 	 	 	 	 	 	 	 	 	 
11019	3	88	 	 	 	 	 	 	 	 	 	 	 
11020	1	13	1	12	26	8	1	3382	 	4	 	1	12
11020	2	88	 	 	 	 	 	 	 	 	 	 	 
11020	3	88	 	 	 	 	 	 	 	 	 	 	 
11021	1	13	3	5	26	8	1	5000	 	4	 	0	 
11021	2	13	3	3	30	12	1	4000	 	4	 	1	12
11021	3	88	 	 	 	 	 	 	 	 	 	 	 
11022	1	13	1	4	28	8	1	7000	 	4	 	1	4
11022	2	88	 	 	 	 	 	 	 	 	 	 	 
11022	3	88	 	 	 	 	 	 	 	 	 	 	 
11024	1	13	3	12	25	10	1	2500	 	4	 	1	12
11024	2	88	 	 	 	 	 	 	 	 	 	 	 
11024	3	88	 	 	 	 	 	 	 	 	 	 	 
11025	1	13	3	3	25	14	1	1000	 	4	 	1	3
11025	2	88	 	 	 	 	 	 	 	 	 	 	 
11025	3	88	 	 	 	 	 	 	 	 	 	 	 
11026	1	19	2	12	30	4	0	 	 	 	 	1	12
11026	2	88	 	 	 	 	 	 	 	 	 	 	 
11026	3	88	 	 	 	 	 	 	 	 	 	 	 
11029	1	13	1	6	26	8	1	5500	 	4	 	0	 
11029	2	12	1	3	25	8	1	6000	 	4	 	1	12
11029	3	88	 	 	 	 	 	 	 	 	 	 	 
11030	1	12	1	12	15	8	1	100	 	7	 	1	12
11030	2	88	 	 	 	 	 	 	 	 	 	 	 
11030	3	88	 	 	 	 	 	 	 	 	 	 	 
11031	1	13	1	12	25	8	1	3000	 	4	 	1	12
11031	2	88	 	 	 	 	 	 	 	 	 	 	 
11031	3	88	 	 	 	 	 	 	 	 	 	 	 
11032	1	13	1	12	26	8	1	5000	 	4	 	1	12
11032	2	88	 	 	 	 	 	 	 	 	 	 	 
11032	3	88	 	 	 	 	 	 	 	 	 	 	 
11033	1	13	1	8	26	8	1	6000	 	3	 	0	 
11033	2	88	 	 	 	 	 	 	 	 	 	 	 
11033	3	88	 	 	 	 	 	 	 	 	 	 	 
11034	1	13	1	9	22	8	6	13000	0	4	 	1	12
11034	2	88	 	 	 	 	 	 	 	 	 	 	 
