CHILDCODE	TRANIDR5	TYPTRNR5	DELTRNR5	PAYTRNR5	TRNCMPR5	DURTTLR5	ATDTRNR5	ADDTRNR5	CRTDIPR5
11005	1	1	2	1	1	90	 	 	1
11006	1	1	2	1	1	36	 	 	1
11006	2	1	2	1	1	36	 	 	1
11016	1	3	5	0	1	30	 	 	0
11016	2	3	3	0	1	30	 	 	0
11019	1	2	3	0	1	60	 	 	 
11020	1	2	3	1	1	90	 	 	 
11022	1	1	1	1	1	900	 	 	1
11025	1	1	1	1	1	660	 	 	1
11034	1	3	3	0	1	7	 	 	0
11037	1	2	3	0	1	7	 	 	 
11040	1	 	 	 	 	 	 	 	 
11042	1	3	3	1	0	 	90	90	0
21012	1	2	6	0	1	7	 	 	 
21024	1	3	3	0	1	30	 	 	0
21029	1	1	2	1	1	40	 	 	1
21031	1	2	3	0	1	30	 	 	 
21032	1	2	7	1	0	 	250	250	 
21032	2	3	3	0	1	30	 	 	0
21041	1	3	3	0	1	30	 	 	0
21042	1	3	3	0	1	30	 	 	0
21047	1	3	3	1	1	30	 	 	0
21056	1	3	3	0	1	30	 	 	0
21056	2	3	3	0	1	60	 	 	0
31001	1	1	2	1	1	90	 	 	1
31003	1	2	3	0	1	60	 	 	 
31007	1	3	5	0	0	 	90	60	0
31011	1	1	1	1	1	30	 	 	1
31021	1	1	1	1	1	30	 	 	0
31041	1	3	5	1	1	365	 	 	1
31045	1	1	2	0	1	42	 	 	0
31046	1	1	2	1	1	36	 	 	1
31046	2	1	2	1	1	72	 	 	1
31050	1	3	5	0	1	7	 	 	0
31052	1	2	1	0	1	15	 	 	 
41007	1	2	7	1	0	 	18	18	 
41009	1	1	1	0	1	14	 	 	0
41009	2	1	6	1	1	11	 	 	0
41015	1	1	3	0	1	30	 	 	1
41016	1	1	3	0	0	 	16	32	0
41017	1	2	2	1	0	 	160	20	 
41020	1	2	3	1	1	40	 	 	 
41025	1	 	 	 	 	 	 	 	 
41030	1	 	 	 	 	 	 	 	 
41032	1	1	1	0	1	7	 	 	0
41034	1	1	1	0	1	120	 	 	1
41042	1	2	3	1	1	240	 	 	 
41043	1	3	3	1	1	60	 	 	0
41047	1	1	2	0	1	60	 	 	1
41050	1	1	1	0	1	7	 	 	0
41050	2	2	2	1	1	180	 	 	 
41059	1	2	2	1	1	180	 	 	 
41106	1	1	2	1	1	12	 	 	1
41106	2	1	2	1	1	12	 	 	1
41106	3	1	2	1	1	12	 	 	1
41110	1	3	3	0	1	15	 	 	1
41110	2	3	3	0	1	10	 	 	1
41110	3	3	3	0	1	10	 	 	1
41110	4	3	3	0	1	10	 	 	1
41110	5	3	3	0	1	10	 	 	1
51010	1	2	5	0	1	365	 	 	 
51015	1	2	7	1	1	24	 	 	 
51023	1	1	1	1	1	180	 	 	1
51024	1	 	 	 	 	 	 	 	 
51031	1	1	3	1	0	 	500	250	1
51031	2	2	2	1	1	100	 	 	 
51032	1	3	3	0	1	7	 	 	0
51033	1	2	5	0	1	7	 	 	 
51034	1	2	3	1	1	24	 	 	 
51035	1	1	1	1	0	 	365	0	0
51037	1	1	3	1	0	 	0	30	1
51070	1	2	3	0	1	7	 	 	 
61012	1	2	7	0	1	180	 	 	 
61013	1	 	 	 	 	 	 	 	 
61025	1	2	3	0	1	7	 	 	 
61029	1	2	3	0	1	90	 	 	 
61035	1	2	3	1	1	270	 	 	 
61038	1	2	5	1	1	90	 	 	 
61044	1	2	2	1	1	42	 	 	 
61044	2	2	2	0	1	30	 	 	 
61046	1	 	 	 	 	 	 	 	 
61049	1	3	3	0	1	15	 	 	0
61055	1	1	6	0	1	30	 	 	0
71005	1	2	3	0	1	30	 	 	 
71010	1	2	2	1	0	 	12	24	 
71013	1	2	1	0	1	7	 	 	 
71019	1	 	 	 	 	 	 	 	 
71021	1	2	3	0	1	7	 	 	 
71023	1	1	2	0	0	 	40	50	1
71024	1	2	3	1	1	90	 	 	 
71029	1	1	2	1	1	39	 	 	1
71036	1	 	 	 	 	 	 	 	 
71038	1	1	1	0	1	7	 	 	0
71043	1	3	6	0	1	15	 	 	1
71047	1	2	5	1	1	30	 	 	 
