CHILDCODE	MEMIDR4	AGER3	MEMAGER4	AGEMTHR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	LIVHSER4	YRDIEDR4	CHCSTER3	CHCSTER4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	AGEGRDR4	TYPATDR4	MEMCNSR4
11001	0	15	19	 	2	0	0	1	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11001	1	42	46	 	1	1	1	 	1	 	 	24	1	1	0	4	98	1	7	0	0	 	 	 	 	 	 	N
11001	2	34	38	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11001	3	17	21	 	1	7	7	 	1	 	 	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11001	4	 	60	 	2	 	6	 	1	 	 	24	6	3	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11002	0	15	19	 	2	0	0	0	1	 	24	24	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11002	1	 	65	 	2	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	2	42	46	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	3	37	41	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	4	20	24	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	5	19	23	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11002	6	 	28	 	1	 	25	 	1	 	 	24	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11002	7	 	1	 	1	 	27	 	1	 	 	24	3	0	0	0	6	 	 	 	 	 	 	 	 	 	 	N
11003	0	15	19	 	2	0	0	1	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11003	1	37	41	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11003	2	30	34	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11003	3	14	18	 	2	7	7	 	1	 	 	23	3	0	0	2	1	1	10	1	1	 	 	 	 	 	 	N
11003	28	11	15	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	8	1	 	 	1	N
11004	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	2	1	1	10	1	0	 	 	 	 	 	 	N
11004	1	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11004	2	34	38	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11004	3	18	22	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	12	1	4	 	 	 	 	 	 	N
11005	0	15	19	 	2	0	0	0	1	 	24	24	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11005	1	 	50	 	2	6	6	 	3	2005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11005	2	42	46	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	12	0	0	 	 	 	 	 	 	N
11005	3	36	40	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11005	4	14	18	 	1	7	7	 	1	 	 	24	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11006	0	14	18	 	2	0	0	1	1	 	23	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11006	1	45	49	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	2	33	37	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	3	18	22	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	4	38	42	 	2	13	13	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	5	55	59	 	2	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	6	 	24	 	1	 	25	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11006	7	 	0	9	2	 	27	 	1	 	 	23	3	0	0	0	6	 	 	 	 	 	 	 	 	 	 	N
11007	0	15	19	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	0	 	 	 	 	 	 	N
11007	1	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11007	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11007	3	22	26	 	1	7	7	 	1	 	 	23	3	1	0	2	1	1	10	0	0	 	 	 	 	 	 	N
11007	4	18	22	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11007	5	 	22	 	2	 	16	 	1	 	 	23	4	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11007	6	 	3	 	2	 	15	 	1	 	 	23	5	0	0	5	3	 	 	 	 	 	 	 	 	 	 	N
11008	0	14	18	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11008	1	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11008	2	40	44	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11008	3	22	26	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	12	0	0	 	 	 	 	 	 	N
11008	4	18	22	 	2	7	7	 	1	 	 	23	3	0	0	2	1	1	16	0	0	 	 	 	 	 	 	N
11008	5	 	65	 	1	 	5	 	1	 	 	23	6	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11008	6	 	60	 	2	 	5	 	1	 	 	23	6	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11009	0	14	18	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	5	0	0	 	 	 	 	 	 	N
11009	1	37	41	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11009	2	35	39	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11009	3	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	0	14	18	 	2	0	0	0	1	 	23	23	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11010	1	62	66	 	2	6	6	 	1	 	 	23	6	3	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11010	2	37	41	 	1	1	1	 	1	 	 	23	1	1	0	1	98	1	12	0	0	 	 	 	 	 	 	N
11010	3	31	35	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11010	4	27	31	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11010	5	13	17	 	1	7	7	 	1	 	 	23	3	0	0	3	2	 	 	 	 	1	10	1	 	 	1	N
11011	0	14	18	 	1	0	0	1	1	 	23	24	3	0	0	4	3	1	12	1	0	 	 	 	 	 	 	N
11011	1	67	71	 	1	6	6	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11011	2	63	67	 	2	6	6	 	1	 	 	24	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11011	3	37	41	 	1	1	1	 	1	 	 	24	1	1	0	2	98	1	7	0	0	 	 	 	 	 	 	N
11011	4	32	36	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11011	5	13	17	 	2	7	7	 	1	 	 	24	3	0	0	4	3	 	 	 	 	1	11	1	 	 	1	N
11012	0	15	19	 	2	0	0	1	1	 	24	24	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11012	1	 	56	 	2	5	5	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	2	42	46	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11012	3	37	41	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11012	4	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	5	18	22	 	1	7	7	 	1	 	 	24	3	0	0	3	2	1	15	0	0	 	 	 	 	 	 	N
11013	0	15	19	 	1	0	0	1	1	 	24	24	7	0	0	1	98	1	11	1	1	 	 	 	 	 	 	N
11013	1	49	53	 	2	1	1	 	1	 	 	24	11	3	0	3	98	1	12	0	0	 	 	 	 	 	 	N
11013	2	 	45	 	1	 	13	 	1	 	 	24	1	1	0	3	98	1	17	0	0	 	 	 	 	 	 	N
11013	3	 	67	 	2	 	5	 	1	 	 	24	6	3	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11013	4	 	40	 	2	 	13	 	1	 	 	24	2	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11013	5	 	10	 	1	 	15	 	1	 	 	24	3	0	0	4	2	 	 	 	 	1	4	1	 	 	8	N
11013	6	 	8	 	2	 	15	 	1	 	 	24	3	0	0	4	2	 	 	 	 	1	2	1	 	 	8	N
11014	0	15	19	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	5	0	0	 	 	 	 	 	 	N
11014	1	59	63	 	1	1	1	 	1	 	 	23	1	1	1	98	98	1	7	0	0	 	 	 	 	 	 	N
11014	2	52	56	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11014	3	25	29	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11015	0	15	19	 	2	0	0	0	1	 	23	23	3	1	0	2	1	1	11	1	0	 	 	 	 	 	 	N
11015	1	35	39	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11015	2	32	36	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11015	3	13	17	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	9	1	 	 	1	N
11015	4	 	22	 	1	 	25	 	1	 	 	23	4	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11016	0	15	19	 	2	0	0	0	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11016	1	45	49	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11016	2	38	42	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11016	3	13	17	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	10	1	 	 	1	N
11018	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	4	3	1	10	1	1	 	 	 	 	 	 	N
