CHILDCODE	FOODIDR4	HHCONSR4	VLRPR4	OWNVR4	GFTVR4	GFSRR4
11001	1	Y	0	0	55	2
11001	2	Y	0	0	20	2
11001	3	Y	35	0	0	 
11001	5	Y	200	0	0	 
11001	7	Y	180	0	0	 
11001	11	Y	200	0	0	 
11001	13	Y	50	0	0	 
11001	14	Y	0	0	90	2
11001	15	Y	35	0	0	 
11001	18	Y	20	0	0	 
11001	19	N	 	 	 	 
11001	21	N	 	 	 	 
11002	1	Y	80	0	0	 
11002	2	Y	250	0	0	 
11002	3	Y	34	0	0	 
11002	5	N	 	 	 	 
11002	7	Y	300	0	0	 
11002	11	Y	225	0	0	 
11002	13	Y	65	0	0	 
11002	14	Y	120	0	0	 
11002	15	Y	48	0	0	 
11002	18	Y	45	0	0	 
11002	19	N	 	 	 	 
11002	21	N	 	 	 	 
11003	1	Y	45	0	0	 
11003	2	Y	500	0	0	 
11003	3	N	 	 	 	 
11003	5	Y	200	0	0	 
11003	7	Y	350	0	0	 
11003	11	Y	300	0	0	 
11003	13	Y	80	0	0	 
11003	14	Y	190	0	0	 
11003	15	Y	50	0	0	 
11003	18	Y	50	0	0	 
11003	19	Y	100	0	0	 
11003	21	Y	100	0	0	 
11004	1	Y	100	0	0	 
11004	2	Y	600	0	6	2
11004	3	N	 	 	 	 
11004	5	Y	400	0	0	 
11004	7	Y	330	0	0	 
11004	11	Y	450	0	0	 
11004	13	Y	120	0	25	2
11004	14	Y	150	0	0	 
11004	15	Y	35	0	0	 
11004	18	Y	60	0	0	 
11004	19	N	 	 	 	 
11004	21	Y	450	0	0	 
11005	1	Y	80	0	45	2
11005	2	Y	200	0	16	2
11005	3	Y	40	0	22	2
11005	5	N	 	 	 	 
11005	7	N	 	 	 	 
11005	11	Y	150	0	0	 
11005	13	Y	10	0	5	2
11005	14	Y	80	0	45	2
11005	15	Y	20	0	7	2
11005	18	Y	50	0	0	 
11005	19	N	 	 	 	 
11005	21	N	 	 	 	 
11006	1	Y	20	0	0	 
11006	2	Y	240	0	0	 
11006	3	N	 	 	 	 
11006	5	Y	150	0	0	 
11006	7	Y	200	0	0	 
11006	11	Y	200	0	0	 
11006	13	Y	60	0	0	 
