CHILDCODE	HHITMIDR4	OWNITMR4	NUMOWNR4
11001	1	Y	1
11001	2	N	 
11001	3	N	 
11001	4	N	 
11001	5	Y	3
11001	6	N	 
11001	7	Y	3
11001	8	Y	2
11001	9	N	 
11001	10	Y	1
11001	11	Y	2
11001	12	N	 
11001	13	Y	1
11001	14	N	 
11001	15	N	 
11001	16	N	 
11001	17	N	 
11001	18	N	 
11001	19	N	 
11001	20	N	 
11002	1	Y	1
11002	2	N	 
11002	3	N	 
11002	4	N	 
11002	5	Y	1
11002	6	N	 
11002	7	Y	2
11002	8	Y	4
11002	9	N	 
11002	10	Y	3
11002	11	Y	2
11002	12	Y	1
11002	13	Y	1
11002	14	N	 
11002	15	Y	1
11002	16	N	 
11002	17	N	 
11002	18	N	 
11002	19	N	 
11002	20	N	 
11003	1	Y	1
11003	2	N	 
11003	3	N	 
11003	4	Y	1
11003	5	N	 
11003	6	N	 
11003	7	Y	2
11003	8	Y	1
11003	9	Y	1
11003	10	Y	2
11003	11	Y	2
11003	12	N	 
11003	13	Y	1
11003	14	Y	1
11003	15	N	 
11003	16	N	 
11003	17	N	 
11003	18	N	 
11003	19	N	 
11003	20	N	 
11004	1	Y	1
11004	2	N	 
11004	3	N	 
11004	4	N	 
11004	5	Y	1
11004	6	N	 
11004	7	Y	2
11004	8	Y	4
11004	9	N	 
11004	10	Y	2
11004	11	Y	2
11004	12	N	 
11004	13	N	 
11004	14	N	 
11004	15	N	 
11004	16	N	 
11004	17	N	 
11004	18	N	 
11004	19	N	 
11004	20	Y	2
11005	1	Y	1
11005	2	N	 
11005	3	N	 
11005	4	N	 
11005	5	Y	2
11005	6	N	 
11005	7	Y	2
11005	8	Y	3
11005	9	N	 
11005	10	Y	3
11005	11	Y	3
11005	12	N	 
11005	13	Y	1
11005	14	Y	1
11005	15	N	 
11005	16	N	 
11005	17	N	 
11005	18	N	 
11005	19	N	 
11005	20	N	 
11006	1	N	 
11006	2	N	 
11006	3	Y	1
11006	4	N	 
11006	5	N	 
11006	6	N	 
11006	7	N	 
11006	8	Y	2
11006	9	N	 
11006	10	Y	1
11006	11	Y	1
11006	12	N	 
11006	13	Y	1
11006	14	N	 
11006	15	N	 
11006	16	N	 
11006	17	N	 
11006	18	N	 
11006	19	N	 
11006	20	N	 
11007	1	Y	1
11007	2	N	 
11007	3	N	 
11007	4	Y	1
11007	5	Y	1
11007	6	N	 
11007	7	Y	1
11007	8	Y	4
11007	9	N	 
11007	10	Y	3
11007	11	Y	3
11007	12	N	 
11007	13	Y	1
11007	14	N	 
11007	15	N	 
11007	16	N	 
11007	17	N	 
11007	18	N	 
11007	19	N	 
11007	20	Y	2
11008	1	Y	1
11008	2	N	 
11008	3	N	 
11008	4	Y	1
11008	5	Y	1
11008	6	N	 
11008	7	Y	2
11008	8	Y	2
11008	9	N	 
11008	10	Y	3
11008	11	Y	3
11008	12	N	 
11008	13	Y	1
11008	14	Y	1
11008	15	N	 
11008	16	N	 
11008	17	N	 
11008	18	N	 
11008	19	N	 
11008	20	N	 
11009	1	Y	1
11009	2	N	 
11009	3	N	 
11009	4	N	 
11009	5	N	 
11009	6	N	 
11009	7	Y	1
