CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
21004	2	88	 	 	 	 	 	 	 
21004	3	88	 	 	 	 	 	 	 
21005	1	25	 	 	2	 	17	2	88
21005	2	29	 	 	2	 	17	88	 
21005	3	47	 	 	 	2	17	2	88
21006	1	38	 	 	2	 	9	16	2
21006	2	47	 	 	 	1	2	88	 
21006	3	88	 	 	 	 	 	 	 
21007	1	25	 	 	 	2	9	8	88
21007	2	47	 	 	 	3	2	88	 
21007	3	88	 	 	 	 	 	 	 
21008	1	47	 	 	 	2	17	88	 
21008	2	88	 	 	 	 	 	 	 
21008	3	88	 	 	 	 	 	 	 
21009	1	34	 	 	2	 	12	17	18
21009	2	47	 	 	2	 	2	17	18
21009	3	88	 	 	 	 	 	 	 
21010	1	42	 	2	3	 	2	1	88
21010	2	47	 	 	 	2	2	88	 
21010	3	88	 	 	 	 	 	 	 
21011	1	12	 	 	 	3	7	88	 
21011	2	88	 	 	 	 	 	 	 
21011	3	88	 	 	 	 	 	 	 
21012	1	47	 	 	 	2	2	88	 
21012	2	88	 	 	 	 	 	 	 
21012	3	88	 	 	 	 	 	 	 
21013	1	24	 	 	 	2	9	18	88
21013	2	14	 	 	3	 	8	11	17
21013	3	31	 	 	4	 	16	11	88
21014	1	35	 	 	3	 	2	18	88
21014	2	47	 	 	2	 	2	17	18
21014	3	88	 	 	 	 	 	 	 
21015	1	47	 	 	 	1	2	88	 
21015	2	88	 	 	 	 	 	 	 
21015	3	88	 	 	 	 	 	 	 
21016	1	47	 	 	 	3	2	18	88
21016	2	88	 	 	 	 	 	 	 
21016	3	88	 	 	 	 	 	 	 
21017	1	25	 	 	2	 	16	88	 
21017	2	47	 	 	 	1	2	88	 
21017	3	88	 	 	 	 	 	 	 
21018	1	47	2	 	 	2	2	88	 
21018	2	88	 	 	 	 	 	 	 
21018	3	88	 	 	 	 	 	 	 
21019	1	37	4	4	4	4	10	1	22
21019	2	47	 	 	 	4	1	9	22
21019	3	42	 	 	 	4	1	2	9
21020	1	29	 	 	2	 	8	88	 
21020	2	37	 	 	 	2	17	88	 
21020	3	12	 	 	 	2	17	88	 
21021	1	34	 	 	 	4	2	17	18
21021	2	47	 	 	2	 	2	7	88
21021	3	88	 	 	 	 	 	 	 
21022	1	47	 	 	3	2	2	88	 
21022	2	88	 	 	 	 	 	 	 
21022	3	88	 	 	 	 	 	 	 
21023	1	47	 	 	 	3	2	18	88
21023	2	88	 	 	 	 	 	 	 
21023	3	88	 	 	 	 	 	 	 
21024	1	47	 	 	 	2	2	17	88
21024	2	88	 	 	 	 	 	 	 
21024	3	88	 	 	 	 	 	 	 
21025	1	47	 	 	 	1	17	88	 
21025	2	88	 	 	 	 	 	 	 
21025	3	88	 	 	 	 	 	 	 
21026	1	24	 	3	 	 	16	88	 
21026	2	47	 	 	 	2	2	88	 
21026	3	88	 	 	 	 	 	 	 
21027	1	47	 	 	 	2	17	88	 
21027	2	36	2	 	 	 	17	88	 
21027	3	88	 	 	 	 	 	 	 
21028	1	47	 	 	 	2	2	17	88
21028	2	88	 	 	 	 	 	 	 
21028	3	88	 	 	 	 	 	 	 
21029	1	29	 	 	4	 	2	9	88
21029	2	47	 	 	 	2	2	17	88
21029	3	88	 	 	 	 	 	 	 
21030	1	47	 	 	2	 	2	18	88
21030	2	88	 	 	 	 	 	 	 
21030	3	88	 	 	 	 	 	 	 
21031	1	14	 	 	 	2	2	9	88
21031	2	29	 	 	2	 	2	9	88
21031	3	47	 	 	 	2	2	88	 
21032	1	25	 	 	 	2	2	16	88
21032	2	38	 	 	 	2	16	88	 
21032	3	47	 	 	 	1	2	88	 
21033	1	47	 	 	 	2	2	88	 
21033	2	88	 	 	 	 	 	 	 
21033	3	88	 	 	 	 	 	 	 
21034	1	47	 	 	2	2	2	9	18
21034	2	88	 	 	 	 	 	 	 
21034	3	88	 	 	 	 	 	 	 
21035	1	13	 	 	4	 	10	88	 
21035	2	25	 	 	2	 	10	88	 
21035	3	14	 	3	 	 	9	88	 
21036	1	47	 	 	2	 	2	17	88
21036	2	88	 	 	 	 	 	 	 
21036	3	88	 	 	 	 	 	 	 
21037	1	47	 	 	 	2	2	88	 
21037	2	88	 	 	 	 	 	 	 
21037	3	88	 	 	 	 	 	 	 
21038	1	34	2	 	 	 	2	10	18
21038	2	47	 	 	2	 	2	17	88
21038	3	88	 	 	 	 	 	 	 
21039	1	47	 	 	 	3	2	88	 
21039	2	36	 	3	 	 	9	17	88
21039	3	88	 	 	 	 	 	 	 
21040	1	47	 	 	 	2	17	88	 
21040	2	88	 	 	 	 	 	 	 
21040	3	88	 	 	 	 	 	 	 
21042	1	47	 	 	 	2	2	88	 
21042	2	88	 	 	 	 	 	 	 
21042	3	88	 	 	 	 	 	 	 
21043	1	47	 	 	 	2	2	88	 
21043	2	88	 	 	 	 	 	 	 
21043	3	88	 	 	 	 	 	 	 
21044	1	45	 	2	 	 	16	21	88
21044	2	47	 	 	 	2	2	88	 
21044	3	88	 	 	 	 	 	 	 
21045	1	47	 	 	3	 	2	17	18
21045	2	88	 	 	 	 	 	 	 
21045	3	88	 	 	 	 	 	 	 
21046	1	47	 	 	 	2	2	88	 
21046	2	88	 	 	 	 	 	 	 
21046	3	88	 	 	 	 	 	 	 
21047	1	47	 	 	2	2	2	88	 
