CHILDCODE	FVVLIDR4	FVVALR4	SLVALR4
11001	1	1	6200
11001	2	11	6000
11001	3	8	1200
11001	4	13	1000
11001	5	5	1000
11002	1	11	20000
11002	2	12	12000
11002	3	1	8000
11002	4	13	6000
11002	5	7	4000
11003	1	4	25000
11003	2	14	20000
11003	3	1	5000
11003	4	10	1500
11003	5	13	1000
11004	1	11	4500
11004	2	1	3000
11004	3	20	3000
11004	4	7	1800
11004	5	5	1200
11005	1	14	20000
11005	2	1	8000
11005	3	11	5000
11005	4	10	2000
11005	5	13	1500
11006	1	3	100000
11006	2	11	4000
11006	3	8	700
11006	4	10	600
11006	5	13	500
11007	1	4	50000
11007	2	1	10000
11007	3	13	4000
11007	4	10	2000
11007	5	11	2500
11008	1	14	10000
11008	2	1	4000
11008	3	4	4000
11008	4	13	2000
11008	5	11	1500
11009	1	1	2000
11009	2	7	1000
11009	3	13	1000
11009	4	11	1000
11009	5	10	800
11010	1	4	80000
11010	2	1	13000
11010	3	14	15000
11010	4	12	8000
11010	5	13	4000
11011	1	4	30000
11011	2	11	20000
11011	3	12	8000
11011	4	13	8000
11011	5	1	5000
11012	1	12	9000
11012	2	1	7000
11012	3	17	6000
11012	4	11	5000
11012	5	18	4000
11013	1	12	4000
11013	2	1	4000
11013	3	11	3500
11013	4	5	2500
11013	5	20	2500
11014	1	11	20000
11014	2	4	20000
11014	3	12	9000
11014	4	1	7000
11014	5	10	2000
11015	1	1	9000
11015	2	11	4000
11015	3	20	3000
11015	4	7	3000
11015	5	5	1500
11016	1	1	3000
11016	2	11	3000
11016	3	15	2000
11016	4	13	1500
11016	5	10	1000
11018	1	4	35000
11018	2	1	6000
11018	3	13	5000
11018	4	11	4000
11018	5	7	2400
11019	1	20	2000
11019	2	11	1000
11019	3	13	800
11019	4	7	800
11019	5	10	500
11021	1	1	3000
11021	2	7	1000
11021	3	10	1000
11021	4	13	800
11022	1	4	60000
11022	2	14	20000
11022	3	11	12000
11022	4	12	6000
11022	5	7	5000
11023	1	1	7000
11023	2	13	4000
11023	3	7	3000
11023	4	11	1500
11023	5	10	1000
11024	1	4	45000
11024	2	1	6000
11024	3	13	3000
11024	4	11	5000
11024	5	7	2000
11025	1	4	30000
11025	2	12	7000
11025	3	13	6000
11025	4	1	5000
11025	5	11	5000
11026	1	4	25000
11026	2	12	9000
11026	3	9	6000
11026	4	1	5000
11026	5	11	5000
11027	1	4	85000
11027	2	14	30000
11027	3	11	15000
11027	4	12	7000
11027	5	18	6500
11029	1	12	8000
11029	2	18	8000
11029	3	1	6000
11029	4	11	5000
11029	5	13	1500
11030	1	4	20000
11030	2	1	5000
11030	3	11	4000
11030	4	8	2000
11030	5	10	1000
11031	1	13	5000
11031	2	1	3500
11031	3	5	1500
11031	4	7	1000
11031	5	11	1000
11032	1	11	4000
11032	2	12	3000
11032	3	20	3000
11032	4	1	2000
11032	5	7	1200
11034	1	4	45000
11034	2	11	25000
11034	3	14	20000
11034	4	9	10000
11034	5	12	10000
11035	1	12	12000
11035	2	7	8000
11035	3	11	7000
11035	4	8	5000
11035	5	1	4000
11036	1	4	20000
11036	2	1	8000
11036	3	11	4000
11036	4	7	2500
11036	5	13	2000
11037	1	4	45000
11037	2	14	30000
11037	3	12	7000
11037	4	1	6500
11037	5	11	4000
11038	1	4	30000
11038	2	14	25000
11038	3	12	9000
11038	4	1	8000
11038	5	11	4000
11039	1	1	5000
11039	2	13	5000
11039	3	11	4000
11039	4	5	2000
11039	5	7	2000
11040	1	18	4000
11040	2	12	3500
11040	3	1	2500
11040	4	11	2500
11040	5	5	1500
11041	1	4	50000
11041	2	11	15000
11041	3	18	8000
11041	4	12	7000
11041	5	1	6000
11042	1	1	5000
11042	2	5	4000
11042	3	7	2000
11042	4	13	1500
11042	5	10	800
11043	1	3	400000
11043	2	4	50000
11043	3	1	25000
11043	4	20	20000
11043	5	12	20000
11044	1	1	4000
11044	2	11	3500
11044	3	7	3000
11044	4	5	1500
11044	5	10	1000
11045	1	12	9000
11045	2	13	6000
11045	3	1	5000
11045	4	11	5000
11045	5	7	4000
11046	1	20	2500
11046	2	5	1500
11046	3	11	1000
11046	4	1	1000
11046	5	13	800
11047	1	12	8000
11047	2	1	5000
11047	3	11	4500
11047	4	5	1800
11047	5	7	1200
11048	1	14	25000
11048	2	1	10000
11048	3	13	4000
11048	4	20	4000
11048	5	11	2500
11049	1	4	11000
11049	2	12	8000
11049	3	1	5000
11049	4	11	2000
11049	5	10	1500
11050	1	4	80000
11050	2	1	8000
11050	3	12	7000
11050	4	13	4000
11050	5	10	1500
21001	1	1	5000
21001	2	11	2000
21001	3	5	1500
21001	4	10	800
21001	5	7	600
21002	1	11	4000
21002	2	7	1000
21002	3	10	700
21002	4	8	300
21003	1	5	1200
21003	2	7	900
21003	3	8	600
21005	1	11	9000
21005	2	8	2000
21005	3	7	1000
21006	1	7	900
21006	2	8	600
21006	3	11	500
21007	1	1	3000
21007	2	11	2000
21007	3	10	1200
21007	4	9	2500
21007	5	8	250
21008	1	13	1500
21008	2	4	40000
21008	3	1	6000
21008	4	10	1000
21008	5	11	8000
21009	1	5	2400
21009	2	10	1000
21009	3	7	800
21009	4	8	600
21010	1	5	1500
21010	2	8	350
21010	3	11	500
21011	1	4	35000
21011	2	12	5000
21011	3	9	6000
21011	4	1	5000
21011	5	13	4000
21012	1	7	2000
21012	2	11	4500
21013	1	1	2000
21013	2	11	2500
21013	3	10	500
21013	4	5	400
21013	5	7	1500
21014	1	11	12000
21014	2	1	7000
21014	3	13	5000
21014	4	15	3000
21014	5	7	2000
21015	1	5	2000
21015	2	7	1000
21015	3	10	800
21015	4	8	600
21015	5	11	500
21016	1	1	3000
21016	2	7	2000
21016	3	5	1000
21016	4	8	800
21016	5	11	600
21017	1	11	2000
21017	2	7	1200
21017	3	8	1000
21017	4	9	1000
21017	5	10	600
21018	1	1	5000
21018	2	11	15000
21018	3	4	30000
21018	4	7	3500
21018	5	10	2000
21019	1	8	400
21019	2	11	400
21020	1	1	6000
21020	2	11	10000
21020	3	7	500
21020	4	13	600
21020	5	10	1500
21021	1	7	6000
21021	2	1	4000
21021	3	5	1500
21021	4	10	1000
21021	5	11	500
21022	1	1	5000
21022	2	7	600
21022	3	11	1500
21022	4	10	500
21022	5	5	600
21023	1	1	5000
21023	2	13	4000
21023	3	7	3500
21023	4	11	3000
21023	5	10	1000
21024	1	4	1500
21024	2	1	8000
21024	3	11	1000
21024	4	7	2000
21024	5	8	1500
21025	1	1	3500
21025	2	11	3000
21025	3	5	1500
21025	4	13	1000
21025	5	7	1000
21026	1	1	2000
21026	2	5	1500
21026	3	11	1000
21026	4	10	600
21026	5	8	500
21027	1	1	5000
21027	2	7	1500
21027	3	4	4000
21027	4	11	9000
21027	5	8	2500
21028	1	3	60000
21028	2	18	9000
21028	3	4	15000
21028	4	14	25000
21028	5	12	7000
21029	1	1	4000
21029	2	7	500
21029	3	11	5000
21029	4	10	800
21029	5	8	1000
21030	1	1	8000
21030	2	4	8000
21030	3	13	5000
21030	4	10	2000
21030	5	7	1800
21031	1	1	7000
21031	2	5	1000
21031	3	7	500
21031	4	10	500
21031	5	11	5000
21032	1	7	2000
21032	2	11	1500
21032	3	8	600
21033	1	1	5000
21033	2	10	500
21033	3	8	900
21034	1	11	1400
21035	1	1	5000
21035	2	4	50000
21035	3	11	8000
21035	4	7	6000
21035	5	5	1000
21036	1	7	1500
21036	2	10	800
21036	3	8	600
21037	1	4	30000
21037	2	20	2000
21037	3	10	800
21037	4	7	800
21037	5	2	500
21038	1	4	35000
21038	2	1	9000
21038	3	5	1800
21038	4	7	1500
21038	5	10	1000
21039	1	11	1000
21039	2	5	300
21039	3	10	400
21039	4	8	150
21040	1	4	30000
21040	2	1	8000
21040	3	12	7000
21040	4	18	6000
21040	5	11	5000
21042	1	1	5000
21042	2	7	1000
21042	3	8	1000
21042	4	10	900
21042	5	11	15000
21043	1	11	5000
21043	2	1	4000
21043	3	9	1200
