CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
41016	1	9	7
41016	2	10	5
41016	3	1	4
41016	4	2	2
41016	5	4	1
41016	6	11	1
41017	1	1	8
41017	2	10	5
41017	3	9	4
41017	4	2	2
41017	5	4	1
41018	1	9	10
41018	2	10	5
41018	3	8	3
41018	4	1	2
41019	1	9	15
41019	2	10	5
41020	1	1	7
41020	2	10	5
41020	3	9	4
41020	4	4	3
41020	5	11	1
41021	1	9	14
41021	2	10	6
41022	1	1	7
41022	2	10	5
41022	3	9	3
41022	4	2	3
41022	5	4	2
41023	1	10	6
41023	2	1	6
41023	3	9	5
41023	4	2	2
41023	5	4	1
41024	1	1	8
41024	2	10	5
41024	3	9	4
41024	4	4	2
41024	5	2	1
41025	1	1	9
41025	2	10	4
41025	3	9	4
41025	4	2	2
41025	5	4	1
41026	1	1	10
41026	2	9	5
41026	3	10	3
41026	4	4	2
41027	1	6	15
41027	2	8	5
41028	1	8	17
41028	2	1	3
41029	1	8	20
41031	1	9	15
41031	2	10	5
41032	1	6	20
41033	1	10	12
41033	2	9	6
41033	3	11	2
41034	1	8	20
41035	1	6	16
41035	2	8	4
41036	1	10	20
41037	1	10	19
41037	2	11	1
41039	1	8	20
41040	1	8	12
41040	2	6	8
41041	1	7	15
41041	2	10	5
41042	1	8	20
41043	1	8	18
41043	2	11	2
41044	1	8	15
41044	2	1	5
41045	1	8	15
41045	2	9	3
41045	3	10	2
41046	1	8	17
41046	2	1	3
41047	1	1	10
41047	2	2	4
41047	3	9	3
41047	4	10	2
41047	5	4	1
41048	1	10	7
41048	2	1	5
41048	3	9	5
41048	4	4	3
41049	1	5	13
41049	2	10	4
41049	3	8	3
41050	1	8	15
41050	2	11	5
51001	1	1	13
51001	2	10	7
51002	1	10	8
51002	2	1	4
51002	3	9	8
51003	1	8	7
51003	2	1	5
51003	3	9	5
51003	4	2	2
51003	5	11	1
51004	1	1	12
51004	2	9	5
51004	3	10	2
51004	4	11	1
51005	1	1	7
51005	2	8	6
51005	3	9	4
51005	4	10	3
51006	1	5	10
51006	2	9	5
51006	3	1	3
51006	4	10	2
51007	1	8	12
51007	2	9	3
51007	3	1	3
51007	4	10	2
51008	1	1	12
51008	2	9	6
51008	3	10	2
51009	1	8	12
51009	2	1	8
51010	1	1	12
51010	2	6	5
51010	3	9	2
51010	4	10	1
51011	1	8	13
51011	2	6	7
51012	1	10	15
51012	2	1	5
51012	3	8	5
51013	1	1	9
51013	2	9	6
51013	3	10	3
51013	4	11	2
51014	1	8	8
51014	2	9	6
51014	3	10	6
51015	1	9	14
51015	2	10	4
51015	3	11	2
51016	1	1	12
51016	2	9	6
51016	3	10	2
51018	1	6	20
51019	1	8	8
51019	2	10	5
51019	3	9	4
51019	4	11	3
51020	1	9	15
51020	2	1	5
51021	1	9	8
51021	2	8	8
51021	3	10	4
51022	1	1	12
51022	2	9	5
51022	3	2	3
51023	1	8	10
51023	2	10	6
51023	3	1	2
51023	4	9	2
51024	1	6	15
51024	2	8	5
51025	1	9	15
51025	2	2	5
51026	1	7	10
51026	2	1	4
51026	3	8	6
51027	1	10	14
51027	2	8	6
51028	1	8	10
51028	2	9	7
51028	3	10	3
51029	1	9	14
51029	2	1	4
51029	3	10	2
51030	1	1	16
51030	2	2	2
51030	3	11	2
51031	1	1	13
51031	2	10	5
51031	3	9	2
51032	1	5	14
51032	2	1	4
51032	3	9	2
51033	1	10	15
51033	2	2	5
51034	1	10	15
51034	2	8	5
51035	1	10	20
51036	1	10	9
51036	2	1	8
51036	3	8	2
51036	4	9	1
51037	1	1	15
51037	2	9	3
51037	3	10	2
51038	1	10	17
51038	2	1	3
51039	1	9	15
51039	2	1	5
51040	1	1	9
51040	2	8	6
51040	3	9	3
51040	4	11	2
51041	1	1	7
51041	2	10	6
51041	3	9	5
51041	4	8	2
51042	1	9	10
51042	2	10	7
51042	3	11	3
51043	1	9	13
51043	2	10	4
51043	3	11	3
51044	1	8	15
51044	2	10	5
51045	1	10	19
51045	2	11	1
51046	1	8	8
51046	2	1	6
51046	3	9	3
51046	4	10	2
51046	5	11	1
51048	1	1	10
51048	2	9	6
51048	3	10	3
51048	4	11	1
51049	1	8	12
51049	2	1	8
51050	1	9	15
51050	2	10	4
51050	3	11	1
61001	1	1	20
61002	1	1	15
61002	2	10	3
61002	3	9	2
61003	1	8	6
61003	2	1	4
61003	3	7	5
61003	4	9	3
61003	5	11	2
61004	1	9	6
61004	2	10	5
61004	3	1	3
61004	4	8	3
61004	5	11	3
61005	1	8	5
61005	2	10	10
61005	3	1	5
61006	1	10	19
61006	2	1	1
61007	1	10	9
61007	2	1	4
61007	3	9	4
61007	4	8	3
61008	1	9	9
61008	2	8	7
61008	3	10	4
61009	1	10	8
61009	2	9	6
61009	3	1	5
61009	4	11	1
61010	1	2	13
61010	2	1	4
61010	3	10	2
61010	4	11	1
61011	1	10	10
61011	2	9	5
61011	3	1	5
61012	1	8	20
