CHILDCODE	NREGIDR4	MEMREGR4	NEG1DYR4	NEG1WGR4	NEG2DYR4	NEG2WGR4
21001	1	1	20	1600	0	0
21001	2	2	20	1600	0	0
21001	3	3	20	1600	0	0
21002	1	1	5	400	0	0
21003	1	2	20	2000	0	0
21003	2	4	25	2500	0	0
21004	1	1	26	2660	0	0
21004	2	2	26	2600	0	0
21005	1	1	17	2040	0	0
21005	2	2	34	4080	0	0
21005	3	3	17	2040	0	0
21006	1	1	30	3120	15	900
21006	2	3	35	3750	15	935
21006	3	4	30	3145	12	860
21007	1	1	26	2080	0	0
21008	1	1	15	1200	0	0
21009	1	2	20	2000	0	0
21009	2	4	20	2000	0	0
21009	3	5	20	2000	0	0
21012	1	1	5	500	0	0
21014	1	2	30	3100	0	0
21015	1	2	5	400	18	1800
21015	2	1	0	0	18	1850
21016	1	2	20	2000	20	2000
21016	2	3	20	2000	0	0
21017	1	2	12	1104	0	0
21017	2	3	12	1140	20	1850
21017	3	4	12	1120	20	1800
21020	1	2	10	700	20	1800
21022	1	2	48	3840	0	0
21022	2	1	50	4000	0	0
21023	1	1	15	1500	0	0
21023	2	2	15	1500	0	0
21025	1	0	6	600	0	0
21025	2	1	39	3354	0	0
21025	3	2	39	3354	0	0
21026	1	1	25	2100	0	0
21026	2	2	25	2000	0	0
21026	3	0	12	900	0	0
21030	1	2	4	400	0	0
21030	2	3	4	400	0	0
21034	1	9	60	5400	0	0
21034	2	0	40	3600	0	0
21035	1	0	30	2890	0	0
21035	2	7	30	2850	0	0
21035	3	8	40	3800	0	0
21039	1	5	7	560	0	0
21039	2	0	15	1200	0	0
21046	1	1	30	2100	0	0
21046	2	2	30	2100	0	0
21047	1	1	40	3200	0	0
21047	2	2	40	3200	0	0
21047	3	0	20	1800	0	0
31024	1	2	19	1870	0	0
41001	1	1	28	3000	20	2000
41001	2	2	28	3000	20	2000
41002	1	1	30	2400	20	1600
41002	2	2	20	1600	20	1600
41002	3	3	30	2400	20	1800
41002	4	4	30	2700	20	1600
41003	1	29	0	0	50	5000
41003	2	0	0	0	50	5000
41004	1	1	0	0	50	5000
41005	1	1	50	4500	0	0
41005	2	2	50	4500	0	0
41006	1	1	40	3200	0	0
41006	2	2	40	3200	0	0
41006	3	29	20	1600	0	0
41007	1	2	0	0	18	1490
41007	2	3	0	0	23	2048
41009	1	1	30	3500	15	2000
41009	2	2	30	3500	15	2000
41010	1	1	25	2000	0	0
