CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4
91026	3	53	7
91027	1	45	0
91029	1	60	1
91041	1	53	22.5
91041	2	68	20
91041	3	18	31
91042	1	18	10
91043	1	53	20
91044	1	18	10
91046	1	53	78
91046	2	16	0
91046	3	58	5
91047	1	18	6
91047	2	68	5
111001	1	23	10
111001	2	32	0
111001	3	37	1
111002	1	23	60
111003	1	23	50
111007	1	23	28
111008	1	23	44
111009	1	23	18
111010	1	23	30
111011	1	23	23
111012	1	23	6
111013	1	23	80
111014	1	23	185
111015	1	23	7.5
111017	1	32	12
111018	1	23	86
111019	1	32	20
111019	2	30	0
111020	1	32	2
111021	1	53	50
111022	1	32	2
111023	1	32	6
111024	1	32	20
111025	1	32	40
111026	1	32	15
111027	1	32	32
111027	2	30	2
111027	3	23	16
111028	1	32	14
111029	1	32	20
111030	1	13	15
111030	2	32	8.39999961853027
111030	3	30	.400000005960464
111031	1	13	20
111031	2	32	16.7999992370605
111031	3	23	5
111031	4	35	8
111032	1	32	10
111033	1	32	20
111033	2	30	1
111034	1	32	6
111034	2	30	.5
111035	1	32	4.19999980926514
111035	2	30	.300000011920929
111036	1	13	5
111036	2	32	5.40000009536743
111038	1	32	16
111038	2	23	40
111039	1	23	30
111039	2	32	20
111040	1	23	120
111040	2	32	33
111040	3	13	12
111044	1	32	20
111047	1	13	12
111047	2	32	5
111047	3	30	1
111048	1	32	28
111048	2	13	10
111049	1	32	3
111050	1	23	8
111050	2	32	5
111050	3	37	3
111051	1	32	7.55999994277954
111051	2	20	.5
111051	3	30	.5
111053	1	23	15
111057	1	32	2.40000009536743
111057	2	30	.100000001490116
121003	1	32	18
121003	2	30	1
121007	1	32	4.80000019073486
121012	1	32	12
121012	2	30	2
121012	3	53	3
121012	4	74	2
121015	1	44	60
121015	2	74	40
121015	3	72	16
121017	1	32	40
121017	2	53	60
121020	1	32	20
121024	1	32	4
121024	2	53	8
121026	1	57	3
121027	1	32	45
121027	2	20	3
121028	1	32	36
121029	1	57	5
121030	1	32	14
121032	1	32	19.5
121036	1	32	80
121037	1	32	6.30000019073486
121037	2	20	.300000011920929
121038	1	44	5
121039	1	32	2.51999998092651
121039	2	30	1
121044	1	32	5
121047	1	32	20
121049	1	32	4.19999980926514
121049	2	20	.200000002980232
121050	1	32	28
121050	2	37	10
131001	1	32	2.55999994277954
131001	2	57	1.5
131003	1	32	1
131005	1	32	1.5
131006	1	32	2.79999995231628
131006	2	20	.100000001490116
131010	1	45	0
131010	2	53	12
131010	3	57	15
131011	1	13	4
131013	1	46	4
131013	2	53	10
131013	3	57	15
131014	1	46	7.5
131014	2	52	2.5
131015	1	32	4
131019	1	32	3
131020	1	18	1
131020	2	57	5
131021	1	32	4.80000019073486
131021	2	57	1
131021	3	30	.800000011920929
131021	4	20	.400000005960464
131022	1	57	5
131023	1	32	0
131024	1	32	1.5
131024	2	30	.200000002980232
131025	1	32	1
131026	1	32	4
131026	2	20	.100000001490116
131027	1	37	7
131027	2	57	6
131028	1	74	4
131029	1	32	2
131030	1	57	7
131030	2	18	2
131030	3	16	1
131032	1	32	2
131034	1	32	5
131035	1	32	4
131037	1	32	6
131039	1	32	5.59000015258789
131039	2	30	.600000023841858
131040	1	32	2.09999990463257
131041	1	32	1
131043	1	57	5
131043	2	53	13
131043	3	23	2
131044	1	53	40
131044	2	57	10
131044	3	32	4
131044	4	24	1
131044	5	74	150
131045	1	32	8
131046	1	37	2
131048	1	32	3
131048	2	53	1.5
151001	1	18	93
151001	2	30	24
151003	1	18	30
151003	2	53	40
151004	1	53	32
151005	1	18	9
151005	2	53	8
151008	1	53	40
151008	2	18	19
151009	1	18	24
151010	1	18	40
151010	2	53	10
151011	1	18	7
151012	1	53	90
151012	2	18	18
151012	3	23	6
151012	4	30	8
151013	1	18	10
151013	2	53	35
151015	1	53	70
151015	2	18	15
151015	3	23	1
151016	1	53	7
151017	1	18	24
151017	2	53	5
151018	1	53	120
151019	1	18	15
151019	2	53	15
151021	1	18	24
151021	2	53	35
151023	1	18	60
151023	2	53	40
151024	1	18	13
151025	1	18	20
151027	1	18	20
151028	1	53	70
151029	1	18	26
151033	1	18	22
151033	2	53	56
151034	1	18	18
151035	1	18	9
151036	1	18	9
151036	2	53	38
151038	1	18	30
151038	2	53	20
151039	1	53	40
151039	2	18	14
151040	1	18	72
151040	2	53	50
151041	1	18	32
151041	2	53	18
151042	1	18	24
151043	1	18	4
151045	1	18	40
151045	2	53	56
151047	1	18	10
161003	1	18	12
161003	2	44	10
161008	1	57	5
161008	2	18	16
161009	1	18	40
161009	2	16	10
161009	3	53	20
161011	1	18	12
161011	2	53	3
161011	3	32	20
161013	1	18	50
161013	2	44	30
161013	3	53	10
161015	1	18	50
161015	2	44	20
161015	3	32	18
161015	4	53	10
161016	1	18	50
161016	2	44	20
161018	1	18	49
161021	1	18	30
161021	2	53	12
161022	1	18	10
161022	2	30	6
161024	1	18	102
161025	1	18	25
161026	1	18	30
161026	2	44	30
161026	3	53	14
161027	1	18	38
161028	1	18	40
161028	2	16	10
161029	1	18	50
161029	2	16	15
161029	3	53	42
161030	1	18	25
161033	1	18	18
161036	1	18	38
161036	2	32	8
161041	1	18	12
161045	1	18	4
161045	2	23	3
161046	1	18	12
161049	1	18	80
161049	2	37	20
161049	3	53	20
161049	4	32	25
161049	5	48	20
171003	1	53	6
171004	1	53	147
171005	1	44	15
171005	2	53	31.5
171005	3	37	2
171006	1	53	36
171006	2	44	0
171006	3	32	3
171007	1	53	8
171007	2	32	8
171008	1	32	15
171008	2	53	15
171008	3	44	0
171009	1	53	28
171009	2	44	2
171010	1	53	11
171011	1	53	11
171011	2	16	1
171012	1	37	1
171012	2	52	1
171013	1	44	20
171013	2	37	2
171013	3	30	.5
171013	4	53	7
171014	1	53	25
171014	2	37	0
171014	3	32	10
171014	4	44	10
171017	1	44	4
171017	2	37	2
171019	1	44	8.19999980926514
171019	2	37	4
171019	3	53	4
171019	4	30	.5
171020	1	53	30
171020	2	44	10
171021	1	37	5
171022	1	18	8
171022	2	53	33
171022	3	16	5
171023	1	44	2.5
171023	2	53	4
171024	1	37	8
171024	2	44	9
171024	3	72	1
171024	4	53	4.80000019073486
171025	1	37	4
171025	2	44	5
171026	1	53	49
171027	1	44	10
171027	2	53	9
171028	1	53	4
171029	1	13	.699999988079071
171029	2	37	.479999989271164
171029	3	30	.300000011920929
171031	1	52	2
171032	1	53	110
171032	2	37	2
171032	3	30	1
171033	1	18	6
171035	1	44	5
171035	2	37	2
171035	3	30	1
171038	1	44	40
171040	1	44	6
171042	1	32	20.25
171043	1	44	18
171045	1	53	18
171046	1	18	8
171046	2	53	12
171046	3	37	4
171046	4	44	8
171047	1	18	8
171047	2	44	20
171047	3	53	12
171048	1	53	10
171048	2	44	8
171048	3	48	1
171049	1	32	9
171049	2	53	25.2000007629395
171050	1	44	25
171050	2	53	96
181001	1	53	35
181002	1	53	20
181004	1	53	14
181007	1	13	.5
181007	2	53	7.5
181008	1	53	17
181008	2	32	17
181010	1	53	45
181010	2	13	5
181010	3	30	4
181011	1	32	24
181011	2	13	8
181011	3	16	1
181013	1	32	12
181014	1	13	3
181019	1	18	15
181019	2	13	15
181019	3	30	10
181019	4	53	77
181020	1	13	7.5
181020	2	18	2.5
181020	3	53	30
181020	4	30	1
181021	1	53	56
181023	1	53	40
181023	2	37	3
181025	1	53	27
181025	2	13	5
181025	3	37	4
181025	4	60	.600000023841858
181026	1	37	2
181026	2	60	.5
181026	3	53	105
181027	1	53	14
181027	2	32	10
181028	1	53	8
181028	2	37	2
181029	1	53	70
181029	2	23	21
181029	3	37	2
181029	4	58	1
181030	1	53	40
181030	2	23	7
181030	3	37	8
181030	4	58	.5
181031	1	32	8
181031	2	53	25
181032	1	53	30
181036	1	32	6
181036	2	53	14
181037	1	53	45
181038	1	32	28
181038	2	53	22.5
181038	3	37	4
181038	4	30	2
181039	1	37	3
181040	1	18	10
181040	2	32	7
181040	3	53	24
181041	1	18	20
181048	1	13	5
181048	2	53	20
181048	3	18	3
181049	1	13	2
181049	2	18	10
191002	1	18	1
191002	2	13	3
191003	1	52	.150000005960464
191004	1	18	1
191004	2	52	2
191005	1	52	9
191006	1	53	10.5
191006	2	13	.00999999977648258
191006	3	30	.00999999977648258
191007	1	18	5
191007	2	52	5
191008	1	13	7
191008	2	52	1
191008	3	18	7
191011	1	18	4.5
191011	2	53	7
191012	1	13	3
191012	2	18	8.5
191013	1	32	10.1999998092651
191013	2	13	5
191014	1	13	5
191014	2	30	1
191015	1	53	21
191015	2	18	10
191015	3	13	64
191016	1	18	5
191017	1	13	7
191021	1	13	6
191022	1	18	2.5
191023	1	25	200
191024	1	18	5
191024	2	53	10
191027	1	18	4.5
191027	2	50	15
191027	3	53	18.75
191027	4	74	20
191028	1	18	1.5
191028	2	16	.5
191029	1	53	30
191029	2	32	10
191029	3	18	3
191029	4	26	14
191030	1	18	3
191030	2	53	30
191030	3	74	6
191031	1	13	1
191031	2	18	1
191032	1	18	4.5
191032	2	53	16
191032	3	74	15
191033	1	18	1
191033	2	52	.200000002980232
191033	3	13	.5
191034	1	18	3
191034	2	53	20
191034	3	32	6
191035	1	18	2
191035	2	72	7
191035	3	53	6
191036	1	13	2
191036	2	30	.0500000007450581
191036	3	18	1.75
191037	1	18	2.5
191038	1	18	9
191038	2	53	3.20000004768372
191040	1	18	3
191040	2	53	15
191045	1	25	240
191045	2	74	480
191045	3	18	3.5
191045	4	32	46
191046	1	18	11
191046	2	37	3.20000004768372
191046	3	16	.899999976158142
191046	4	52	2
191047	1	18	6
191047	2	13	10
191047	3	32	5.5
191048	1	53	4
191049	1	18	3
191050	1	18	4.5
191050	2	53	11
201023	1	 	 
