PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
101	1	13	2015	2	13	88	1	1	88	 
101	2	16	2015	2	10	8	1	1	88	 
101	3	16	2016	2	10	8	1	1	88	 
101	4	13	2016	2	13	88	1	1	88	 
102	1	16	2013	3	12	6	1	1	3	88
102	2	16	2014	3	12	6	1	1	3	88
102	3	16	2015	3	12	6	1	1	3	88
102	4	13	2015	3	17	88	1	1	3	88
102	5	16	2016	3	12	6	1	1	3	88
201	1	11	2016	3	10	88	1	0	 	 
202	1	13	2013	2	6	88	1	1	88	 
202	2	12	2013	2	6	88	1	0	 	 
202	3	13	2014	2	6	88	1	1	88	 
202	4	12	2014	2	6	88	1	0	 	 
202	5	13	2015	2	6	88	1	1	0	 
203	1	13	2013	2	6	88	1	1	88	 
203	2	13	2013	2	6	88	1	1	88	 
203	3	13	2014	2	6	88	1	1	88	 
203	4	13	2014	2	6	88	1	1	88	 
203	5	13	2015	2	6	88	1	1	88	 
203	6	13	2015	2	6	88	1	1	88	 
203	7	13	2016	2	6	88	1	1	88	 
203	8	13	2016	2	6	88	1	1	88	 
203	9	12	2016	1	6	88	3	0	 	 
204	1	16	2014	2	6	88	1	1	88	 
204	2	13	2014	2	6	88	1	1	88	 
204	3	13	2014	8	6	88	1	1	88	 
204	4	13	2015	1	6	88	1	1	88	 
204	5	13	2015	8	6	88	1	1	88	 
204	6	13	2015	2	6	88	1	1	88	 
204	7	16	2016	2	6	88	1	1	88	 
205	1	13	2014	3	6	88	1	1	88	 
301	1	16	2016	3	19	10	1	0	 	 
301	2	12	2014	6	6	88	3	0	 	 
301	3	12	2015	6	6	88	3	0	 	 
301	4	12	2016	6	6	88	3	0	 	 
304	1	16	2013	4	6	10	2	0	 	 
304	2	16	2014	3	6	88	2	0	 	 
304	3	16	2015	3	6	88	2	0	 	 
304	4	16	2016	3	6	10	2	0	 	 
305	1	4	2013	4	5	10	1	0	 	 
305	2	12	2014	12	6	88	4	0	 	 
305	3	16	2016	3	19	88	3	0	 	 
306	1	12	2015	4	6	88	4	0	 	 
307	1	4	2016	3	6	88	1	1	88	 
307	2	11	2016	3	10	88	1	0	 	 
308	1	16	2016	3	6	10	1	1	88	 
309	1	16	2015	6	10	88	2	1	88	 
310	1	16	2014	1	19	10	1	0	 	 
310	2	16	2015	1	19	10	1	0	 	 
310	3	16	2016	1	19	10	1	0	 	 
310	4	12	2016	8	6	5	1	1	88	 
311	1	4	2013	3	10	88	1	0	 	 
311	2	4	2014	3	10	88	1	0	 	 
311	3	4	2015	3	10	88	1	0	 	 
