PLACEID	TLPLIDR5	PLCETLT	PERCUSE
101	1	1	70
101	2	0	 
101	3	0	 
101	4	1	30
101	5	0	 
101	6	0	 
101	7	0	 
101	8	0	 
102	1	1	40
102	2	0	 
102	3	1	20
102	4	0	 
102	5	0	 
102	6	0	 
102	7	0	 
102	8	1	40
201	1	0	 
201	2	0	 
201	3	0	 
201	4	1	90
201	5	0	 
201	6	1	10
201	7	0	 
201	8	0	 
202	1	0	 
202	2	0	 
202	3	0	 
202	4	1	80
202	5	0	 
202	6	1	20
202	7	0	 
202	8	0	 
203	1	0	 
203	2	0	 
203	3	0	 
203	4	1	70
203	5	0	 
203	6	1	30
203	7	0	 
203	8	0	 
204	1	0	 
204	2	0	 
204	3	0	 
204	4	1	30
204	5	0	 
204	6	1	20
204	7	0	 
204	8	1	50
205	1	1	80
205	2	0	 
205	3	0	 
205	4	1	20
205	5	0	 
205	6	0	 
205	7	0	 
205	8	0	 
301	1	0	 
301	2	0	 
301	3	0	 
301	4	1	100
301	5	0	 
301	6	0	 
301	7	0	 
301	8	0	 
304	1	1	80
304	2	0	 
304	3	0	 
304	4	1	20
304	5	0	 
304	6	0	 
304	7	0	 
304	8	0	 
305	1	0	 
305	2	0	 
305	3	0	 
305	4	1	100
305	5	0	 
305	6	0	 
305	7	0	 
305	8	0	 
306	1	0	 
306	2	0	 
306	3	0	 
306	4	1	100
306	5	0	 
306	6	0	 
306	7	0	 
306	8	0	 
307	1	0	 
307	2	0	 
307	3	0	 
307	4	1	98
307	5	0	 
307	6	1	2
307	7	0	 
307	8	0	 
308	1	1	100
308	2	0	 
308	3	0	 
308	4	0	 
308	5	0	 
308	6	0	 
308	7	0	 
308	8	0	 
309	1	0	 
309	2	0	 
309	3	0	 
309	4	1	90
309	5	0	 
309	6	1	10
309	7	0	 
309	8	0	 
310	1	0	 
310	2	0	 
310	3	0	 
310	4	0	 
310	5	0	 
310	6	0	 
310	7	0	 
310	8	1	100
311	1	0	 
311	2	0	 
311	3	0	 
311	4	1	100
311	5	0	 
311	6	0	 
311	7	0	 
311	8	0	 
312	1	0	 
312	2	0	 
312	3	0	 
312	4	1	100
312	5	0	 
312	6	0	 
312	7	0	 
312	8	0	 
313	1	0	 
313	2	0	 
313	3	0	 
313	4	0	 
313	5	0	 
313	6	0	 
313	7	0	 
313	8	1	100
314	1	1	10
314	2	0	 
314	3	0	 
314	4	1	10
314	5	0	 
314	6	1	80
314	7	0	 
314	8	0	 
401	1	1	100
401	2	0	 
401	3	0	 
401	4	0	 
401	5	0	 
401	6	0	 
401	7	0	 
401	8	0	 
402	1	1	100
402	2	0	 
402	3	0	 
402	4	0	 
402	5	0	 
402	6	0	 
402	7	0	 
402	8	0	 
403	1	1	99
403	2	0	 
403	3	0	 
403	4	1	1
403	5	0	 
403	6	0	 
403	7	0	 
403	8	0	 
404	1	1	90
404	2	0	 
404	3	0	 
404	4	1	10
404	5	0	 
404	6	0	 
404	7	0	 
404	8	0	 
405	1	0	 
405	2	0	 
405	3	0	 
405	4	1	100
405	5	0	 
405	6	0	 
405	7	0	 
405	8	0	 
406	1	1	80
406	2	0	 
406	3	0	 
406	4	1	20
406	5	0	 
406	6	0	 
406	7	0	 
406	8	0	 
408	1	1	80
408	2	0	 
408	3	0	 
408	4	1	20
408	5	0	 
408	6	0	 
408	7	0	 
408	8	0	 
501	1	1	90
501	2	0	 
501	3	0	 
501	4	1	10
501	5	0	 
501	6	0	 
501	7	0	 
501	8	0	 
503	1	1	85
503	2	0	 
503	3	0	 
503	4	1	15
503	5	0	 
503	6	0	 
503	7	0	 
503	8	0	 
504	1	0	 
504	2	0	 
504	3	0	 
504	4	1	100
504	5	0	 
504	6	0	 
504	7	0	 
504	8	0	 
505	1	0	 
505	2	0	 
505	3	0	 
505	4	1	100
505	5	0	 
505	6	0	 
505	7	0	 
505	8	0	 
507	1	0	 
507	2	0	 
507	3	0	 
507	4	1	100
507	5	0	 
507	6	0	 
507	7	0	 
507	8	0	 
508	1	0	 
508	2	0	 
508	3	0	 
508	4	1	100
508	5	0	 
508	6	0	 
508	7	0	 
508	8	0	 
509	1	0	 
509	2	0	 
509	3	0	 
509	4	1	100
509	5	0	 
509	6	0	 
509	7	0	 
509	8	0	 
510	1	1	10
510	2	0	 
510	3	0	 
510	4	1	90
510	5	0	 
510	6	0	 
510	7	0	 
510	8	0	 
511	1	0	 
511	2	0	 
511	3	0	 
511	4	1	100
511	5	0	 
511	6	0	 
511	7	0	 
511	8	0	 
512	1	1	80
512	2	0	 
512	3	0	 
512	4	1	20
512	5	0	 
512	6	0	 
512	7	0	 
512	8	0	 
