PLACEID	DWAGIDR5	EARNMALE	EARNFMLE
101	1	-1111	-1111
101	2	60	60
101	3	80	-1111
101	4	30	30
102	1	-8888	-8888
102	2	-8888	-8888
102	3	45	-1111
102	4	30	30
201	1	30	-1111
201	2	30	30
201	3	50	-1111
201	4	40	-1111
202	1	-1111	-1111
202	2	30	30
202	3	30	-1111
202	4	35	-1111
203	1	-1111	-1111
203	2	50	-1111
203	3	40	-1111
203	4	30	-1111
204	1	-1111	-1111
204	2	35	35
204	3	50	-1111
204	4	30	-1111
205	1	-1111	-1111
205	2	30	40
205	3	50	-1111
205	4	30	-1111
301	1	-1111	-1111
301	2	10	10
301	3	35	-1111
301	4	-8888	-8888
304	1	-1111	-1111
304	2	25	-1111
304	3	30	-1111
304	4	-8888	-8888
305	1	-1111	-1111
305	2	15	-1111
305	3	30	-1111
305	4	-8888	-8888
306	1	-1111	-1111
306	2	15	15
306	3	40	-1111
306	4	-8888	-8888
307	1	-1111	-1111
307	2	25	-1111
307	3	40	-1111
307	4	-8888	-8888
308	1	-1111	-1111
308	2	30	-1111
308	3	35	-1111
308	4	20	20
309	1	-1111	-1111
309	2	25	25
309	3	30	-1111
309	4	-8888	-8888
310	1	-1111	-1111
310	2	10	10
310	3	30	-1111
310	4	-8888	-8888
311	1	-1111	-1111
311	2	-2222	-1111
311	3	60	-1111
311	4	-8888	-8888
312	1	-1111	-1111
312	2	20	-1111
312	3	20	-1111
312	4	-1111	-1111
313	1	-1111	-1111
313	2	25	-1111
313	3	35	-8888
313	4	-8888	-8888
314	1	-1111	-1111
314	2	15	-1111
314	3	30	-1111
314	4	-8888	-8888
401	1	-1111	-1111
401	2	25	20
401	3	45	-1111
401	4	-8888	-8888
402	1	-1111	-1111
402	2	20	20
402	3	40	-1111
402	4	60	-1111
403	1	-1111	-1111
403	2	20	20
403	3	40	-1111
403	4	-8888	-8888
404	1	-1111	-1111
404	2	20	20
404	3	50	-1111
404	4	-8888	-8888
405	1	-1111	-1111
405	2	20	20
405	3	30	-1111
405	4	-8888	-8888
406	1	-1111	-1111
406	2	30	-1111
406	3	50	-1111
406	4	-8888	-8888
408	1	-1111	-1111
408	2	20	20
408	3	40	-1111
408	4	-8888	-8888
501	1	-1111	-1111
501	2	25	25
501	3	30	-1111
501	4	30	-1111
