PLACEID	SERVIDR5	SERVAVLB
101	1	0
101	2	1
101	3	1
101	4	1
101	5	1
101	6	1
101	7	1
101	8	1
101	9	1
101	10	1
101	11	1
101	12	1
101	13	1
101	14	1
101	15	1
101	16	1
101	17	1
101	18	1
101	19	1
101	20	1
101	21	1
101	22	1
101	23	1
101	24	1
101	25	0
101	27	1
101	28	0
101	29	1
101	32	1
102	1	1
102	2	1
102	3	0
102	4	0
102	5	1
102	6	0
102	7	1
102	8	0
102	9	1
102	10	1
102	11	1
102	12	1
102	13	1
102	14	1
102	15	1
102	16	1
102	17	1
102	18	1
102	19	1
102	20	1
102	21	0
102	22	0
102	23	0
102	24	1
102	25	0
102	27	1
102	28	88
102	29	1
102	32	1
201	1	1
201	2	1
201	3	88
201	4	0
201	5	0
201	6	1
201	7	1
201	8	0
201	9	1
201	10	1
201	11	0
201	12	1
201	13	1
201	14	1
201	15	0
201	16	0
201	17	0
201	18	0
201	19	0
201	20	0
201	21	0
201	22	0
201	23	0
201	24	1
201	25	0
201	27	0
201	28	88
201	29	0
201	32	1
202	1	1
202	2	1
202	3	88
202	4	0
202	5	0
202	6	0
202	7	0
202	8	0
202	9	1
202	10	1
202	11	1
202	12	1
202	13	1
202	14	1
202	15	0
202	16	0
202	17	1
202	18	0
202	19	0
202	20	0
202	21	0
202	22	0
202	23	0
202	24	1
202	25	0
202	27	0
202	28	0
202	29	0
202	32	1
203	1	0
203	2	1
203	3	0
203	4	0
203	5	0
203	6	0
203	7	1
203	8	0
203	9	1
203	10	1
203	11	0
203	12	0
203	13	1
203	14	1
203	15	1
203	16	0
203	17	1
203	18	0
203	19	0
203	20	0
203	21	0
203	22	0
203	23	0
203	24	1
203	25	0
203	27	0
203	28	88
203	29	1
203	32	1
204	1	0
204	2	1
204	3	88
204	4	0
204	5	0
204	6	0
204	7	1
204	8	0
204	9	1
204	10	1
204	11	0
204	12	1
204	13	1
204	14	1
204	15	0
204	16	1
204	17	1
204	18	0
204	19	0
204	20	0
204	21	0
204	22	0
204	23	0
204	24	1
204	25	0
204	27	0
204	28	88
204	29	1
204	32	1
205	1	0
205	2	1
205	3	88
205	4	0
205	5	1
205	6	1
205	7	1
205	8	0
205	9	1
205	10	0
205	11	1
205	12	1
205	13	1
205	14	1
205	15	1
205	16	0
205	17	1
205	18	0
205	19	0
205	20	0
205	21	0
205	22	0
205	23	0
205	24	1
205	25	0
205	27	0
205	28	88
205	29	1
205	32	1
301	1	0
301	2	0
301	3	88
301	4	0
301	5	0
301	6	0
301	7	0
301	8	0
301	9	0
301	10	0
301	11	0
301	12	0
301	13	1
301	14	1
301	15	1
301	16	0
301	17	0
301	18	0
301	19	0
301	20	0
301	21	0
301	22	0
301	23	0
301	24	0
301	25	0
301	27	0
301	28	0
301	29	0
301	32	1
304	1	0
304	2	1
