PLACEID	ANFDIDR5	ITEM	PRICE	ACCOUNT
101	1	PESCADO	7	1
101	2	POLLO	8.5	1
101	3	CARNE	12	1
102	1	P0LLO	10	1
102	2	PESCADO	10	1
102	3	LECHE	3	2
201	1	PESCADO	8	1
201	2	POLLO	10	1
201	3	CABRITO	12	1
202	1	PESCADO	8	1
202	2	POLLO	8.5	1
202	3	LECHE	3.29999995231628	2
203	1	PESCADO	7	1
203	2	POLLO	10	1
203	3	HUEVO	.400000005960464	2
204	1	POLLO	9	1
204	2	PESCADO	7	1
204	3	LECHE	3.59999990463257	2
205	1	POLLO	8.5	1
205	2	PESCADO	7	1
205	3	CHANCHO	10	1
301	1	LECHE	3.20000004768372	2
301	2	HUEVO	5.80000019073486	1
301	3	QUESO	10	1
304	1	CHANCHO	12	1
304	2	QUESO	8	1
304	3	POLLO	12	1
305	1	HUEVO	.349999994039536	2
305	2	CHANCHO	12	1
305	3	QUESO	8	1
306	1	LECHE	2.5	3
306	2	QUESO	12	1
306	3	HUEVO	.300000011920929	2
307	1	POLLO	10	1
307	2	HUEVOS	.400000005960464	2
307	3	LECHE	1.5	3
308	1	POLLO	10	1
308	2	QUESO	14	1
308	3	CHANCHO	14	1
309	1	QUESO	12	1
309	2	POLLO	10	1
309	3	CHANCHO	12	1
310	1	HUEVO	.25	2
310	2	QUESO	10	1
310	3	LECHE	2	3
311	1	QUESO	12	1
311	2	HUEVOS	.300000011920929	2
311	3	LECHE	2	3
312	1	QUESO	10	1
312	2	POLLO	10	1
312	3	LECHE	1.5	3
313	1	POLLO	10	1
313	2	CHANCHO	14	1
313	3	HUEVOS	.300000011920929	2
314	1	POLLO	11	1
314	2	CHANCHO	14	1
314	3	HUEVO	.300000011920929	2
401	1	POLLO	9	1
401	2	HUEVOS	.300000011920929	2
401	3	RES	12	1
402	1	POLLO	7	1
402	2	HUEVO	5	1
402	3	LECHE	3.5	2
403	1	POLLO	10	1
403	2	HUEVO	5	1
403	3	LECHE	3	2
404	1	POLLO	10	1
