PLACEID	RSID	AGERES	SEXRES	CAPAC
511	8	27	1	4
512	1	31	2	3
512	2	52	2	7
512	3	58	2	7
512	4	40	2	7
512	5	28	1	7
512	6	49	1	4
512	7	45	1	2
601	1	70	1	8
601	2	26	2	7
601	3	62	1	4
601	4	56	1	3
601	5	37	2	7
601	6	35	1	7
601	7	56	2	7
601	8	79	1	8
602	1	35	2	2
602	2	58	1	4
602	3	26	2	2
602	4	24	2	7
602	5	28	2	7
602	6	20	2	7
602	7	45	1	7
602	8	34	2	7
602	9	44	1	7
602	10	51	1	3
701	1	44	2	3
701	2	42	2	3
701	3	40	2	10
701	4	25	2	7
701	5	41	1	9
701	6	48	2	10
701	7	31	2	10
701	8	56	1	7
701	9	33	1	7
701	10	48	1	7
701	11	38	2	7
701	12	41	2	4
701	13	48	2	4
702	1	62	2	9
702	2	27	2	3
702	3	48	1	3
702	4	40	2	3
702	5	38	2	4
702	6	33	1	7
702	7	30	2	7
702	8	26	2	10
702	9	46	2	10
702	10	22	2	3
702	11	36	2	3
703	1	71	1	10
703	2	62	1	9
703	3	35	1	9
703	4	50	1	9
703	5	46	2	7
703	6	33	2	7
703	7	32	2	10
703	8	36	2	7
703	9	49	2	10
703	10	55	2	10
704	1	45	1	9
704	2	31	1	10
704	3	26	1	9
704	4	64	1	9
704	5	86	2	10
704	6	40	2	10
704	7	67	2	10
704	8	37	1	10
704	9	44	2	10
704	10	48	2	4
704	11	56	1	9
704	12	26	2	3
704	13	43	2	3
704	14	65	2	7
801	1	54	1	2
801	2	46	1	2
801	3	29	1	2
801	4	50	2	9
801	5	39	1	10
801	6	55	1	9
801	7	31	1	3
801	8	32	2	3
801	9	34	2	3
801	10	39	1	2
801	11	26	2	7
801	12	41	2	7
801	13	40	1	7
801	14	48	1	7
801	15	40	2	7
802	1	41	2	3
802	2	55	2	3
802	3	40	1	3
802	4	37	1	10
802	5	36	1	10
802	6	40	1	10
802	7	29	2	3
802	8	36	1	10
802	9	42	2	7
802	10	55	1	7
802	11	61	2	7
802	12	38	1	7
802	13	28	1	3
802	14	29	2	2
803	1	68	1	2
803	2	56	2	2
803	3	48	1	9
803	4	50	1	9
803	5	46	2	9
803	6	49	2	9
803	7	44	2	4
803	8	58	1	2
803	9	46	1	10
803	10	41	2	7
803	11	46	2	7
803	12	51	2	7
901	1	55	1	1
901	2	45	2	4
901	3	32	1	4
901	4	49	1	3
901	5	49	2	3
901	6	38	2	3
901	7	50	1	7
901	8	34	1	2
901	9	48	2	2
901	10	48	1	7
901	11	36	1	2
901	12	28	2	2
902	1	55	1	4
902	2	37	2	4
902	3	46	1	3
902	4	46	1	9
902	5	52	1	2
902	6	38	2	7
902	7	38	2	7
902	8	63	1	10
903	1	34	1	3
903	2	40	1	3
903	3	44	1	9
903	4	54	1	9
903	5	48	2	4
903	6	37	2	4
903	7	61	2	7
903	8	33	2	10
904	1	33	2	3
904	2	54	2	4
904	3	38	2	4
904	4	28	2	10
904	5	46	1	10
904	6	56	1	10
904	7	62	2	7
904	8	39	1	10
904	9	35	1	7
905	1	46	1	4
905	2	42	1	4
905	3	40	1	7
905	4	38	2	3
905	5	36	2	3
905	6	45	1	7
905	7	57	1	1
905	8	50	1	10
905	9	36	1	10
905	10	43	1	1
906	1	48	1	9
906	2	38	1	3
906	3	55	2	3
906	4	55	1	2
906	5	42	1	10
906	6	40	2	7
906	7	37	2	4
906	8	52	2	10
907	1	30	1	7
907	2	43	1	10
907	3	59	1	10
907	4	47	1	4
907	5	28	2	4
907	6	35	1	10
907	7	35	1	10
907	8	50	1	2
907	9	48	1	9
907	10	41	1	10
908	1	27	2	1
908	2	28	2	7
908	3	35	1	1
908	4	40	1	9
908	5	38	1	9
908	6	37	1	9
908	7	77	1	1
908	8	40	2	7
908	9	40	1	3
908	10	30	2	3
908	11	52	2	4
909	1	58	1	9
909	2	32	2	4
909	3	53	2	4
909	4	26	2	10
909	5	96	1	7
909	6	48	1	10
909	7	41	1	2
909	8	65	2	7
910	1	46	1	9
910	2	55	1	9
910	3	34	1	10
910	4	26	1	10
910	5	56	1	9
910	6	43	2	4
910	7	44	2	4
910	8	48	1	10
911	1	54	1	1
911	2	37	1	10
911	3	30	1	2
911	4	31	1	7
911	5	28	1	7
911	6	42	2	4
911	7	29	2	4
912	1	66	1	10
912	2	30	2	10
912	3	53	1	4
912	4	30	2	4
912	5	56	1	1
912	6	40	1	2
912	7	52	1	7
912	8	46	1	7
912	9	38	1	7
1001	1	54	2	4
1001	2	35	1	4
1001	3	35	1	4
1001	4	38	1	10
1001	5	50	1	10
1001	6	31	2	3
1001	7	37	2	3
1001	8	46	1	3
1001	9	62	1	9
1001	10	28	2	3
1001	11	56	2	7
1001	12	42	2	7
1003	1	51	2	4
1003	2	32	2	4
1003	3	44	2	10
1003	4	48	2	9
1003	5	44	2	3
1003	6	23	2	7
1003	7	40	2	10
1003	8	28	2	3
1003	9	58	1	10
1003	10	67	1	7
1004	1	36	2	7
1004	2	50	2	7
1004	3	65	1	10
1004	4	35	1	9
1004	5	66	2	10
1004	6	26	2	3
1004	7	38	1	10
1004	8	22	2	3
1005	1	38	1	9
1005	2	53	1	9
1005	3	56	2	7
1005	4	48	2	7
1005	5	36	1	10
1005	6	41	1	9
1005	7	27	2	3
1005	8	32	2	3
1005	9	48	2	10
1006	1	89	1	9
1006	2	45	1	4
1006	3	36	2	4
1006	4	34	2	10
1006	5	40	2	10
1006	6	38	2	7
1006	7	62	1	7
1006	8	31	1	3
1006	9	28	2	10
1101	1	3	2	3
1101	2	20	1	3
1101	3	32	2	3
1101	4	52	1	4
1101	5	43	1	1
1101	6	22	2	2
1101	7	22	2	7
1101	8	51	1	4
1101	9	48	1	1
1101	10	50	1	2
1101	11	27	1	7
1101	12	38	1	10
1102	1	24	2	7
1102	2	28	2	3
1102	3	35	1	3
1102	4	30	1	3
1102	5	60	1	4
1102	6	24	1	10
1102	7	46	1	1
1102	8	32	1	7
1102	9	48	1	2
1103	1	42	1	9
1103	2	36	1	9
1103	3	37	1	10
1103	4	50	1	9
1103	5	40	1	2
1103	6	55	2	7
1103	7	40	2	3
1103	8	25	1	3
1103	9	45	1	4
1103	10	41	2	7
1104	1	41	1	9
1104	2	48	1	9
1104	3	37	1	3
1104	4	29	2	4
1104	5	44	1	9
1104	6	50	1	10
1104	7	70	1	7
1104	8	61	2	7
1104	9	38	1	10
1105	1	26	1	9
1105	2	21	1	3
1105	3	34	2	10
1105	4	25	2	3
1105	5	35	2	3
1105	6	35	1	10
1105	7	42	1	7
1105	8	43	1	1
1105	9	41	1	2
1105	10	38	1	7
1105	11	45	2	10
1105	12	29	2	3
1106	1	28	2	9
1106	2	29	2	3
1106	3	50	1	9
1106	4	60	2	4
1106	5	35	1	4
1106	6	42	1	10
1106	7	50	1	10
1106	8	38	2	10
1106	9	49	2	10
1106	10	43	2	4
1106	11	32	2	10
1107	1	27	2	3
1107	2	35	1	3
1107	3	45	1	3
1107	4	40	2	4
1107	5	46	1	9
1107	6	48	2	2
1107	7	51	2	7
1107	8	31	1	10
1107	9	46	2	7
1108	1	48	1	1
1108	2	46	1	9
1108	3	52	1	2
1108	4	45	1	10
1108	5	38	2	4
1108	6	41	2	7
1108	7	31	2	7
1202	1	42	1	3
1202	2	30	2	7
1202	3	36	2	7
1202	4	72	2	7
1202	5	22	1	7
1202	6	43	2	7
1202	7	42	1	7
1202	8	42	2	7
1202	9	58	2	7
1202	10	40	2	7
1202	11	42	1	7
1202	12	44	2	7
1202	13	75	2	7
1202	14	51	2	7
1202	15	45	1	7
1202	16	72	1	9
1202	17	64	2	8
1202	18	54	1	4
1203	1	26	2	7
1203	2	40	2	7
1203	3	38	1	7
1203	4	27	2	7
1203	5	36	1	3
1203	6	52	1	8
1203	7	66	1	8
1203	8	64	2	8
1203	9	33	1	8
1203	10	35	2	7
1203	11	42	2	7
1203	12	65	2	7
1203	13	45	1	7
1203	14	33	2	7
1203	15	28	2	7
1203	16	60	1	7
1203	17	25	2	7
1203	18	29	2	7
1203	19	47	1	7
1203	20	45	1	7
1302	1	58	1	1
1302	2	47	1	1
1302	3	46	2	4
1302	4	40	2	3
1302	5	44	1	2
1302	6	56	1	9
1302	7	58	1	7
1302	8	39	1	7
1302	9	41	1	7
1302	10	55	1	7
1302	11	43	2	7
1302	12	22	2	7
1302	13	32	2	7
1302	14	46	1	7
1303	1	45	2	3
1303	2	38	2	3
1303	3	29	2	7
1303	4	56	2	7
1303	5	34	2	7
1303	6	56	2	4
1303	7	32	2	9
1303	8	38	1	9
1303	9	33	2	10
1303	10	69	2	7
1303	11	23	2	3
1303	12	44	1	2
1304	1	49	2	2
1304	2	46	1	2
1304	3	31	2	2
1304	4	53	1	8
1304	5	29	1	3
1304	6	57	2	7
1304	7	71	2	7
1304	8	43	2	7
1304	9	67	1	7
1304	10	55	2	7
1402	1	42	2	3
1402	2	40	2	3
1402	3	72	2	7
1402	4	50	2	7
1402	5	65	2	7
1402	6	37	2	7
1402	7	50	1	4
1402	8	37	2	10
1402	9	42	2	6
1402	10	43	1	7
1402	11	45	1	7
1402	12	37	2	7
1402	13	49	1	10
1403	1	33	2	3
1403	2	43	1	4
1403	3	41	1	4
1403	4	52	1	2
1403	5	50	1	2
1403	6	42	2	2
1403	7	58	1	7
1403	8	37	1	7
1403	9	52	1	7
1403	10	28	2	7
1403	11	36	1	7
1403	12	41	2	7
1403	13	63	2	3
1403	14	49	1	10
1403	15	51	1	10
1403	16	32	1	10
1403	17	42	2	10
1403	18	27	1	7
1403	19	35	2	7
1403	20	22	1	7
1403	21	39	1	7
1403	22	44	1	7
1403	23	48	2	7
1403	24	52	1	7
1403	25	36	2	7
1404	1	44	2	4
1404	2	54	1	10
1404	3	53	2	10
1404	4	69	1	10
1404	5	41	2	10
1404	6	62	1	10
1404	7	54	1	10
1404	8	29	2	10
1404	9	42	2	10
1404	10	47	1	10
1404	11	32	1	10
1404	12	63	1	10
1404	13	43	1	7
1404	14	25	2	7
1404	15	33	2	3
1501	1	36	2	3
1501	2	45	1	3
1501	3	24	1	3
1501	4	63	1	10
1501	5	46	2	9
1501	6	48	2	9
1501	7	32	1	10
1501	8	28	2	10
1501	9	32	1	7
1501	10	41	1	4
1501	11	31	2	3
1502	1	56	2	7
1502	2	42	1	9
1502	3	36	1	10
1502	4	56	2	10
1502	5	32	1	4
1502	6	27	2	4
1502	7	52	1	7
1502	8	41	2	10
1503	1	39	2	3
1503	2	28	2	3
1503	3	59	1	1
1503	4	48	1	4
1503	5	52	2	7
1503	6	48	1	10
1503	7	51	2	7
1503	8	38	1	10
1503	9	50	1	4
1503	10	36	2	10
1504	1	23	2	3
1504	2	29	1	3
1504	3	55	1	9
1504	4	65	1	9
1504	5	60	1	10
1504	6	60	2	7
1504	7	27	2	7
1504	8	32	2	3
1504	9	46	1	4
1505	1	40	1	9
1505	2	31	1	9
1505	3	38	1	9
1505	4	39	1	10
1505	5	26	2	3
1505	6	35	2	3
1505	7	40	1	4
1505	8	40	1	4
1505	9	58	2	7
1505	10	62	2	7
1506	1	33	2	3
1506	2	36	1	3
1506	3	43	1	1
1506	4	45	1	2
1506	5	49	1	2
1506	6	31	2	10
1506	7	30	2	10
1506	8	42	1	10
1506	9	55	1	10
1506	10	61	2	7
1506	11	48	1	7
1506	12	51	1	7
1506	13	39	1	7
1507	1	40	1	10
1507	2	25	1	9
1507	3	39	1	9
1507	4	33	1	4
1507	5	32	2	4
1507	6	32	2	7
1507	7	46	2	7
1507	8	26	2	3
1507	9	27	1	3
1508	1	43	2	4
1508	2	44	2	4
1508	3	40	1	10
1508	4	33	1	9
1508	5	36	2	7
1508	6	31	2	10
1508	7	48	2	7
1508	8	56	1	10
1508	9	33	2	 
1509	1	27	1	2
1509	2	40	2	2
1509	3	29	1	2
1509	4	48	1	2
1509	5	56	1	1
1509	6	38	1	3
1509	7	35	1	3
1509	8	33	2	3
1509	9	36	2	10
1509	10	61	1	7
1509	11	34	1	7
1509	12	71	2	7
1509	13	32	1	7
1509	14	26	2	3
1601	1	42	1	9
1601	2	55	1	9
1601	3	37	1	9
1601	4	36	1	9
1601	5	41	2	4
1601	6	31	2	7
1601	7	28	2	7
1601	8	36	1	7
1601	9	30	2	3
1601	10	41	2	3
1602	1	44	1	2
1602	2	46	2	3
1602	3	36	2	3
1602	4	26	2	2
1602	5	24	2	2
1602	6	60	2	7
1602	7	49	2	4
1602	8	72	2	7
1602	9	38	2	7
1602	10	56	1	10
1602	11	59	1	1
1602	12	28	2	7
1603	1	50	2	4
1603	2	27	2	3
1603	3	26	2	3
1603	4	36	1	1
1603	5	42	1	1
1603	6	50	1	1
1603	7	45	1	1
1603	8	45	1	1
1603	9	29	2	7
1603	10	32	2	7
1603	11	26	2	2
1603	12	42	2	7
1604	1	38	1	2
1604	2	45	1	4
1604	3	40	2	3
1604	4	26	2	2
1604	5	42	1	3
1604	6	39	1	10
1604	7	53	1	10
1604	8	27	2	7
1604	9	45	2	7
1604	10	22	2	7
1604	11	34	2	7
1604	12	41	2	7
1605	1	45	2	2
1605	2	42	1	9
1605	3	48	1	4
1605	4	30	2	3
1605	5	51	1	9
1605	6	47	1	9
1605	7	58	1	9
1605	8	33	1	9
1605	9	29	1	9
1605	10	26	2	2
1605	11	35	2	7
1605	12	29	2	7
1605	13	32	2	7
1605	14	28	2	7
1606	1	26	1	2
1606	2	43	1	4
1606	3	45	1	3
1606	4	33	1	1
1606	5	38	1	10
1606	6	28	2	7
1606	7	47	2	7
1606	8	49	2	7
1606	9	50	2	10
1606	10	54	2	10
1606	11	43	2	10
1606	12	40	2	10
1607	1	26	1	2
1607	2	52	1	2
1607	3	77	1	10
1607	4	45	1	3
1607	5	28	2	4
1607	6	50	2	10
1607	7	34	2	10
1607	8	46	2	10
1607	9	70	2	10
1607	10	45	2	10
1607	11	84	2	10
1607	12	26	2	10
1608	1	45	1	9
1608	2	26	2	2
1608	3	42	1	4
1608	4	45	1	3
1608	5	65	1	10
1608	6	60	1	10
1608	7	41	2	10
1608	8	44	2	7
1608	9	27	2	7
1608	10	41	1	7
1608	11	52	2	7
1608	12	29	2	7
1701	1	56	2	9
1701	2	37	1	9
1701	3	65	2	9
1701	4	31	2	2
1701	5	30	2	6
1701	6	25	2	10
1701	7	50	2	10
1701	8	29	2	3
1701	9	42	1	4
1701	10	46	2	2
1701	11	44	1	4
1701	12	32	2	7
1701	13	27	2	7
1702	1	29	2	1
1702	2	47	2	7
1702	3	48	1	4
1702	4	28	2	3
1702	5	23	1	9
1702	6	46	2	2
1702	7	38	2	10
1702	8	47	1	10
1702	9	19	2	7
1702	10	46	1	7
1702	11	38	2	10
1702	12	31	2	10
1702	13	64	1	7
1702	14	28	2	7
1703	1	36	2	6
1703	2	32	2	6
1703	3	51	1	4
1703	4	57	1	3
1703	5	70	1	10
1703	6	58	2	10
1703	7	32	2	2
1703	8	36	2	7
1703	9	45	2	7
1703	10	28	2	7
1703	11	35	2	7
1703	12	26	2	7
1704	1	59	1	9
1704	2	47	1	4
1704	3	31	2	6
1704	4	40	2	7
1704	5	40	2	7
1704	6	65	2	7
1704	7	32	2	2
1704	8	52	2	4
1704	9	57	1	3
1704	10	46	1	9
1704	11	44	1	10
1704	12	32	1	10
1704	13	43	1	10
1704	14	58	1	10
1704	15	60	1	10
1705	1	65	1	2
1705	2	51	1	4
1705	3	65	1	9
1705	4	52	2	6
1705	5	34	2	7
1705	6	34	1	10
1705	7	45	1	10
1705	8	33	1	10
1705	9	74	1	10
1705	10	22	1	10
1705	11	66	1	10
1705	12	39	1	7
1705	13	45	1	7
1705	14	64	1	10
1705	15	47	1	1
1705	16	34	1	2
1705	17	36	2	3
1708	1	37	1	9
1708	2	34	2	10
1708	3	56	2	7
1708	4	54	1	8
1708	5	54	1	10
1708	6	45	1	9
1708	7	43	1	8
1708	8	36	2	3
1708	9	34	1	2
1708	10	47	1	1
1708	11	39	1	4
1708	12	54	2	7
1709	1	38	1	1
1709	2	37	1	4
1709	3	36	2	3
1709	4	64	1	4
1709	5	34	1	2
1709	6	65	1	10
1709	7	58	1	10
1709	8	32	2	7
1709	9	29	2	7
1709	10	44	2	7
1709	11	28	2	7
1709	12	41	2	7
1709	13	46	2	3
1710	1	62	1	2
1710	2	32	2	2
1710	3	51	1	3
1710	4	43	2	3
1710	5	51	1	4
1710	6	52	1	4
1710	7	72	1	10
1710	8	68	1	10
1710	9	62	1	10
1710	10	36	1	7
1710	11	44	1	7
1710	12	31	2	7
1710	13	32	2	7
1710	14	28	2	7
1710	15	26	2	7
1710	16	42	2	7
1710	17	33	2	7
1710	18	41	2	7
1710	19	32	2	7
1710	20	33	2	7
1710	21	48	2	7
1710	22	55	2	7
1710	23	34	2	7
1710	24	26	1	7
1710	25	44	2	7
1711	1	40	2	4
1711	2	50	2	7
1711	3	57	1	3
1711	4	53	1	1
1711	5	72	1	10
1711	6	67	1	2
1711	7	47	1	7
1711	8	67	1	7
1711	9	54	1	7
1711	10	36	2	7
1711	11	54	2	10
1711	12	58	1	10
1711	13	32	2	10
1801	1	44	1	2
1801	2	50	1	2
1801	3	37	1	2
1801	4	23	1	8
1801	5	41	1	9
1801	6	22	2	6
1801	7	28	1	9
1801	8	33	2	10
1801	9	43	1	7
1801	10	29	2	3
1801	11	40	2	3
1801	12	28	2	7
1801	13	35	2	2
1802	1	43	1	9
1802	2	29	2	3
1802	3	40	2	3
1802	4	39	1	4
1802	5	44	1	9
1802	6	32	1	9
1802	7	33	1	9
1802	8	59	2	10
1802	9	36	2	7
1802	10	61	1	10
1802	11	38	2	7
1802	12	32	1	10
1802	13	35	2	2
1802	14	40	2	10
1803	1	46	2	7
1803	2	39	2	3
1803	3	47	2	3
1803	4	48	1	4
1803	5	35	2	2
1803	6	34	1	1
1803	7	30	1	1
1803	8	30	2	10
1803	9	45	2	10
1803	10	60	2	7
1803	11	27	2	7
1803	12	39	2	7
1803	13	46	2	10
1803	14	58	1	10
1803	15	39	2	7
1803	16	47	1	7
1803	17	63	1	10
1804	1	25	2	3
1804	2	42	1	9
1804	3	51	1	4
1804	4	42	2	7
1804	5	35	2	2
1804	6	36	1	9
1804	7	48	2	10
1804	8	53	2	10
1804	9	46	2	7
1804	10	31	1	7
1804	11	40	2	7
1804	12	28	1	7
1804	13	45	1	10
1804	14	60	2	10
1804	15	29	2	10
1805	1	25	2	3
1805	2	42	1	9
1805	3	51	1	4
1805	4	35	2	2
1805	5	58	1	9
1805	6	56	2	10
1805	7	45	2	10
1805	8	21	2	10
1805	9	32	2	7
1805	10	27	2	10
1805	11	48	2	7
1805	12	33	2	7
1805	13	45	1	10
1805	14	40	1	10
1805	15	35	1	10
1806	1	39	2	3
1806	2	35	2	2
1806	3	41	1	10
1806	4	38	2	10
1806	5	26	1	10
1806	6	39	2	10
1806	7	27	2	10
1806	8	45	1	10
1806	9	47	1	10
1807	1	52	1	2
1807	2	35	2	2
1807	3	42	2	3
1807	4	38	1	4
1807	5	59	1	10
1807	6	62	1	10
1807	7	28	2	7
1807	8	34	2	7
1807	9	41	2	7
1807	10	42	2	7
1807	11	38	2	7
1807	12	26	1	7
1807	13	34	2	7
1807	14	28	2	7
1807	15	22	2	7
1807	16	31	2	7
1807	17	26	2	7
1807	18	41	2	7
1807	19	27	2	7
1807	20	32	1	7
1807	21	36	2	7
1901	1	66	1	2
1901	2	39	1	4
1901	3	42	2	3
1901	4	38	2	3
1901	5	72	1	10
1901	6	25	2	2
1901	7	42	2	7
1901	8	28	2	7
1901	9	45	2	7
1901	10	26	2	7
1901	11	40	1	7
1901	12	36	2	7
1901	13	48	2	10
1902	1	51	2	4
1902	2	23	2	2
1902	3	28	2	3
1902	4	41	2	3
1902	5	30	2	6
1902	6	43	2	6
1902	7	31	2	7
1902	8	42	1	7
1902	9	28	2	7
1902	10	35	2	7
1902	11	34	2	7
1902	12	56	2	7
1902	13	60	1	10
1902	14	48	1	10
1903	1	64	1	9
1903	2	49	2	4
1903	3	23	2	2
1903	4	28	2	3
1903	5	27	2	3
1903	6	43	2	3
1903	7	40	2	3
1903	8	55	1	10
1903	9	54	1	10
1903	10	52	2	10
1903	11	47	2	7
1904	1	48	1	2
1904	2	64	1	3
1904	3	61	1	4
1904	4	26	2	2
1904	5	38	2	7
1904	6	42	2	7
1904	7	38	2	7
1904	8	56	1	7
1904	9	28	2	7
1904	10	52	1	10
1905	1	47	2	3
1905	2	50	2	3
1905	3	50	1	2
1905	4	23	2	2
1905	5	45	2	4
1905	6	25	2	7
1905	7	47	2	10
1905	8	38	2	10
1905	9	39	1	7
1905	10	32	2	7
1905	11	28	1	10
1905	12	47	2	10
2001	1	39	1	4
2001	2	43	2	3
2001	3	48	2	2
2001	4	40	1	10
2001	5	42	1	9
2001	6	47	1	10
2001	7	49	1	7
2001	8	56	1	7
2001	9	60	1	7
2001	10	38	2	10
2001	11	47	2	7
2001	12	64	2	10
2001	13	27	2	10
2001	14	38	2	10
2002	1	48	1	4
2002	2	54	1	9
2002	3	61	1	9
2002	4	31	2	3
2002	5	36	2	4
2002	6	48	2	2
2002	7	46	2	10
2002	8	58	2	7
2002	9	63	2	7
2002	10	37	2	7
2002	11	28	2	10
2002	12	64	2	7
2002	13	74	2	7
2002	14	62	2	10
2003	1	40	2	4
2003	2	19	2	3
2003	3	31	2	3
2003	4	45	1	7
2003	5	38	1	3
