PLACEID	GBGEIDR5	GBGEPLAC	GRBCLCT
101	1	1	30
101	2	1	 
101	3	0	 
101	4	0	 
101	5	1	 
101	6	0	 
101	7	0	 
101	8	0	 
101	9	0	 
102	1	1	10
102	2	0	 
102	3	0	 
102	4	0	 
102	5	0	 
102	6	0	 
102	7	0	 
102	8	1	 
102	9	0	 
201	1	0	 
201	2	1	 
201	3	0	 
201	4	0	 
201	5	0	 
201	6	0	 
201	7	0	 
201	8	1	 
201	9	0	 
202	1	0	 
202	2	1	 
202	3	0	 
202	4	0	 
202	5	0	 
202	6	1	 
202	7	0	 
202	8	0	 
202	9	0	 
203	1	1	4
203	2	0	 
203	3	1	 
203	4	0	 
203	5	0	 
203	6	0	 
203	7	0	 
203	8	1	 
203	9	0	 
204	1	1	4
204	2	1	 
204	3	0	 
204	4	0	 
204	5	0	 
204	6	0	 
204	7	0	 
204	8	1	 
204	9	0	 
205	1	1	3
205	2	1	 
205	3	0	 
205	4	0	 
205	5	0	 
205	6	1	 
205	7	0	 
205	8	1	 
205	9	1	 
301	1	0	 
301	2	1	 
301	3	0	 
301	4	0	 
301	5	0	 
301	6	0	 
301	7	1	 
301	8	1	 
301	9	0	 
304	1	0	 
304	2	0	 
304	3	0	 
304	4	0	 
304	5	0	 
304	6	1	 
304	7	1	 
304	8	1	 
304	9	0	 
305	1	0	 
305	2	1	 
305	3	0	 
305	4	0	 
305	5	0	 
305	6	1	 
305	7	1	 
305	8	1	 
305	9	0	 
306	1	0	 
306	2	0	 
306	3	0	 
306	4	0	 
306	5	0	 
306	6	1	 
306	7	1	 
306	8	1	 
306	9	0	 
307	1	0	 
307	2	1	 
307	3	0	 
307	4	0	 
307	5	0	 
307	6	0	 
307	7	0	 
307	8	1	 
307	9	0	 
308	1	1	15
308	2	0	 
308	3	0	 
308	4	0	 
308	5	0	 
308	6	0	 
308	7	0	 
308	8	0	 
308	9	0	 
309	1	0	 
309	2	0	 
309	3	0	 
309	4	0	 
309	5	0	 
309	6	0	 
309	7	1	 
309	8	1	 
309	9	1	 
310	1	0	 
310	2	1	 
310	3	0	 
310	4	0	 
310	5	0	 
310	6	0	 
310	7	1	 
310	8	0	 
310	9	0	 
311	1	0	 
311	2	0	 
311	3	0	 
311	4	0	 
311	5	0	 
311	6	1	 
311	7	0	 
311	8	0	 
311	9	0	 
312	1	0	 
312	2	1	 
312	3	0	 
312	4	0	 
312	5	0	 
312	6	1	 
312	7	1	 
312	8	1	 
312	9	0	 
313	1	0	 
313	2	0	 
313	3	0	 
313	4	0	 
313	5	0	 
313	6	1	 
313	7	1	 
313	8	1	 
313	9	0	 
314	1	1	12
314	2	0	 
314	3	0	 
314	4	0	 
314	5	0	 
314	6	0	 
314	7	0	 
314	8	0	 
314	9	1	 
401	1	1	4
401	2	0	 
401	3	0	 
401	4	0	 
401	5	0	 
401	6	0	 
401	7	1	 
401	8	0	 
401	9	0	 
402	1	0	 
402	2	0	 
402	3	1	 
402	4	0	 
402	5	0	 
402	6	0	 
402	7	1	 
402	8	0	 
402	9	1	 
403	1	0	 
403	2	1	 
403	3	0	 
403	4	0	 
403	5	0	 
403	6	0	 
403	7	0	 
403	8	1	 
403	9	1	 
404	1	0	 
404	2	0	 
404	3	1	 
404	4	0	 
404	5	0	 
404	6	0	 
404	7	1	 
404	8	0	 
404	9	0	 
405	1	0	 
405	2	0	 
405	3	0	 
405	4	0	 
405	5	0	 
405	6	1	 
405	7	1	 
405	8	1	 
405	9	0	 
406	1	0	 
406	2	0	 
406	3	0	 
406	4	1	 
406	5	0	 
406	6	0	 
406	7	1	 
406	8	1	 
406	9	0	 
408	1	0	 
408	2	0	 
408	3	0	 
408	4	0	 
408	5	0	 
408	6	1	 
408	7	1	 
408	8	1	 
408	9	0	 
501	1	1	4
501	2	0	 
501	3	0	 
501	4	0	 
501	5	0	 
501	6	0	 
501	7	0	 
501	8	0	 
501	9	0	 
503	1	1	2
503	2	0	 
503	3	0	 
503	4	0	 
503	5	0	 
503	6	0	 
503	7	0	 
503	8	1	 
503	9	0	 
504	1	0	 
504	2	0	 
504	3	0	 
504	4	0	 
504	5	0	 
504	6	0	 
504	7	1	 
504	8	1	 
504	9	1	 
505	1	0	 
505	2	0	 
505	3	0	 
