PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1	ITEMPRC2	ITEMVND2	ITEMINF2
101	1	1.5	15	8	1.5	1	7
101	2	45	1	6	50	1	7
101	3	23	1	6	25	1	7
101	4	20	1	6	23	1	7
101	5	35	1	6	30	1	7
101	6	35	1	6	35	1	7
101	7	.899999976158142	9	4	1	9	5
101	8	.0500000007450581	9	4	.100000001490116	9	5
101	9	.150000005960464	9	4	.150000005960464	9	5
101	10	.0599999986588955	9	4	.100000001490116	9	5
101	11	1.5	1	13	1.5	14	14
101	12	2.59999990463257	1	13	2.79999995231628	14	9
101	13	3.5	1	13	3.5	14	9
101	15	1	1	13	.800000011920929	14	9
101	16	3	1	13	3	14	9
101	17	2.79999995231628	1	13	2.59999990463257	14	9
101	18	0	16	13	 	 	 
101	19	1.20000004768372	1	13	1.20000004768372	14	9
101	20	12	1	13	12	14	9
101	21	1	1	13	1	14	9
101	23	.200000002980232	1	13	.200000002980232	14	9
101	24	4.80000019073486	1	13	4.80000019073486	14	9
101	25	1	1	13	1	14	9
101	27	9	1	13	8.5	14	15
101	28	14	1	13	12	14	15
101	29	7	14	10	7	14	9
101	30	3.09999990463257	1	13	3	14	9
101	32	15	1	13	14	14	9
101	33	6.5	1	13	6	14	9
101	34	1	1	13	1	14	9
101	35	2	1	13	4.5	14	9
101	36	4.5	1	13	4.5	14	9
101	37	0	16	13	 	 	 
101	38	1	1	13	1	17	18
101	39	.5	1	13	.5	14	9
101	40	1.79999995231628	1	13	1.5	14	14
101	41	2	1	13	2	14	14
101	42	8	1	13	7	14	14
101	43	1.5	1	13	1.5	14	14
101	44	2	1	13	1.5	14	14
101	45	8	14	11	7	14	12
101	46	36	1	16	35	1	17
101	61	6	1	13	6	14	9
101	70	6	1	13	6	14	9
102	1	1.5	14	16	1.5	14	17
102	2	40	14	16	35	14	17
102	3	28	14	16	25	14	17
102	4	28	14	16	25	14	17
102	5	35	14	16	35	14	17
102	6	36	14	16	28	14	17
102	7	1	9	6	.850000023841858	9	7
102	8	.100000001490116	9	6	.0500000007450581	9	7
102	9	.200000002980232	9	6	.150000005960464	9	7
102	10	.100000001490116	9	6	.0599999986588955	9	7
102	11	1.5	14	14	1.29999995231628	14	15
102	12	2.5	14	18	2.5	14	19
102	13	4	14	18	3.5	14	19
102	15	.699999988079071	14	18	1	14	19
102	16	3	14	18	3	14	19
102	17	2.5	14	18	3	14	19
102	18	0	16	18	 	 	 
102	19	1	14	18	1	14	19
102	20	10	14	18	10	14	19
102	21	1	14	18	1	14	19
102	23	.200000002980232	14	18	.200000002980232	14	19
102	24	5	14	18	5	14	19
102	25	1	14	18	1	14	19
102	27	10	14	11	10	14	12
102	28	12	14	11	12	14	12
102	29	9	14	11	9	14	12
102	30	2.5	14	18	2.5	14	19
102	32	13	14	18	12	14	19
102	33	6	14	18	7	14	19
102	34	1	14	18	1	14	19
102	35	1.79999995231628	14	18	2	14	19
102	36	4	14	18	4.5	14	19
102	37	0	16	20	 	 	 
102	38	1	1	20	1	1	21
102	39	.5	14	18	.5	14	19
102	40	1	14	14	1.5	14	15
102	41	1.5	14	14	2	14	15
102	42	6	14	14	5	14	15
102	43	1	14	10	1.5	14	13
102	44	1.5	14	10	3	14	13
102	45	7	14	10	7	14	13
102	46	35	14	18	38	14	19
102	61	5	14	18	4.5	14	19
102	70	7	14	18	6	14	19
201	1	1.79999995231628	16	5	2	16	7
201	2	45	16	5	50	16	7
201	3	25	16	5	20	16	7
201	4	22	16	5	20	16	7
201	5	40	16	5	35	16	7
201	6	40	16	5	35	16	7
201	7	.5	10	3	1	9	10
201	8	.100000001490116	10	3	.100000001490116	9	10
201	9	.200000002980232	10	3	.150000005960464	9	10
201	10	.100000001490116	10	3	.25	9	10
201	11	2	16	5	2	16	6
201	12	2.79999995231628	1	5	2.79999995231628	1	6
201	13	3.59999990463257	16	5	4	16	6
201	15	1	1	5	.800000011920929	1	6
201	16	3.59999990463257	1	5	3.5	1	6
201	17	2.79999995231628	1	5	2.79999995231628	1	6
201	18	0	16	5	 	 	 
201	19	1	1	5	1	1	6
201	20	10	1	5	10	1	6
201	21	1.5	1	5	1.20000004768372	1	6
201	23	.300000011920929	1	5	.300000011920929	1	6
201	24	5	16	5	4	16	6
201	25	1.20000004768372	1	5	1.5	1	6
201	27	10	16	5	10	16	6
201	28	10	16	5	12	16	6
201	29	8	16	5	7	16	6
201	30	2.79999995231628	1	5	3	1	6
201	32	20	16	5	16	16	6
201	33	7	1	5	6.5	1	6
201	34	1.20000004768372	1	5	1	1	6
201	35	2	1	5	2	1	6
201	36	5	1	5	5	1	6
201	37	0	16	5	 	 	 
201	38	1	16	5	1	16	6
201	39	.300000011920929	1	5	.300000011920929	1	6
201	40	1	1	5	1.20000004768372	1	6
201	41	2	1	5	2	1	6
201	42	5	16	5	6	16	6
201	43	1	1	5	1	1	6
201	44	2	1	5	2	1	6
201	45	8	16	5	7	16	6
201	46	39	16	7	38	16	6
201	61	5.40000009536743	1	5	5.40000009536743	1	6
201	70	6	16	5	5	16	6
202	1	1	1	3	1	1	4
202	2	45	16	3	45	16	4
202	3	22	16	3	25	16	4
202	4	22	16	3	25	16	4
202	5	35	16	3	40	16	4
202	6	35	16	3	40	16	4
202	7	1	9	6	.400000005960464	10	10
202	8	.0799999982118607	9	6	.0399999991059303	10	10
202	9	.100000001490116	9	6	.109999999403954	10	10
202	10	.400000005960464	9	6	.0199999995529652	10	10
202	11	2	1	2	2.5	1	5
202	12	2.79999995231628	1	2	2.79999995231628	1	5
202	13	4	1	2	4	1	5
202	15	.800000011920929	1	2	1	1	5
202	16	3.5	1	2	3.29999995231628	1	5
202	17	3	1	2	3	1	5
202	18	0	16	3	 	 	 
202	19	1	1	2	1.20000004768372	1	5
202	20	10	16	2	10	16	5
202	21	1.5	1	2	1.20000004768372	1	5
202	23	.300000011920929	1	2	.300000011920929	1	5
202	24	3.5	1	2	3.5	1	5
202	25	1.20000004768372	1	2	1.5	1	5
202	27	8.5	1	2	8.5	1	5
202	28	12	16	2	10	16	5
202	29	8	1	2	9	1	5
202	30	2.79999995231628	1	2	2.5	1	5
202	32	16	1	2	12	1	5
202	33	6	1	2	7	1	5
202	34	1.5	1	2	1	1	5
202	35	2	1	2	2	1	5
202	36	5	1	2	5	1	5
202	37	0	16	2	 	 	 
202	38	1.10000002384186	16	2	1.10000002384186	16	5
202	39	.300000011920929	1	2	.300000011920929	1	5
202	40	1	1	2	1.5	1	5
202	41	2.5	16	2	2.5	16	5
202	42	5	16	2	6	16	5
202	43	1.5	1	2	1.5	1	5
202	44	2	16	2	2	16	5
202	45	6	16	2	7	16	5
202	46	36	1	2	40	1	5
202	61	5.19999980926514	1	2	5.5	1	5
202	70	7	1	2	7	1	5
203	1	1	1	5	1	1	6
203	2	60	16	5	65	16	6
203	3	33	16	5	35	16	6
203	4	33	16	5	35	16	6
203	5	40	16	5	40	16	6
203	6	40	16	5	40	16	6
203	7	.5	10	3	1	16	11
203	8	.0399999991059303	10	3	.0500000007450581	16	11
203	9	.100000001490116	10	3	.150000005960464	16	11
203	10	.0700000002980232	10	3	.25	16	11
203	11	2	1	6	2	1	7
203	12	2.5	1	6	2.5	1	7
203	13	3.79999995231628	1	6	3.79999995231628	1	7
203	15	1	1	6	1	1	7
203	16	3.5	1	6	3.5	1	7
203	17	2.79999995231628	1	6	3	1	7
203	18	0	16	6	 	 	 
203	19	1.20000004768372	1	6	1	1	7
203	20	11	1	6	10.8000001907349	1	7
203	21	1.20000004768372	1	6	1.5	1	7
203	23	.300000011920929	1	6	.300000011920929	1	7
203	24	4	1	6	4	1	7
203	25	1.20000004768372	1	6	1.20000004768372	1	7
203	27	10	1	6	9	1	7
203	28	10	1	6	10	1	7
203	29	7	1	6	7	1	7
203	30	3	1	6	3.5	1	7
203	32	14	16	6	13	16	7
203	33	6	1	6	7	1	7
203	34	1.20000004768372	1	6	1.5	1	7
203	35	2	1	6	2	1	7
203	36	4.5	1	6	4.5	1	7
203	37	.800000011920929	1	8	.800000011920929	1	7
203	38	1	1	8	1	1	7
203	39	.300000011920929	1	6	.300000011920929	1	7
203	40	1	1	6	1.5	1	7
203	41	1.5	1	6	2	1	7
203	42	8	1	6	8	1	7
203	43	1.60000002384186	1	6	1.5	1	7
203	44	2	1	6	2	1	7
203	45	7	16	6	7	16	7
203	46	36	1	6	40	1	7
203	61	6	1	6	6	1	7
203	70	8	1	6	8.5	1	7
204	1	2	16	3	1.70000004768372	15	11
204	2	45	16	3	46	16	2
204	3	20	16	3	22	16	2
204	4	20	16	3	20	16	2
204	5	40	16	3	36	16	2
204	6	40	16	3	35	16	2
