PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
1105	7	100	 	 
1105	8	300	 	 
1105	9	30	 	 
1105	10	-88	 	 
1105	11	20	 	 
1105	12	-88	 	 
1105	13	1000	 	 
1105	14	-88	 	 
1106	1	-88	 	 
1106	2	500	 	 
1106	3	-88	 	 
1106	4	400	 	 
1106	5	-88	 	 
1106	6	150	 	 
1106	7	100	 	 
1106	8	200	 	 
1106	9	30	 	 
1106	10	-88	 	 
1106	11	25	 	 
1106	12	-88	 	 
1106	13	800	 	 
1106	14	-88	 	 
1107	1	-88	 	 
1107	2	600	 	 
1107	3	-88	 	 
1107	4	400	 	 
1107	5	-88	 	 
1107	6	150	 	 
1107	7	150	 	 
1107	8	300	 	 
1107	9	30	 	 
1107	10	-88	 	 
1107	11	25	 	 
1107	12	-88	 	 
1107	13	1000	 	 
1107	14	-88	 	 
1108	1	-88	 	 
1108	2	600	 	 
1108	3	-88	 	 
1108	4	400	 	 
1108	5	-88	 	 
1108	6	150	 	 
1108	7	100	 	 
1108	8	300	 	 
1108	9	30	 	 
1108	10	-88	 	 
1108	11	25	 	 
1108	12	800	 	 
1108	13	800	 	 
1108	14	-88	 	 
1202	1	-88	 	 
1202	2	-88	 	 
1202	3	-88	 	 
1202	4	-88	 	 
1202	5	-88	 	 
1202	6	-88	 	 
1202	7	-88	 	 
1202	8	-88	 	 
1202	9	20	 	 
1202	10	35	 	 
1202	11	30	 	 
1202	12	-88	 	 
1202	13	-88	 	 
1202	14	-88	 	 
1203	1	-88	 	 
1203	2	-88	 	 
1203	3	-88	 	 
1203	4	-88	 	 
1203	5	-88	 	 
1203	6	-88	 	 
1203	7	-88	 	 
1203	8	-88	 	 
1203	9	30	 	 
1203	10	-88	 	 
1203	11	25	 	 
1203	12	-88	 	 
1203	13	-88	 	 
1203	14	-88	 	 
1302	1	-88	 	 
1302	2	-88	 	 
1302	3	-88	 	 
1302	4	-88	 	 
1302	5	-88	 	 
1302	6	-88	 	 
1302	7	-88	 	 
1302	8	-88	 	 
1302	9	-88	 	 
1302	10	-88	 	 
1302	11	-88	 	 
1302	12	-88	 	 
1302	13	-88	 	 
1302	14	-88	 	 
1303	1	-88	 	 
1303	2	-88	 	 
1303	3	-88	 	 
1303	4	-88	 	 
1303	5	-88	 	 
1303	6	-88	 	 
1303	7	-88	 	 
1303	8	-88	 	 
1303	9	30	 	 
1303	10	-88	 	 
1303	11	-88	 	 
1303	12	-88	 	 
1303	13	-88	 	 
1303	14	-88	 	 
1304	1	-88	 	 
1304	2	-88	 	 
1304	3	-88	 	 
1304	4	-88	 	 
1304	5	-88	 	 
1304	6	-88	 	 
1304	7	-88	 	 
1304	8	-88	 	 
1304	9	-88	 	 
1304	10	-88	 	 
1304	11	30	 	 
1304	12	-88	 	 
1304	13	-88	 	 
1304	14	-88	 	 
1402	1	-88	 	 
1402	2	-88	 	 
1402	3	-88	 	 
1402	4	-88	 	 
1402	5	-88	 	 
1402	6	-88	 	 
1402	7	-88	 	 
1402	8	-88	 	 
1402	9	-88	 	 
1402	10	-88	 	 
1402	11	-88	 	 
1402	12	-88	 	 
1402	13	-88	 	 
1402	14	-88	 	 
1403	1	-88	 	 
1403	2	-88	 	 
1403	3	-88	 	 
1403	4	-88	 	 
1403	5	-88	 	 
1403	6	-88	 	 
1403	7	-88	 	 
1403	8	-88	 	 
1403	9	-88	 	 
1403	10	-88	 	 
1403	11	-88	 	 
1403	12	-88	 	 
1403	13	-88	 	 
1403	14	-88	 	 
1404	1	-88	 	 
1404	2	-88	 	 
1404	3	-88	 	 
1404	4	-88	 	 
1404	5	-88	 	 
1404	6	-88	 	 
1404	7	-88	 	 
1404	8	-88	 	 
1404	9	-88	 	 
1404	10	-88	 	 
1404	11	-88	 	 
1404	12	-88	 	 
1404	13	-88	 	 
1404	14	-88	 	 
1501	1	-88	 	 
1501	2	-88	 	 
1501	3	-88	 	 
1501	4	-88	 	 
1501	5	-88	 	 
1501	6	-88	 	 
1501	7	-88	 	 
1501	8	-88	 	 
1501	9	30	 	 
1501	10	-88	 	 
1501	11	-88	 	 
1501	12	-88	 	 
1501	13	-88	 	 
1501	14	-88	 	 
1502	1	-88	 	 
1502	2	-88	 	 
1502	3	-88	 	 
1502	4	-88	 	 
1502	5	-88	 	 
1502	6	-88	 	 
1502	7	-88	 	 
1502	8	-88	 	 
1502	9	-88	 	 
1502	10	-88	 	 
1502	11	-88	 	 
1502	12	-88	 	 
1502	13	-88	 	 
1502	14	-88	 	 
1503	1	-88	 	 
1503	2	-88	 	 
1503	3	-88	 	 
1503	4	-88	 	 
1503	5	-88	 	 
1503	6	-88	 	 
1503	7	-88	 	 
1503	8	-88	 	 
1503	9	20	 	 
1503	10	-88	 	 
1503	11	-88	 	 
1503	12	-88	 	 
1503	13	-88	 	 
1503	14	-88	 	 
1504	1	-88	 	 
1504	2	1500	 	 
1504	3	-88	 	 
1504	4	-88	 	 
1504	5	-88	 	 
1504	6	-88	 	 
1504	7	-88	 	 
1504	8	600	 	 
1504	9	60	 	 
1504	10	-88	 	 
1504	11	25	 	 
1504	12	-88	 	 
1504	13	-88	 	 
1504	14	30	 	 
1505	1	-88	 	 
1505	2	-88	 	 
1505	3	-88	 	 
1505	4	-88	 	 
1505	5	-88	 	 
1505	6	-88	 	 
1505	7	-88	 	 
1505	8	-88	 	 
1505	9	30	 	 
1505	10	-88	 	 
1505	11	-88	 	 
1505	12	-88	 	 
1505	13	-88	 	 
1505	14	-88	 	 
1506	1	-88	 	 
1506	2	-88	 	 
1506	3	-88	 	 
1506	4	-88	 	 
1506	5	-88	 	 
1506	6	-88	 	 
1506	7	-88	 	 
1506	8	-88	 	 
1506	9	30	 	 
1506	10	-88	 	 
1506	11	-88	 	 
1506	12	-88	 	 
1506	13	-88	 	 
1506	14	-88	 	 
1507	1	-88	 	 
1507	2	-88	 	 
1507	3	-88	 	 
1507	4	-88	 	 
1507	5	-88	 	 
1507	6	-88	 	 
1507	7	-88	 	 
1507	8	-88	 	 
1507	9	-88	 	 
1507	10	-88	 	 
1507	11	-88	 	 
1507	12	-88	 	 
1507	13	-88	 	 
1507	14	-88	 	 
1508	1	-88	 	 
1508	2	-88	 	 
1508	3	-88	 	 
1508	4	-88	 	 
1508	5	-88	 	 
1508	6	-88	 	 
1508	7	-88	 	 
1508	8	300	 	 
1508	9	25	 	 
1508	10	-88	 	 
1508	11	-88	 	 
1508	12	-88	 	 
1508	13	-88	 	 
1508	14	-88	 	 
1509	1	-88	 	 
1509	2	-88	 	 
1509	3	-88	 	 
1509	4	-88	 	 
1509	5	-88	 	 
1509	6	-88	 	 
1509	7	-88	 	 
1509	8	-88	 	 
1509	9	-88	 	 
1509	10	-88	 	 
1509	11	-88	 	 
1509	12	-88	 	 
1509	13	-88	 	 
1509	14	-88	 	 
1601	1	3000	 	 
1601	2	1200	 	 
1601	3	3000	 	 
1601	4	-88	 	 
1601	5	-88	 	 
1601	6	120	 	 
1601	7	-88	 	 
1601	8	300	 	 
1601	9	30	 	 
1601	10	-88	 	 
1601	11	20	 	 
1601	12	-88	 	 
1601	13	2000	 	 
1601	14	-88	 	 
1602	1	2200	 	 
1602	2	800	 	 
1602	3	2000	 	 
1602	4	-88	 	 
1602	5	-88	 	 
1602	6	120	 	 
1602	7	-88	 	 
1602	8	600	 	 
1602	9	30	 	 
1602	10	-88	 	 
1602	11	15	 	 
