PLACEID	PLCCODE	DEPARTID	CLUSTID	MAPLOC	STRTDINT	CHRINF1	CHRINF2	CHRINF3	INTBEGDT	INTBEGH	POPSIZE	CITY	TIMECAP	TRANS1	TRANS2	TRANS3	TIMPRVCA	PRTRANS1	PRTRANS2	PRTRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	OTRASPEN	MAINRTE	JANACC	FEBACC	MARACC	APRACC	MAYACC	JUNACC	JULACC	AUGACC	SEPACC	OCTACC	NOVACC	DECACC	NTRLDIST	CURRVULN	CSFRWTR1	CSFRWTR2	CSFRWTR3	CSFRWTR4	CSFRWTR5	CSFRWTR6	CSFRWTR7	CSFRWTR8	CSFRWTR9	CSFRWTR10	CSFRWTR11	CSFRWTR12	CSFRWTR13	CSFRWTR14	CSFRWTR15	CSFRWTR16	CSFRWTR17	CSFRWTR18	CSFRWTR19	CSFRWTR20	CSFRWTR21	CSFRWTR22	RECYCLE	SOCINF1	SOCINF2	SOCINF3	SRVINF1	SRVINF2	SRVINF3	CMNGARB1	CMNGARB2	CMNGARB3	PRGINF1	PRGINF2	PRGINF3	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	ECNINF1	ECNINF2	ECNINF3	PRCINF1	PRCINF2	PRCINF3	PRCINF4	PRCINF5	PRCINF6	PRCINF7	PRCINF8	PRCINF9	PRCINF10	IMPCROP	PRICCROP	MINCROP	MAXCROP	EDCINF1	EDCINF2	EDCINF3	LTRCYCMP	TYPAUTOR	HLTINF1	MIDWIFE	BIRTHATT	TRADHLR	CURIOSO	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	ANESTST	DENTIST	BLOODBNK	OTHRPERS	NTRLTRNG	CPRTINF1	CPRTINF2	CPRTINF3	CHORGACC	CHPOLICE	CHPLCWMN	CHHEALTH	CHDEMUNA	CHCHRDNA	CHCMTDNA	CHNGODNA	CHTWNDNA	CHSCHDNA	CHOTHDNA	CHSCHOOL	CHPARCHR	CHINFMLY	CHAUTCOM	CHNGOOTH	CHOTHOR1	CHOTHOR2	CHOTHOR3	WMORGACC	WMPOLICE	WMPLCWMN	WMHEALTH	WMCEM	WMSCHOOL	WMPARCHR	WMINFMLY	WMNAUTCM	WMNGOOTH	WMOTHOR1	WMOTHOR2	WMOTHOR3	DISTRICT	DISTFNC	DISTUSE	OTHRDNA	OTHRFNC	OTHRUSE	ENDDINT
702	PE07C02	6	7	1	15:43	1	9	11	08/08/2016	18:26	2500	1	-88	88	 	 	-88	88	 	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	88	0	88	0	0	88	0	0	0	0	0	88	0	0	0	0	88	0	1	8	9	1	8	9	1	2	8	2	5	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	8	9	2	4	6	7	8	9	1	3	88	88	88	-88	 	 	5	9	8	0	 	2	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	3	9	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	 	 	09/08/2016
703	PE07C03	6	7	1	09/08/2016	2	1	10	09/08/2016	10:39	2000	1	-88	88	 	 	-88	88	 	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	88	0	88	0	0	88	0	0	0	0	0	88	0	0	0	0	88	0	1	2	3	1	2	3	1	2	8	2	4	9	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	4	2	5	6	7	8	9	10	88	88	88	MAIZ	1	 	 	2	3	4	0	 	2	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	2	4	88	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	 	 	10/08/2016
704	PE07C04	6	7	0	09/08/2016	1	2	3	09/08/2015	09:36	7500	1	-88	88	 	 	-88	88	 	 	1	0	0	0	0	0	 	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	88	0	0	0	0	0	88	0	0	0	0	88	1	1	4	5	1	4	10	1	2	88	1	4	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	5	6	7	8	12	13	9	10	88	88	-88	-88	 	 	8	10	88	0	 	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	 	 	12/08/2016
801	PE08C01	13	8	1	29/08/2016 11:44	1	2	4	29/08/2016	11:46	15000	1	15	7	88	 	28	7	88	 	1	1	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	6	4	5	6	1	2	8	4	9	10	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	6	7	8	11	10	5	12	13	14	15	88	88	-88	 	 	2	4	10	0	 	7	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	3	88	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	 	 	29/08/2016  13:02
802	PE08C02	13	8	0	0209/2016	4	5	7	30/08/2016	08:06	8000	1	10	6	88	 	25	6	88	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	7	4	5	8	1	2	3	1	2	5	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	5	7	3	4	8	9	10	11	12	88	88	88	-88	-88	 	 	6	7	8	1	2	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	14	6	7	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	 	 	29/08/2016
803	PE08C03	13	8	1	08/09/2016	1	2	3	08/09/2016	14:28	18000	1	15	6	88	 	25	6	88	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	5	8	1	2	7	1	88	 	1	2	7	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	8	9	1	2	3	9	10	11	12	88	88	88	88	-88	 	 	7	1	2	0	 	2	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	88	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	 	 	12/09/2016
901	PE09C01	2	9	0	20/09/2016	1	2	4	20/09/2016	08:30	2500	0	-88	88	 	 	120	6	88	 	1	1	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	1	2	8	1	7	8	1	2	4	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	4	3	5	6	7	10	88	88	88	88	88	PAPA	7	 	 	2	3	88	0	 	4	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	2	4	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	 	 	21/09/2016
902	PE09C02	2	9	0	21/09/2016	4	5	8	21/09/2016	11:13	500	1	45	1	88	 	80	6	88	 	0	1	0	0	0	0	 	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	8	4	5	8	1	3	8	1	3	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	8	88	2	3	6	7	8	88	88	88	88	88	PAPA	6	 	 	1	2	8	0	 	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	5	8	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	 	 	21/09/2016  15:10
903	PE09C03	2	9	0	29/09/2016	3	4	5	27/09/2016	14:50	450	0	40	6	88	 	60	6	88	 	0	1	0	0	0	0	 	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	88	3	4	5	1	8	3	3	4	5	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	4	2	1	2	5	7	8	88	88	88	88	88	MAIZ	7	 	 	5	6	88	0	 	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	5	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	 	 	28/09/2016  09:04
904	PE09C04	2	9	0	01/10/2016	1	2	3	30/09/2016	09:11	400	1	20	1	88	 	30	6	88	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	2	3	1	3	88	1	2	3	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	88	1	6	7	8	9	1	88	88	88	88	SIN COMENTARIOS	-88	 	 	2	3	4	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	2	4	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	 	 	30/09/2016  14:49
