placeid	entryid	codelocl	routeacc	trnsprtn	timearrv
ET4143	5	6	1	8	60
ET4143	6	6	1	8	-77
ET4143	7	6	1	8	-77
ET1031	1	9	1	1	10
ET1031	2	9	1	1	10
ET1031	3	9	1	1	5
ET1031	4	11	1	1	5
ET1031	5	6	1	6	15
ET5171	1	9	3	1	90
ET5171	2	8	3	1	30
ET5171	3	8	3	1	60
ET5171	4	8	3	1	20
ET5171	5	8	3	1	20
ET5171	6	11	3	1	10
ET5201	1	11	1	1	90
ET5201	2	10	1	1	180
ET5201	3	10	1	1	180
ET5201	4	8	1	1	60
ET5201	5	8	1	1	120
ET5181	1	8	3	1	30
ET5181	2	9	3	1	180
ET5181	3	10	3	1	120
ET5181	4	10	3	1	240
ET5181	5	9	3	1	120
ET5181	6	9	3	1	60
ET5181	7	9	3	1	90
ET5191	1	8	1	1	5
ET5191	2	9	3	1	30
ET5191	3	10	3	1	50
ET5191	4	10	3	1	90
ET5191	5	10	3	1	60
ET5191	6	10	3	1	90
ET5191	7	10	3	1	90
ET5191	8	10	3	1	90
ET4141	1	9	1	12	20
ET4141	2	6	1	6	40
ET4141	3	6	1	12	50
ET4141	4	6	1	12	90
ET4141	5	10	1	12	45
ET4144	1	9	1	12	20
ET4144	2	6	1	8	40
ET4144	3	6	1	12	90
ET4144	4	6	1	12	60
ET4144	5	10	1	12	45
ET1011	4	8	1	1	15
ET3101	1	11	1	1	15
ET3101	2	9	1	1	90
ET3101	3	9	1	1	150
ET3101	4	9	1	1	120
ET3101	5	6	1	8	50
ET3101	6	6	1	8	75
ET3101	7	6	1	8	75
ET1021	1	8	1	1	25
ET1021	2	9	1	1	40
ET1021	3	10	3	12	120
ET2041	1	6	1	1	720
ET2041	2	6	2	1	720
ET2041	3	6	2	1	1080
ET2041	4	6	1	6	120
ET2041	5	9	2	1	60
ET2041	6	9	1	1	30
ET2041	7	9	2	1	60
ET1022	1	8	1	1	20
ET1022	2	9	1	1	30
ET1022	3	10	3	12	90
ET1011	1	11	1	6	15
ET1011	2	10	1	1	15
ET1011	3	8	1	1	15
ET1032	1	9	1	1	10
ET1032	2	9	1	1	5
ET1032	3	9	1	1	5
ET1032	4	9	1	1	15
ET1032	5	11	1	1	15
ET2051	1	9	1	1	120
ET2051	2	9	1	1	240
ET2051	3	9	1	1	240
ET2051	4	9	1	1	300
ET2051	5	9	1	1	180
ET2051	6	9	1	1	120
ET2051	7	9	1	1	120
ET4143	1	6	1	1	-77
ET4143	2	6	1	8	-77
ET4143	3	6	1	8	40
ET4143	4	6	1	8	90
ET4131	1	11	1	1	20
ET4131	2	9	3	1	30
ET4131	3	9	3	1	15
ET4131	4	10	3	1	45
ET4131	5	6	3	8	90
ET4161	1	11	3	1	10
ET4161	2	9	3	1	75
ET4161	3	9	1	1	30
ET4161	4	10	1	1	60
ET4161	5	9	3	1	45
ET4161	6	10	1	1	60
ET4161	7	10	3	1	90
ET3081	1	11	2	1	30
ET3081	2	9	2	1	80
ET3081	3	9	1	6	20
ET3081	4	9	1	6	30
ET3081	5	10	3	1	60
ET3081	6	10	3	1	60
ET3081	7	10	3	1	270
ET3091	1	9	2	1	165
ET3091	2	9	3	1	60
ET3091	3	9	3	1	60
ET3091	4	9	2	1	90
ET3091	5	9	2	1	120
ET3091	6	8	2	1	15
ET4151	1	6	1	12	-77
ET4151	2	6	2	12	-77
ET4151	3	6	3	1	-77
ET4151	4	6	1	12	-77
ET4151	5	6	1	12	-77
ET2071	1	10	1	1	80
ET2071	2	10	1	2	30
ET2071	3	9	1	1	10
ET2071	4	10	1	1	90
ET2071	5	11	1	1	5
ET2071	6	10	1	1	90
ET2071	7	10	1	1	60
ET2061	1	10	1	1	60
ET2061	2	10	1	1	30
ET2061	3	10	1	1	50
ET2061	4	10	1	1	45
ET2061	5	8	1	1	10
ET2061	6	11	1	1	5
ET4121	1	10	1	8	135
ET4121	2	10	1	8	10
ET4121	3	10	1	8	55
ET4121	4	10	1	8	48
ET4121	5	9	1	8	84
ET4121	6	10	1	8	25
ET4121	7	10	1	8	100
ET3111	1	11	1	12	10
ET3111	2	9	1	7	25
ET3111	3	9	2	12	50
ET3111	4	9	2	12	60
ET3111	5	9	2	12	120
ET3111	6	6	1	7	30
ET3111	7	6	1	7	45
