placeid	entryid	kindsupp	whoprov	typeactv	yearbegn	yearend	howoften
ET3091	1	1	5	2	1987	9999	6
ET3091	3	5	13	7	1992	9999	6
ET3091	4	7	6	7	1993	9999	6
ET3091	5	8	6	7	1993	9999	6
ET3091	8	11	6	7	1993	9999	6
ET3091	2	4	8	5	1995	1995	6
ET3091	6	9	6	7	1995	9999	6
ET3091	7	15	8	15	1997	9999	6
ET3101	9	13	14	31	1978	9999	6
ET3101	1	7	6	32	1987	9999	6
ET3101	2	11	6	32	1987	9999	6
ET3101	6	1	5	2	1987	9999	6
ET3101	3	8	6	33	1988	9999	6
ET3101	11	7	15	32	1992	9999	6
ET3101	12	8	15	33	1992	9999	6
ET3101	8	5	13	31	1994	9999	6
ET3101	13	16	19	39	1994	1995	1
ET3101	4	9	6	34	1997	9999	6
ET3101	5	2	17	35	1997	9999	6
ET3101	7	12	12	36	1997	9999	4
ET3101	10	2	16	31	1999	9999	6
ET3111	1	1	5	2	1982	9999	6
ET3111	4	8	6	33	1989	9999	6
ET3111	5	7	6	34	1989	9999	6
ET3111	3	5	13	32	1994	9999	6
ET3111	2	9	6	31	1997	9999	6
ET3111	6	11	6	34	1997	9999	6
ET3111	8	12	15	36	1997	9999	6
ET3111	7	13	15	35	1998	9999	6
ET4121	2	15	33	14	1998	1998	4
ET4121	3	13	34	32	1998	9999	7
ET4121	1	12	15	31	1999	9999	4
ET4131	3	4	23	21	1979	9999	6
ET4131	1	8	15	7	1994	9999	6
ET4131	2	12	32	30	1995	1997	3
ET4131	4	12	15	31	1996	9999	5
ET4131	5	5	13	31	1997	9999	6
ET4131	6	4	22	21	1997	9999	6
ET4141	7	8	15	31	-7777	9999	6
ET4141	1	12	15	31	1995	9999	5
ET4141	2	12	15	28	1995	9999	3
ET4141	3	12	15	27	1995	9999	3
ET4141	5	7	15	31	1996	9999	6
ET4141	6	12	15	31	1996	9999	5
ET4141	8	6	15	31	1996	9999	99
ET4141	4	12	15	31	1998	9999	4
