placeid	valueid	avgvalue
ET4161	1	 
ET4161	2	 
ET4161	3	 
ET3081	4	4
ET3081	6	4
ET3091	2	3
ET4151	1	10
ET4151	4	10
ET2071	1	5
ET2071	2	.5
ET2071	3	1
ET2071	4	1
ET2061	1	4
ET2061	2	.5
ET2061	3	1
ET2061	4	2.5
ET4121	1	3
ET3111	1	2
ET3111	2	5
ET3111	3	3
ET3101	1	4
ET3101	2	2
ET3101	3	 
ET1021	1	 
ET2041	1	 
ET2041	2	 
ET5171	1	3
ET5171	2	1
ET5181	1	2
ET5181	2	1
ET5201	3	 
ET4131	1	3
ET4131	2	2
ET3091	3	3
ET5191	4	 
ET3101	4	 
