placeid	rsid	module	module2	module3	section	section2	section3	ageres	sexres	ethnic	capac	livres
ET4131	1	1	1	1	1	2	3	50	1	9	7	50
ET4131	2	1	1	2	1	4	5	29	1	9	1	29
ET4131	3	1	1	2	3	4	5	30	1	9	8	30
ET4131	4	1	1	1	2	3	4	70	1	9	7	41
ET4131	5	1	1	1	4	5	3	34	2	2	6	24
ET4131	6	1	1	1	1	3	4	60	1	9	7	60
ET4131	7	1	1	1	3	4	5	28	2	9	2	14
ET4131	8	1	3	2	5	8	5	32	1	9	2	32
ET4131	9	1	1	1	2	1	5	35	1	9	9	35
ET4131	10	2	 	 	5	 	 	41	1	9	2	33
ET4131	11	2	2	3	1	3	4	43	1	9	4	15
ET4131	12	2	2	3	1	3	4	49	1	9	1	18
ET4131	13	2	 	 	1	 	 	45	2	9	2	15
ET4131	14	2	2	 	1	5	 	50	1	9	9	40
ET4131	15	2	2	2	1	2	3	47	1	9	4	38
ET4131	16	2	 	 	4	 	 	34	1	9	8	28
ET4131	17	3	 	 	4	 	 	44	1	9	3	31
ET4131	18	 	 	 	 	 	 	44	1	9	4	37
ET4131	79	 	 	 	 	 	 	0	88	88	88	0
ET4161	1	1	1	2	1	3	5	32	1	4	1	32
ET4161	2	1	1	1	1	3	2	36	1	4	1	36
ET4161	3	2	1	1	5	2	3	42	1	4	7	46
ET4161	4	1	1	1	3	2	3	50	2	4	9	50
ET4161	5	1	1	1	1	2	3	34	1	4	2	34
ET4161	6	1	1	 	1	2	 	52	1	4	7	42
ET4161	7	1	1	 	2	3	 	65	1	4	7	65
ET4161	8	1	1	2	2	3	5	55	1	4	1	51
ET4161	9	1	3	 	5	1	 	47	1	4	7	47
ET4161	10	1	3	 	5	1	 	42	2	4	6	26
ET4161	11	1	 	 	5	 	 	35	1	4	1	36
ET4161	12	1	3	 	5	1	 	36	1	4	1	31
ET4161	13	2	 	 	5	 	 	34	1	4	2	28
ET4161	14	2	 	 	4	 	 	43	1	4	7	10
ET4161	15	1	2	2	4	1	3	47	1	1	7	47
ET4161	16	1	3	 	4	3	 	24	1	4	2	2
ET4161	17	2	2	2	1	3	5	39	1	4	4	3
ET4161	18	2	2	2	1	3	5	30	1	4	1	30
ET4161	19	1	3	3	5	2	3	42	1	4	3	25
ET4161	20	1	3	3	5	2	3	35	1	4	3	30
ET4161	21	2	 	 	5	 	 	32	1	4	2	22
ET4161	79	 	 	 	 	 	 	0	88	88	88	0
ET3081	1	1	2	3	1	5	1	32	1	6	1	32
ET3081	2	1	1	3	1	2	1	55	1	6	7	55
ET3081	3	1	2	1	1	5	2	57	2	6	6	30
ET3081	4	1	3	2	3	1	4	38	1	6	2	30
ET3081	5	1	1	 	4	5	 	40	1	6	2	40
ET3081	6	3	1	1	2	4	5	64	1	6	7	64
ET3081	7	3	1	1	3	4	5	25	2	6	2	1
ET3081	8	3	1	1	3	4	5	32	1	6	1	32
ET3081	9	3	2	2	4	1	3	32	2	6	4	32
ET3081	10	3	2	2	4	1	3	25	1	6	2	25
ET3081	11	3	2	2	4	1	3	32	1	6	4	32
ET3081	12	3	2	2	4	1	3	32	1	6	1	32
ET3081	13	2	2	 	5	3	 	56	1	6	1	50
ET3081	14	2	3	 	4	4	 	37	2	6	3	13
ET3081	15	2	3	 	4	4	 	20	2	6	3	1
ET3081	16	2	3	 	4	4	 	30	1	6	2	30
ET3081	17	2	3	 	4	4	 	41	1	6	3	41
ET3081	18	2	3	 	4	4	 	40	2	6	9	31
ET3081	19	2	 	 	5	 	 	38	1	6	2	9
ET3081	20	1	 	 	5	 	 	43	1	2	10	43
ET3081	79	 	 	 	 	 	 	0	88	88	88	0
ET3091	1	1	2	 	1	5	 	23	1	6	2	1
ET3091	2	1	2	3	1	5	2	41	1	6	1	41
ET3091	3	1	1	1	2	3	1	78	1	6	7	78
ET3091	4	1	1	2	1	2	5	58	2	6	6	55
ET3091	5	1	1	3	4	5	1	79	1	6	7	79
ET3091	6	1	3	2	4	2	5	32	1	2	1	32
ET3091	7	1	3	2	4	1	5	30	1	6	2	30
ET3091	8	3	1	1	1	4	5	23	1	6	2	1
ET3091	9	1	3	1	4	1	5	40	1	6	3	20
ET3091	10	2	 	 	1	 	 	30	1	6	9	30
ET3091	11	2	 	 	4	 	 	28	2	6	3	14
ET3091	12	2	 	 	4	 	 	23	2	2	3	1
ET3091	13	3	2	2	4	1	5	38	1	6	2	38
ET3091	14	3	2	2	4	1	5	21	1	6	4	3
ET3091	15	3	2	2	4	1	3	39	1	6	1	39
ET3091	16	3	2	2	4	1	3	32	1	6	2	32
ET3091	17	2	2	 	4	5	 	22	2	6	3	3
ET3091	18	 	 	 	 	 	 	24	1	6	2	2
ET3091	19	1	 	 	5	 	 	26	1	6	10	6
ET3091	20	1	 	 	5	 	 	48	1	2	10	41
ET3091	21	1	 	 	5	 	 	41	1	2	10	12
ET3091	22	1	 	 	5	 	 	29	2	2	10	29
ET3091	23	2	 	 	5	 	 	35	1	6	2	6
ET3091	79	 	 	 	 	 	 	0	88	88	88	0
ET4151	1	1	2	3	1	5	2	45	1	7	1	45
ET4151	2	1	2	3	1	5	2	48	1	7	1	48
ET4151	3	1	2	 	1	5	 	42	1	7	1	42
ET4151	4	1	 	 	2	 	 	43	1	7	1	43
ET4151	5	1	 	 	2	 	 	25	1	7	1	25
ET4151	6	1	 	 	2	 	 	37	2	7	6	21
ET4151	7	1	 	 	3	 	 	31	1	7	2	31
ET4151	8	1	3	 	4	3	 	28	1	7	2	2
ET4151	9	3	 	 	2	 	 	65	1	7	7	65
ET4151	10	2	3	3	4	3	4	48	1	7	3	1
ET4151	11	2	3	 	4	4	 	35	1	7	3	6
ET4151	12	2	2	3	1	3	3	39	1	6	4	4
ET4151	13	2	2	3	1	3	4	45	1	2	4	3
ET4151	14	2	2	 	1	5	 	65	1	7	1	65
ET4151	15	2	 	 	4	 	 	26	1	7	3	6
ET4151	16	2	 	 	4	 	 	27	1	3	3	6
ET4151	17	2	 	 	5	 	 	38	1	7	1	38
ET4151	18	2	 	 	5	 	 	32	2	7	2	32
ET4151	79	 	 	 	 	 	 	0	88	88	88	0
ET2071	1	1	1	3	1	2	2	41	1	2	1	41
ET2071	2	1	1	3	1	2	2	42	1	2	2	42
ET2071	3	1	3	 	3	2	 	35	2	2	6	35
ET2051	79	 	 	 	 	 	 	0	88	88	88	0
ET2071	4	1	1	3	1	3	2	76	1	2	7	76
ET2071	5	1	1	3	4	5	2	42	1	2	1	42
ET2071	6	1	1	3	4	5	1	48	1	2	2	48
ET2071	7	1	1	3	4	5	1	40	1	2	2	13
ET2071	9	1	3	3	5	1	2	45	1	2	1	45
ET2071	8	1	3	3	5	1	2	43	1	2	7	43
ET2071	10	2	2	3	1	5	1	45	1	2	4	27
ET2071	11	2	3	3	5	1	2	35	2	2	6	35
ET2071	12	2	2	3	1	3	2	35	1	2	1	35
ET2071	13	2	2	3	1	3	2	35	2	2	1	35
ET2071	14	2	3	3	5	1	4	41	1	2	1	41
ET2071	15	3	3	 	1	2	 	48	1	2	2	27
ET2071	16	2	2	3	5	3	3	48	1	2	3	48
ET2071	17	2	2	3	5	3	3	35	1	2	9	35
ET2071	18	2	2	3	5	3	3	47	1	2	9	47
ET2071	19	2	2	3	4	5	3	20	2	2	3	20
ET2071	20	2	3	2	5	1	4	41	1	2	1	41
ET2071	21	3	2	 	4	4	 	37	1	2	3	37
ET2071	22	3	 	 	5	 	 	24	1	2	2	24
ET2071	79	 	 	 	 	 	 	0	88	88	88	0
ET2061	1	1	1	3	1	2	3	34	1	2	1	34
ET2061	2	1	1	3	1	2	2	54	1	2	2	54
ET2061	3	1	1	1	1	2	3	46	1	2	1	46
ET2061	4	1	3	 	3	3	 	28	2	2	6	28
ET2061	5	2	2	2	1	3	5	36	1	2	4	36
ET2061	6	2	2	2	1	5	3	31	2	2	1	31
ET2061	7	2	2	 	3	5	 	46	2	2	2	46
ET2061	8	2	2	3	4	5	1	28	2	2	6	6
ET2061	9	2	3	2	5	4	4	38	1	2	1	38
ET2061	10	1	2	2	5	4	5	34	1	2	1	34
ET2061	11	2	3	 	4	3	 	20	2	2	3	20
ET2061	12	3	2	2	3	4	3	20	2	2	9	20
ET2061	13	3	2	 	3	4	 	38	1	2	3	38
ET2061	14	1	1	 	4	5	 	50	1	2	2	50
ET2061	15	1	1	3	4	5	2	54	1	2	2	54
ET2061	16	1	1	3	4	5	3	40	1	2	1	40
ET2061	17	1	3	1	5	1	1	33	2	2	2	33
ET2061	18	1	3	1	1	3	5	46	1	2	7	46
ET2061	19	1	3	3	5	4	5	34	1	2	1	34
ET2061	20	3	2	 	5	5	 	23	2	2	2	10
ET2061	21	3	2	 	4	4	 	35	1	2	3	8
ET2061	79	 	 	 	 	 	 	0	88	88	88	0
ET4121	1	2	2	2	1	3	5	32	1	3	4	3
ET4121	2	2	2	 	1	3	 	31	1	3	4	1
ET4121	3	1	1	1	1	2	3	45	1	3	7	45
ET4121	4	1	1	1	3	1	2	42	1	3	1	42
ET4121	5	1	1	1	1	2	3	35	1	3	1	35
ET4121	6	1	 	 	5	 	 	40	1	3	9	40
ET4121	7	1	 	 	5	 	 	45	1	3	1	45
ET4121	8	1	3	 	5	3	 	50	1	3	9	50
ET4121	9	1	3	 	5	3	 	70	2	3	9	35
ET4121	10	1	3	 	5	3	 	30	1	3	2	30
ET4121	11	2	 	 	4	 	 	30	1	3	3	30
ET4121	12	2	 	 	1	 	 	30	1	3	4	1
ET4121	13	 	 	 	 	 	 	30	2	3	3	4
ET4121	14	2	 	 	5	 	 	35	2	3	2	13
ET4121	15	2	2	 	1	5	 	27	1	9	4	2
ET4121	79	 	 	 	 	 	 	0	88	88	88	0
ET3111	1	 	 	 	 	1	 	24	2	6	4	24
ET3111	2	3	1	2	4	3	4	27	2	6	3	2
ET3111	3	3	2	1	4	2	3	32	1	6	4	1
ET3111	4	3	3	2	4	3	3	30	1	6	4	10
ET3111	5	3	3	 	3	2	 	46	1	6	3	46
ET3111	6	2	1	3	5	2	3	58	1	6	2	38
ET3111	7	1	1	2	1	2	5	37	1	6	1	37
ET3111	8	1	3	 	1	1	 	36	1	6	2	36
ET3111	9	1	1	3	1	4	2	56	1	6	7	39
ET3111	10	1	3	3	2	1	2	39	2	6	1	39
ET3111	11	1	1	 	2	5	 	24	2	6	2	1
ET3111	12	2	2	 	3	1	 	37	1	6	4	5
ET3111	13	1	2	 	4	5	 	35	1	6	1	35
ET3111	14	3	2	 	2	5	 	54	1	6	1	54
ET3111	15	2	 	 	5	 	 	23	1	6	2	3
ET3111	16	2	 	 	4	 	 	38	2	6	3	8
ET3111	17	2	1	 	4	5	 	27	1	6	3	1
ET3111	18	2	 	 	4	 	 	33	1	6	3	7
ET3111	19	2	 	 	5	 	 	27	1	6	2	2
ET3111	20	2	2	 	4	5	 	45	2	6	2	30
ET3111	79	 	 	 	 	 	 	0	88	88	88	0
ET3101	1	2	3	 	4	3	 	27	1	6	3	3
ET3101	2	 	1	 	 	5	 	25	1	6	3	2
ET3101	3	2	 	 	4	 	 	26	2	6	3	1
ET3101	4	2	1	 	4	3	 	25	1	6	3	1
ET3101	5	2	 	 	4	 	 	24	1	6	3	1
ET3101	6	3	2	3	4	1	3	46	1	6	4	21
ET3101	7	1	3	1	3	1	4	38	2	2	8	7
ET3101	8	3	1	2	4	3	1	38	1	6	4	10
ET3101	9	1	 	 	5	 	 	27	2	6	10	27
ET3101	10	3	2	 	4	1	 	27	1	6	4	5
ET3101	11	1	2	1	1	5	3	40	1	6	2	4
ET3101	12	1	1	3	1	2	1	70	1	6	7	70
ET3101	13	1	2	 	1	5	 	33	1	6	1	4
ET3101	14	1	2	3	2	5	1	34	1	6	2	20
ET3101	15	1	3	2	2	1	5	38	2	6	6	10
ET3101	16	2	 	 	5	 	 	28	2	6	2	5
ET3101	17	2	 	 	5	 	 	31	1	6	2	22
ET3101	18	2	 	 	3	 	 	20	2	6	4	20
ET3101	19	2	 	 	3	 	 	21	2	6	4	3
ET3101	20	2	3	3	5	1	2	47	1	6	2	16
ET3101	21	2	2	 	5	3	 	33	1	6	4	8
ET3101	22	2	2	3	3	5	4	30	2	6	4	3
ET3101	79	 	 	 	 	 	 	0	88	88	88	0
ET1021	1	1	2	2	1	4	5	50	1	6	1	50
ET1021	2	1	1	1	1	2	3	26	1	2	3	26
ET1021	3	1	1	1	2	3	4	40	1	6	2	31
ET1021	4	1	1	2	1	3	5	47	1	6	6	4
ET1021	5	1	1	2	1	2	1	52	2	6	6	40
ET1021	6	1	2	1	3	4	4	39	1	6	3	4
ET1021	7	1	 	 	4	 	 	69	1	3	9	35
ET1021	8	1	3	 	4	1	 	27	1	2	2	2
ET1021	9	1	 	 	4	 	 	24	1	2	2	24
ET1021	10	2	 	 	5	 	 	48	1	2	2	48
ET1021	11	2	3	 	3	4	 	35	2	2	4	35
ET1021	12	2	2	 	4	5	 	22	2	2	2	6
ET1021	13	2	 	 	1	 	 	46	2	2	2	0
ET1021	14	2	3	 	1	4	 	44	2	6	4	3
ET1021	15	2	3	 	1	4	 	20	2	6	2	0
ET1021	16	2	 	 	4	 	 	25	2	6	9	25
ET1021	17	1	 	 	5	 	 	40	2	3	10	8
ET1021	18	1	 	 	5	 	 	50	2	6	10	25
ET1021	19	2	 	 	4	 	 	41	1	2	4	4
ET1021	20	2	 	 	5	 	 	51	1	2	8	0
ET1021	21	1	 	 	5	 	 	42	1	2	10	10
ET1021	22	1	 	 	5	 	 	22	1	6	10	7
ET1021	23	1	 	 	5	 	 	22	1	3	10	15
ET1021	24	1	 	 	5	 	 	36	1	3	10	10
ET1021	79	 	 	 	 	 	 	0	88	88	88	0
ET2041	1	2	 	 	1	 	 	61	1	2	7	22
ET2041	2	2	3	 	1	2	 	28	1	2	1	9
ET2041	3	2	2	2	1	3	5	26	2	2	4	10
ET2041	4	2	2	3	1	5	4	48	2	2	4	23
ET2041	5	2	3	3	1	3	4	31	1	2	4	15
ET2041	6	2	3	 	1	3	 	32	1	2	2	15
ET2041	7	2	3	2	5	3	3	38	1	2	1	2
ET2041	8	2	2	3	4	5	4	58	1	2	9	14
ET2041	9	2	3	3	4	5	4	30	1	2	2	30
ET2041	10	1	1	3	1	2	1	40	1	2	1	12
ET2041	11	1	2	3	2	5	2	35	2	2	6	9
ET2041	12	1	1	1	4	1	5	37	1	2	1	16
ET2041	13	1	1	1	3	4	5	45	1	2	7	11
ET2041	14	1	1	3	3	5	1	39	1	2	9	7
ET2041	15	1	1	 	3	4	 	28	1	2	2	1
ET2041	16	2	3	1	4	4	5	33	1	2	3	-99
ET2041	17	2	2	3	3	5	4	29	1	2	4	8
ET2041	18	1	3	 	5	1	 	37	1	2	10	37
ET2041	19	1	 	 	5	 	 	46	1	2	10	22
ET2041	20	1	 	 	5	 	 	39	1	2	10	27
ET2041	79	 	 	 	 	 	 	0	88	88	88	0
ET1022	1	1	1	1	1	2	3	32	1	6	1	32
ET1022	2	1	1	2	1	2	5	39	2	2	6	24
ET1022	3	1	1	2	2	3	5	48	1	2	2	35
ET1022	4	1	 	 	3	 	 	50	1	6	4	0
ET1022	5	1	3	 	4	3	 	52	1	6	2	29
ET1022	6	1	 	 	4	 	 	48	1	2	2	1
ET1022	7	1	3	 	4	1	 	25	1	6	2	25
ET1022	8	1	1	3	4	3	3	29	1	6	2	3
ET1022	9	1	3	 	4	2	 	30	1	2	2	1
ET1022	10	1	2	3	1	1	1	32	1	2	3	32
ET1022	11	3	 	 	1	 	 	36	2	2	10	10
ET1022	12	2	2	 	4	5	 	36	2	3	3	4
ET1022	13	2	 	 	4	 	 	30	2	2	9	21
ET1022	14	2	 	 	5	 	 	31	2	2	9	25
ET1022	15	2	2	3	1	5	4	35	1	10	4	35
ET1022	16	2	2	 	5	4	 	15	2	6	2	4
ET1022	17	1	2	3	5	1	4	56	1	2	4	20
ET1022	18	2	1	 	1	5	 	35	1	6	4	7
ET1022	19	2	 	 	4	 	 	36	2	2	3	3
ET1022	20	2	 	 	5	 	 	51	1	2	2	0
ET1022	21	1	 	 	5	 	 	40	2	3	10	25
ET1022	22	1	 	 	5	 	 	50	2	6	10	25
ET1022	23	3	2	3	4	3	4	21	2	6	4	3
ET1022	24	1	 	 	5	 	 	42	1	2	10	10
ET1022	25	1	 	 	5	 	 	22	1	6	10	7
ET1022	26	1	 	 	5	 	 	22	1	3	10	15
ET1022	27	1	 	 	5	 	 	36	1	3	10	10
ET1022	79	 	 	 	 	 	 	0	88	88	88	0
ET1011	1	2	 	2	1	2	3	42	1	2	4	4
ET1011	2	2	 	 	1	2	3	26	2	2	4	6
ET1011	3	1	 	 	1	2	3	35	2	6	1	35
ET1011	4	 	 	 	 	 	 	35	2	6	6	2
ET1011	5	3	 	 	4	 	 	56	1	2	3	15
ET1011	6	2	 	 	4	 	 	45	2	6	3	8
ET1011	7	1	 	 	4	 	 	37	2	3	6	18
ET1011	8	1	 	 	4	 	 	53	1	3	9	27
ET1011	9	1	 	 	4	 	 	50	2	6	9	38
ET1011	10	1	 	 	4	 	 	25	1	10	2	25
