placeid	entryid	cmmty	routeacc	trnsprtn	timearrv
ET4131	1	11	8	1	25
ET4131	3	9	8	1	20
ET4131	2	9	8	1	45
ET4161	1	11	8	1	25
ET4161	2	9	8	1	30
ET3081	1	11	8	1	25
ET3081	2	9	8	1	45
ET3091	1	11	8	1	20
ET3091	2	8	8	1	40
ET3091	3	8	8	1	65
ET3091	4	8	8	1	80
ET3091	5	8	8	1	105
ET4151	1	8	7	1	15
ET4151	2	9	7	1	40
ET4151	3	9	7	1	50
ET4151	4	9	7	1	60
ET4151	5	9	7	1	60
ET2071	1	11	7	1	10
ET2071	2	8	7	1	25
ET2071	3	8	7	1	40
ET2071	4	8	7	1	30
ET2061	1	11	7	1	20
ET2061	2	8	7	1	30
ET4121	1	11	8	1	30
ET4121	2	9	8	1	15
ET4121	3	9	8	1	60
ET4121	4	9	8	1	90
ET3111	1	11	7	1	5
ET3111	2	8	7	1	15
ET3111	3	8	7	1	20
ET3101	1	11	7	1	10
ET3101	2	8	7	1	15
ET3101	3	8	7	1	20
ET1021	1	8	7	1	20
ET1021	2	9	7	1	30
ET2041	1	11	7	1	20
ET2041	2	9	7	1	30
ET1022	1	8	7	13	20
ET1022	2	9	7	7	25
ET1022	3	9	7	13	30
ET1022	4	10	7	13	30
ET1022	5	10	7	7	30
ET1011	1	9	8	1	15
ET1011	2	11	6	1	20
ET1011	3	10	6	8	120
ET1032	1	8	7	1	10
ET1032	2	9	7	1	15
ET1032	3	11	7	1	5
ET1032	4	10	7	5	45
ET2051	1	9	8	1	240
ET2051	2	9	8	1	360
ET2051	3	9	8	1	240
ET2051	4	9	8	1	240
ET2051	5	9	8	1	210
ET4143	1	9	6	3	10
ET4143	2	10	6	3	15
ET4143	3	8	6	1	15
ET4143	4	11	6	1	5
ET4143	5	8	6	1	15
ET4143	6	10	6	3	10
ET1031	1	6	6	1	10
ET1031	2	9	6	1	5
ET1031	3	9	6	1	10
ET1031	4	11	6	1	5
ET1031	5	9	6	1	5
ET1031	6	11	6	1	5
ET5171	1	8	8	1	60
ET5171	2	8	8	1	30
ET5171	3	8	8	1	20
ET5171	4	8	8	1	40
ET5171	5	9	8	1	40
ET5171	6	11	8	1	10
ET5201	1	11	8	1	45
ET5201	2	9	8	1	90
ET5201	3	9	8	1	90
ET5201	4	9	8	1	110
ET5201	5	8	8	1	60
ET5201	6	8	8	1	90
ET5181	1	8	8	1	30
ET5181	2	9	8	1	60
ET5181	3	9	8	1	120
ET5181	4	9	8	1	120
ET5191	1	8	8	1	5
ET4141	1	8	6	1	10
ET4141	2	10	6	1	25
ET4141	3	10	6	1	20
ET4141	4	10	6	1	20
ET4144	1	8	6	1	10
ET4144	2	9	7	1	5
ET4144	3	8	6	1	10
