CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN021036	1	1	1	6	2	1
IN021036	2	2	1	6	2	1
IN021037	1	2	1	6	2	1
IN021037	2	2	2	2	2	17
IN021037	3	3	1	5	2	1
IN021038	1	2	1	11	2	1
IN021038	2	3	1	11	2	1
IN021039	1	1	1	10	2	20
IN021040	1	1	1	12	1	80
IN021041	1	1	2	5	1	1
IN021041	2	2	2	12	2	17
IN021042	1	3	1	12	1	1
IN021042	2	4	1	12	2	1
IN021043	1	1	1	5	3	1
IN021043	2	1	2	12	3	17
IN021043	3	2	1	12	4	17
IN021043	4	2	1	2	3	2
IN021044	1	1	1	12	3	1
IN021044	2	2	1	12	3	1
IN021045	1	1	1	6	2	1
IN021045	2	1	2	12	3	17
IN021045	3	1	2	4	3	2
IN021045	4	2	1	6	2	1
IN021045	5	2	2	12	3	17
IN021046	1	1	1	6	2	1
IN021046	2	1	2	4	2	45
IN021046	3	2	1	6	3	1
IN021046	4	2	2	4	3	45
IN021047	1	1	1	10	2	1
IN021048	1	1	2	12	2	1
IN021048	2	1	1	12	3	1
IN021049	1	1	2	12	1	80
IN021050	1	1	1	12	1	92
IN021050	2	2	1	8	2	1
IN031001	1	3	1	12	1	45
IN031001	2	4	2	12	1	74
IN031002	1	1	1	12	1	80
IN031003	1	1	2	12	1	52
IN031003	2	5	1	12	1	52
IN031003	3	6	1	12	1	52
IN031003	4	3	2	12	1	17
IN031004	1	3	2	12	1	71
IN031005	1	1	2	12	1	74
IN031005	2	3	2	12	1	75
IN031006	1	2	2	12	1	75
IN031007	1	1	2	12	1	74
IN031008	1	1	2	12	1	74
IN031009	1	2	1	12	1	74
IN031009	2	3	2	12	1	17
IN031010	1	1	2	12	1	60
IN031011	1	2	2	12	1	80
IN031011	2	3	2	12	1	80
IN031011	3	4	2	4	3	80
IN031011	4	6	2	4	3	80
IN031012	1	1	1	8	2	45
IN031012	2	2	1	12	1	60
IN031013	1	4	1	12	1	71
IN031014	1	1	1	12	1	36
IN031015	1	1	2	12	1	74
IN031016	1	1	2	12	1	75
IN031017	1	1	2	12	1	52
IN031018	1	1	1	12	1	80
IN031019	1	1	1	12	1	60
IN031020	1	1	2	12	1	92
IN031021	1	1	2	12	1	91
IN031021	2	2	2	12	1	15
IN031022	1	1	1	12	1	50
IN031022	2	3	1	12	1	74
IN031023	1	1	2	12	1	74
IN031023	2	2	2	6	1	15
IN031024	1	1	2	12	1	60
IN031025	1	1	1	12	1	71
IN031026	1	2	2	8	1	75
IN031026	2	3	2	12	1	19
IN031027	1	1	2	12	1	65
IN031027	3	2	2	12	1	71
IN031028	1	3	1	8	1	75
IN031028	2	3	2	3	1	15
IN031029	1	1	2	12	1	60
IN031029	2	2	2	12	1	95
IN031030	1	1	1	12	2	20
IN031031	1	1	1	12	1	52
IN031032	1	1	1	12	1	74
IN031032	2	2	1	12	1	74
IN031033	1	1	2	12	1	52
IN031033	2	2	1	12	1	74
IN031034	1	2	2	12	1	15
IN031035	1	2	1	12	1	20
IN031035	2	4	1	12	1	20
IN031036	1	1	1	12	1	52
IN031036	2	2	2	10	1	74
IN031037	1	1	1	12	1	95
IN031038	1	1	2	12	1	74
IN031038	2	3	2	12	1	52
IN031038	3	4	2	12	1	74
IN031038	4	5	2	12	1	52
IN031038	5	6	2	12	1	74
IN031039	1	1	1	12	1	17
IN031040	1	3	1	12	1	75
IN031041	1	1	2	12	1	74
IN031042	1	2	2	12	1	74
IN031043	1	1	2	1	1	64
IN031043	2	1	2	12	4	70
IN031044	1	1	2	12	1	64
IN031045	1	1	2	12	1	15
IN031045	2	2	2	12	1	15
IN031045	3	3	2	12	1	15
IN031045	4	4	2	12	1	15
IN031046	1	1	2	12	1	20
IN031047	1	2	2	11	1	80
IN031048	1	1	1	12	1	17
IN031049	1	1	2	12	1	85
IN031049	2	2	2	12	1	85
IN031050	1	1	2	12	1	36
IN031050	2	3	1	12	1	28
IN041001	1	1	2	12	2	1
IN041001	2	1	1	12	3	1
IN041001	3	2	1	12	3	1
IN041001	4	2	2	12	2	1
IN041002	1	1	1	12	1	1
IN041002	2	2	1	12	2	1
IN041003	1	1	2	12	2	1
IN041003	2	2	1	12	3	1
IN041003	3	2	1	12	3	1
IN041003	4	1	2	12	2	1
IN041004	1	1	1	12	1	1
IN041004	2	2	1	12	1	1
IN041004	3	3	1	12	2	1
IN041004	4	4	1	12	1	1
