CHILDID	LINECODE	PAYMT	PLACE	MONTHS	DAYS	actcode
IN021001	33	2	1	12	1	41
IN021001	34	2	1	8	1	 
IN021001	35	2	1	12	1	 
IN021001	36	2	1	12	1	93
IN021034	32	2	1	12	3	 
IN021043	32	1	1	12	4	 
IN021043	33	1	4	2	3	 
IN031003	32	2	1	12	1	41
IN031004	32	2	1	12	1	41
IN031005	32	2	1	12	1	41
IN031006	32	2	1	12	1	41
IN031014	32	2	1	12	1	41
IN051028	32	2	1	12	1	41
IN051034	32	2	1	12	1	41
IN051038	32	2	1	6	3	41
IN081001	32	1	1	12	4	41
IN081002	32	1	1	3	4	41
IN081002	33	1	1	4	4	74
IN081003	32	2	1	8	4	41
IN081005	32	2	1	12	4	1
IN081006	32	2	1	8	2	 
IN081008	32	1	1	2	4	41
IN081010	32	2	1	12	4	41
IN081015	32	2	1	12	4	 
IN081016	32	2	1	12	4	 
IN081019	32	2	1	12	4	41
IN081023	32	2	1	12	4	41
IN081024	32	2	1	12	4	41
IN081025	32	2	1	12	4	41
IN081026	32	2	1	12	4	41
IN091015	32	2	1	12	4	41
IN091022	32	2	1	12	4	41
IN091025	32	2	1	12	4	41
IN091027	32	2	1	12	4	41
IN091028	32	2	1	12	4	41
IN091029	32	2	1	12	4	41
IN091031	32	2	1	12	4	41
IN091035	32	2	1	12	4	41
IN091040	32	2	1	12	4	74
IN091041	32	2	1	12	4	41
IN091042	32	2	1	12	4	41
IN091045	32	2	1	12	4	74
IN091045	33	2	1	12	2	41
IN091050	32	2	1	12	4	41
IN101012	32	2	1	12	4	41
IN101014	32	2	1	12	4	41
IN101018	32	2	1	12	4	41
IN101019	32	2	1	12	4	41
IN101022	32	2	1	12	4	41
IN101033	32	2	1	12	4	41
IN101034	32	2	1	12	4	41
IN101034	33	2	1	12	4	74
IN101038	32	2	1	12	4	41
IN101044	32	2	1	12	4	41
IN101045	32	2	1	12	4	41
IN101048	32	2	1	12	4	41
IN111002	32	1	1	12	1	41
IN111008	32	1	1	12	2	 
IN111012	32	1	1	12	1	41
IN111013	32	1	1	4	4	74
IN111013	33	1	1	4	4	 
IN111014	32	1	1	12	4	41
IN111015	32	1	1	12	2	41
IN111016	32	2	1	12	1	 
IN111017	32	1	1	12	4	41
IN111020	32	1	1	12	1	41
IN111021	32	1	1	12	3	74
IN111022	32	1	1	12	3	41
IN111026	32	1	1	12	2	74
IN111027	32	1	1	12	2	41
IN111031	32	1	1	12	4	41
IN111034	32	1	1	12	2	41
IN111036	32	1	1	12	4	 
IN111039	32	1	1	12	4	41
IN111041	32	1	1	12	4	41
IN111044	32	1	1	12	4	41
IN111045	32	1	1	12	4	41
IN111047	32	1	1	3	4	1
IN111050	32	1	1	12	4	41
IN111054	32	1	1	12	4	74
IN111055	32	1	1	12	4	74
IN111056	32	1	1	12	3	41
IN111057	32	1	1	12	3	41
IN171002	32	2	1	12	2	 
IN171006	32	2	1	10	2	41
IN171009	32	2	1	12	1	41
IN171011	32	2	1	4	3	41
IN171012	32	2	1	12	1	41
IN171015	32	2	1	12	1	41
IN171017	32	2	1	12	3	1
IN171022	32	2	1	12	1	41
IN171028	32	2	1	12	1	41
IN171031	32	2	1	12	1	 
IN171031	33	2	1	8	2	41
IN171034	32	2	1	12	1	 
IN171035	32	2	1	12	1	 
IN171035	33	2	1	6	2	41
IN171036	32	2	1	4	3	 
IN171036	33	2	1	12	1	 
IN181003	32	2	1	6	3	41
IN181026	32	2	1	12	1	41
IN181027	32	2	1	5	2	41
IN181049	32	2	1	12	1	41
IN191041	32	2	1	12	1	41
IN191046	32	2	1	12	1	41
IN191049	32	2	1	6	2	41
IN191050	32	2	1	12	3	41
