childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN011034	28	4	1	4	 	 	2	 	0
IN011035	1	34	1	1	2	25	2	1	10
IN011035	2	27	2	1	2	25	2	1	10
IN011035	3	7	1	5	1	23	2	2	1
IN011036	1	58	1	3	2	25	2	2	12
IN011036	2	50	2	3	2	25	2	2	12
IN011036	3	35	1	1	2	25	1	1	9
IN011036	4	28	2	1	2	25	1	1	9
IN011036	28	4	2	5	 	 	2	 	0
IN011037	1	36	1	1	2	25	2	1	13
IN011037	2	26	2	1	2	25	2	2	10
IN011037	3	12	2	5	1	25	2	2	8
IN011038	1	80	2	3	2	23	2	2	5
IN011038	2	30	1	1	2	24	2	1	7
IN011038	3	28	2	1	2	23	2	2	5
IN011038	4	12	2	5	1	24	2	2	6
IN011038	5	10	2	5	1	24	2	2	6
IN011039	1	40	1	1	2	23	2	1	4
IN011039	2	35	2	1	2	24	2	1	7
IN011039	3	14	2	5	1	25	2	2	8
IN011039	4	11	2	5	1	24	2	2	6
IN011040	1	77	1	3	2	25	2	2	10
IN011040	2	40	1	1	2	25	2	1	15
IN011040	3	36	2	1	2	25	2	2	15
IN011040	4	6	1	5	1	23	2	2	1
IN011041	1	62	2	3	2	0	2	1	0
IN011041	2	36	2	1	2	25	2	1	12
IN011041	3	16	1	5	1	25	2	2	12
IN011042	1	60	1	3	2	23	2	2	4
IN011042	2	55	2	3	2	0	2	2	0
IN011042	3	30	1	1	2	23	2	1	4
IN011042	4	25	2	1	2	24	2	1	7
IN011042	5	6	2	5	1	23	2	2	2
IN011043	1	60	1	3	2	25	2	2	15
IN011043	2	50	2	3	2	25	2	2	8
IN011043	3	35	1	1	2	25	2	1	15
IN011043	4	32	1	4	2	25	2	2	15
IN011043	5	30	1	4	2	25	2	2	15
IN011043	6	28	2	1	2	25	2	2	15
IN011043	7	27	2	4	2	25	2	1	15
IN011043	8	27	2	4	2	25	2	2	10
IN011043	28	2	1	5	 	 	2	 	0
IN011044	1	30	1	1	2	0	2	1	0
IN011044	2	25	2	1	2	0	2	2	0
IN011044	3	6	1	5	1	23	2	2	2
IN011045	1	40	2	3	2	0	2	2	0
IN011045	2	35	1	1	2	24	2	1	7
IN011045	3	28	2	1	2	25	2	2	10
IN011045	4	6	1	5	1	23	2	2	1
IN011046	1	60	1	3	2	0	2	2	0
IN011046	2	30	1	1	2	23	2	1	5
IN011046	3	24	2	1	2	0	2	2	0
IN011046	4	11	2	5	1	23	2	2	5
IN011046	28	3	1	6	 	 	2	 	0
IN011047	1	70	2	3	2	0	2	2	0
IN011047	2	30	1	1	2	25	2	1	10
IN011047	3	25	2	1	2	23	2	2	4
IN011047	4	5	2	5	1	22	2	2	0
IN011048	1	29	1	1	2	24	2	1	6
IN011048	2	24	2	1	2	24	2	2	6
IN011048	3	7	1	5	1	23	2	2	2
IN011049	1	50	2	3	2	0	2	1	0
IN011049	2	38	1	1	2	25	2	1	12
IN011049	3	32	2	4	2	25	2	2	10
IN011049	4	30	2	1	2	25	2	1	10
IN011049	5	11	2	5	1	24	2	2	6
IN011049	6	9	2	5	1	23	2	2	5
IN011050	1	50	1	3	2	22	2	1	0
IN011050	2	40	2	3	2	22	2	1	0
IN011050	3	27	2	1	2	24	2	1	7
IN011050	4	22	1	4	2	25	2	1	12
IN011050	5	20	2	4	1	25	2	2	15
IN011050	6	19	1	4	2	24	2	1	7
IN021001	1	35	1	1	2	0	2	1	0
IN021001	2	30	2	1	2	0	2	1	0
IN021001	3	11	2	5	1	24	2	2	6
IN021001	4	6	1	5	1	23	2	2	5
IN021002	1	32	2	1	2	0	2	1	0
IN021002	2	11	2	5	1	23	2	2	2
IN021003	1	35	1	1	2	0	2	2	0
IN021003	2	32	2	1	2	0	2	2	0
IN021003	3	10	2	5	1	23	2	2	5
IN021003	4	9	2	5	1	23	2	2	4
IN021004	1	30	1	1	2	0	2	1	0
IN021004	2	25	2	1	2	0	2	1	0
IN021005	1	28	1	1	2	0	2	1	0
IN021005	2	25	2	1	2	0	2	1	0
IN021005	3	12	1	5	1	24	2	1	6
IN021006	1	42	1	2	2	0	2	1	0
IN021006	2	34	2	1	2	0	2	1	0
IN021006	3	16	1	5	1	25	2	1	10
IN021006	4	14	1	5	1	24	2	1	6
IN021007	1	42	2	1	2	0	2	1	0
IN021007	2	21	1	5	2	23	2	1	5
IN021007	3	17	2	5	2	0	2	1	0
IN021007	4	15	2	5	2	23	2	2	5
IN021008	1	40	2	4	2	24	2	1	6
IN021008	2	35	1	1	2	24	2	1	7
IN021008	3	25	2	1	2	0	2	1	0
IN021008	4	5	2	5	2	0	2	2	0
IN021009	1	50	1	1	2	0	2	1	0
IN021009	2	48	2	1	2	0	2	2	0
IN021009	3	21	1	5	2	0	2	2	0
IN021009	4	17	1	5	2	0	2	2	0
IN021009	5	14	2	5	1	23	2	2	5
IN021010	1	50	1	2	2	0	2	1	0
IN021010	2	45	2	1	2	0	2	1	0
IN021010	3	40	2	4	2	0	2	1	0
IN021011	1	28	1	1	2	25	2	1	12
IN021011	2	25	2	1	2	24	2	2	7
IN021011	3	7	2	5	1	23	2	2	2
IN021012	1	45	1	1	2	0	2	1	0
IN021012	2	30	2	1	2	0	2	1	0
IN021013	1	32	1	1	2	0	2	1	0
IN021013	2	28	2	1	2	23	2	1	3
IN021013	3	12	1	5	1	24	2	2	6
IN021013	4	10	1	5	1	24	2	2	6
IN021014	1	50	1	3	2	23	2	1	5
IN021014	2	40	2	3	2	0	2	1	0
IN021014	3	25	2	1	2	0	2	1	0
IN021014	28	4	2	5	 	 	2	 	0
IN021015	1	25	1	1	2	0	2	1	0
IN021015	2	22	2	1	2	24	2	1	7
IN021015	28	4	1	5	 	 	2	 	0
IN021016	1	55	2	3	2	0	2	2	0
IN021016	2	26	1	1	2	0	2	1	0
IN021016	3	24	2	1	2	0	2	2	0
IN021016	4	10	1	5	1	23	2	2	4
IN021016	5	6	1	5	1	23	2	2	1
IN021017	1	60	1	3	2	0	2	2	0
IN021017	2	55	2	3	2	0	2	2	0
IN021017	3	35	1	1	2	0	2	1	0
IN021017	4	32	2	1	2	0	2	2	0
IN021017	5	9	2	5	1	23	2	2	5
IN021017	28	4	2	5	 	 	2	 	0
IN021018	1	50	1	1	2	23	2	1	5
IN021018	2	48	2	1	2	0	2	1	0
IN021019	1	35	1	1	2	0	2	2	0
IN021019	2	30	2	1	2	0	2	1	0
IN021019	3	13	2	5	1	24	2	2	6
IN021019	28	4	2	5	 	 	2	 	0
IN021020	1	29	1	1	2	24	2	1	7
IN021020	2	25	2	1	2	0	2	1	0
IN021020	3	5	1	4	2	0	2	2	0
IN021021	1	35	1	1	2	25	2	1	10
IN021021	2	30	2	1	2	24	2	1	7
