childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN031045	6	9	1	5	1	23	2	2	3
IN031045	7	5	2	6	1	23	2	2	2
IN031045	28	4	1	6	 	 	2	 	0
IN031045	29	3	1	6	 	 	2	 	0
IN031046	1	36	1	1	2	25	2	1	15
IN031046	2	30	2	1	2	25	2	2	10
IN031046	3	12	2	5	1	24	2	2	6
IN031047	1	80	2	3	2	23	2	2	4
IN031047	2	40	1	1	2	25	2	1	12
IN031047	3	33	2	1	2	25	2	2	12
IN031047	4	13	2	5	1	23	2	2	4
IN031048	1	36	1	1	2	24	2	1	7
IN031048	2	30	2	1	2	23	2	2	5
IN031048	3	12	2	5	1	24	2	2	6
IN031049	1	50	1	1	2	25	2	1	15
IN031049	2	43	2	1	2	25	2	1	10
IN031050	1	30	1	1	2	25	2	1	10
IN031050	2	24	2	1	2	23	2	1	5
IN031050	3	20	1	4	2	23	2	2	4
IN031050	4	9	2	5	1	23	2	2	4
IN031050	5	6	1	5	1	22	2	2	0
IN041001	1	39	1	1	2	0	2	1	0
IN041001	2	35	2	1	2	0	2	1	0
IN041001	3	14	2	5	1	25	2	2	8
IN041002	1	35	1	1	2	0	2	1	0
IN041002	2	32	2	1	2	23	2	1	5
IN041002	3	13	1	5	1	24	2	2	6
IN041002	4	12	1	5	1	24	2	2	6
IN041002	5	11	2	5	1	24	2	2	6
IN041002	6	6	1	5	1	23	2	2	1
IN041003	1	35	1	1	2	0	2	1	0
IN041003	2	30	2	1	2	0	2	1	0
IN041003	28	3	1	5	 	 	2	 	0
IN041004	1	40	2	1	2	0	2	1	0
IN041004	2	23	1	4	2	23	2	1	3
IN041004	3	20	2	6	2	0	2	2	0
IN041004	4	18	1	4	2	0	2	1	0
IN041004	5	13	1	4	1	24	2	2	6
IN041004	28	4	1	4	 	 	2	 	0
IN041004	29	2	1	6	 	 	2	 	0
IN041005	1	35	1	1	2	25	2	1	9
IN041005	2	28	2	1	2	0	2	2	0
IN041005	3	10	2	5	1	23	2	2	2
IN041006	1	25	1	1	2	23	2	1	2
IN041006	2	18	2	1	2	0	2	1	0
IN041006	3	5	1	5	1	23	2	2	1
IN041006	28	1	2	5	 	 	2	 	0
IN041007	1	70	2	3	2	0	2	2	0
IN041007	2	35	1	1	2	0	2	1	0
IN041007	3	18	2	2	2	0	2	1	0
IN041007	4	16	2	5	2	0	2	1	0
IN041007	5	12	1	5	1	24	2	2	6
IN041007	6	9	2	5	1	23	2	2	4
IN041008	1	38	1	1	2	0	2	1	0
IN041008	2	25	2	1	2	0	2	1	0
IN041008	28	3	2	5	 	 	2	 	0
IN041008	29	2	1	5	 	 	2	 	0
IN041009	1	35	1	1	2	0	2	1	0
IN041009	2	30	2	1	2	0	2	2	0
IN041009	3	9	1	5	1	23	2	2	4
IN041010	1	35	1	1	2	0	2	1	0
IN041010	2	30	2	1	2	0	2	1	0
IN041010	3	12	1	5	1	24	2	2	6
IN041010	4	10	2	5	1	23	2	2	4
IN041011	1	28	1	1	2	0	2	1	0
IN041011	2	25	2	1	2	0	2	1	0
IN041011	3	7	2	5	1	23	2	2	2
IN041012	1	30	1	1	2	25	2	1	15
IN041012	2	25	2	1	2	23	2	1	5
IN041012	3	16	2	4	1	25	2	2	12
IN041012	4	10	2	5	1	23	2	2	4
IN041012	5	6	1	5	1	23	2	2	1
IN041012	28	2	1	5	 	 	2	 	0
IN041013	1	60	2	3	2	0	2	2	0
IN041013	2	40	1	1	2	0	2	1	0
IN041013	3	38	2	1	2	0	2	1	0
IN041013	4	10	2	5	1	23	2	2	4
IN041013	28	3	1	5	 	 	2	 	0
IN041014	1	40	1	1	2	0	2	1	0
IN041014	2	36	2	1	2	0	2	1	0
IN041014	3	20	1	5	2	23	2	1	4
IN041014	4	18	2	5	2	0	2	2	0
IN041014	5	13	2	5	1	23	2	2	4
IN041014	6	11	2	5	1	23	2	2	4
IN041014	7	7	2	5	1	23	2	2	2
IN041014	8	6	1	5	1	23	2	2	1
IN041015	1	50	1	1	2	0	2	1	0
IN041015	2	35	2	1	2	0	2	1	0
IN041015	3	14	2	5	1	25	2	2	9
IN041015	4	13	1	5	1	25	2	2	8
IN041015	5	10	2	5	1	23	2	2	4
IN041015	28	14	2	5	 	 	2	 	0
IN041016	1	50	1	1	2	0	2	1	0
IN041016	2	40	2	1	2	0	2	1	0
IN041016	3	16	2	5	1	25	2	2	12
IN041016	4	10	2	5	1	23	2	2	3
IN041016	5	9	2	5	1	23	2	2	3
IN041016	28	4	1	5	 	 	2	 	0
IN041017	1	30	1	4	2	25	2	1	15
IN041017	2	21	2	4	2	25	2	1	12
IN041018	1	31	1	1	2	0	2	1	0
IN041018	2	27	2	1	2	23	2	1	5
IN041018	3	14	2	5	1	25	2	2	9
IN041018	4	12	2	5	1	24	2	2	6
IN041018	5	12	1	6	1	24	2	2	6
IN041018	6	11	2	5	1	23	1	2	4
IN041018	7	9	2	5	1	23	2	2	3
IN041018	8	6	1	5	1	23	2	2	1
IN041019	1	30	1	1	2	0	2	1	0
IN041019	2	25	2	1	2	0	2	2	0
IN041019	3	6	1	5	1	23	2	2	2
IN041020	1	70	1	3	2	0	2	2	0
IN041020	2	65	2	3	2	0	1	2	0
IN041020	3	35	1	1	2	0	1	1	0
IN041020	4	30	2	1	2	0	1	2	0
IN041021	1	35	1	1	2	0	2	1	0
IN041021	2	30	2	1	2	0	2	2	0
IN041021	3	12	2	5	1	24	2	2	6
IN041021	28	4	1	5	 	 	2	 	0
IN041022	1	40	1	1	2	0	2	1	0
IN041022	2	35	2	1	2	0	2	1	0
IN041022	3	12	1	5	2	0	2	2	0
IN041022	4	10	1	5	1	23	2	2	4
IN041022	28	4	2	5	 	 	2	 	0
IN041022	29	3	1	5	 	 	2	 	0
IN041023	1	35	1	1	2	0	2	1	0
IN041023	2	30	2	1	2	0	2	1	0
IN041023	3	6	2	5	2	23	2	2	1
IN041023	28	4	1	5	 	 	2	 	0
IN041023	29	2	2	5	 	 	2	 	0
IN041024	1	28	1	1	2	0	2	1	0
IN041024	2	25	2	1	2	0	2	1	0
IN041024	28	4	1	5	 	 	2	 	0
IN041025	1	45	1	3	2	0	2	2	0
IN041025	2	28	1	1	2	23	2	2	4
IN041025	3	22	2	1	2	0	2	2	0
IN041025	4	5	1	5	1	22	2	2	0
IN041025	28	3	2	5	 	 	2	 	0
IN041025	29	1	2	5	 	 	2	 	0
IN041026	1	50	2	3	2	0	2	2	0
IN041026	2	30	1	1	2	0	2	2	0
IN041026	3	28	2	1	2	0	2	1	0
IN041026	4	6	2	5	1	23	2	2	1
IN041026	5	5	2	5	2	0	2	2	0
IN041026	28	3	1	5	 	 	2	 	0
IN041027	1	35	1	1	2	23	2	1	4
IN041027	2	28	2	1	2	23	2	1	5
IN041027	3	9	2	5	1	23	2	2	4
IN041028	1	30	1	1	2	25	2	1	12
IN041028	2	28	2	1	2	0	2	2	4
IN041028	3	6	1	5	1	23	2	2	1
IN041028	4	5	2	5	1	22	2	2	4
IN041029	1	34	1	2	2	25	2	1	10
IN041029	2	25	2	1	2	25	2	2	10
IN041029	3	5	2	5	1	22	2	2	0
IN041029	28	3	1	5	 	 	2	 	0
IN041030	1	35	1	1	2	0	2	1	0
IN041030	2	30	2	1	2	0	2	2	0
IN041030	3	9	1	5	1	23	2	2	4
IN041030	4	5	2	5	1	23	2	2	1
IN041030	28	3	1	5	 	 	2	 	0
IN041031	1	32	1	1	2	0	2	1	0
IN041031	2	29	2	1	2	0	2	1	0
IN041031	3	6	2	5	1	22	2	2	0
IN041031	28	3	2	5	 	 	2	 	0
IN041032	1	32	1	1	2	24	2	1	7
IN041032	2	25	2	1	2	24	2	2	6
IN041032	3	20	2	4	2	23	2	2	4
IN041032	4	11	1	5	1	24	2	2	6
IN041032	5	5	2	5	1	0	2	2	0
IN041033	1	50	2	3	2	0	2	1	0
IN041033	2	30	1	1	2	0	2	1	0
IN041033	3	25	2	1	2	23	2	2	5
IN041033	4	7	1	5	1	23	2	2	1
IN041034	1	35	1	1	2	25	2	1	15
IN041034	2	30	2	1	2	25	2	2	11
IN041034	3	10	2	5	1	24	2	2	6
IN041035	1	31	1	1	2	25	2	1	10
IN041035	2	28	2	1	2	0	2	2	0
IN041035	3	11	2	5	1	24	2	2	6
IN041036	1	25	1	1	2	24	2	1	6
IN041036	2	22	2	1	2	0	2	2	0
IN041036	3	7	1	5	1	23	2	2	2
IN041037	1	25	2	1	2	0	2	1	0
IN041037	2	10	2	5	2	23	2	2	4
IN041038	1	40	2	1	2	0	2	2	0
IN041038	2	22	1	5	2	23	2	1	5
IN041038	3	15	2	 	2	23	2	2	5
IN041039	1	32	1	1	2	25	2	1	10
IN041039	2	25	2	1	2	24	2	2	7
IN041039	3	5	1	5	2	0	2	2	0
IN041040	1	35	1	1	2	24	2	1	7
IN041040	2	34	2	1	2	23	2	1	5
IN041040	3	14	2	5	1	25	2	2	9
IN041040	4	12	2	5	1	24	2	2	6
IN041041	1	45	1	3	2	0	2	1	0
IN041041	2	35	2	3	2	0	2	1	0
IN041041	3	22	1	4	2	25	2	2	10
IN041041	4	19	2	4	2	24	2	2	7
IN041041	28	2	1	13	 	 	2	 	 
IN041042	1	36	1	1	2	25	2	1	10
IN041042	2	28	2	1	2	23	2	1	5
IN041042	3	6	2	5	2	0	2	2	0
IN041043	1	50	2	3	2	0	2	2	0
IN041043	2	34	1	1	2	25	2	1	10
IN041043	3	30	2	1	2	0	2	2	0
IN041043	4	13	1	5	1	25	2	2	8
IN041043	5	10	1	5	1	23	2	2	4
IN041044	1	33	1	1	2	25	2	1	10
IN041044	2	28	2	1	2	0	2	2	0
IN041044	3	5	1	5	2	0	2	2	0
IN041045	1	66	1	3	2	23	2	1	4
IN041045	2	36	1	1	2	0	2	1	0
IN041045	3	35	2	1	2	24	2	1	6
IN041045	4	14	1	5	1	25	2	2	9
IN041045	5	12	2	5	1	24	2	2	6
IN041045	6	5	1	5	1	22	2	2	0
IN041046	1	30	1	1	2	24	2	1	6
IN041046	2	28	2	1	2	23	2	1	5
IN041046	3	6	1	5	1	23	2	2	1
IN041046	28	4	1	5	 	 	2	 	0
IN041047	1	55	1	3	2	0	2	1	0
IN041047	2	50	2	3	2	0	2	1	0
IN041047	3	35	1	1	2	0	2	1	0
IN041047	4	30	2	1	2	0	2	1	0
IN041047	5	13	2	5	1	24	2	2	6
IN041047	6	6	1	5	1	23	2	2	1
IN041047	28	4	2	5	 	 	2	 	0
IN041048	1	45	1	1	2	0	2	1	0
IN041048	2	35	2	1	2	0	2	1	0
IN041048	3	12	2	5	1	24	2	2	6
IN041048	4	11	2	5	1	25	2	2	8
IN041048	5	10	2	5	1	23	2	2	4
IN041049	1	29	1	1	2	23	2	1	4
IN041049	2	26	2	1	2	0	2	1	0
IN041049	3	9	1	5	1	23	2	2	4
IN041049	4	7	2	5	1	23	2	2	1
IN041050	1	42	1	1	2	25	2	2	15
IN041050	2	32	2	1	2	25	2	2	15
IN041050	3	10	2	5	1	23	2	1	4
IN041050	4	7	2	5	1	23	2	1	3
IN051001	1	38	1	1	2	0	2	1	0
IN051001	2	33	2	1	2	0	2	2	0
IN051001	3	18	1	5	2	25	2	2	12
IN051001	4	9	2	5	1	23	2	2	4
IN051002	1	36	1	1	2	0	2	1	0
IN051002	2	31	2	1	2	0	2	2	0
IN051002	3	12	1	5	2	23	2	1	4
IN051003	1	37	1	1	2	0	2	1	0
IN051003	2	29	2	1	2	0	2	1	0
IN051003	3	13	2	5	2	23	2	2	4
IN051003	4	11	2	5	1	24	2	2	6
IN051004	1	35	1	1	2	0	2	1	0
IN051004	2	30	2	1	2	0	2	2	0
IN051004	28	4	2	5	 	 	2	 	0
IN051004	29	3	1	5	 	 	2	 	0
IN051005	1	32	1	1	2	0	2	1	0
IN051005	2	28	2	1	2	0	2	2	0
IN051005	3	11	1	5	1	24	2	2	6
IN051005	4	6	2	5	1	23	2	2	2
IN051006	1	46	1	1	2	0	2	1	0
IN051006	2	39	2	1	2	0	2	1	0
IN051006	3	10	1	5	1	23	2	2	5
IN051007	1	31	1	1	2	25	2	1	12
IN051007	2	26	2	1	2	23	2	2	6
IN051007	28	2	1	5	 	 	2	 	0
IN051008	1	34	1	1	2	0	2	1	0
IN051008	2	26	2	1	2	0	2	1	0
IN051008	3	21	2	4	2	24	2	2	7
IN051008	4	6	1	5	1	23	2	2	2
IN051008	28	2	2	6	 	 	2	 	0
IN051009	1	30	1	1	2	0	2	1	0
IN051009	2	25	2	1	2	0	2	2	0
IN051009	3	11	2	5	1	24	2	2	6
IN051010	1	35	1	1	2	0	2	1	0
IN051010	2	30	2	1	2	0	2	2	0
IN051010	28	4	2	5	 	 	2	 	0
IN051011	1	60	1	3	2	23	2	2	4
IN051011	2	50	2	3	2	22	2	2	0
IN051011	3	36	1	4	2	24	2	2	7
IN051011	4	34	1	1	2	22	2	1	0
IN051011	5	28	2	4	2	23	2	2	4
IN051011	6	26	1	4	2	24	2	1	7
IN051011	7	25	2	1	2	24	2	1	7
IN051011	8	18	2	5	2	24	2	2	7
IN051011	9	9	2	5	1	23	2	2	4
IN051011	10	8	1	5	1	22	2	2	0
IN051011	11	6	2	5	1	22	2	2	0
IN051012	1	35	1	1	2	0	2	1	0
IN051012	2	26	2	1	2	0	2	1	0
IN051012	3	9	1	5	1	23	2	2	4
IN051012	4	6	1	5	1	22	2	2	0
IN051013	1	36	1	1	2	0	2	1	0
IN051013	2	28	2	1	2	0	2	1	0
IN051013	3	12	2	5	2	0	2	2	0
IN051013	4	10	2	5	1	23	2	2	3
IN051014	1	40	1	1	2	0	2	1	0
IN051014	2	35	2	1	2	0	2	2	0
IN051014	3	10	1	5	2	0	2	2	0
IN051014	4	6	2	5	2	0	2	2	0
IN051014	28	4	1	5	 	 	2	 	0
IN051015	1	39	1	1	2	0	2	1	0
IN051015	2	35	2	1	2	0	2	2	0
IN051015	3	10	1	5	1	23	2	2	4
IN051016	1	62	1	3	2	0	2	2	0
IN051016	2	58	2	3	2	0	2	2	0
IN051016	3	32	1	1	2	0	2	1	0
IN051016	4	28	2	1	2	0	2	2	0
IN051016	5	28	1	4	2	0	2	1	0
IN051016	6	20	2	4	2	0	2	1	0
IN051016	7	17	2	4	2	0	2	2	0
IN051016	8	11	2	4	1	24	2	2	6
IN051016	9	10	1	5	1	23	2	2	4
IN051016	10	5	2	5	1	22	2	2	0
IN051016	28	2	1	5	 	 	2	 	0
IN051016	29	1	2	5	 	 	2	 	0
IN051017	1	60	1	3	2	0	2	2	0
IN051017	2	51	2	3	2	0	2	2	0
IN051017	3	28	1	1	2	0	2	1	0
IN051017	4	20	2	1	2	0	2	1	0
IN051017	5	5	1	5	2	0	2	2	0
IN051018	1	75	1	3	2	23	2	2	4
IN051018	2	65	2	3	2	0	2	2	0
IN051018	3	30	1	1	2	23	2	1	4
IN051018	4	30	2	1	2	23	2	2	5
IN051018	5	12	1	5	1	23	2	2	4
IN051018	6	10	2	5	1	23	2	2	4
IN051019	1	35	2	1	2	0	1	1	0
IN051020	1	38	1	1	2	0	2	1	0
IN051020	2	31	2	1	2	0	2	1	0
IN051020	3	6	1	5	1	23	2	2	2
IN051020	28	4	1	5	 	 	2	 	0
IN051021	1	35	1	1	2	0	2	1	0
IN051021	2	26	2	1	2	0	2	1	0
IN051021	28	3	1	5	 	 	2	 	0
IN051022	1	34	1	1	2	0	2	1	0
IN051022	2	30	2	1	2	0	2	1	0
IN051023	1	35	1	1	2	0	2	1	0
IN051023	2	30	2	1	2	0	2	2	0
IN051023	3	12	2	5	1	24	2	2	6
IN051024	1	40	1	1	2	24	2	1	7
IN051024	2	35	2	1	2	0	2	2	0
IN051024	3	11	1	5	1	23	2	2	4
IN051025	1	38	1	1	2	0	1	1	0
IN051025	2	30	2	1	2	0	2	1	0
IN051025	3	12	1	5	1	24	2	2	6
IN051025	28	4	2	5	 	 	2	 	0
IN051025	29	2	1	5	 	 	2	 	0
IN051026	1	35	1	1	2	0	2	1	0
IN051026	2	30	2	1	2	0	2	1	0
IN051026	3	5	2	5	1	23	2	2	1
IN051027	1	40	1	1	2	0	2	1	0
IN051027	2	30	2	1	2	0	2	2	0
IN051027	3	12	2	5	2	24	2	2	6
IN051027	4	10	2	5	1	23	2	2	3
IN051028	1	35	1	1	2	0	1	1	0
IN051028	2	30	2	1	2	0	2	1	0
IN051028	3	10	1	5	2	0	2	1	0
IN051029	1	60	1	3	2	0	2	2	0
IN051029	2	30	1	1	2	0	2	1	0
IN051029	3	25	2	1	2	0	2	1	0
IN051029	4	5	1	5	1	23	2	2	3
IN051030	1	68	1	3	2	0	2	1	0
IN051030	2	52	2	3	2	0	2	2	0
IN051030	3	38	1	1	2	25	2	1	12
IN051030	4	25	1	4	2	0	2	1	0
IN051030	5	23	2	1	2	24	2	2	7
IN051030	6	21	1	4	2	24	2	1	7
IN051030	7	6	2	5	1	23	2	2	2
IN051031	1	55	1	3	2	0	2	2	0
IN051031	2	34	1	1	2	25	2	1	12
IN051031	3	27	2	1	2	0	2	1	0
IN051031	4	26	1	4	2	0	2	2	0
IN051031	5	24	2	4	2	0	2	2	0
IN051031	6	8	1	6	1	23	2	2	4
IN051031	7	5	2	6	1	23	2	2	1
IN051032	1	35	1	1	2	0	2	1	0
IN051032	2	30	2	1	2	0	2	1	0
IN051032	3	11	1	5	1	23	2	2	4
IN051033	1	60	2	3	2	0	2	2	0
IN051033	2	40	1	1	2	0	2	1	0
IN051033	3	30	2	1	2	0	2	2	0
IN051033	4	9	1	5	1	23	2	2	4
IN051034	1	70	2	3	2	0	2	2	0
IN051034	2	38	1	1	2	0	2	1	0
IN051034	3	32	2	1	2	0	2	1	0
IN051034	4	15	1	5	2	24	2	1	7
IN051034	5	7	1	5	1	23	2	2	3
IN051035	1	30	1	1	2	23	2	1	5
IN051035	2	23	2	1	2	23	2	2	5
IN051035	3	9	1	5	1	23	2	2	5
IN051036	1	37	1	1	2	0	2	1	0
IN051036	2	34	2	1	2	0	2	1	0
IN051036	3	7	1	5	1	23	2	2	2
IN051036	4	6	1	5	1	23	2	2	1
IN051037	1	68	2	3	2	0	1	2	0
IN051037	2	56	1	3	2	0	1	2	0
IN051037	3	41	1	1	2	0	2	1	0
IN051037	4	36	2	1	2	0	2	1	0
IN051037	5	5	2	5	1	23	2	2	1
IN051038	1	42	1	1	2	25	2	1	10
IN051038	2	35	2	1	2	0	2	1	0
IN051038	3	15	2	5	2	23	2	2	5
IN051038	28	2	1	5	 	 	2	 	0
IN051039	1	60	2	3	2	0	2	2	0
IN051039	2	35	1	1	2	0	2	1	0
IN051039	3	28	2	1	2	0	2	2	0
IN051039	4	25	1	4	2	25	2	2	15
IN051039	5	5	1	5	1	23	2	2	1
IN051039	28	3	2	5	 	 	2	 	0
IN051040	1	60	1	3	2	0	2	1	0
IN051040	2	35	1	1	2	0	2	1	0
IN051040	3	32	2	1	2	0	2	2	0
IN051040	4	11	2	5	1	24	2	2	6
IN051041	1	65	2	3	2	0	2	2	0
IN051041	2	39	1	1	2	0	2	1	0
IN051041	3	35	2	1	2	0	2	1	0
IN051041	4	16	1	5	2	0	2	1	0
IN051041	5	13	1	5	2	0	2	1	0
IN051042	1	35	1	1	2	0	2	1	0
IN051042	2	28	2	1	2	0	2	1	0
IN051042	3	10	1	5	1	23	2	2	5
IN051043	1	64	2	3	2	0	2	2	0
IN051043	2	30	1	1	2	0	2	1	0
IN051043	3	27	2	1	2	0	2	1	0
IN051043	4	6	1	5	1	23	2	2	2
IN051044	1	60	1	3	2	25	2	1	15
IN051044	2	55	2	3	2	0	2	2	0
IN051044	3	52	2	3	2	0	2	2	0
IN051044	4	29	2	1	2	25	2	2	10
IN051044	5	24	1	1	2	25	2	2	15
IN051044	6	14	1	4	1	25	2	2	10
IN051044	28	3	2	5	 	 	2	 	0
IN051045	1	80	2	3	2	0	2	2	0
IN051045	2	45	1	1	2	25	2	1	10
IN051045	3	36	2	1	2	23	2	2	5
IN051045	4	18	2	5	2	23	2	2	5
IN051046	1	68	2	3	2	0	2	2	0
IN051046	2	45	1	1	2	0	2	1	0
IN051046	3	38	2	1	2	0	2	1	0
IN051046	4	15	2	5	2	0	2	2	0
IN051047	1	50	1	1	2	0	2	1	0
IN051047	2	45	2	1	2	0	2	1	0
IN051047	3	18	1	5	2	23	2	2	4
IN051047	4	13	2	5	2	23	2	2	2
IN051048	1	52	1	3	2	0	2	2	0
IN051048	2	50	2	3	2	0	2	2	0
IN051048	3	35	1	1	2	0	2	1	0
IN051048	4	31	2	1	2	0	2	2	0
IN051048	5	10	1	5	2	0	2	1	0
IN051049	1	75	1	3	2	0	2	1	0
IN051049	2	50	1	4	2	0	2	1	0
IN051049	3	42	2	4	2	0	2	2	0
IN051049	4	37	1	1	2	25	2	1	10
IN051049	5	31	2	1	2	23	2	2	5
IN051049	6	11	2	5	1	24	2	2	6
IN051049	7	10	1	5	1	24	2	2	6
IN051050	1	45	1	1	2	0	2	1	0
IN051050	2	38	2	1	2	0	2	1	0
IN051050	3	18	1	5	2	0	2	2	0
IN061001	1	75	1	3	2	23	2	2	5
IN061001	2	70	2	3	2	0	2	2	0
IN061001	3	28	2	4	2	23	2	2	5
IN061001	4	48	1	4	2	24	2	2	7
IN061001	5	19	2	6	2	25	2	2	9
IN061001	6	18	2	6	2	25	2	2	9
IN061001	7	18	1	6	1	25	2	2	13
IN061001	8	35	1	1	2	25	2	1	14
IN061001	9	30	2	1	2	25	2	2	11
IN061001	10	7	2	5	1	23	2	2	3
IN061001	28	4	2	5	 	 	2	 	0
IN061002	1	35	1	1	2	0	2	2	0
IN061002	2	30	2	1	2	0	2	2	0
IN061002	3	10	2	5	1	23	2	2	5
IN061002	4	5	2	5	2	0	2	2	0
IN061003	1	50	1	1	2	0	2	1	0
IN061003	2	45	2	1	2	0	2	2	0
IN061003	3	11	2	5	1	23	2	2	5
IN061004	1	50	1	1	2	0	2	2	0
IN061004	2	43	2	1	2	0	2	1	0
IN061004	3	16	2	5	2	0	2	2	0
IN061005	1	30	1	1	2	0	2	1	0
IN061005	2	25	2	1	2	0	2	1	0
IN061005	28	3	2	5	 	 	2	 	0
IN061006	1	65	2	3	2	0	2	2	0
IN061006	2	33	1	1	2	0	2	1	0
IN061006	3	30	2	1	2	0	2	2	0
IN061006	4	15	2	5	1	25	2	2	10
IN061006	5	7	2	5	1	23	2	2	2
IN061006	28	4	1	5	 	 	2	 	0
IN061007	1	70	1	3	2	0	2	2	0
IN061007	2	54	2	3	2	0	2	2	0
IN061007	3	36	1	1	2	0	2	1	0
IN061007	4	28	2	1	2	0	2	1	0
IN061007	5	26	1	4	2	0	2	2	0
IN061007	6	23	2	4	2	0	2	2	0
IN061007	7	24	1	4	2	23	2	2	5
IN061007	8	11	1	5	1	23	2	2	5
IN061007	28	1	2	6	 	 	2	 	0
IN061008	1	65	2	3	2	0	2	2	0
IN061008	2	40	1	1	2	0	2	2	0
IN061008	3	35	2	1	2	0	2	2	0
IN061008	4	18	1	5	1	25	2	2	12
IN061008	5	11	2	5	1	23	2	2	5
IN061009	1	80	1	3	2	0	1	2	0
IN061009	2	60	2	3	2	0	1	1	0
IN061009	3	32	1	1	2	0	1	1	0
IN061009	4	30	2	1	2	0	2	1	0
IN061009	5	9	2	5	1	23	2	2	4
IN061010	1	30	1	1	2	0	2	1	0
IN061010	2	25	2	1	2	0	2	1	0
IN061010	3	23	2	2	2	0	2	1	0
IN061010	4	10	2	5	1	23	2	2	5
IN061010	5	6	2	5	1	23	2	2	1
IN061010	28	3	2	5	 	 	2	 	0
IN061010	29	3	2	5	 	 	2	 	0
IN061011	1	30	1	1	2	0	2	2	0
IN061011	2	28	2	1	2	0	2	2	0
IN061011	3	10	1	5	1	23	2	2	5
IN061012	1	60	1	3	2	0	2	2	0
IN061012	2	45	1	1	2	0	2	1	0
IN061012	3	40	2	1	2	0	2	2	0
IN061012	4	12	2	5	1	25	2	2	10
IN061013	1	32	1	1	2	0	2	1	0
IN061013	2	25	2	1	2	23	2	1	5
IN061013	3	12	1	5	1	24	2	2	6
IN061014	1	32	1	1	2	0	2	2	0
IN061014	2	28	2	1	2	0	2	2	0
IN061014	3	6	2	5	1	23	2	2	1
IN061014	28	3	2	5	 	 	2	 	0
IN061015	1	60	1	3	2	0	2	2	0
IN061015	2	50	2	3	2	0	2	2	0
IN061015	3	35	1	1	2	25	2	1	14
IN061015	4	28	2	1	2	24	2	1	7
IN061015	5	12	1	5	1	24	2	2	6
IN061015	6	10	1	5	1	23	2	2	5
IN061016	1	36	1	1	2	25	2	1	9
IN061016	2	27	2	1	2	0	2	2	0
IN061016	3	6	1	5	1	22	2	2	0
IN061017	1	35	1	1	2	0	1	1	0
IN061017	2	28	2	1	2	0	2	2	0
IN061017	3	11	2	5	1	23	2	2	5
IN061018	1	65	2	3	2	0	2	2	0
IN061018	2	35	1	1	2	0	2	1	0
IN061018	3	32	2	1	2	0	2	2	0
IN061018	4	31	2	4	2	24	2	2	7
IN061018	5	28	2	4	2	0	2	2	0
IN061018	6	6	1	5	1	23	2	2	1
IN061018	28	4	1	6	 	 	2	 	0
IN061019	1	55	1	3	2	0	2	2	0
IN061019	2	45	2	3	2	0	2	2	0
IN061019	3	35	1	1	2	0	2	2	0
IN061019	4	30	2	1	2	0	2	2	0
IN061019	5	27	1	4	2	25	2	2	10
IN061019	6	26	1	4	2	25	2	2	10
IN061019	7	33	2	5	2	0	2	2	0
IN061020	1	30	1	1	2	23	2	1	5
IN061020	2	24	2	1	2	0	2	2	0
IN061020	3	10	1	5	1	22	2	2	0
IN061021	1	33	1	1	2	0	2	1	0
IN061021	2	26	2	1	2	0	2	1	0
IN061021	28	4	1	5	 	 	2	 	0
IN061022	1	38	1	1	2	0	2	1	0
IN061022	2	30	2	1	2	0	2	1	0
IN061022	3	12	1	5	2	23	2	2	5
IN061023	1	45	1	1	2	0	2	2	0
IN061023	2	35	2	1	2	0	2	2	0
IN061023	3	11	1	5	1	23	2	2	5
IN061024	1	75	1	3	2	25	1	2	10
IN061024	2	62	2	3	2	0	1	2	0
IN061024	3	41	1	1	2	25	1	1	8
IN061024	4	27	2	1	2	23	2	1	3
IN061024	5	6	1	5	1	22	2	2	0
IN061024	28	3	2	5	 	 	2	 	0
IN061025	1	35	1	1	2	0	2	1	0
IN061025	2	27	2	1	2	0	2	1	0
IN061025	3	11	1	5	1	25	2	2	9
IN061026	1	38	1	1	2	0	2	2	0
IN061026	2	28	2	1	2	0	2	1	0
IN061026	3	12	2	5	1	24	2	2	6
IN061026	28	4	1	5	 	 	2	 	0
IN061027	1	70	2	3	2	0	2	2	0
IN061027	2	50	1	1	2	0	2	1	0
IN061027	3	40	2	1	2	0	2	2	0
IN061027	4	17	2	 	1	25	2	1	12
IN061028	1	45	1	1	2	0	2	1	0
IN061028	2	31	2	1	2	0	2	1	0
IN061029	1	42	1	1	2	0	2	1	0
IN061029	2	38	2	1	2	0	2	1	0
IN061029	3	16	2	5	2	22	2	2	0
IN061029	4	13	2	5	1	25	2	2	8
IN061030	1	62	1	3	2	0	2	2	0
IN061030	2	38	1	1	2	0	2	1	0
IN061030	3	33	2	1	2	23	2	1	5
IN061030	4	25	1	4	2	0	1	2	0
IN061030	5	9	1	5	1	23	2	2	4
IN061031	1	48	1	1	2	0	2	1	0
IN061031	2	36	2	1	2	0	2	2	0
IN061031	3	15	1	5	1	25	2	2	10
IN061031	4	12	2	5	2	0	2	2	0
IN061032	1	32	1	1	2	0	2	1	0
IN061032	2	26	2	1	2	0	2	1	0
IN061032	3	10	1	5	1	23	2	2	5
IN061033	1	33	1	1	2	0	2	1	0
IN061033	2	28	2	1	2	23	2	1	4
IN061033	3	11	2	5	1	24	2	2	6
IN061034	1	50	1	1	2	0	2	1	0
