CHILDID	PLANID	PLAN
IN011001	1	3
IN011001	2	8
IN011002	1	8
IN011003	1	10
IN011004	1	8
IN011004	2	1
IN011005	1	5
IN011005	2	3
IN011006	1	8
IN011006	2	2
IN011007	1	8
IN011007	2	2
IN011008	1	3
IN011008	2	8
IN011009	1	8
IN011009	2	1
IN011010	1	9
IN011010	2	8
IN011011	1	5
IN011011	2	1
IN011012	1	2
IN011012	2	8
IN011013	1	6
IN011013	2	3
IN011014	1	5
IN011014	2	8
IN011015	1	8
IN011015	2	1
IN011016	1	5
IN011016	2	3
IN011017	1	8
IN011017	2	10
IN011018	1	10
IN011018	2	8
IN011019	1	1
IN011019	2	8
IN011020	1	5
IN011020	2	2
IN011021	1	10
IN011021	2	8
IN011022	1	5
IN011022	2	2
IN011023	1	10
IN011024	1	6
IN011024	2	8
IN011025	1	5
IN011025	2	7
IN011026	1	5
IN011026	2	3
IN011027	1	5
IN011027	2	9
IN011028	1	5
IN011028	2	8
IN011029	1	9
IN011029	2	8
IN011030	1	9
IN011030	2	3
IN011031	1	8
IN011031	2	10
IN011032	1	8
IN011032	2	1
IN011033	1	10
IN011033	2	8
IN011034	1	5
IN011034	2	7
IN011035	1	8
IN011035	2	1
IN011036	1	8
IN011036	2	1
IN011037	1	5
IN011037	2	2
IN011038	1	8
IN011038	2	9
IN011039	1	5
IN011039	2	7
IN011040	1	8
IN011040	2	3
IN011041	1	5
IN011041	2	7
IN011042	1	1
IN011043	1	5
IN011043	2	10
IN011044	1	8
IN011044	2	10
IN011045	1	3
IN011045	2	8
IN011047	1	8
IN011047	2	9
IN011048	1	8
IN011048	2	1
IN011049	1	5
IN011049	2	7
IN011050	1	8
IN011050	2	6
IN021001	1	1
IN021001	2	10
IN021002	1	1
IN021002	2	8
IN021003	1	3
IN021003	2	8
IN021004	1	1
IN021005	1	8
IN021005	2	2
IN021006	1	7
IN021006	2	8
IN021007	1	10
IN021007	2	7
IN021008	1	6
IN021008	2	3
IN021009	1	10
IN021010	1	8
IN021011	1	3
IN021011	2	4
IN021012	1	1
IN021012	2	1
IN021013	1	10
IN021013	2	8
IN021014	1	2
IN021015	1	10
IN021016	1	8
IN021016	2	7
IN021017	1	8
IN021017	2	3
IN021018	1	3
IN021018	2	8
IN021019	1	1
IN021020	1	8
IN021021	1	8
IN021021	2	1
IN021022	1	6
IN021022	2	8
IN021023	1	10
IN021024	1	1
IN021025	1	8
IN021025	2	6
IN021026	1	8
IN021027	1	5
IN021027	2	8
IN021028	1	5
IN021028	2	8
IN021029	1	2
IN021029	2	3
IN021030	1	10
IN021030	2	8
IN021031	1	8
IN021031	2	2
IN021032	1	7
IN021032	2	8
IN021033	1	5
IN021033	2	7
IN021034	1	10
IN021034	2	1
IN021035	1	10
IN021036	1	10
IN021036	2	8
IN021037	1	10
IN021038	1	10
IN021039	1	8
IN021039	2	10
IN021040	1	5
IN021040	2	9
IN021041	1	8
IN021041	2	2
IN021042	1	8
IN021043	1	10
IN021043	2	8
IN021044	1	8
IN021044	2	9
IN021045	1	10
IN021045	2	8
IN021046	1	9
IN021046	2	8
IN021047	1	10
IN021047	2	1
IN021048	1	9
IN021048	2	10
IN021049	1	5
IN021050	1	10
IN031001	1	8
IN031001	2	5
IN031002	1	8
IN031002	2	10
IN031003	1	8
IN031003	2	3
IN031004	1	2
IN031004	2	2
IN031005	1	8
IN031005	2	1
IN031006	1	1
IN031007	1	2
IN031008	1	3
IN031009	1	8
IN031009	2	10
IN031010	1	3
IN031010	2	2
IN031011	1	2
IN031012	1	8
IN031012	2	10
IN031013	1	8
IN031013	2	10
IN031014	1	2
IN031014	2	1
IN031015	1	8
IN031016	1	3
IN031016	2	8
IN031017	1	8
IN031017	2	10
IN031018	1	8
IN031018	2	10
IN031019	1	8
IN031019	2	10
IN031020	1	3
IN031020	2	8
IN031021	1	8
IN031021	2	1
IN031022	1	8
IN031022	2	10
IN031023	1	8
IN031024	1	3
IN031025	1	5
IN031025	2	3
IN031026	1	8
IN031026	2	2
IN031027	1	8
IN031027	2	10
IN031028	1	8
IN031028	2	10
IN031029	1	3
IN031029	2	8
IN031030	1	10
IN031030	2	10
IN031031	1	8
IN031031	2	10
IN031032	1	3
IN031032	2	8
IN031033	1	2
IN031033	2	1
IN031034	1	8
IN031034	2	1
IN031035	1	8
IN031035	2	10
IN031036	1	8
IN031036	2	10
IN031037	1	10
IN031037	2	1
IN031038	1	8
IN031038	2	10
IN031039	1	8
IN031039	2	10
IN031040	1	8
IN031040	2	10
IN031041	1	3
IN031041	2	10
IN031042	1	10
IN031043	1	10
IN031044	1	3
IN031045	1	3
IN031045	2	8
IN031046	1	3
IN031047	1	2
IN031048	1	8
IN031048	2	3
IN031049	1	5
IN031049	2	2
IN031050	1	8
IN031050	2	10
IN041001	1	8
IN041001	2	3
IN041002	1	8
IN041003	1	8
IN041003	2	7
IN041004	1	8
IN041004	2	3
IN041005	1	3
IN041005	2	8
IN041006	1	8
IN041006	2	1
IN041007	1	8
IN041007	2	4
IN041008	1	10
IN041008	2	4
IN041009	1	3
IN041009	2	8
IN041010	1	1
IN041011	1	8
IN041011	2	3
IN041012	1	10
IN041012	2	3
IN041013	1	10
IN041013	2	2
IN041014	1	7
IN041014	2	8
IN041015	1	8
IN041015	2	10
IN041016	1	8
IN041016	2	10
IN041017	1	5
IN041017	2	8
IN041018	1	8
IN041018	2	3
IN041019	1	10
IN041019	2	8
IN041020	1	1
IN041021	1	3
IN041021	2	8
IN041022	1	8
IN041022	2	10
IN041023	1	8
IN041023	2	1
IN041024	1	10
IN041024	2	8
IN041025	1	8
IN041026	1	8
IN041026	2	10
IN041027	1	8
IN041027	2	3
IN041028	1	5
IN041028	2	8
IN041029	1	8
IN041029	2	7
IN041030	1	3
IN041031	1	3
IN041031	2	8
IN041032	1	3
IN041032	2	8
IN041033	1	8
IN041033	2	3
IN041034	1	6
IN041034	2	7
IN041035	1	7
IN041035	2	8
IN041036	1	8
IN041036	2	3
IN041037	1	4
IN041037	2	8
IN041038	1	4
IN041038	2	8
IN041039	1	9
IN041039	2	7
IN041040	1	5
IN041040	2	6
IN041041	1	4
IN041041	2	2
IN041042	1	4
IN041042	2	5
IN041043	1	8
IN041043	2	3
IN041044	1	3
IN041044	2	1
IN041045	1	8
IN041045	2	6
IN041046	1	8
IN041046	2	3
IN041047	1	8
IN041047	2	1
IN041048	1	4
IN041048	2	8
IN041049	1	4
IN041049	2	3
IN041050	1	8
IN041050	2	7
IN051001	1	10
IN051002	1	2
IN051002	2	8
IN051003	1	8
IN051003	2	10
IN051004	1	3
IN051005	1	8
IN051005	2	1
IN051006	1	8
IN051006	2	1
IN051007	1	8
IN051008	1	8
IN051008	2	10
IN051009	1	8
IN051010	1	10
IN051011	1	8
IN051011	2	10
IN051012	1	8
IN051012	2	10
IN051013	1	8
IN051013	2	10
IN051014	1	8
IN051015	1	8
IN051015	2	1
IN051016	1	8
IN051016	2	1
IN051017	1	10
IN051017	2	10
IN051018	1	8
IN051019	1	1
IN051019	2	10
IN051020	1	8
IN051020	2	10
IN051021	1	10
IN051021	2	10
IN051022	1	8
IN051022	2	3
IN051023	1	10
IN051024	1	2
IN051025	1	10
IN051025	2	10
IN051026	1	2
IN051026	2	1
IN051027	1	8
IN051028	1	1
IN051029	1	8
IN051029	2	10
IN051030	1	8
IN051030	2	1
IN051031	1	8
IN051031	2	10
IN051032	1	8
IN051032	2	1
IN051033	1	8
IN051034	1	8
IN051034	2	10
IN051035	1	8
IN051035	2	1
IN051036	1	8
IN051036	2	1
IN051037	1	8
IN051037	2	1
IN051039	1	10
IN051039	2	8
IN051040	1	8
IN051041	1	8
IN051041	2	10
IN051042	1	8
IN051042	2	10
IN051043	1	8
IN051043	2	3
IN051044	1	8
IN051044	2	10
IN051045	1	3
IN051046	1	8
IN051046	2	10
IN051047	1	8
IN051047	2	10
IN051048	1	8
IN051048	2	1
IN051049	1	8
IN051050	1	10
IN051050	2	10
IN061001	1	10
IN061002	1	10
IN061003	1	10
IN061004	1	8
IN061004	2	10
IN061005	1	10
IN061005	2	10
IN061006	1	8
IN061007	1	10
IN061007	2	8
IN061008	1	10
IN061009	1	8
IN061009	2	10
IN061010	1	8
IN061010	2	10
IN061011	1	10
IN061012	1	8
IN061013	1	10
IN061013	2	8
IN061014	1	10
IN061015	1	10
IN061015	2	8
IN061016	1	8
IN061016	2	2
IN061017	1	8
IN061017	2	10
IN061018	1	8
IN061019	1	10
IN061020	1	8
IN061021	1	10
IN061021	2	8
IN061022	1	10
IN061022	2	8
IN061023	1	10
IN061024	1	10
IN061024	2	10
IN061025	1	8
IN061025	2	10
IN061026	1	10
IN061026	2	1
IN061027	1	10
IN061028	1	10
IN061028	2	1
IN061029	1	8
IN061029	2	10
IN061030	1	10
IN061030	2	8
IN061031	1	10
IN061031	2	8
IN061032	1	8
IN061032	2	10
IN061033	1	10
IN061033	2	8
IN061034	1	8
IN061034	2	10
IN061035	1	2
IN061035	2	8
IN061036	1	10
IN061037	1	10
IN061038	1	10
IN061038	2	8
IN061039	1	8
IN061039	2	10
IN061040	1	10
IN061040	2	10
IN061041	1	8
IN061041	2	10
IN061042	1	1
IN061043	1	10
IN061044	1	8
IN061044	2	10
IN061045	1	8
IN061045	2	10
IN061046	1	1
IN061047	1	10
IN061048	1	8
IN061048	2	10
IN061049	1	8
IN061049	2	10
IN061050	1	10
IN071001	1	10
IN071002	1	2
IN071002	2	10
IN071003	1	8
IN071003	2	10
IN071004	1	10
IN071005	1	8
IN071006	1	8
IN071007	1	10
IN071008	1	10
IN071008	2	1
IN071009	1	10
IN071010	1	10
IN071010	2	1
IN071011	1	10
IN071011	2	8
IN071012	1	8
IN071012	2	10
IN071013	1	8
IN071013	2	10
IN071014	1	10
IN071014	2	8
IN071015	1	10
IN071015	2	10
IN071016	1	10
IN071017	1	10
IN071017	2	10
IN071018	1	8
IN071018	2	10
IN071019	1	10
IN071019	2	10
IN071020	1	8
IN071020	2	10
IN071021	1	8
IN071021	2	10
IN071022	1	10
IN071023	1	2
IN071023	2	8
IN071024	1	10
IN071024	2	10
IN071025	1	10
IN071025	2	10
IN071026	1	8
IN071026	2	10
IN071027	1	8
IN071027	2	10
IN071028	1	1
IN071028	2	1
IN071029	1	8
IN071029	2	10
IN071030	1	8
IN071030	2	10
IN071031	1	8
IN071031	2	10
IN071032	1	8
IN071032	2	10
IN071033	1	2
IN071033	2	8
IN071034	1	8
IN071034	2	10
IN071035	1	8
IN071035	2	1
IN071036	1	8
IN071036	2	10
IN071037	1	8
IN071037	2	10
IN071038	1	8
IN071038	2	10
IN071039	1	2
IN071040	1	2
IN071040	2	1
IN071041	1	8
IN071041	2	10
IN071042	1	8
IN071042	2	10
IN071043	1	10
IN071043	2	1
IN071044	1	8
IN071045	1	10
IN071045	2	10
IN071046	1	8
IN071046	2	2
IN071047	1	8
IN071047	2	10
IN071048	1	8
IN071048	2	1
IN071049	1	8
IN071049	2	10
IN071050	1	8
IN081001	1	10
IN081001	2	2
IN081002	1	8
IN081002	2	3
IN081003	1	8
IN081003	2	10
IN081004	1	10
IN081005	1	6
IN081005	2	8
IN081006	1	3
IN081007	1	8
IN081007	2	8
IN081008	1	8
IN081008	2	3
IN081009	1	5
IN081009	2	6
IN081010	1	3
IN081010	2	8
IN081011	1	8
IN081011	2	10
IN081012	1	7
IN081012	2	10
IN081013	1	1
IN081014	1	1
IN081015	1	8
IN081015	2	1
IN081016	1	8
IN081016	2	10
IN081017	1	8
IN081017	2	7
IN081018	1	3
IN081018	2	10
IN081019	1	7
IN081019	2	10
IN081020	1	10
IN081020	2	8
IN081021	1	8
IN081021	2	10
IN081022	1	10
IN081022	2	8
IN081023	1	10
IN081023	2	10
IN081024	1	10
IN081024	2	8
IN081025	1	8
IN081025	2	10
IN081026	1	8
IN081026	2	10
IN081027	1	1
IN081028	1	1
IN081029	1	3
IN081029	2	8
IN081030	1	8
IN081030	2	10
IN081031	1	8
IN081031	2	10
IN081032	1	8
IN081032	2	10
IN081033	1	8
IN081033	2	10
IN081034	1	8
IN081034	2	10
IN081035	1	8
IN081035	2	10
IN081036	1	10
IN081036	2	7
IN081037	1	7
IN081038	1	8
IN081038	2	10
IN081039	1	8
IN081039	2	10
IN081040	1	8
IN081040	2	10
IN081041	1	8
IN081041	2	10
IN081042	1	10
IN081043	1	8
IN081044	1	8
IN081045	1	5
IN081045	2	6
IN081046	1	8
IN081046	2	10
IN081047	1	10
IN081047	2	7
IN081048	1	2
IN081048	2	7
IN081049	1	8
IN081049	2	3
IN081050	1	5
IN081050	2	10
IN091001	1	8
IN091001	2	10
IN091002	1	1
IN091003	1	8
IN091003	2	10
IN091004	1	1
IN091005	1	8
IN091006	1	8
IN091006	2	10
IN091007	1	8
IN091007	2	10
IN091008	1	5
IN091008	2	10
IN091009	1	8
IN091009	2	10
IN091010	1	5
IN091010	2	7
IN091011	1	8
IN091011	2	10
IN091012	1	8
IN091013	1	8
IN091014	1	8
IN091015	1	10
IN091015	2	8
IN091016	1	8
IN091016	2	10
IN091017	1	8
IN091018	1	8
IN091019	1	8
IN091020	1	10
IN091020	2	8
IN091021	1	8
IN091021	2	10
IN091022	1	8
IN091022	2	10
IN091023	1	8
IN091023	2	10
IN091024	1	8
IN091024	2	10
IN091025	1	8
IN091025	2	2
IN091026	1	8
IN091026	2	10
IN091027	1	2
IN091027	2	10
IN091028	1	10
IN091028	2	2
IN091029	1	10
IN091029	2	8
IN091030	1	8
IN091030	2	10
IN091031	1	2
IN091031	2	10
IN091032	1	8
IN091032	2	10
IN091033	1	8
IN091033	2	10
IN091034	1	8
IN091034	2	10
IN091035	1	8
IN091035	2	10
IN091036	1	8
IN091036	2	10
IN091037	1	8
IN091037	2	10
IN091038	1	10
IN091038	2	8
IN091039	1	8
IN091039	2	10
IN091040	1	2
IN091040	2	8
IN091041	1	8
IN091042	1	7
IN091042	2	10
IN091043	1	8
IN091043	2	10
IN091044	1	8
IN091044	2	10
IN091045	1	8
IN091045	2	10
IN091046	1	10
IN091046	2	8
IN091048	1	8
IN091049	1	10
IN091050	1	8
IN091050	2	7
IN101001	1	2
IN101001	2	7
IN101002	1	2
IN101002	2	5
IN101003	1	2
IN101003	2	5
IN101004	1	7
IN101004	2	4
IN101005	1	8
IN101005	2	3
IN101007	1	7
IN101007	2	2
IN101008	1	7
IN101008	2	8
IN101009	1	5
IN101009	2	2
IN101010	1	1
IN101011	1	5
IN101011	2	10
IN101012	1	2
IN101012	2	8
IN101013	1	6
IN101013	2	2
IN101014	1	8
IN101014	2	2
IN101015	1	2
IN101015	2	8
IN101016	1	2
IN101016	2	8
IN101017	1	8
IN101017	2	2
IN101018	1	2
IN101018	2	5
IN101019	1	8
IN101019	2	2
IN101020	1	8
IN101020	2	2
IN101021	1	2
IN101021	2	8
IN101022	1	2
IN101022	2	8
IN101023	1	5
IN101023	2	8
IN101024	1	8
IN101024	2	5
IN101025	1	6
IN101025	2	3
IN101026	1	2
IN101026	2	5
IN101028	1	9
IN101028	2	8
IN101029	1	1
IN101030	1	8
IN101030	2	2
IN101031	1	5
IN101031	2	2
IN101032	1	5
IN101032	2	2
IN101033	1	8
IN101033	2	2
IN101034	1	5
IN101034	2	8
IN101035	1	2
IN101035	2	4
IN101036	1	2
IN101036	2	8
IN101037	1	8
IN101037	2	2
IN101038	1	8
IN101038	2	2
IN101039	1	8
IN101039	2	9
IN101040	1	7
IN101040	2	3
IN101041	1	2
IN101041	2	8
IN101042	1	2
IN101042	2	7
IN101043	1	1
IN101044	1	2
IN101044	2	8
