CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
IN111021	1	13	-88	500
IN111024	1	13	0	1000
IN111025	1	13	 	1500
IN111026	1	7	-88	2000
IN111029	1	13	 	3000
IN111030	1	13	-88	2000
IN111031	1	13	-88	7000
IN111032	1	14	0	700
IN111033	1	7	-88	1000
IN111040	1	13	0	6000
IN111041	1	13	-88	3000
IN111043	1	13	-88	2000
IN111044	1	13	0	1500
IN111045	1	7	100	1000
IN111046	1	13	-88	1000
IN111047	1	13	200	2000
IN111048	1	7	200	600
IN111049	1	13	-88	400
IN111051	1	13	0	1400
IN111054	1	7	 	2000
IN111055	1	13	0	1350
IN111057	1	13	-88	1500
IN121002	1	13	-88	2000
IN121003	1	13	-88	1000
IN121004	1	13	0	2000
IN121005	1	13	0	1000
IN121008	1	13	-88	1000
IN121009	1	13	-88	2000
IN121013	1	7	-88	1000
IN121014	1	13	200	1500
IN121016	1	13	-88	1000
IN121017	1	13	 	3000
IN121018	1	13	200	3000
IN121022	1	7	-88	2000
IN121023	1	13	-88	5000
IN121026	1	13	-88	700
IN121029	1	13	-88	2000
IN121029	2	13	-88	2000
IN121030	1	13	0	800
IN121033	1	7	-88	3000
IN121036	1	13	-88	3000
IN121040	1	13	-88	1200
IN121042	1	8	0	1000
IN121048	1	13	0	1000
IN121049	1	13	-88	1500
IN121050	1	13	-88	1500
IN131001	1	13	-88	300
IN131004	1	13	0	1000
IN131008	1	13	-88	2000
IN131009	1	13	100	1000
IN131009	2	13	100	1200
IN131010	1	13	-88	3000
IN131012	1	13	-88	2000
IN131013	1	13	-88	4000
IN131014	1	13	-88	1000
IN131015	1	13	-88	10000
IN131018	1	13	500	1500
IN131019	1	13	-88	500
IN131020	1	13	-88	500
IN131022	1	7	-88	500
IN131027	1	13	-88	1500
IN131028	1	13	-88	1000
IN131028	2	7	-88	700
IN131031	1	13	300	2500
IN131035	1	13	200	1500
IN131035	2	13	300	1500
IN131035	3	13	200	1500
IN131036	1	7	-88	1000
IN131037	1	13	100	1500
IN131038	1	13	0	1000
IN131039	1	13	-88	500
IN131039	2	7	-88	1000
IN131040	1	13	0	2000
IN131041	1	13	-88	1000
IN131042	1	13	-88	500
IN131043	1	13	-88	460
IN131045	1	13	-88	500
IN131046	1	13	0	500
IN131048	1	13	0	400
IN131050	1	13	-88	1000
IN141001	1	7	5000	-88
IN141003	1	14	-88	500
IN141004	1	16	-88	2500
IN141005	1	13	100	0
IN141005	2	14	100	0
IN141007	1	14	-88	1800
IN141007	2	13	-88	500
IN141007	3	13	-88	350
IN141008	1	7	10000	3500
IN141012	1	16	5000	-88
IN141017	1	14	0	500
IN141018	1	16	-88	3700
IN141018	2	22	-88	2000
IN141020	1	13	600	200
IN141022	1	13	-88	2000
IN141022	2	13	-88	1500
IN141024	1	14	100	0
IN141024	2	13	216	0
IN141025	1	16	-88	4000
IN141025	2	16	-88	4000
IN141026	1	14	-88	300
IN141027	1	7	600	0
IN141027	2	14	300	0
IN141028	1	13	1000	3000
IN141029	1	13	-88	10000
IN141030	1	16	-88	1500
IN141031	1	13	-88	200
IN141032	1	13	500	300
IN141032	2	16	500	-88
IN141033	1	13	-88	1000
IN141034	1	7	1000	2000
IN141035	1	13	800	300
IN141036	1	13	-88	500
IN141037	1	13	100	0
IN141037	2	13	100	0
IN141038	1	13	500	-88
IN141039	1	14	-88	2000
IN141040	1	88	51	0
IN141041	1	6	-88	500
IN141042	1	16	-88	600
IN141043	1	13	-88	2000
IN141045	1	13	1000	200
IN141046	1	14	5000	500
IN141047	1	14	-88	6000
IN141049	1	14	500	-88
IN141049	2	13	500	-88
IN151002	1	19	116	0
IN151002	2	19	50	0
IN151002	3	19	60	0
IN151004	1	13	100	0
IN151004	2	14	216	0
IN151013	1	13	-88	1500
IN151013	2	13	-88	2000
IN151015	1	18	-88	2000
IN151016	1	13	-88	1500
IN151016	2	13	-88	1800
IN151018	1	7	-88	500
IN151019	1	13	316	600
IN151020	1	13	600	-88
IN151020	2	7	800	-88
IN151022	1	16	500	0
IN151022	2	16	300	0
IN151022	3	13	100	0
IN151023	1	14	800	2500
IN151023	2	13	1500	2500
IN151025	1	7	1000	500
IN151027	1	13	100	0
IN151027	2	13	116	0
IN151027	3	13	100	0
IN151028	1	7	 	4000
IN151029	1	14	1000	500
IN151029	2	16	-88	1000
IN151032	1	13	500	500
IN151034	1	13	-88	2000
IN151035	1	14	-88	3000
IN151035	2	16	-88	3000
IN151035	3	19	1100	-88
IN151035	4	16	500	-88
IN151036	1	13	300	0
IN151036	2	16	216	0
IN151036	3	13	50	0
IN151036	4	16	200	0
IN151037	1	13	200	0
IN151037	2	13	50	0
IN151037	3	13	50	0
IN151037	4	13	0	1000
IN151038	1	13	200	0
IN151038	2	13	216	50
IN151038	3	13	216	0
IN151038	4	13	200	40
IN151038	5	13	116	0
IN151038	6	13	100	0
IN151039	1	16	10000	0
IN151039	2	16	10000	0
IN151039	3	16	5000	0
IN151040	1	13	-88	1800
IN151040	2	19	5600	4000
IN151042	1	13	516	0
IN151042	2	13	500	0
IN151043	1	13	4000	4000
IN151044	1	13	-88	1000
IN151045	1	13	200	0
IN151045	2	14	500	0
IN151045	3	13	216	0
IN151045	4	13	516	0
IN151046	1	7	100	600
IN161004	1	13	0	2000
IN161008	1	14	0	1000
IN161009	1	16	-88	1550
IN161010	1	13	-77	200
IN161010	2	14	-77	300
IN161011	1	14	-88	1000
IN161011	2	14	-88	2000
IN161011	3	13	-88	1500
IN161012	1	7	-88	2000
IN161012	2	16	-88	2500
IN161015	1	7	500	3000
IN161016	1	13	-77	600
IN161018	1	16	10000	15000
IN161020	1	16	500	2000
IN161022	1	13	-88	500
IN161023	1	13	-88	7000
IN161024	1	13	6000	0
IN161025	1	13	500	-88
IN161027	1	7	-88	1000
IN161028	1	19	600	-88
IN161029	1	19	1500	-88
IN161030	1	6	-88	1000
IN161030	2	7	-88	800
IN161032	1	16	0	510
IN161032	2	14	0	500
IN161033	1	13	1000	2000
IN161037	1	13	3000	1000
IN161041	1	16	10000	3000
IN161044	1	14	100	0
IN161044	2	13	51	0
IN161045	1	13	-88	500
IN161046	1	13	-88	600
IN161047	1	14	4000	-88
IN161048	1	14	-88	500
IN161050	1	7	-88	3000
IN161050	2	16	-88	2000
IN161050	3	13	-88	1500
IN161050	4	5	-88	2500
IN171002	1	7	-88	15000
IN171003	1	13	-88	2000
IN171007	1	16	-88	4000
IN171008	1	13	500	600
IN171008	2	7	1500	1500
IN171009	1	13	1000	1000
IN171010	1	7	200	600
IN171010	2	13	-88	100
IN171011	1	7	500	800
IN171011	2	14	500	800
IN171012	1	7	200	800
IN171013	1	7	2000	2000
IN171014	1	7	-88	2000
IN171014	2	13	-88	2000
IN171016	1	13	-88	1000
IN171019	1	7	-88	500
IN171020	1	7	3000	3000
IN171023	1	16	2000	2000
IN171024	1	13	100	-88
IN171026	1	13	-88	2000
IN171027	1	14	100	500
IN171028	1	13	10000	10000
IN171032	1	7	-88	2000
IN171034	1	7	-88	2000
IN171036	1	13	2000	2000
IN171038	1	13	-88	33000
IN171039	1	16	3000	-88
IN171040	1	13	-88	1500
IN171041	1	14	-88	300
IN171042	1	13	-88	500
IN171042	2	14	101	-88
IN171042	3	13	1016	-88
IN171042	4	14	-88	200
IN171043	1	7	400	500
IN171044	1	13	3000	3000
IN171044	2	19	200	2000
IN171045	1	13	15000	27500
IN171045	2	7	-88	10000
IN171048	1	7	400	600
IN171049	1	14	-88	1000
IN171050	1	13	500	-88
IN181001	1	13	-88	1500
IN181002	1	7	-88	1000
IN181002	2	7	-88	1000
IN181003	1	19	-88	1500
IN181003	2	13	-88	1000
IN181004	1	14	250	-77
IN181007	1	13	1000	2000
IN181008	1	7	-88	1000
IN181008	2	19	250	-88
IN181009	1	14	800	-77
IN181009	2	5	5000	-77
IN181011	1	7	6000	2000
IN181012	1	13	2000	-77
IN181013	1	14	200	-88
IN181014	1	13	-88	500
IN181014	2	19	101	-88
IN181016	1	1	400	200
IN181018	1	14	-88	500
IN181019	1	13	-88	1000
IN181019	2	5	500	-88
IN181020	1	7	-88	2000
IN181020	2	16	-88	1000
IN181020	3	7	-88	500
IN181022	1	7	-88	1000
IN181023	1	7	-88	2000
IN181023	2	19	200	250
IN181024	1	7	-88	1000
IN181026	1	7	770	300
IN181026	2	19	300	-88
IN181027	1	7	200	1500
IN181028	1	7	500	400
IN181029	1	19	400	-77
IN181030	1	14	400	-77
IN181031	1	13	-77	250
IN181031	2	7	500	400
IN181032	1	19	-88	300
IN181033	1	13	200	-77
IN181035	1	7	-77	300
IN181035	2	5	500	-88
IN181035	3	13	100	400
IN181036	1	13	-88	1000
IN181038	1	19	150	-88
IN181038	2	14	150	-88
IN181040	1	7	-88	2000
IN181041	1	19	100	-88
IN181041	2	19	150	-88
IN181041	3	13	150	500
IN181042	1	13	-88	1000
IN181042	2	19	200	-88
IN181044	1	7	-88	1000
IN181045	1	13	200	-77
IN181046	1	16	300	-77
IN181047	1	5	-88	1000
IN181047	2	6	-88	1000
IN181047	3	13	-88	1000
IN181047	4	13	-88	1000
IN181047	5	13	-88	1000
IN181048	1	19	200	580
IN181048	2	19	101	-88
IN181049	1	13	-88	1000
IN181049	2	5	400	-88
IN181049	3	19	110	-88
IN181050	1	6	700	600
IN181050	2	13	77	500
IN191002	1	7	1000	2000
IN191003	1	7	-88	1000
IN191003	2	13	-88	500
IN191004	1	7	400	250
IN191004	2	19	280	-88
IN191005	1	13	200	-77
IN191005	2	19	400	-88
IN191006	1	13	-88	2000
IN191007	1	7	-77	600
IN191008	1	7	300	400
IN191010	1	13	2000	4000
IN191010	2	19	500	-88
IN191010	3	5	2000	500
IN191011	1	7	100	300
IN191011	2	13	-88	100
IN191012	1	13	-88	300
IN191012	2	13	-88	200
IN191012	3	14	-88	300
IN191012	4	14	-88	300
IN191012	5	14	-88	300
IN191012	6	14	-88	300
IN191012	7	5	-88	300
IN191012	8	5	-88	300
IN191013	1	7	400	700
IN191013	2	19	500	-88
IN191014	1	22	121	-88
IN191014	2	19	120	-88
IN191014	3	16	120	-88
IN191014	4	16	-88	2000
IN191015	1	7	2000	-88
IN191015	2	7	2000	-88
IN191016	1	7	500	-77
IN191017	1	22	100	-88
IN191019	1	13	-88	20000
IN191019	2	13	2000	-88
IN191020	1	16	-88	2000
IN191021	1	14	-88	250
IN191021	2	19	350	-88
IN191024	1	7	-88	1000
IN191024	2	7	-88	450
IN191029	1	13	500	10000
IN191029	2	19	500	200
IN191030	1	13	500	1500
IN191030	2	7	1500	3000
IN191031	1	13	-88	1000
IN191031	2	13	-88	1000
IN191032	1	13	-88	500
IN191032	2	13	-88	500
IN191032	3	13	-88	500
IN191032	4	13	-88	500
IN191033	1	7	-88	500
IN191033	2	7	-88	500
IN191034	1	7	1000	600
IN191034	2	14	1016	-88
IN191034	3	14	2016	-88
IN191035	1	14	-88	300
IN191036	1	13	500	-77
IN191037	1	7	-88	1000
IN191037	2	19	600	200
IN191038	1	14	-88	300
IN191038	2	6	800	400
IN191039	1	6	400	200
IN191040	1	13	500	2000
IN191041	1	13	200	500
IN191042	1	16	-88	400
IN191043	1	19	400	-88
IN191044	1	13	-77	800
IN191044	2	16	-77	400
IN191045	1	13	-88	500
IN191045	2	13	-88	500
IN191045	3	19	-88	500
IN191046	1	7	-77	2000
IN191049	1	7	500	3000
IN191050	1	13	-88	300
IN191050	2	13	-88	300
IN191050	3	13	-88	300
IN191050	4	13	-88	300
IN191050	5	13	-88	500
IN191050	6	13	-88	500
IN191050	7	13	-88	500
IN191050	8	13	-88	500
IN201001	1	13	-88	400
IN201003	1	13	-88	400
IN201004	1	13	-88	1000
IN201006	1	7	1000	2000
IN201010	1	7	1000	2000
IN201012	1	13	7000	-88
IN201013	1	13	4000	-88
IN201015	1	13	0	500
IN201016	1	13	-88	2000
IN201016	2	14	-88	500
IN201017	1	13	-88	1000
IN201021	1	13	200	500
IN201023	1	13	-88	500
IN201023	2	22	200	-88
IN201024	1	13	-88	2000
IN201024	2	7	-88	5000
IN201024	3	22	-88	5000
IN201025	1	13	7500	0
IN201026	1	7	0	600
IN201026	2	5	0	300
IN201026	3	13	0	200
IN201028	1	6	5000	-88
IN201032	1	6	1000	0
IN201033	1	13	-88	1500
IN201033	2	14	-88	2000
IN201033	3	22	2000	-88
IN201034	1	22	200	-88
IN201037	1	13	-88	500
IN201037	2	22	500	-88
IN201038	1	13	-88	500
IN201040	1	13	0	5000
IN201040	2	7	0	15000
IN201044	1	19	-88	400
IN201044	2	22	500	-88
IN201047	1	6	1000	0
IN201048	1	5	1000	0
