childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	nmechsr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN011001	0	2	15	0	1	1	4	0	10	1	 	 	 	2	600	0	17	10	26	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011001	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	12	10	24	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011001	2	2	34	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011001	3	1	17	7	1	1	4	0	13	1	 	 	 	2	20000	0	17	10	24	8	8	0	1	0	0	8	2	5	 	 	 	 	 	 	 
IN011002	0	2	15	0	1	1	5	0	10	1	 	 	 	2	600	0	17	10	24	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011002	1	2	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011002	2	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011002	3	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	26	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011002	4	1	20	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	24	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011002	5	1	19	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	24	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011003	0	2	15	0	1	1	5	0	9	1	 	 	 	2	600	0	17	10	26	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011003	1	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	30	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011003	2	2	30	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011003	3	2	14	7	2	1	5	0	7	1	 	 	 	2	300	0	17	10	26	7	8	0	2	0	0	7	0	7	 	 	 	 	 	 	 
IN011003	28	1	11	7	1	1	6	0	4	1	 	 	 	2	5000	0	17	10	24	9	8	0	0	0	0	9	0	7	 	 	 	 	 	 	 
IN011004	0	1	15	0	1	1	6	0	8	1	 	 	 	3	80	0	17	10	23	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011004	1	1	47	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	24	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011004	2	2	34	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011004	3	1	18	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	23	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011005	0	2	15	0	1	1	5	0	10	1	 	 	 	2	7000	0	17	10	26	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011005	1	2	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011005	2	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011005	3	2	36	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011005	4	1	14	7	1	1	6	0	9	1	 	 	 	3	5000	0	17	10	24	9	8	0	0	0	0	8	2	6	 	 	 	 	 	 	 
IN011006	0	2	14	0	1	1	5	0	9	1	 	 	 	3	300	0	17	10	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011006	1	1	45	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011006	2	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	12	6	20	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011006	3	1	18	7	1	 	 	 	 	 	 	 	 	 	 	0	12	6	30	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011006	4	2	38	13	1	 	 	 	 	 	 	 	 	 	 	0	10	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011006	5	2	55	5	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011007	0	2	15	0	1	1	5	6	8	1	 	 	 	2	 	0	17	10	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011007	1	1	47	1	1	 	 	 	 	 	 	 	 	 	 	0	12	5	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011007	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	12	6	18	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011007	3	1	22	7	1	 	 	 	 	 	 	 	 	 	 	0	9	9	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011007	4	2	18	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011008	0	2	14	0	1	1	5	6	9	1	 	 	 	2	0	0	17	10	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011008	1	1	47	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	30	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011008	2	2	40	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011008	3	1	22	7	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011008	4	2	18	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
