CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN011001	1	5	36	1999	99	4	2	5	3	1
IN011001	2	16	36	2008	99	1	3	4	2	88
IN011001	3	12	46	1999	2009	6	0	5	4	88
IN011002	1	16	46	2006	2009	6	0	4	4	6
IN011002	2	16	36	2007	2009	1	0	4	1	88
IN011003	1	5	36	2007	99	6	2	4	3	1
IN011003	2	12	36	2006	99	1	0	5	1	88
IN011003	3	16	46	2006	99	6	0	4	4	88
IN011004	1	19	36	2006	2008	7	1	5	9	2
IN011005	1	5	45	2006	99	6	3	4	5	88
IN011006	1	5	36	2006	99	8	4	4	1	2
IN011006	2	12	36	2006	99	6	0	5	4	88
IN011006	3	16	36	2008	99	1	0	5	2	3
IN011007	1	5	45	2007	99	4	2	4	5	2
IN011007	2	16	46	2006	99	6	0	4	4	6
IN011008	1	5	45	2007	99	6	2	4	2	6
IN011008	2	16	46	2006	99	1	0	5	2	4
IN011008	3	19	36	2007	2008	7	1	4	9	88
IN011009	1	5	45	2007	99	6	2	4	2	5
IN011010	1	5	45	2006	99	6	1	4	5	2
IN011010	2	5	45	2008	99	6	3	4	4	6
IN011014	1	19	36	2006	99	3	1	4	5	2
IN011014	2	19	36	2006	99	3	2	4	5	2
IN011015	1	12	36	2009	99	6	0	4	4	88
IN011015	2	5	36	2006	99	8	2	4	5	88
IN011016	1	5	36	2009	99	8	2	4	6	88
IN011018	1	12	36	2007	99	6	0	4	4	2
IN011019	1	12	46	2006	99	6	0	4	4	88
IN011021	1	16	36	2006	99	1	0	4	2	4
IN011023	1	16	36	2006	99	1	0	4	2	4
IN011023	2	5	36	2007	99	8	2	4	2	5
IN011023	3	16	36	2006	99	6	4	4	4	88
IN011024	1	16	36	2005	99	1	0	4	2	4
IN011024	2	5	36	2005	99	6	4	4	2	6
IN011035	1	16	36	2009	99	6	0	4	4	88
IN011036	1	3	45	2007	99	6	4	4	3	5
IN011037	1	5	36	2006	99	6	2	3	3	5
IN011038	1	5	36	2006	99	8	3	4	5	2
IN011038	2	12	46	2007	2009	6	0	4	4	6
IN011038	3	16	36	2007	2009	1	0	4	1	2
IN011039	1	19	36	2007	2008	7	2	4	9	2
IN011039	2	19	36	2006	99	3	2	5	5	2
IN011039	3	19	36	2008	99	1	0	4	2	6
IN011042	1	5	45	2006	99	8	4	4	4	2
IN011042	2	16	36	2006	99	1	0	4	2	88
IN011042	3	12	46	2006	99	6	0	4	4	88
IN011044	1	12	46	2007	99	3	0	4	4	88
IN011044	2	16	36	2008	99	1	0	5	1	5
IN011045	1	5	36	2007	99	8	3	4	4	6
IN011047	1	5	45	2008	99	6	3	4	6	2
IN011048	1	5	45	2007	99	6	2	4	2	5
IN011048	2	16	36	2006	2009	6	0	4	4	88
IN011048	3	16	36	2006	99	6	3	4	4	88
IN011049	1	16	36	2008	99	6	0	4	2	4
IN011050	1	16	46	2006	99	6	0	4	2	88
IN021001	1	5	45	1997	99	4	2	4	5	88
IN021001	2	3	36	2008	99	3	1	4	2	88
IN021001	3	16	36	2000	99	1	0	5	4	88
IN021002	1	16	36	2000	99	1	0	5	6	4
IN021002	2	3	36	2008	99	3	1	4	2	88
IN021002	3	19	36	2007	99	3	1	4	2	5
IN021003	1	3	36	2008	99	5	80	4	1	2
IN021003	2	16	44	2001	99	1	3	4	1	4
IN021004	1	3	36	2008	99	4	80	4	1	5
IN021005	1	3	36	2008	99	2	80	4	1	2
IN021005	2	5	45	2004	99	6	2	4	3	88
IN021005	3	16	44	2000	99	1	0	5	7	6
IN021006	1	3	36	2008	99	4	2	4	2	88
IN021006	2	12	44	2008	99	6	0	4	1	4
IN021007	1	5	45	2006	99	8	1	5	2	4
IN021008	1	5	36	2008	99	6	1	2	5	88
IN021009	1	3	36	2007	99	4	80	4	2	88
IN021009	2	5	45	2005	99	8	2	4	2	88
IN021009	3	16	46	2007	99	1	0	3	2	88
IN021010	1	5	36	2002	99	6	3	3	5	88
IN021010	2	16	44	2000	99	1	0	5	6	88
IN021010	3	3	36	2008	99	6	3	4	2	88
IN021011	1	16	36	2005	9	6	0	4	4	6
IN021011	2	16	36	2005	99	6	0	4	4	6
IN021011	3	5	45	2004	99	8	2	1	8	88
IN021012	1	16	44	2008	99	6	0	4	6	4
IN021013	1	12	46	2009	99	4	0	3	4	88
IN021013	2	12	36	1999	2008	1	0	5	1	88
IN021013	3	3	36	2008	99	6	2	4	2	88
IN021013	4	5	45	1998	99	4	2	4	4	88
IN021014	1	19	36	2008	99	4	1	5	2	1
IN021014	2	5	36	2007	99	8	2	4	2	1
IN021015	1	3	36	2008	99	4	1	4	2	4
IN021015	2	5	45	2007	99	6	2	4	2	4
IN021015	3	12	36	2005	2008	6	0	4	1	4
IN021016	1	3	36	2008	99	4	1	3	1	2
IN021016	2	5	36	2001	99	6	3	4	2	4
IN021016	3	12	46	2006	99	6	0	4	2	4
IN021017	1	3	36	2008	99	4	3	4	2	4
IN021017	2	5	45	2004	99	6	4	4	2	4
IN021017	3	12	36	2006	99	6	0	4	1	4
IN021018	1	5	45	2006	99	4	2	4	1	88
