CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
IN041047	1	2	1	12	30	2	0
IN041049	1	7	1	10	5	2	0
IN051002	1	1	1	5	20	1	0
IN051005	1	1	1	4	6	1	0
IN051010	1	2	1	12	30	2	0
IN051013	1	1	2	6	15	6	1
IN051013	2	6	2	2	15	6	1
IN051014	1	6	2	6	20	6	1
IN051015	1	6	2	6	30	12	3
IN051016	1	1	1	8	5	1	0
IN051017	1	4	1	6	30	10	1
IN051019	1	5	2	10	20	10	1
IN051021	1	5	2	10	20	10	1
IN051022	1	2	1	12	30	3	0
IN051024	1	6	2	12	26	11	1
IN051025	1	2	1	12	30	2	0
IN051026	1	2	1	8	15	1	0
IN051028	1	6	2	10	20	10	1
IN051034	1	2	1	12	30	3	0
IN051037	1	2	1	12	30	2	0
IN051039	1	2	1	12	30	2	0
IN051040	1	2	1	12	30	1	0
IN051045	1	2	1	12	30	2	0
IN051046	1	6	2	10	24	9	1
IN051047	1	6	2	8	24	8	1
IN051050	1	6	2	12	30	7	2
IN061001	1	2	1	12	30	2	0
IN061002	1	2	1	12	30	2	0
IN061003	1	2	1	12	30	2	0
IN061004	1	1	1	2	24	6	1
IN061004	2	2	1	7	25	1	0
IN061006	1	6	2	12	30	8	1
IN061011	1	2	1	12	30	5	0
IN061012	1	2	1	12	30	4	0
IN061013	1	2	1	12	30	8	0
IN061014	1	2	1	10	20	1	0
IN061018	1	2	1	12	30	2	0
IN061020	1	2	1	12	30	2	0
IN061021	1	2	1	12	30	1	0
IN061022	1	2	1	12	30	6	0
IN061023	1	2	1	12	30	2	0
IN061025	1	2	1	12	20	1	0
IN061026	1	2	1	12	30	1	0
IN061026	2	7	1	3	26	9	1
IN061026	3	1	1	1	20	8	1
IN061028	1	2	1	12	20	3	0
IN061030	1	2	1	12	30	3	0
IN061031	1	6	1	3	26	10	1
IN061031	2	2	1	9	30	4	0
IN061032	1	2	1	12	30	3	0
IN061036	1	2	1	12	30	5	0
IN061037	1	2	1	10	20	1	0
IN061038	1	1	1	6	15	1	0
IN061039	1	2	1	12	30	1	0
IN061040	1	1	1	10	25	8	1
IN061041	1	2	1	4	20	1	0
IN061042	1	6	2	10	15	8	1
IN061042	2	2	1	12	25	2	0
IN061043	1	2	1	12	25	2	0
IN061044	1	2	1	12	30	2	0
IN061045	1	2	2	10	20	1	0
IN061046	1	2	1	12	30	3	0
IN061047	1	7	1	8	20	9	0
IN061047	2	1	1	3	20	8	1
IN061048	1	2	1	12	25	2	0
IN071001	1	1	1	12	10	1	0
IN071002	1	2	1	12	30	8	0
IN071003	1	6	1	12	24	8	1
IN071004	1	1	1	10	5	2	0
IN071004	2	2	1	12	30	10	0
IN071006	1	2	1	12	30	3	0
IN071008	1	2	1	12	30	2	0
IN071011	1	2	1	12	30	10	0
IN071012	1	2	1	12	30	2	0
IN071015	1	2	1	10	20	2	0
IN071018	1	2	1	12	30	3	0
IN071019	1	2	1	12	30	4	0
IN071019	2	6	1	2	2	8	1
IN071021	1	2	1	12	20	2	0
IN071022	1	2	1	12	30	2	0
IN071024	1	2	1	12	30	3	1
IN071025	1	2	1	12	30	5	0
IN071026	1	2	1	12	30	2	0
IN071027	1	2	1	6	20	1	0
IN071028	1	6	2	6	5	6	1
IN071029	1	2	1	12	26	2	0
IN071031	1	2	1	12	20	2	0
IN071033	1	2	1	6	20	2	0
IN071034	1	2	1	7	15	1	0
IN071035	1	1	1	4	6	1	0
IN071036	1	2	1	12	30	3	0
IN071037	1	2	1	12	20	3	0
IN071038	1	2	1	12	20	7	0
IN071039	1	2	1	12	30	3	0
IN071039	2	3	1	12	30	2	0
IN071041	1	2	1	12	30	4	0
IN071043	1	2	1	10	25	1	0
IN071045	1	6	1	4	25	8	1
IN071045	2	2	1	4	30	2	0
IN071046	1	2	1	12	25	2	0
IN071047	1	2	1	12	22	1	0
IN071048	1	2	1	10	20	1	0
IN071050	1	2	1	12	30	2	0
IN081001	1	2	1	12	26	3	0
IN081001	2	6	2	1	5	7	1
IN081003	1	2	1	9	20	2	0
IN081005	1	2	1	12	28	2	0
IN081006	1	2	1	4	10	2	0
IN081007	1	2	1	3	8	2	0
IN081007	2	6	2	6	8	6	1
IN081007	3	1	1	4	9	2	0
IN081008	1	2	1	12	29	1	0
IN081009	1	2	1	2	10	2	0
IN081011	1	2	1	9	30	6	0
IN081013	1	1	2	8	20	8	1
IN081013	2	2	1	9	19	2	0
IN081014	1	1	1	6	20	8	2
IN081014	2	2	1	12	24	3	0
IN081015	1	7	1	8	15	4	0
IN081015	2	2	1	12	27	4	0
IN081016	1	1	2	6	17	8	2
IN081016	2	2	1	8	21	2	0
IN081017	1	2	1	12	30	2	0
IN081019	1	7	2	9	15	7	2
IN081019	2	1	2	6	12	8	1
IN081019	3	2	1	9	20	3	0
IN081019	4	3	1	5	20	2	0
IN081020	1	2	1	12	26	5	0
IN081021	1	2	1	8	19	1	0
IN081022	1	2	1	7	5	2	0
IN081023	1	1	1	3	10	4	1
IN081023	2	2	1	12	20	2	0
IN081024	1	6	2	10	22	8	1
IN081025	1	2	1	12	25	4	0
IN081026	1	7	1	3	15	12	3
IN081026	2	7	1	0	0	0	0
IN081028	1	1	2	5	13	8	2
IN081028	2	2	1	9	20	2	0
IN081029	1	2	1	8	18	2	0
IN081030	1	6	2	3	18	8	1
IN081030	2	1	2	4	15	8	1
IN081030	3	2	1	9	20	2	0
IN081031	1	1	1	1	10	6	1
IN081031	2	2	1	12	30	1	0
IN081032	1	2	1	12	30	1	0
IN081033	1	2	1	10	25	1	0
IN081034	1	1	1	2	15	2	0
IN081035	1	2	1	12	25	1	0
IN081036	1	2	1	12	30	2	0
IN081036	2	1	1	3	20	3	1
IN081037	1	2	1	12	30	2	0
IN081039	1	1	1	3	6	20	0
IN081039	2	2	1	8	30	1	0
IN081040	1	2	1	3	20	8	1
IN081041	1	2	1	11	25	1	0
IN081042	1	1	2	1	7	5	2
IN081042	2	2	1	12	30	2	0
IN081044	1	2	1	12	24	2	0
IN081045	1	2	1	7	15	1	0
IN081046	1	2	1	12	20	2	0
IN081047	1	6	2	6	20	8	3
IN081047	2	2	1	12	26	4	0
IN081048	1	6	2	8	20	6	1
IN081048	2	2	1	12	10	8	0
IN081049	1	2	1	12	21	1	0
IN081050	1	2	1	12	10	1	0
IN091002	1	2	1	8	20	2	0
IN091007	1	1	1	4	16	6	0
IN091007	2	6	1	1	14	8	1
IN091007	3	2	1	10	28	5	0
IN091008	1	1	1	3	14	7	0
IN091008	2	6	1	1	7	8	1
IN091008	3	2	1	9	25	6	0
IN091009	1	7	1	8	20	8	1
IN091009	2	7	1	2	30	8	1
IN091012	1	7	1	4	15	10	1
IN091012	2	2	1	10	25	1	0
IN091013	1	1	1	4	14	5	1
IN091014	1	2	1	8	15	7	0
IN091015	1	2	1	12	24	4	0
IN091016	1	2	1	12	25	4	0
IN091017	1	1	1	4	23	8	3
IN091017	2	6	1	3	24	8	1
IN091017	3	2	1	9	20	4	0
IN091017	4	3	1	10	15	1	0
IN091018	1	1	1	3	10	9	1
IN091019	1	2	1	12	26	4	0
IN091020	1	6	2	12	15	7	1
IN091020	2	2	1	12	30	2	2
IN091022	1	7	1	5	15	6	1
IN091022	2	2	1	12	15	4	0
