CHILDID	GRPID	GROUPR3	BCMMEMR3	LDMEMR3
IN011041	1	13	2	0
IN011043	1	2	2	1
IN011044	1	2	3	1
IN021002	1	13	1	1
IN021019	1	2	1	0
IN021023	1	7	1	0
IN021029	1	4	2	0
IN021030	1	4	2	1
IN021035	1	13	2	0
IN021040	1	2	1	0
IN021042	1	4	2	1
IN021047	1	7	2	1
IN021049	1	2	1	0
IN031013	1	2	2	0
IN041004	1	13	1	1
IN041005	1	2	3	0
IN041010	1	2	3	0
IN041012	1	2	3	0
IN041047	1	7	3	0
IN041048	1	13	2	0
IN051010	1	7	2	1
IN051037	1	14	1	0
IN051038	1	15	1	0
IN051039	1	15	1	1
IN051039	2	2	1	1
IN071007	1	7	3	0
IN071008	1	2	1	1
IN071008	2	14	1	1
IN071011	1	2	2	1
IN071018	1	13	1	1
IN071019	1	2	1	1
IN071025	1	2	2	0
IN071026	1	2	1	1
IN071042	1	7	1	1
IN071050	1	14	3	0
IN081002	1	4	1	1
IN081031	1	7	3	1
IN081034	1	7	2	0
IN081040	1	7	1	0
IN081041	1	7	2	1
IN081045	1	2	2	1
IN081049	1	13	3	1
IN081050	1	13	2	1
IN091023	1	13	2	1
IN091023	2	2	2	0
IN091030	1	13	1	1
IN091030	2	7	1	1
IN091031	1	13	3	1
IN091045	1	2	1	1
IN091047	1	2	2	0
IN101005	1	7	2	1
IN101011	1	2	1	1
IN101025	1	2	3	1
IN101030	1	13	3	1
IN101033	1	13	3	1
IN101033	2	13	2	1
IN101048	1	12	3	1
IN101048	2	2	3	1
IN111011	1	2	2	0
IN111013	1	2	3	0
IN111017	1	10	3	0
IN111018	1	14	1	1
IN111026	1	13	2	0
IN111031	1	13	2	0
IN111048	1	2	2	1
IN121002	1	15	1	1
IN121035	1	15	1	0
IN121045	1	15	1	1
IN121048	1	15	1	1
IN131005	1	15	1	0
IN131007	1	15	2	1
IN131010	1	13	2	1
IN131011	1	7	3	1
IN131016	1	15	1	1
IN131019	1	13	2	1
IN131040	1	13	2	1
IN131040	2	2	3	1
IN131046	1	15	3	1
IN141001	1	15	1	1
IN141003	1	15	2	0
IN141004	1	2	1	1
IN141010	1	15	2	1
IN141011	1	15	1	1
IN141013	1	15	1	0
IN141023	1	13	3	1
IN141026	1	13	1	1
IN141029	1	15	1	0
IN141032	1	13	2	1
IN141033	1	13	2	1
IN141035	1	7	1	1
IN141036	1	15	2	1
IN141039	1	15	1	1
IN141040	1	2	1	0
IN141046	1	2	3	0
IN141048	1	13	1	1
IN141050	1	2	1	1
IN151002	1	2	3	1
IN151009	1	2	1	1
IN151012	1	13	3	1
IN151015	1	13	1	1
IN151019	1	15	2	1
IN151027	1	8	2	0
IN151029	1	8	2	0
IN151036	1	7	2	1
IN151040	1	15	3	0
IN151046	1	15	2	1
IN161013	1	15	2	1
IN161014	1	15	1	1
IN161015	1	15	3	1
IN161016	1	15	2	1
IN161017	1	15	2	1
IN161018	1	8	2	0
IN161027	1	15	3	1
IN161027	2	14	3	1
IN161036	1	13	1	1
IN161038	1	13	1	1
IN161039	1	15	2	1
IN161040	1	13	2	0
IN161041	1	15	2	1
IN161042	1	2	2	1
IN161042	2	12	2	1
IN161043	1	15	2	1
IN161044	1	15	1	1
IN161045	1	13	1	0
IN161046	1	15	3	1
IN161047	1	13	3	0
IN161047	2	13	3	1
IN161048	1	15	2	1
IN171002	1	13	1	1
IN171032	1	7	2	1
IN171039	1	2	3	1
IN171041	1	2	2	0
IN171050	1	2	1	0
IN181006	1	13	2	1
IN181021	1	2	77	0
IN181033	1	2	3	0
IN181046	1	2	1	0
IN181049	1	2	1	0
IN191001	1	2	1	0
IN191016	1	13	1	0
IN201001	1	13	1	1
IN201009	1	2	3	0
IN201030	1	13	1	1
IN201038	1	7	2	1
