CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN011001	1	25	3	26	1	1000
IN011002	1	3	25	26	3	1500
IN011003	1	1	25	26	1	1000
IN011005	1	2	25	26	2	1000
IN011006	1	5	15	12	5	1000
IN011007	1	2	25	26	1	1000
IN011008	1	3	25	26	1	1500
IN011009	1	2	8	11	1	100
IN011010	1	1	25	26	1	800
IN011010	2	1	25	26	11	20000
IN011011	1	1	2	12	1	3000
IN011011	2	10	15	12	10	5000
IN011012	1	2	25	26	1	1000
IN011015	1	1	25	24	1	20000
IN011016	1	1	25	23	1	800
IN011018	1	8	1	11	8	5000
IN011018	2	1	2	11	1	8000
IN011022	1	2	25	23	2	50000
IN011024	1	1	25	23	1	35000
IN011025	1	8	30	26	8	6000
IN011025	2	1	23	23	1	1000
IN011026	1	2	25	23	2	100000
IN011027	1	1	25	28	1	15000
IN011028	1	2	12	32	2	1000
IN011030	1	1	25	28	1	18000
IN011031	1	1	25	24	1	3000
IN011032	1	1	30	23	1	20000
IN011033	1	2	12	32	2	1000
IN011035	1	20	15	12	0	-88
IN011035	2	20	30	12	0	-88
IN011036	1	2	25	25	1	1000
IN011036	2	1	25	26	1	18000
IN011037	1	1	25	26	1	600
IN011038	1	1	25	26	1	300
IN011042	1	10	13	26	10	500
IN011043	1	1	7	11	1	300000
IN011043	2	3	5	11	3	150000
IN011043	3	1	24	23	1	30000
IN011044	1	2	25	26	2	800
IN011046	1	1	25	24	1	3000
IN011047	1	1	25	32	1	800
IN011047	2	2	12	32	2	1000
IN011048	1	1	25	23	3	700
IN011049	1	1	25	26	1	20000
IN011050	1	3	25	12	3	2500
IN021001	1	1	25	11	1	450
IN021001	2	7	1	11	1	500
IN021002	1	5	1	11	1	350
IN021005	1	9	8	11	9	1200
IN021005	2	1	4	11	1	400
IN021005	3	1	25	11	1	500
IN021006	1	6	1	11	6	1500
IN021007	1	4	1	11	4	200
IN021008	1	1	25	28	1	20000
IN021009	1	5	1	11	1	200
IN021009	2	1	4	11	1	300
IN021010	1	 	1	11	1	150
IN021010	2	 	25	23	1	300
IN021011	1	1	25	23	1	40000
IN021012	1	2	1	11	1	100
IN021013	1	4	4	11	2	1800
IN021013	2	1	25	11	1	400
IN021013	3	1	8	11	1	2500
IN021014	1	3	1	11	3	100
IN021015	1	8	1	11	8	1400
IN021016	1	12	1	11	12	2000
IN021016	2	1	25	24	1	500
IN021017	1	8	1	11	8	2000
IN021017	2	1	3	11	1	400
IN021017	3	1	25	24	1	600
IN021018	1	1	1	10	1	500
IN021019	1	7	8	11	1	450
IN021020	1	4	8	11	4	800
IN021020	2	1	25	11	1	600
IN021020	3	3	1	29	3	700
IN021021	1	4	1	11	4	1000
IN021022	1	1	4	11	1	300
IN021022	2	3	1	11	0	 
IN021023	1	4	1	11	4	200
IN021024	1	5	13	26	5	1000
IN021026	1	8	1	11	8	2000
IN021026	2	2	3	11	2	1500
IN021027	1	1	25	28	1	30000
IN021029	1	2	1	11	1	200
IN021029	2	4	4	11	2	400
IN021029	3	1	25	11	1	500
IN021030	1	6	1	11	6	300
IN021031	1	1	2	11	1	1000
IN021031	2	6	1	11	6	2000
IN021032	1	11	1	11	11	3000
IN021032	2	1	3	11	1	1500
IN021033	1	3	1	11	3	150
IN021034	1	1	25	5	1	350
IN021034	2	9	1	11	1	200
IN021035	1	1	4	11	1	500
