CHILDCODE	SHCKIDR5	EVNTR5	EV2013R5	EV2014R5	EV2015R5	EV2016R5
11007	25	0	 	 	 	 
11007	26	0	 	 	 	 
11007	27	0	 	 	 	 
11007	28	0	 	 	 	 
11007	29	0	 	 	 	 
11007	30	0	 	 	 	 
11007	31	0	 	 	 	 
11007	32	0	 	 	 	 
11007	34	0	 	 	 	 
11007	35	0	 	 	 	 
11007	36	0	 	 	 	 
11007	37	0	 	 	 	 
11007	38	0	 	 	 	 
11007	39	0	 	 	 	 
11007	40	0	 	 	 	 
11007	41	0	 	 	 	 
11007	42	0	 	 	 	 
11007	45	0	 	 	 	 
11007	47	0	 	 	 	 
11007	48	0	 	 	 	 
11007	61	0	 	 	 	 
11008	1	0	 	 	 	 
11008	10	0	 	 	 	 
11008	12	0	 	 	 	 
11008	13	0	 	 	 	 
11008	14	0	 	 	 	 
11008	16	0	 	 	 	 
11008	23	0	 	 	 	 
11008	24	0	 	 	 	 
11008	25	0	 	 	 	 
11008	26	0	 	 	 	 
11008	27	0	 	 	 	 
11008	28	0	 	 	 	 
11008	29	0	 	 	 	 
11008	30	0	 	 	 	 
11008	31	0	 	 	 	 
11008	32	0	 	 	 	 
11008	34	0	 	 	 	 
11008	35	0	 	 	 	 
11008	36	0	 	 	 	 
11008	37	0	 	 	 	 
11008	38	0	 	 	 	 
11008	39	0	 	 	 	 
11008	40	0	 	 	 	 
11008	41	0	 	 	 	 
11008	42	0	 	 	 	 
11008	45	0	 	 	 	 
11008	47	0	 	 	 	 
11008	48	0	 	 	 	 
11008	61	0	 	 	 	 
11009	1	0	 	 	 	 
11009	10	0	 	 	 	 
11009	12	0	 	 	 	 
11009	13	0	 	 	 	 
11009	14	0	 	 	 	 
11009	16	0	 	 	 	 
11009	23	0	 	 	 	 
11009	24	0	 	 	 	 
11009	25	0	 	 	 	 
11009	26	0	 	 	 	 
11009	27	0	 	 	 	 
11009	28	0	 	 	 	 
11009	29	0	 	 	 	 
11009	30	0	 	 	 	 
11009	31	0	 	 	 	 
11009	32	0	 	 	 	 
11009	34	0	 	 	 	 
11009	35	0	 	 	 	 
11009	36	0	 	 	 	 
11009	37	0	 	 	 	 
11009	38	1	N	N	Y	N
11009	39	0	 	 	 	 
11009	40	0	 	 	 	 
11009	41	0	 	 	 	 
11009	42	0	 	 	 	 
11009	45	0	 	 	 	 
11009	47	0	 	 	 	 
11009	48	0	 	 	 	 
11009	61	0	 	 	 	 
11010	1	0	 	 	 	 
11010	10	0	 	 	 	 
11010	12	0	 	 	 	 
11010	13	0	 	 	 	 
11010	14	0	 	 	 	 
11010	16	0	 	 	 	 
11010	23	0	 	 	 	 
11010	24	0	 	 	 	 
11010	25	0	 	 	 	 
11010	26	0	 	 	 	 
11010	27	0	 	 	 	 
11010	28	0	 	 	 	 
11010	29	0	 	 	 	 
11010	30	0	 	 	 	 
11010	31	0	 	 	 	 
11010	32	0	 	 	 	 
11010	34	0	 	 	 	 
11010	35	0	 	 	 	 
11010	36	0	 	 	 	 
11010	37	0	 	 	 	 
11010	38	0	 	 	 	 
11010	39	0	 	 	 	 
11010	40	0	 	 	 	 
11010	41	0	 	 	 	 
11010	42	0	 	 	 	 
11010	45	0	 	 	 	 
11010	47	0	 	 	 	 
11010	48	0	 	 	 	 
11010	61	0	 	 	 	 
11011	1	0	 	 	 	 
11011	10	1	N	N	Y	N
11011	12	0	 	 	 	 
11011	13	0	 	 	 	 
11011	14	0	 	 	 	 
11011	16	0	 	 	 	 
11011	23	0	 	 	 	 
11011	24	0	 	 	 	 
11011	25	0	 	 	 	 
11011	26	0	 	 	 	 
11011	27	0	 	 	 	 
11011	28	0	 	 	 	 
11011	29	0	 	 	 	 
11011	30	1	N	N	N	Y
11011	31	0	 	 	 	 
11011	32	0	 	 	 	 
11011	34	0	 	 	 	 
11011	35	0	 	 	 	 
11011	36	0	 	 	 	 
11011	37	0	 	 	 	 
11011	38	0	 	 	 	 
11011	39	0	 	 	 	 
11011	40	0	 	 	 	 
11011	41	0	 	 	 	 
11011	42	1	Y	Y	Y	Y
11011	45	0	 	 	 	 
11011	47	1	N	N	Y	N
11011	48	0	 	 	 	 
11011	61	0	 	 	 	 
11012	1	0	 	 	 	 
11012	10	0	 	 	 	 
11012	12	0	 	 	 	 
11012	13	0	 	 	 	 
11012	14	0	 	 	 	 
11012	16	0	 	 	 	 
11012	23	0	 	 	 	 
11012	24	0	 	 	 	 
11012	25	0	 	 	 	 
11012	26	0	 	 	 	 
11012	27	0	 	 	 	 
11012	28	0	 	 	 	 
11012	29	0	 	 	 	 
11012	30	0	 	 	 	 
11012	31	0	 	 	 	 
11012	32	0	 	 	 	 
11012	34	0	 	 	 	 
11012	35	0	 	 	 	 
11012	36	0	 	 	 	 
11012	37	0	 	 	 	 
11012	38	0	 	 	 	 
11012	39	0	 	 	 	 
11012	40	0	 	 	 	 
11012	41	0	 	 	 	 
11012	42	0	 	 	 	 
11012	45	0	 	 	 	 
11012	47	0	 	 	 	 
11012	48	0	 	 	 	 
11012	61	0	 	 	 	 
11015	1	0	 	 	 	 
11015	10	0	 	 	 	 
11015	12	0	 	 	 	 
11015	13	0	 	 	 	 
11015	14	0	 	 	 	 
11015	16	0	 	 	 	 
11015	23	0	 	 	 	 
11015	24	0	 	 	 	 
11015	25	0	 	 	 	 
11015	26	0	 	 	 	 
11015	27	0	 	 	 	 
11015	28	0	 	 	 	 
11015	29	0	 	 	 	 
11015	30	0	 	 	 	 
11015	31	0	 	 	 	 
11015	32	0	 	 	 	 
11015	34	0	 	 	 	 
11015	35	0	 	 	 	 
11015	36	0	 	 	 	 
11015	37	0	 	 	 	 
11015	38	0	 	 	 	 
11015	39	0	 	 	 	 
11015	40	0	 	 	 	 
11015	41	0	 	 	 	 
11015	42	0	 	 	 	 
11015	45	0	 	 	 	 
11015	47	0	 	 	 	 
11015	48	0	 	 	 	 
11015	61	0	 	 	 	 
11016	1	0	 	 	 	 
11016	10	0	 	 	 	 
11016	12	0	 	 	 	 
11016	13	0	 	 	 	 
11016	14	0	 	 	 	 
11016	16	0	 	 	 	 
11016	23	0	 	 	 	 
11016	24	0	 	 	 	 
11016	25	0	 	 	 	 
11016	26	0	 	 	 	 
11016	27	0	 	 	 	 
11016	28	0	 	 	 	 
11016	29	0	 	 	 	 
11016	30	0	 	 	 	 
11016	31	0	 	 	 	 
11016	32	0	 	 	 	 
11016	34	0	 	 	 	 
11016	35	0	 	 	 	 
11016	36	1	N	N	Y	N
11016	37	0	 	 	 	 
11016	38	0	 	 	 	 
11016	39	0	 	 	 	 
11016	40	0	 	 	 	 
11016	41	0	 	 	 	 
11016	42	0	 	 	 	 
11016	45	0	 	 	 	 
11016	47	0	 	 	 	 
11016	48	0	 	 	 	 
11016	61	0	 	 	 	 
11018	1	0	 	 	 	 
11018	10	0	 	 	 	 
11018	12	0	 	 	 	 
11018	13	0	 	 	 	 
11018	14	0	 	 	 	 
11018	16	0	 	 	 	 
11018	23	0	 	 	 	 
11018	24	0	 	 	 	 
11018	25	0	 	 	 	 
11018	26	0	 	 	 	 
11018	27	0	 	 	 	 
11018	28	1	N	N	N	Y
11018	29	1	N	N	N	Y
11018	30	0	 	 	 	 
11018	31	0	 	 	 	 
11018	32	0	 	 	 	 
11018	34	0	 	 	 	 
11018	35	0	 	 	 	 
11018	36	0	 	 	 	 
11018	37	0	 	 	 	 
11018	38	0	 	 	 	 
11018	39	0	 	 	 	 
11018	40	0	 	 	 	 
11018	41	0	 	 	 	 
11018	42	0	 	 	 	 
11018	45	0	 	 	 	 
11018	47	0	 	 	 	 
11018	48	0	 	 	 	 
11018	61	0	 	 	 	 
11019	1	0	 	 	 	 
11019	10	0	 	 	 	 
11019	12	0	 	 	 	 
11019	13	0	 	 	 	 
11019	14	0	 	 	 	 
11019	16	0	 	 	 	 
11019	23	0	 	 	 	 
11019	24	0	 	 	 	 
11019	25	0	 	 	 	 
11019	26	0	 	 	 	 
11019	27	0	 	 	 	 
11019	28	0	 	 	 	 
11019	29	0	 	 	 	 
11019	30	0	 	 	 	 
11019	31	0	 	 	 	 
11019	32	0	 	 	 	 
11019	34	0	 	 	 	 
11019	35	0	 	 	 	 
11019	36	0	 	 	 	 
11019	37	0	 	 	 	 
11019	38	0	 	 	 	 
11019	39	0	 	 	 	 
11019	40	0	 	 	 	 
11019	41	0	 	 	 	 
11019	42	0	 	 	 	 
11019	45	1	N	Y	N	N
11019	47	0	 	 	 	 
11019	48	0	 	 	 	 
11019	61	0	 	 	 	 
11020	1	0	 	 	 	 
11020	10	0	 	 	 	 
11020	12	0	 	 	 	 
11020	13	0	 	 	 	 
11020	14	0	 	 	 	 
11020	16	0	 	 	 	 
11020	23	0	 	 	 	 
11020	24	0	 	 	 	 
11020	25	0	 	 	 	 
11020	26	0	 	 	 	 
11020	27	0	 	 	 	 
11020	28	0	 	 	 	 
11020	29	0	 	 	 	 
11020	30	0	 	 	 	 
11020	31	0	 	 	 	 
11020	32	0	 	 	 	 
11020	34	0	 	 	 	 
11020	35	0	 	 	 	 
11020	36	0	 	 	 	 
11020	37	0	 	 	 	 
11020	38	0	 	 	 	 
11020	39	0	 	 	 	 
11020	40	0	 	 	 	 
11020	41	0	 	 	 	 
11020	42	0	 	 	 	 
11020	45	0	 	 	 	 
