CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
11001	1	4	30000
11001	2	8	10000
11001	3	1	9500
11001	4	11	5000
11001	5	12	3000
11002	1	4	10000
11002	2	7	6000
11002	3	14	5000
11002	4	16	500
11002	5	10	150
11003	1	4	15000
11003	2	12	4000
11003	3	7	1200
11003	4	13	350
11003	5	10	100
11004	1	4	65000
11004	2	8	20000
11004	3	1	4000
11004	4	13	1600
11004	5	5	1400
11005	1	4	45000
11005	2	7	20000
11005	3	12	9000
11005	4	14	4000
11005	5	1	2000
11006	1	8	40000
11006	2	4	50000
11006	3	11	6000
11006	4	7	10000
11006	5	14	5000
11007	1	3	200000
11007	2	8	40000
11007	3	4	39000
11007	4	14	5000
11007	5	5	2500
11008	1	4	60000
11008	2	8	10000
11008	3	7	3000
11008	4	11	3000
11008	5	12	3000
11009	1	4	70000
11009	2	8	20000
11009	3	11	13000
11009	4	7	7000
11009	5	12	3000
11010	1	4	12000
11010	2	12	3000
11010	3	11	2000
11010	4	7	1000
11010	5	1	1000
11011	1	4	40000
11011	2	8	20000
11011	3	14	10000
11011	4	1	5000
11011	5	7	3000
11012	1	7	3500
11012	2	88	 
11012	3	88	 
11012	4	88	 
11012	5	88	 
11015	1	4	50000
11015	2	7	15000
11015	3	14	13000
11015	4	13	600
11015	5	10	200
11016	1	7	2000
11016	2	13	300
11016	3	10	100
11016	4	88	 
11016	5	88	 
11018	1	4	1000
11018	2	1	500
11018	3	11	400
11018	4	12	300
11018	5	13	200
11019	1	4	10000
11019	2	7	3000
11019	3	10	50
11019	4	13	50
11019	5	88	 
11020	1	4	40000
11020	2	7	13000
11020	3	5	500
11020	4	13	200
11020	5	10	100
11021	1	4	35000
11021	2	7	7000
11021	3	16	1000
11021	4	13	500
11021	5	10	150
11022	1	4	15000
11022	2	8	5000
11022	3	11	1000
11022	4	88	 
11022	5	88	 
11024	1	4	6000
11024	2	11	1200
11024	3	13	1000
11024	4	1	750
11024	5	10	200
11025	1	8	15000
11025	2	4	15000
11025	3	11	2500
11025	4	12	1000
11025	5	1	300
11026	1	4	5000
11026	2	1	5000
11026	3	8	3000
11026	4	7	2000
11026	5	12	1000
11029	1	4	20000
11029	2	7	2000
11029	3	1	2000
11029	4	11	1000
11029	5	8	500
11030	1	7	8000
11030	2	4	7000
11030	3	14	5000
11030	4	10	200
11030	5	13	50
11031	1	4	15000
11031	2	7	5000
11031	3	14	3000
11031	4	16	700
11031	5	13	300
11032	1	4	50000
11032	2	7	7000
11032	3	10	1000
11032	4	13	500
11032	5	88	 
11033	1	4	20000
11033	2	7	5000
11033	3	12	2000
11033	4	14	10000
11033	5	10	100
11034	1	4	60000
11034	2	7	25000
11034	3	14	15000
11034	4	1	3000
11034	5	10	500
11035	1	7	100
11035	2	88	 
11035	3	88	 
11035	4	88	 
11035	5	88	 
11037	1	14	5000
11037	2	12	1000
11037	3	7	200
11037	4	13	100
11037	5	88	 
11038	1	4	20000
11038	2	14	6000
11038	3	7	4000
11038	4	1	3000
11038	5	12	1000
11039	1	4	30000
11039	2	8	7000
11039	3	7	6000
11039	4	11	4500
11039	5	12	3500
11040	1	4	10000
11040	2	7	1500
11040	3	13	200
11040	4	16	100
11040	5	10	50
11041	1	4	20000
11041	2	12	6000
11041	3	11	4000
11041	4	7	3500
11041	5	88	 
11042	1	4	12000
11042	2	9	5000
11042	3	7	2000
11042	4	11	800
11042	5	12	700
11043	1	4	16000
11043	2	7	3400
11043	3	12	1250
11043	4	5	250
11043	5	10	200
11044	1	7	5000
11044	2	4	2000
11044	3	10	100
11044	4	13	100
11044	5	88	 
11047	1	4	7000
11047	2	11	1500
11047	3	7	1000
11047	4	12	500
11047	5	5	100
11048	1	4	40000
11048	2	14	10000
11048	3	7	5000
11048	4	10	100
11048	5	13	20
11050	1	14	6000
11050	2	11	3000
11050	3	4	2500
11050	4	8	2000
11050	5	12	1000
11052	1	4	30000
11052	2	7	10000
11052	3	12	3000
11052	4	10	100
11052	5	13	100
11061	1	4	53000
11061	2	1	15000
11061	3	8	14500
11061	4	12	5000
11061	5	7	4000
11063	1	4	15000
11063	2	8	5000
11063	3	7	2500
11063	4	12	2000
11063	5	11	1500
11069	1	4	12000
11069	2	8	7000
11069	3	7	4500
11069	4	11	1500
11069	5	16	2000
11074	1	8	10000
11074	2	12	8000
11074	3	4	7000
11074	4	11	6500
11074	5	13	1000
11088	1	4	28000
11088	2	14	8000
11088	3	7	6000
11088	4	13	150
11088	5	10	100
21002	1	4	30000
21002	2	7	8000
21002	3	1	4000
21002	4	10	200
21002	5	13	100
21004	1	4	20000
21004	2	7	10000
21004	3	12	1000
21004	4	16	500
21004	5	10	200
21005	1	4	10000
21005	2	7	2000
21005	3	13	200
21005	4	10	100
21005	5	88	 
21007	1	4	15000
21007	2	7	3500
21007	3	16	1500
21007	4	12	1000
21007	5	11	500
21008	1	4	10000
21008	2	7	4000
21008	3	10	100
21008	4	88	 
21008	5	88	 
21009	1	4	7000
21009	2	7	6000
21009	3	14	4500
21009	4	88	 
21009	5	88	 
21011	1	7	1200
21011	2	10	200
21011	3	13	100
21011	4	88	 
21011	5	88	 
21012	1	4	20000
21012	2	7	5000
21012	3	10	100
21012	4	88	 
21012	5	88	 
21013	1	4	5000
21013	2	12	1500
21013	3	8	1000
21013	4	7	1000
21013	5	1	400
21015	1	14	5000
21015	2	7	4000
21015	3	13	200
21015	4	88	 
21015	5	88	 
