CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	THSCOMR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	TYPATDR5	WHYNOTR5	AGEGRDR5
11001	0	 	1	 	21	 	1	0	 	3	6	0	2	98	1	14	1	 	 	 	 	 	 
11001	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	2	 	1	 	47	 	2	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
11001	3	 	4	 	33	 	1	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	4	 	4	 	30	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	5	 	1	 	64	 	1	2	 	2	3	1	98	98	1	14	0	 	 	 	 	 	 
11002	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	12	1	 	 	 	 	 	 
11002	1	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	2	0	4	 	51	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	3	 	4	 	32	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	4	0	4	 	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	17	0	4	 	18	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	18	 	1	 	22	 	2	21	 	9	6	0	98	98	1	12	1	 	 	 	 	 	 
11002	19	 	1	 	21	 	2	14	 	7	6	0	98	98	1	12	1	 	 	 	 	 	 
11002	20	 	1	 	22	 	2	21	 	9	6	0	98	98	1	12	1	 	 	 	 	 	 
11003	0	 	1	 	23	 	2	0	 	2	3	0	98	98	1	8	0	 	 	 	 	 	 
11003	1	 	4	 	53	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	2	 	4	 	46	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	17	 	4	 	18	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	18	 	4	 	16	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	19	 	4	 	48	 	2	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	20	 	1	 	31	 	1	24	 	1	3	0	98	98	1	11	0	 	 	 	 	 	 
11003	21	 	1	 	5	 	2	27	 	3	 	 	0	20	 	 	 	0	 	 	 	 	 
11003	22	 	1	 	4	 	2	27	 	3	 	 	0	20	 	 	 	 	 	 	 	 	 
11004	0	 	1	 	22	 	2	0	 	3	6	0	2	1	1	12	0	 	 	 	 	 	 
11004	1	 	1	 	50	 	1	1	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
11004	2	 	1	 	50	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11004	3	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	4	 	2	 	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	17	 	1	 	16	 	2	7	 	3	6	0	2	1	 	 	 	1	10	1	3	 	 
11005	0	1	1	 	23	 	2	0	 	2	3	0	98	98	1	14	0	 	 	 	 	 	 
11005	1	0	4	 	56	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	2	0	4	 	57	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	3	0	4	 	33	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	4	0	4	 	29	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	5	0	4	 	18	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	6	0	4	 	16	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	7	 	1	 	40	 	1	24	 	1	3	0	98	98	1	14	0	 	 	 	 	 	 
11005	8	 	1	 	0	5	1	27	 	3	 	 	0	7	 	 	 	 	 	 	 	 	 
11006	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	14	0	 	 	 	 	 	 
11006	1	 	1	 	46	 	1	1	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
11006	2	 	1	 	44	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11006	3	 	1	 	19	 	1	7	 	3	6	0	2	1	1	12	1	 	 	 	 	 	 
11007	0	1	1	 	22	 	2	0	 	5	3	0	98	98	1	9	0	 	 	 	 	 	 
11007	1	0	4	 	50	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	2	0	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	3	0	4	 	31	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	4	0	4	 	27	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	5	0	4	 	19	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	6	 	1	 	90	 	2	19	 	1	4	1	98	98	1	4	0	 	 	 	 	 	 
11007	7	 	1	 	27	 	1	24	 	5	3	0	98	98	1	9	0	 	 	 	 	 	 
11007	8	 	1	 	1	 	1	27	 	7	 	 	0	7	 	 	 	 	 	 	 	 	 
11008	0	 	1	 	22	 	1	0	 	3	3	0	2	1	1	12	0	 	 	 	 	 	 
11008	1	 	1	 	49	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
11008	2	 	1	 	48	 	2	1	 	2	3	0	98	98	1	4	0	 	 	 	 	 	 
11008	3	 	4	 	29	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	4	 	4	 	25	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	5	 	1	 	20	 	2	24	 	4	3	0	98	98	1	12	0	 	 	 	 	 	 
11008	6	 	1	 	0	3	1	27	 	5	 	 	5	0	 	 	 	 	 	 	 	 	 
11009	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
11009	1	 	1	 	43	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
11009	2	 	1	 	42	 	2	1	 	2	3	0	98	98	1	12	0	 	 	 	 	 	 
11009	17	 	1	 	17	 	2	7	 	3	6	0	2	1	 	 	 	1	11	1	3	 	 
11010	0	 	1	 	22	 	1	0	 	5	6	0	3	2	1	9	0	 	 	 	 	 	 
11010	1	 	1	 	79	 	2	6	 	1	4	0	98	98	1	4	0	 	 	 	 	 	 
11010	2	 	1	 	50	 	1	1	 	3	3	0	1	98	1	9	0	 	 	 	 	 	 
11010	3	 	1	 	46	 	2	1	 	4	3	0	98	98	1	9	0	 	 	 	 	 	 
11010	4	 	4	 	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	5	 	4	 	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	6	 	4	 	3	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	0	 	1	 	21	 	2	0	 	3	6	0	1	98	1	14	1	 	 	 	 	 	 
