CHILDCODE	ASSTIDR5	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
21023	1	1	4	11	4	80
21023	2	3	1	11	1	150
21023	3	23	1	23	1	1000
21024	1	 	 	 	 	 
21024	2	 	 	 	 	 
21024	3	 	 	 	 	 
21025	1	22	4	22	4	130
21025	2	23	2	23	2	500
21025	3	24	1	23	1	2000
21026	1	40	1	30	1	4000
21026	2	30	2	30	2	1000
21026	3	88	 	 	 	 
21027	1	40	4	30	4	1000
21027	2	40	1	30	1	1000
21027	3	88	 	 	 	 
21029	1	 	 	 	 	 
21029	2	 	 	 	 	 
21029	3	 	 	 	 	 
21030	1	 	 	 	 	 
21030	2	 	 	 	 	 
21030	3	 	 	 	 	 
21031	1	 	 	 	 	 
21031	2	 	 	 	 	 
21031	3	 	 	 	 	 
21032	1	 	 	 	 	 
21032	2	 	 	 	 	 
21032	3	 	 	 	 	 
21033	1	1	4	11	4	100
21033	2	3	2	11	2	100
21033	3	40	1	11	1	15000
21034	1	 	 	 	 	 
21034	2	 	 	 	 	 
21034	3	 	 	 	 	 
21036	1	 	 	 	 	 
21036	2	 	 	 	 	 
21036	3	 	 	 	 	 
21037	1	 	 	 	 	 
21037	2	 	 	 	 	 
21037	3	 	 	 	 	 
21039	1	21	2	21	2	500
21039	2	26	5	21	1	200
21039	3	22	4	22	4	100
21040	1	25	1	5	0	 
21040	2	88	 	 	 	 
21040	3	88	 	 	 	 
21041	1	 	 	 	 	 
21041	2	 	 	 	 	 
21041	3	 	 	 	 	 
21042	1	 	 	 	 	 
21042	2	 	 	 	 	 
21042	3	 	 	 	 	 
21043	1	40	8	26	8	60000
21043	2	1	5	11	5	100
21043	3	3	1	11	1	100
21044	1	 	 	 	 	 
21044	2	 	 	 	 	 
21044	3	 	 	 	 	 
21046	1	1	5	11	5	70
21046	2	3	1	11	1	100
21046	3	88	 	 	 	 
21047	1	 	 	 	 	 
21047	2	 	 	 	 	 
21047	3	 	 	 	 	 
21048	1	40	2	26	2	10000
