CHILDCODE	NONFODR4	SPYRR4
11033	8	0
11033	17	0
11033	18	450
11033	19	4320
11033	20	250
11033	32	1500
11034	1	5000
11034	2	1000
11034	3	0
11034	4	2000
11034	5	1000
11034	6	500
11034	7	0
11034	8	500
11034	17	1000
11034	18	2000
11034	19	0
11034	20	500
11034	32	2000
11035	1	3000
11035	2	4000
11035	3	0
11035	4	0
11035	5	800
11035	6	1000
11035	7	0
11035	8	0
11035	17	500
11035	18	2500
11035	19	0
11035	20	2500
11035	32	0
11037	1	500
11037	2	500
11037	3	0
11037	4	100
11037	5	300
11037	6	300
11037	7	0
11037	8	500
11037	17	0
11037	18	0
11037	19	0
11037	20	0
11037	32	240
11038	1	300
11038	2	2000
11038	3	0
11038	4	0
11038	5	60
11038	6	500
11038	7	0
11038	8	0
11038	17	0
11038	18	150
11038	19	0
11038	20	0
11038	32	390
11039	1	2000
11039	2	4000
11039	3	500
11039	4	3000
11039	5	650
11039	6	800
11039	7	50
11039	8	150
11039	17	0
11039	18	5000
11039	19	500
11039	20	500
11039	32	1200
11040	1	1000
11040	2	500
11040	3	0
11040	4	500
11040	5	300
11040	6	300
11040	7	0
11040	8	200
11040	17	0
11040	18	0
11040	19	0
11040	20	0
11040	32	290
11041	1	500
11041	2	300
11041	3	500
11041	4	300
11041	5	700
11041	6	700
11041	7	300
11041	8	100
11041	17	0
11041	18	0
11041	19	0
11041	20	0
11041	32	290
11042	1	0
11042	2	100
11042	3	0
11042	4	0
11042	5	0
11042	6	0
11042	7	0
11042	8	0
11042	17	0
11042	18	100
11042	19	0
11042	20	0
11042	32	0
11043	1	-77
11043	2	500
11043	3	0
11043	4	0
11043	5	500
11043	6	200
11043	7	0
11043	8	200
11043	17	0
11043	18	500
11043	19	0
11043	20	0
11043	32	0
11044	1	1000
11044	2	200
11044	3	0
11044	4	0
11044	5	200
11044	6	100
11044	7	0
11044	8	0
11044	17	20000
11044	18	0
11044	19	0
11044	20	0
11044	32	0
11047	1	0
11047	2	300
11047	3	0
11047	4	200
11047	5	50
11047	6	120
11047	7	0
11047	8	80
11047	17	180
11047	18	0
11047	19	0
11047	20	0
11047	32	0
11048	1	2000
11048	2	600
11048	3	0
11048	4	1000
11048	5	500
11048	6	100
11048	7	0
11048	8	400
11048	17	500
11048	18	500
11048	19	0
11048	20	700
11048	32	290
11050	1	-77
11050	2	0
11050	3	0
11050	4	0
11050	5	100
11050	6	100
11050	7	0
11050	8	0
11050	17	0
11050	18	300
11050	19	0
11050	20	0
11050	32	0
11052	1	500
11052	2	1000
11052	3	0
11052	4	0
11052	5	100
11052	6	100
11052	7	0
11052	8	0
11052	17	0
11052	18	300
11052	19	0
11052	20	0
11052	32	0
11061	1	500
11061	2	500
11061	3	1000
11061	4	700
11061	5	100
11061	6	100
11061	7	500
11061	8	500
11061	17	0
11061	18	30
11061	19	0
11061	20	0
11061	32	800
11063	1	1500
