CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSCOMR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH17R4	MEMCNSR4
41106	1	59	63	 	2	5	5	 	1	 	11	4	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
41106	2	40	44	 	2	1	1	 	1	 	2	3	0	1	98	1	2	0	0	 	 	 	 	 	 	 	N
41106	3	40	44	 	1	1	1	 	1	 	1	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
41106	4	19	23	 	1	7	7	 	1	 	3	6	0	2	3	1	9	0	0	 	 	 	 	 	 	 	Y
41106	5	17	21	 	1	7	7	 	1	 	3	6	0	2	3	1	6	0	0	 	 	 	 	 	 	 	N
41106	17	10	14	 	2	7	7	 	1	 	3	6	0	2	3	 	 	 	 	1	8	1	3	 	 	1	N
41106	18	8	12	 	2	7	7	 	1	 	3	 	0	2	3	 	 	 	 	1	6	1	3	 	 	1	N
41106	19	5	9	 	2	7	7	 	1	 	3	 	 	2	3	 	 	 	 	1	4	1	3	 	 	1	N
41106	20	2	6	 	2	7	7	 	1	 	3	 	 	2	3	 	 	 	 	1	0	1	3	 	 	1	N
41109	0	15	19	 	1	0	0	0	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41109	1	36	40	 	1	1	1	 	1	 	1	4	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
41109	2	35	39	 	2	1	1	 	1	 	2	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
41109	3	13	17	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	9	1	3	 	 	0	N
41109	17	10	14	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
41109	18	7	11	 	1	7	7	 	1	 	3	 	0	2	1	 	 	 	 	1	4	1	3	 	 	1	N
41109	19	4	8	 	1	7	7	 	1	 	3	 	 	2	1	 	 	 	 	1	1	1	3	 	 	1	N
41110	0	14	18	 	2	0	0	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	1	53	-88	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	2	50	54	 	2	1	1	0	1	 	1	4	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
41110	3	25	29	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	4	22	26	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	5	20	24	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41110	6	18	22	 	1	7	7	 	1	 	3	6	0	2	98	1	6	0	0	 	 	 	 	 	 	 	N
41110	17	11	15	 	1	7	7	 	1	 	3	6	0	2	98	 	 	 	 	1	7	0	 	8	13	0	N
41114	0	14	18	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	 
41114	1	40	44	 	1	1	1	 	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
41114	2	42	46	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
41114	3	21	25	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41114	4	19	23	 	2	7	7	 	1	 	3	6	0	2	1	1	12	0	1	 	 	 	 	 	 	 	N
41114	5	17	21	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41130	0	14	18	 	2	0	0	1	1	 	3	6	0	2	1	1	11	1	1	 	 	 	 	 	 	 	N
41130	1	41	45	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
41130	2	37	41	 	2	1	1	 	1	 	2	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
41130	17	9	13	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	6	1	3	 	 	1	N
41130	18	4	8	 	2	7	7	 	1	 	3	 	 	2	1	 	 	 	 	1	1	1	3	 	 	1	N
51002	0	15	19	 	1	0	0	0	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
51002	1	43	47	 	1	1	1	 	1	 	1	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
51002	2	43	47	 	2	1	1	0	1	 	2	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
51002	3	19	23	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51004	0	15	19	 	2	0	0	1	2	 	5	6	0	2	98	 	 	 	 	1	8	0	 	 	 	0	N
51004	1	65	69	 	2	5	5	 	1	 	1	4	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51004	2	31	35	 	2	1	1	1	1	 	3	5	0	1	98	1	9	1	0	 	 	 	 	 	 	 	Y
51005	0	15	19	 	2	0	0	1	2	 	3	6	0	3	2	 	 	 	 	1	12	1	3	 	 	1	N
51005	1	73	77	 	2	6	6	 	1	 	6	4	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51005	2	54	58	 	1	1	1	 	1	 	1	3	0	1	98	1	3	0	0	 	 	 	 	 	 	 	N
51005	3	54	58	 	2	1	1	0	1	 	2	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
51005	4	27	31	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51005	5	25	29	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51005	6	20	24	 	1	7	7	 	1	 	3	3	0	3	2	1	9	0	0	 	 	 	 	 	 	 	N
51005	7	25	29	 	2	16	16	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51006	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	8	0	0	 	 	 	 	 	 	 	N
51006	1	37	41	 	1	1	1	 	1	 	1	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51006	2	36	40	 	2	1	1	0	1	 	2	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51006	3	11	15	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	9	1	3	 	 	1	Y
51008	0	14	18	 	1	0	0	0	2	 	3	6	0	4	3	 	 	 	 	1	6	0	 	 	 	0	N
51008	1	79	83	 	1	6	6	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51008	2	74	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51008	3	46	50	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51008	4	46	50	 	2	1	1	0	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51008	5	39	43	 	2	13	13	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51008	6	12	16	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51009	0	15	19	 	2	0	0	0	1	 	3	6	0	3	2	1	12	1	1	 	 	 	 	 	 	 	Y
51009	1	88	92	 	2	6	6	 	1	 	6	4	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51009	2	43	47	 	1	1	1	 	1	 	1	3	0	1	98	1	6	0	0	 	 	 	 	 	 	 	N
51009	3	39	43	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51009	4	13	17	 	2	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	11	1	3	 	 	1	N
51009	17	7	11	 	1	7	7	 	1	 	3	 	0	3	2	 	 	 	 	1	5	1	3	 	 	1	N
51010	0	15	19	 	1	0	0	1	1	 	3	6	0	98	1	1	9	0	0	 	 	 	 	 	 	 	N
51010	1	46	50	 	1	1	1	 	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51010	2	41	45	 	2	1	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51010	3	20	24	 	1	7	7	 	1	 	3	6	0	98	1	1	9	0	0	 	 	 	 	 	 	 	N
51010	4	47	51	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51010	5	53	57	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51010	6	23	27	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51010	7	17	21	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51010	8	43	47	 	2	2	2	 	1	 	2	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51011	0	15	19	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	 
51011	1	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51011	2	39	43	 	2	1	1	1	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51011	3	14	18	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51013	0	14	18	 	2	0	0	0	1	 	3	6	0	2	1	1	10	0	1	 	 	 	 	 	 	 	N
51013	1	48	52	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51013	2	46	50	 	2	1	1	1	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51013	3	25	29	 	2	7	7	 	1	 	3	6	0	2	1	1	4	0	0	 	 	 	 	 	 	 	N
51015	0	15	19	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
51015	1	47	51	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51015	2	40	44	 	2	1	1	1	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51015	3	4	8	 	2	7	7	 	1	 	3	 	 	2	1	 	 	 	 	1	3	1	3	 	 	1	N
51016	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
51016	1	41	45	 	1	1	1	 	1	 	1	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51016	2	40	44	 	2	1	1	0	1	 	2	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
51016	3	20	24	 	2	7	7	 	1	 	3	6	0	2	1	1	14	1	1	 	 	 	 	 	 	 	Y
51016	4	17	21	 	2	7	7	 	1	 	3	6	0	2	1	1	14	0	1	 	 	 	 	 	 	 	Y
51017	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
51017	1	41	45	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51017	2	37	41	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51017	17	11	15	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	9	1	3	 	 	1	N
51018	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	1	8	0	0	 	 	 	 	 	 	 	N
51018	1	48	52	 	1	1	1	 	1	 	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51018	2	46	50	 	2	1	1	1	1	 	2	3	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51018	3	27	31	 	1	7	7	 	1	 	3	3	0	2	1	1	2	0	0	 	 	 	 	 	 	 	N
51018	4	22	26	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51018	5	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51018	6	25	29	 	2	16	16	 	1	 	4	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
51018	7	4	8	 	2	15	15	 	1	 	5	 	 	6	3	 	 	 	 	1	2	1	3	 	 	1	N
51018	8	2	6	 	1	15	15	 	1	 	5	 	 	6	8	 	 	 	 	1	0	1	3	 	 	1	N
51019	0	15	19	 	2	0	0	1	1	 	5	6	0	98	98	1	12	1	1	 	 	 	 	 	 	 	N
51019	1	64	68	 	2	6	6	 	1	 	5	4	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
51019	2	38	42	 	2	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51019	3	37	41	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51019	4	33	37	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51019	5	12	16	 	2	14	14	 	1	 	5	6	0	98	98	 	 	 	 	1	10	1	3	 	 	1	N
51019	6	6	10	 	2	14	14	 	1	 	5	 	0	98	98	 	 	 	 	1	4	1	3	 	 	0	N
51020	0	15	19	 	2	0	0	0	2	 	3	6	0	2	1	 	 	 	 	1	12	0	 	 	 	1	 
51020	1	42	46	 	1	1	1	 	1	 	1	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	N
51020	2	41	45	 	2	1	1	0	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51020	17	10	14	 	1	7	7	 	1	 	3	6	1	2	1	 	 	 	 	1	8	1	3	 	 	1	N
51021	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
51021	1	40	44	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51021	2	39	43	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51021	3	6	10	 	1	7	7	 	1	 	3	 	0	2	1	 	 	 	 	1	3	1	3	 	 	1	N
51022	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
51022	1	49	53	 	1	1	1	 	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51022	2	48	52	 	2	1	1	1	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51022	3	24	28	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51023	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	0	 	 	 	 	 	 	N
51023	1	42	46	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51023	2	39	43	 	2	1	1	1	1	 	2	3	1	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51023	3	20	24	 	1	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	Y
51023	4	18	22	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51024	0	15	19	 	2	0	0	1	2	 	3	6	0	1	3	 	 	 	 	1	14	1	3	 	 	1	N
51024	1	43	47	 	2	1	1	1	1	 	2	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51024	2	18	22	 	1	7	7	 	1	 	3	6	0	1	3	1	14	1	1	 	 	 	 	 	 	 	Y
51024	3	48	52	 	1	2	2	 	1	 	1	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
51025	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
51025	1	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	7	0	0	 	 	 	 	 	 	 	N
51025	2	37	41	 	2	1	1	0	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
51025	17	10	14	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
51026	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	5	 	 	1	 
51026	1	52	56	 	1	1	1	 	1	 	1	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51026	2	50	54	 	2	1	1	1	1	 	2	3	0	98	98	1	10	0	0	 	 	 	 	 	 	 	N
51026	3	20	24	 	2	7	7	 	1	 	3	6	0	2	1	1	13	0	0	 	 	 	 	 	 	 	N
51027	0	15	19	 	1	0	0	1	1	 	3	5	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
51027	1	45	49	 	1	1	1	 	1	 	1	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51027	2	44	48	 	2	1	1	0	1	 	2	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	Y
51027	17	10	14	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	6	1	3	 	 	1	N
51028	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	7	0	0	 	 	 	 	 	 	 	N
51028	1	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51028	2	36	40	 	2	1	1	1	1	 	2	3	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51029	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
51029	1	47	51	 	1	1	1	 	1	 	1	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
51029	2	43	47	 	2	1	1	1	1	 	2	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
51029	3	21	25	 	1	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
51029	4	18	22	 	1	7	7	 	1	 	3	6	0	2	1	1	12	0	0	 	 	 	 	 	 	 	N
51030	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	6	0	 	 	 	0	N
51030	1	46	50	 	1	1	1	 	1	 	1	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51030	2	45	49	 	2	1	1	0	1	 	2	3	1	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51030	3	26	30	 	2	7	7	 	1	 	3	5	0	2	1	1	6	0	0	 	 	 	 	 	 	 	N
51030	4	23	27	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51030	5	21	25	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51030	6	4	8	 	2	15	15	 	1	 	5	 	 	3	98	 	 	 	 	1	2	1	3	 	 	1	N
51031	0	14	18	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	2	5	 	 	1	N
51031	1	45	49	 	1	1	1	 	1	 	1	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	N
51031	2	46	50	 	2	1	1	1	1	 	2	3	0	98	98	1	14	0	0	 	 	 	 	 	 	 	Y
51031	3	16	20	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51032	0	14	18	 	2	0	0	1	1	 	3	6	0	2	1	1	12	0	1	 	 	 	 	 	 	 	N
51032	1	43	47	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51032	2	32	36	 	2	1	1	0	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51032	3	4	8	 	1	7	7	 	1	 	3	 	 	2	1	 	 	 	 	1	2	1	3	 	 	1	N
51033	0	15	18	 	2	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
51033	1	44	48	 	1	1	1	 	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51033	2	43	47	 	2	1	1	1	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51033	3	6	10	 	2	7	7	 	1	 	3	 	0	2	1	 	 	 	 	1	3	1	3	 	 	1	N
51034	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	12	0	1	 	 	 	 	 	 	 	Y
51034	1	43	47	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51034	2	43	47	 	2	1	1	0	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51034	3	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51035	0	15	19	 	1	0	0	1	1	 	5	6	0	3	2	1	12	1	1	 	 	 	 	 	 	 	N
51035	1	69	73	 	2	6	6	 	1	 	1	5	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
51035	2	38	42	 	1	1	1	 	1	 	3	3	0	1	98	1	9	0	0	 	 	 	 	 	 	 	N
51035	3	39	43	 	2	1	1	1	1	 	4	1	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51035	4	20	24	 	1	7	7	 	1	 	3	3	0	3	2	1	14	0	1	 	 	 	 	 	 	 	N
51035	5	4	8	 	1	7	7	 	1	 	5	 	 	3	2	 	 	 	 	1	6	1	3	 	 	1	N
51035	6	 	21	 	2	 	16	 	1	 	5	3	0	98	98	1	12	0	 	 	 	 	 	 	 	 	N
51035	7	 	2	 	1	 	15	 	1	 	7	 	 	6	4	 	 	 	 	 	 	 	 	 	 	 	N
51036	0	14	18	 	2	0	0	1	1	 	3	6	0	2	3	1	12	1	1	 	 	 	 	 	 	 	Y
51036	1	89	-88	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51036	2	48	52	 	2	1	1	1	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51036	3	46	50	 	1	1	1	 	1	 	2	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51037	0	15	19	 	2	0	0	1	2	 	3	6	0	98	2	 	 	 	 	1	12	1	3	 	 	1	N
51037	1	79	83	 	1	6	6	 	1	 	7	4	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51037	2	43	47	 	1	1	1	 	1	 	1	4	0	98	1	1	5	0	0	 	 	 	 	 	 	 	N
51037	3	43	-88	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51037	4	22	26	 	1	7	7	 	1	 	3	3	0	98	2	1	10	0	0	 	 	 	 	 	 	 	N
51037	17	10	14	 	1	7	7	 	1	 	3	6	0	98	2	 	 	 	 	1	9	1	3	 	 	1	N
51037	18	 	24	 	1	 	16	 	1	 	4	3	0	98	98	1	12	0	 	 	 	 	 	 	 	 	N
51038	0	14	18	 	2	0	0	1	1	 	3	3	0	2	1	1	10	0	1	 	 	 	 	 	 	 	N
51038	1	42	46	 	1	1	1	 	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
51038	2	34	38	 	2	1	1	1	1	 	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	 	N
51038	3	 	23	 	1	 	24	 	1	 	4	3	0	98	98	1	9	0	 	 	 	 	 	 	 	 	N
51038	4	 	1	 	2	 	27	 	1	 	5	 	 	0	3	 	 	 	 	 	 	 	 	 	 	 	N
51040	0	15	19	 	2	0	0	0	1	 	3	3	0	5	4	1	3	0	0	 	 	 	 	 	 	 	N
51040	1	81	-88	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51040	2	71	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51040	3	42	46	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51040	4	38	42	 	1	1	1	 	1	 	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51040	5	35	39	 	2	1	1	0	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51040	6	27	31	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51040	7	12	16	 	2	7	7	 	1	 	3	6	0	5	4	 	 	 	 	1	9	0	 	8	15	1	N
51040	17	9	13	 	1	7	7	 	1	 	3	6	0	7	4	 	 	 	 	1	7	1	3	 	 	1	N
51040	18	 	23	 	1	 	24	 	1	 	4	3	0	98	98	1	11	0	 	 	 	 	 	 	 	 	N
51040	19	 	3	 	1	 	27	 	1	 	5	 	 	0	18	 	 	 	 	 	 	 	 	 	 	 	N
51041	0	15	19	 	2	0	0	0	2	 	3	6	0	2	1	 	 	 	 	1	12	1	1	 	 	1	N
51041	1	41	45	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51041	2	40	44	 	2	1	1	0	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
51041	3	3	7	 	1	7	7	 	1	 	3	 	 	2	1	 	 	 	 	1	1	1	3	 	 	1	N
51042	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	Y
51042	1	44	48	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
51042	2	38	42	 	2	1	1	1	1	 	2	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
51042	3	13	17	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51043	0	15	19	 	1	0	0	1	2	 	3	6	0	1	2	 	 	 	 	1	12	1	3	 	 	1	N
51043	1	50	54	 	2	1	1	0	1	 	2	3	0	98	98	1	14	2	0	 	 	 	 	 	 	 	N
51043	2	48	52	 	1	1	1	 	1	 	1	3	0	98	98	1	14	2	0	 	 	 	 	 	 	 	N
51043	17	9	13	 	2	7	7	 	1	 	3	6	0	1	2	 	 	 	 	1	7	1	3	 	 	1	N
51044	0	15	18	 	2	0	0	1	1	 	6	3	0	3	2	1	8	0	0	 	 	 	 	 	 	 	N
51044	1	91	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51044	2	53	57	 	1	1	1	 	1	 	1	3	0	98	98	0	 	 	 	 	 	 	 	 	 	 	N
51044	3	52	56	 	2	1	1	1	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
51044	4	30	34	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51044	5	26	30	 	1	7	7	 	1	 	3	6	0	3	2	1	2	0	0	 	 	 	 	 	 	 	N
51044	6	23	27	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51044	7	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51044	8	 	1	 	2	 	15	 	1	 	5	 	 	0	98	 	 	 	 	 	 	 	 	 	 	 	N
51045	0	15	19	 	1	0	0	1	2	 	3	6	0	17	1	 	 	 	 	1	12	1	3	 	 	1	N
51045	1	38	42	 	1	1	1	 	1	 	1	3	0	98	98	1	14	0	1	 	 	 	 	 	 	 	N
51045	2	38	42	 	2	1	1	1	1	 	2	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
51045	17	10	14	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
51046	0	14	18	 	1	0	0	1	1	 	3	6	1	3	2	1	9	0	0	 	 	 	 	 	 	 	N
51046	1	70	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
51046	2	41	45	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
51046	3	38	42	 	2	1	1	0	1	 	2	3	0	98	98	1	8	0	0	 	 	 	 	 	 	 	N
