CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSCOMR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH17R4	MEMCNSR4
11003	17	11	15	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	18	9	13	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	19	 	45	 	2	 	28	 	1	 	1	4	0	98	98	1	3	0	 	 	 	 	 	 	 	 	Y
11003	20	 	28	 	1	 	24	 	1	 	3	3	0	98	98	1	11	0	 	 	 	 	 	 	 	 	N
11003	21	 	1	 	2	 	27	 	1	 	5	 	 	98	98	 	 	 	 	 	 	 	 	 	 	 	N
11003	22	 	0	8	2	 	27	 	1	 	5	 	 	98	98	 	 	 	 	 	 	 	 	 	 	 	N
11004	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	 	 	 	 	1	12	0	 	 	 	1	N
11004	1	43	47	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11004	2	43	47	 	2	1	1	 	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11004	3	22	26	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11004	4	20	23	 	1	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11004	17	9	13	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	7	1	3	 	 	1	N
11005	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	N
11005	1	45	52	 	1	1	1	 	1	 	1	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	N
11005	2	49	53	 	2	1	1	 	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11005	3	25	29	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11005	4	21	25	 	1	7	7	 	1	 	3	6	0	2	1	1	13	0	1	 	 	 	 	 	 	 	N
11005	5	10	14	 	1	15	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11005	6	8	12	 	1	15	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11006	0	15	19	 	1	0	0	0	1	 	3	6	0	2	1	1	12	1	1	 	 	 	 	 	 	 	N
11006	1	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11006	2	37	41	 	2	1	1	0	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11006	3	12	16	 	1	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	10	1	3	 	 	1	N
11007	0	15	19	 	2	0	0	1	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
11007	1	43	47	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11007	2	41	45	 	2	1	1	0	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	Y
11007	3	24	28	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	4	20	24	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	5	12	16	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	8	1	3	 	 	1	N
11008	0	15	19	 	1	0	0	1	1	 	3	6	0	2	1	1	12	0	0	 	 	 	 	 	 	 	N
11008	1	42	46	 	1	1	1	 	1	 	1	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	N
11008	2	41	45	 	2	1	1	 	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11008	3	22	26	 	1	7	7	 	1	 	3	6	0	2	1	1	12	0	0	 	 	 	 	 	 	 	N
11008	4	18	22	 	1	7	7	 	1	 	3	3	0	2	1	1	10	0	0	 	 	 	 	 	 	 	Y
11009	0	14	19	 	1	0	0	1	1	 	3	6	0	2	98	1	14	0	1	 	 	 	 	 	 	 	N
11009	1	37	40	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11009	2	36	39	 	2	1	1	 	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11009	17	11	14	 	2	7	7	 	1	 	3	6	0	2	98	 	 	 	 	1	8	1	3	 	 	1	N
11010	0	14	18	 	1	0	0	1	1	 	3	6	0	3	2	1	12	0	0	 	 	 	 	 	 	 	N
11010	1	72	76	 	2	6	6	 	1	 	6	4	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11010	2	43	47	 	1	1	1	 	1	 	1	3	0	1	98	1	9	0	0	 	 	 	 	 	 	 	Y
11010	3	39	43	 	2	1	1	 	1	 	2	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	N
11010	4	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11010	5	17	21	 	2	7	7	 	1	 	3	3	0	3	2	1	12	0	0	 	 	 	 	 	 	 	N
11010	6	 	0	7	2	 	15	 	1	 	5	 	 	5	98	 	 	 	 	 	 	 	 	 	 	 	N
11011	0	14	18	 	2	0	0	1	1	 	3	6	0	1	98	1	12	1	1	 	 	 	 	 	 	 	Y
11011	1	51	55	 	2	1	1	 	1	 	1	3	0	98	98	1	2	0	0	 	 	 	 	 	 	 	N
11012	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	1	3	 	 	1	 
11012	1	54	58	 	1	1	1	 	1	 	1	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	N
11012	2	52	56	 	2	1	1	0	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11012	3	27	31	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	4	20	24	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	8	0	 	 	 	0	 
11013	1	56	60	 	1	1	1	 	1	 	1	3	0	98	98	1	5	0	0	 	 	 	 	 	 	 	N
11013	2	55	59	 	2	1	1	 	1	 	2	3	1	98	98	1	3	0	0	 	 	 	 	 	 	 	N
11013	3	30	34	 	1	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	4	27	31	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	5	25	29	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	6	22	26	 	1	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
11013	7	18	22	 	1	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
11013	8	14	18	 	2	7	7	 	1	 	3	6	0	2	1	1	9	0	0	 	 	 	 	 	 	 	N
11015	0	15	19	 	1	0	0	0	2	 	3	6	0	3	2	 	 	 	 	1	14	1	3	 	 	1	 
11015	1	73	-88	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	2	39	43	 	1	1	1	 	1	 	1	3	0	98	98	1	11	0	0	 	 	 	 	 	 	 	Y
11015	3	38	42	 	2	1	1	0	1	 	2	3	0	98	98	1	10	0	0	 	 	 	 	 	 	 	N
11015	4	34	38	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	17	9	13	 	2	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	7	1	3	 	 	1	N
