CHILDCODE	FVVLIDR4	FVVALR4	SLVALR4
11001	1	4	5000
11001	2	12	2000
11001	3	8	1500
11001	4	7	500
11001	5	5	200
11002	1	4	3000
11002	2	11	2000
11002	3	13	1000
11002	4	1	1000
11002	5	5	1000
11003	1	4	2000
11003	2	7	1500
11003	3	1	700
11003	4	10	100
11003	5	11	100
11004	1	4	20000
11004	2	8	20000
11004	3	12	1000
11004	4	13	1000
11004	5	1	1500
11005	1	4	13000
11005	2	8	5000
11005	3	12	2000
11005	4	1	1000
11005	5	7	1000
11006	1	8	70000
11006	2	4	20000
11006	3	12	3000
11006	4	13	2000
11006	5	7	2000
11007	1	4	6000
11007	2	12	3000
11007	3	7	3000
11007	4	1	2500
11007	5	8	10000
11008	1	4	100000
11008	2	11	2000
11008	3	7	5000
11008	4	12	1000
11008	5	8	8000
11009	1	4	40000
11009	2	8	40000
11009	3	16	30000
11009	4	7	5000
11009	5	11	20000
11010	1	16	5000
11010	2	4	3500
11010	3	1	1000
11010	4	11	600
11010	5	7	200
11011	1	14	10000
11011	2	1	1000
11011	3	7	500
11011	4	10	300
11011	5	5	300
11012	1	4	10000
11012	2	1	400
11012	3	7	200
11012	4	10	100
11012	5	11	200
11013	1	4	2000
11013	2	7	150
11013	3	1	100
11013	4	10	100
11013	5	12	100
11015	1	4	15000
11015	2	7	2000
11015	3	1	500
11015	4	5	400
11015	5	8	500
11016	1	4	7000
11016	2	12	4000
11016	3	5	1000
11016	4	13	700
11016	5	1	700
11017	1	8	18000
11017	2	4	15000
11017	3	1	500
11017	4	7	5700
11017	5	12	2000
11018	1	8	300
11018	2	11	300
11018	3	10	150
11018	4	5	100
11018	5	1	100
11019	1	4	40000
11019	2	5	500
11019	3	7	1500
11019	4	14	10000
11019	5	11	3000
11020	1	4	6000
11020	2	8	2000
11020	3	12	1000
11020	4	1	1000
11020	5	7	1000
11021	1	4	7000
11021	2	8	5000
11021	3	5	300
11021	4	1	2000
11021	5	7	1500
11022	1	4	7000
11022	2	11	1000
11022	3	7	300
11022	4	8	500
11022	5	5	200
11024	1	1	700
11024	2	4	2500
11024	3	7	400
11024	4	10	150
11024	5	8	300
11025	1	4	25000
11025	2	16	15000
11025	3	8	10000
11025	4	12	4000
11025	5	1	700
11026	1	4	15000
11026	2	11	1000
11026	3	5	800
11026	4	10	300
11026	5	1	250
11028	1	4	15000
11028	2	11	6000
11028	3	1	3000
11028	4	5	2000
11028	5	10	800
11029	1	4	11000
11029	2	8	7000
11029	3	11	5000
11029	4	7	3500
11029	5	1	1500
11030	1	4	20000
11030	2	8	1000
11030	3	11	1000
11030	4	1	800
11030	5	13	700
11031	1	4	10000
11031	2	14	2000
11031	3	7	1000
11031	4	1	450
11031	5	13	400
11032	1	4	2500
11032	2	1	300
11032	3	11	250
11032	4	13	200
11032	5	8	200
11033	1	4	20000
11033	2	8	15000
11033	3	11	3500
11033	4	12	2500
11033	5	7	1000
11034	1	8	4000
11034	2	4	2000
11034	3	1	1000
11034	4	7	400
11034	5	5	200
11035	1	4	20000
11035	2	8	7000
11035	3	1	500
11035	4	7	200
11035	5	11	150
11037	1	4	14000
11037	2	9	1000
11037	3	5	2000
11037	4	11	2000
11037	5	12	2000
11038	1	4	25000
11038	2	12	3000
11038	3	1	1500
11038	4	7	3000
11038	5	8	2000
11039	1	16	10000
11039	2	4	3000
11039	3	12	2000
11039	4	1	1000
11039	5	13	1000
11040	1	4	2000
11040	2	9	500
11040	3	11	500
11040	4	5	300
11040	5	7	300
11041	1	4	2000
11041	2	11	1000
11041	3	7	3000
11041	4	1	2000
11041	5	8	1000
11042	1	1	1000
11042	2	8	500
11042	3	7	200
11042	4	5	200
11042	5	10	50
11043	1	1	2000
11043	2	2	1000
11043	3	7	500
11043	4	8	500
11043	5	12	1000
11044	1	4	10000
11044	2	11	2500
11044	3	1	1000
11044	4	8	2000
11044	5	5	1000
11047	1	4	15000
11047	2	12	3000
11047	3	1	1200
11047	4	13	1100
11047	5	8	500
11048	1	16	30000
11048	2	8	10000
11048	3	4	10000
11048	4	1	2000
11048	5	11	2000
11050	1	4	5000
11050	2	1	1000
11050	3	8	1000
11050	4	7	200
11050	5	10	200
11052	1	4	12000
11052	2	14	10000
11052	3	12	2000
11052	4	1	1000
11052	5	7	1000
11061	1	4	34000
11061	2	7	14000
11061	3	11	500
11061	4	12	5000
11061	5	8	10000
11063	1	4	5000
11063	2	7	1500
11063	3	12	1500
11063	4	8	500
11063	5	10	500
11069	1	4	12000
11069	2	14	3000
11069	3	12	2000
11069	4	1	2000
11069	5	7	500
11074	1	8	2000
11074	2	4	4500
11074	3	1	800
11074	4	5	800
11074	5	12	3000
11088	1	4	10000
11088	2	12	2000
11088	3	1	1000
11088	4	7	500
11088	5	8	500
21002	1	4	20000
21002	2	7	1400
21002	3	5	500
21002	4	1	300
21002	5	10	100
21004	1	4	50000
21004	2	16	10000
21004	3	8	10000
21004	4	11	8000
21004	5	12	3000
21005	1	4	8000
21005	2	12	1500
21005	3	7	1500
21005	4	5	1000
21005	5	1	600
21007	1	4	10000
21007	2	1	3000
21007	3	12	2000
21007	4	13	1000
21007	5	8	500
21008	1	14	6000
21008	2	7	3000
21008	3	4	1500
21008	4	11	900
21008	5	1	500
21009	1	4	20000
21009	2	9	10000
21009	3	8	5000
21009	4	11	13000
21009	5	12	5000
21011	1	9	3000
21011	2	1	500
21011	3	7	500
21011	4	11	1000
21011	5	13	500
21012	1	11	500
21012	2	10	100
21012	3	1	200
21012	4	7	100
21012	5	88	 
21013	1	4	5000
21013	2	16	2000
21013	3	8	1000
21013	4	1	500
21013	5	10	500
21014	1	7	1500
21014	2	13	500
21014	3	8	200
21014	4	11	200
21014	5	88	 
21015	1	4	15000
21015	2	13	1500
21015	3	7	1000
21015	4	1	1000
21015	5	10	500
21017	1	4	15000
21017	2	16	10000
21017	3	12	1000
21017	4	1	1000
21017	5	8	500
21018	1	1	1500
21018	2	13	1500
21018	3	16	500
21018	4	7	500
21018	5	8	200
21020	1	4	3000
21020	2	12	2000
21020	3	8	1000
21020	4	1	300
21020	5	7	200
21022	1	4	4000
21022	2	1	600
21022	3	10	400
21022	4	5	100
21022	5	7	100
21023	1	4	20000
21023	2	12	2000
21023	3	7	400
21023	4	11	200
21023	5	1	200
21024	1	4	26000
21024	2	1	2500
21024	3	16	3000
21024	4	8	2500
21024	5	7	1000
21025	1	6	200
21025	2	7	300
21025	3	10	150
21025	4	11	300
21025	5	88	 
21026	1	4	15000
21026	2	1	200
21026	3	13	200
21026	4	16	200
21026	5	7	100
21027	1	12	2500
21027	2	4	2000
21027	3	1	600
21027	4	10	600
21027	5	13	500
21029	1	4	20000
21029	2	16	9000
21029	3	8	7000
21029	4	12	4000
21029	5	5	2000
21030	1	4	3000
21030	2	5	2000
21030	3	1	600
21030	4	10	400
21030	5	7	400
21031	1	4	23000
21031	2	11	5000
21031	3	12	4500
21031	4	9	4500
21031	5	1	1000
21032	1	4	1500
21032	2	1	1200
21032	3	16	1000
21032	4	9	600
21032	5	5	400
21033	1	9	12000
21033	2	12	3000
21033	3	4	3000
21033	4	11	3000
21033	5	7	1200
21034	1	4	23000
21034	2	7	3000
21034	3	1	2000
21034	4	5	500
21034	5	13	500
21036	1	4	2000
21036	2	13	700
21036	3	1	200
21036	4	7	200
21036	5	5	50
21037	1	4	35000
21037	2	8	5000
21037	3	16	2000
21037	4	1	1800
21037	5	11	1500
21038	1	4	5000
21038	2	7	4000
21038	3	12	3500
21038	4	16	3000
21038	5	5	2000
21039	1	4	8000
21039	2	7	1000
21039	3	1	1000
21039	4	13	600
21039	5	10	400
21041	1	4	1000
21041	2	16	500
21041	3	1	100
21041	4	7	100
21041	5	8	50
21042	1	9	2000
21042	2	11	1500
21042	3	13	1200
21042	4	1	500
21042	5	5	300
21044	1	12	3500
21044	2	11	4000
21044	3	9	1500
21044	4	7	600
21044	5	13	500
21046	1	8	1000
21046	2	1	200
21046	3	13	200
21046	4	11	50
21046	5	10	30
21047	1	4	30000
21047	2	7	4000
21047	3	1	2000
21047	4	9	1500
21047	5	11	1000
21048	1	4	40000
21048	2	8	10000
21048	3	9	2000
21048	4	11	2000
21048	5	7	800
21049	1	4	15000
21049	2	12	5000
21049	3	16	3000
21049	4	1	1500
21049	5	7	1200
21056	1	11	200
21056	2	88	 
21056	3	88	 
21056	4	88	 
21056	5	88	 
21069	1	4	10000
21069	2	14	10000
21069	3	8	1000
21069	4	1	1000
21069	5	12	600
21072	1	4	22000
21072	2	1	1000
21072	3	13	700
21072	4	11	700
21072	5	9	600
21083	1	4	15000
21083	2	8	6000
21083	3	7	3000
21083	4	11	1500
21083	5	1	1200
21090	1	14	12000
21090	2	4	66000
21090	3	12	2500
21090	4	9	10000
21090	5	7	2000
21094	1	4	35000
21094	2	16	2000
