CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4
21017	3	88	 	 	 	 
21018	1	88	 	 	 	 
21018	2	88	 	 	 	 
21018	3	88	 	 	 	 
21020	1	88	 	 	 	 
21020	2	88	 	 	 	 
21020	3	88	 	 	 	 
21022	1	24	1	1	1	1
21022	2	28	1	1	1	 
21022	3	29	1	1	1	 
21023	1	1	 	 	1	 
21023	2	48	 	 	2	 
21023	3	88	 	 	 	 
21024	1	45	 	 	3	 
21024	2	25	 	2	1	 
21024	3	29	 	1	 	 
21025	1	37	4	3	2	3
21025	2	29	 	 	 	4
21025	3	24	2	 	 	 
21026	1	88	 	 	 	 
21026	2	88	 	 	 	 
21026	3	88	 	 	 	 
21027	1	88	 	 	 	 
21027	2	88	 	 	 	 
21027	3	88	 	 	 	 
21029	1	38	1	 	1	 
21029	2	88	 	 	 	 
21029	3	88	 	 	 	 
21030	1	88	 	 	 	 
21030	2	88	 	 	 	 
21030	3	88	 	 	 	 
21031	1	1	 	1	 	 
21031	2	12	1	1	1	1
21031	3	88	 	 	 	 
21032	1	24	 	2	2	 
21032	2	37	 	1	 	 
21032	3	88	 	 	 	 
21033	1	24	 	 	3	 
21033	2	29	 	 	 	2
21033	3	12	1	1	1	1
21034	1	88	 	 	 	 
21034	2	88	 	 	 	 
21034	3	88	 	 	 	 
21036	1	42	 	 	 	3
21036	2	88	 	 	 	 
21036	3	88	 	 	 	 
21037	1	39	 	 	3	 
21037	2	28	 	 	2	 
21037	3	88	 	 	 	 
21038	1	88	 	 	 	 
21038	2	88	 	 	 	 
21038	3	88	 	 	 	 
21039	1	88	 	 	 	 
21039	2	88	 	 	 	 
21039	3	88	 	 	 	 
21041	1	29	 	 	2	2
21041	2	34	 	2	 	 
21041	3	48	 	 	1	 
21042	1	24	 	 	 	4
21042	2	29	 	 	 	4
21042	3	47	1	1	1	1
21044	1	24	3	 	 	 
21044	2	47	1	1	1	1
21044	3	88	 	 	 	 
21046	1	13	 	 	 	2
21046	2	88	 	 	 	 
21046	3	88	 	 	 	 
21047	1	48	3	 	 	 
21047	2	88	 	 	 	 
21047	3	88	 	 	 	 
21048	1	12	 	 	2	2
21048	2	47	1	1	1	1
21048	3	88	 	 	 	 
21049	1	88	 	 	 	 
21049	2	88	 	 	 	 
21049	3	88	 	 	 	 
21056	1	88	 	 	 	 
21056	2	88	 	 	 	 
21056	3	88	 	 	 	 
21069	1	38	 	 	 	1
21069	2	28	 	1	 	 
21069	3	24	1	1	1	1
21072	1	38	1	1	1	1
21072	2	29	 	1	 	 
21072	3	36	 	 	 	1
21083	1	88	 	 	 	 
21083	2	88	 	 	 	 
21083	3	88	 	 	 	 
21090	1	29	 	 	 	4
21090	2	12	1	2	1	1
21090	3	47	1	1	1	1
21094	1	45	 	 	2	 
21094	2	16	 	 	 	1
21094	3	29	 	 	 	1
31001	1	42	 	 	2	2
31001	2	40	2	 	 	 
31001	3	88	 	 	 	 
31002	1	88	 	 	 	 
31002	2	88	 	 	 	 
31002	3	88	 	 	 	 
31004	1	88	 	 	 	 
31004	2	88	 	 	 	 
31004	3	88	 	 	 	 
31005	1	88	 	 	 	 
31005	2	88	 	 	 	 
31005	3	88	 	 	 	 
31006	1	39	 	 	4	 
31006	2	88	 	 	 	 
31006	3	88	 	 	 	 
31007	1	61	 	 	 	2
31007	2	88	 	 	 	 
31007	3	88	 	 	 	 
31008	1	88	 	 	 	 
31008	2	88	 	 	 	 
31008	3	88	 	 	 	 
31010	1	88	 	 	 	 
31010	2	88	 	 	 	 
31010	3	88	 	 	 	 
31011	1	1	2	 	 	 
31011	2	88	 	 	 	 
31011	3	88	 	 	 	 
31012	1	48	 	2	 	 
31012	2	37	 	 	 	 
31012	3	88	 	 	 	 
31013	1	88	 	 	 	 
31013	2	88	 	 	 	 
31013	3	88	 	 	 	 
31018	1	88	 	 	 	 
31018	2	88	 	 	 	 
31018	3	88	 	 	 	 
31020	1	37	 	 	 	2
31020	2	88	 	 	 	 
31020	3	88	 	 	 	 
31021	1	88	 	 	 	 
31021	2	88	 	 	 	 
31021	3	88	 	 	 	 
31023	1	88	 	 	 	 
31023	2	88	 	 	 	 
31023	3	88	 	 	 	 
31024	1	41	 	 	 	1
31024	2	88	 	 	 	 
31024	3	88	 	 	 	 
31025	1	88	 	 	 	 
31025	2	88	 	 	 	 
31025	3	88	 	 	 	 
31027	1	88	 	 	 	 
31027	2	88	 	 	 	 
31027	3	88	 	 	 	 
31028	1	88	 	 	 	 
31028	2	88	 	 	 	 
31028	3	88	 	 	 	 
31029	1	88	 	 	 	 
31029	2	88	 	 	 	 
31029	3	88	 	 	 	 
31031	1	88	 	 	 	 
31031	2	88	 	 	 	 
31031	3	88	 	 	 	 
31032	1	88	 	 	 	 
31032	2	88	 	 	 	 
31032	3	88	 	 	 	 
31035	1	88	 	 	 	 
31035	2	88	 	 	 	 
31035	3	88	 	 	 	 
31036	1	39	 	 	 	4
31036	2	16	 	 	 	2
31036	3	42	2	2	2	2
31037	1	88	 	 	 	 
31037	2	88	 	 	 	 
31037	3	88	 	 	 	 
31038	1	13	4	 	 	 
31038	2	88	 	 	 	 
31038	3	88	 	 	 	 
31039	1	35	 	 	2	 
31039	2	38	4	4	 	 
31039	3	88	 	 	 	 
31040	1	34	 	 	4	 
31040	2	88	 	 	 	 
31040	3	88	 	 	 	 
31041	1	38	 	 	 	2
31041	2	88	 	 	 	 
31041	3	88	 	 	 	 
31043	1	37	3	 	 	 
31043	2	88	 	 	 	 
31043	3	88	 	 	 	 
31044	1	88	 	 	 	 
31044	2	88	 	 	 	 
31044	3	88	 	 	 	 
31045	1	37	3	3	3	3
31045	2	38	1	 	 	 
31045	3	88	 	 	 	 
31046	1	37	1	2	1	1
31046	2	88	 	 	 	 
31046	3	88	 	 	 	 
31048	1	88	 	 	 	 
31048	2	88	 	 	 	 
31048	3	88	 	 	 	 
31049	1	29	 	 	4	 
31049	2	88	 	 	 	 
31049	3	88	 	 	 	 
31050	1	14	 	 	 	1
31050	2	30	 	 	3	 
31050	3	41	 	 	 	1
31052	1	88	 	 	 	 
31052	2	88	 	 	 	 
31052	3	88	 	 	 	 
31058	1	88	 	 	 	 
31058	2	88	 	 	 	 
31058	3	88	 	 	 	 
31059	1	39	 	 	1	1
31059	2	88	 	 	 	 
31059	3	88	 	 	 	 
31060	1	45	 	 	 	3
31060	2	88	 	 	 	 
31060	3	88	 	 	 	 
31079	1	37	 	 	2	2
31079	2	14	 	2	 	 
31079	3	88	 	 	 	 
31096	1	88	 	 	 	 
31096	2	88	 	 	 	 
31096	3	88	 	 	 	 
31098	1	38	1	1	 	 
31098	2	45	 	 	 	2
31098	3	88	 	 	 	 
31108	1	88	 	 	 	 
31108	2	88	 	 	 	 
31108	3	88	 	 	 	 
31134	1	88	 	 	 	 
31134	2	88	 	 	 	 
31134	3	88	 	 	 	 
41001	1	88	 	 	 	 
41001	2	88	 	 	 	 
41001	3	88	 	 	 	 
41002	1	88	 	 	 	 
41002	2	88	 	 	 	 
41002	3	88	 	 	 	 
41003	1	45	 	 	 	4
41003	2	38	 	 	 	1
41003	3	88	 	 	 	 
41004	1	34	 	 	4	2
41004	2	16	 	 	3	2
41004	3	47	1	1	1	1
41005	1	47	1	1	1	1
41005	2	88	 	 	 	 
41005	3	88	 	 	 	 
41006	1	88	 	 	 	 
41006	2	88	 	 	 	 
41006	3	88	 	 	 	 
41007	1	88	 	 	 	 
41007	2	88	 	 	 	 
41007	3	88	 	 	 	 
41009	1	12	1	1	1	1
41009	2	47	1	1	1	1
41009	3	10	 	 	1	1
41010	1	88	 	 	 	 
41010	2	88	 	 	 	 
41010	3	88	 	 	 	 
41011	1	16	 	 	3	 
41011	2	88	 	 	 	 
41011	3	88	 	 	 	 
41012	1	88	 	 	 	 
41012	2	88	 	 	 	 
41012	3	88	 	 	 	 
41013	1	1	 	 	 	1
41013	2	88	 	 	 	 
