CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	VLSLDR4	CRPCSTR4
11001	1	53	3000	10000	8000
11001	2	88	 	 	 
11001	3	88	 	 	 
11001	4	88	 	 	 
11002	1	53	4500	8500	7950
11002	2	31	-77	0	0
11002	3	88	 	 	 
11002	4	88	 	 	 
11003	1	53	1000	2000	2500
11003	2	88	 	 	 
11003	3	88	 	 	 
11003	4	88	 	 	 
11004	1	53	2400	0	6000
11004	2	88	 	 	 
11004	3	88	 	 	 
11004	4	88	 	 	 
11005	1	53	3000	3500	9500
11005	2	88	 	 	 
11005	3	88	 	 	 
11005	4	88	 	 	 
11006	1	53	4400	10000	10000
11006	2	88	 	 	 
11006	3	88	 	 	 
11006	4	88	 	 	 
11007	1	53	2400	0	4000
11007	2	88	 	 	 
11007	3	88	 	 	 
11007	4	88	 	 	 
11008	1	53	2700	0	5000
11008	2	4	1000	0	300
11008	3	88	 	 	 
11008	4	88	 	 	 
11009	1	53	2400	7000	4500
11009	2	88	 	 	 
11009	3	88	 	 	 
11009	4	88	 	 	 
11010	1	53	2300	0	5000
11010	2	88	 	 	 
11010	3	88	 	 	 
11010	4	88	 	 	 
11011	1	 	 	 	 
11011	2	 	 	 	 
11011	3	 	 	 	 
11011	4	 	 	 	 
11012	1	53	3800	6000	8500
11012	2	88	 	 	 
11012	3	88	 	 	 
11012	4	88	 	 	 
11013	1	53	2000	7500	11200
11013	2	88	 	 	 
11013	3	88	 	 	 
11013	4	88	 	 	 
11015	1	53	2880	4800	3000
11015	2	88	 	 	 
11015	3	88	 	 	 
11015	4	88	 	 	 
11016	1	53	3000	0	6000
11016	2	88	 	 	 
11016	3	88	 	 	 
11016	4	88	 	 	 
11017	1	53	380	0	0
11017	2	88	 	 	 
11017	3	88	 	 	 
11017	4	88	 	 	 
11018	1	53	800	0	1000
11018	2	88	 	 	 
11018	3	88	 	 	 
11018	4	88	 	 	 
11019	1	 	 	 	 
11019	2	 	 	 	 
11019	3	 	 	 	 
11019	4	 	 	 	 
11020	1	53	4500	17500	18750
11020	2	44	600	1200	500
11020	3	25	20	0	25
11020	4	88	 	 	 
11021	1	53	1800	0	2000
11021	2	88	 	 	 
11021	3	88	 	 	 
11021	4	88	 	 	 
11022	1	53	3000	10000	8000
11022	2	88	 	 	 
11022	3	88	 	 	 
11022	4	88	 	 	 
11024	1	53	1000	0	4000
11024	2	4	30	0	0
11024	3	52	100	400	50
11024	4	88	 	 	 
11025	1	53	6000	15000	10000
11025	2	44	200	0	500
11025	3	88	 	 	 
11025	4	88	 	 	 
11026	1	 	 	 	 
11026	2	 	 	 	 
11026	3	 	 	 	 
11026	4	 	 	 	 
11028	1	53	2400	0	1500
11028	2	88	 	 	 
11028	3	88	 	 	 
11028	4	88	 	 	 
11029	1	53	1400	600	980
11029	2	88	 	 	 
11029	3	88	 	 	 
11029	4	88	 	 	 
11030	1	53	2600	6000	5000
11030	2	88	 	 	 
11030	3	88	 	 	 
11030	4	88	 	 	 
11031	1	53	2200	4000	4000
11031	2	88	 	 	 
11031	3	88	 	 	 
11031	4	88	 	 	 
11032	1	53	1500	4000	1500
11032	2	88	 	 	 
11032	3	88	 	 	 
11032	4	88	 	 	 
11033	1	53	2100	5000	6500
11033	2	88	 	 	 
11033	3	88	 	 	 
11033	4	88	 	 	 
11034	1	 	 	 	 
11034	2	 	 	 	 
11034	3	 	 	 	 
11034	4	 	 	 	 
11035	1	53	1000	0	3000
11035	2	88	 	 	 
11035	3	88	 	 	 
11035	4	88	 	 	 
11037	1	53	1200	2000	3000
11037	2	88	 	 	 
11037	3	88	 	 	 
11037	4	88	 	 	 
11038	1	53	3240	1500	3000
11038	2	88	 	 	 
11038	3	88	 	 	 
11038	4	88	 	 	 
11039	1	53	4400	5000	5500
11039	2	88	 	 	 
11039	3	88	 	 	 
11039	4	88	 	 	 
11040	1	53	2000	2500	2500
11040	2	88	 	 	 
11040	3	88	 	 	 
11040	4	88	 	 	 
11041	1	85	30000	45000	10000
11041	2	88	 	 	 
11041	3	88	 	 	 
11041	4	88	 	 	 
11042	1	53	1400	2000	4000
11042	2	88	 	 	 
11042	3	88	 	 	 
11042	4	88	 	 	 
11043	1	 	 	 	 
11043	2	 	 	 	 
11043	3	 	 	 	 
11043	4	 	 	 	 
11044	1	53	1800	0	3000
11044	2	88	 	 	 
11044	3	88	 	 	 
11044	4	88	 	 	 
11047	1	53	1500	2500	4000
11047	2	88	 	 	 
11047	3	88	 	 	 
11047	4	88	 	 	 
11048	1	53	1700	5000	2800
11048	2	88	 	 	 
11048	3	88	 	 	 
11048	4	88	 	 	 
11050	1	53	3600	10000	8000
11050	2	88	 	 	 
11050	3	88	 	 	 
11050	4	88	 	 	 
11052	1	53	1800	0	5000
11052	2	88	 	 	 
11052	3	88	 	 	 
11052	4	88	 	 	 
11061	1	 	 	 	 
11061	2	 	 	 	 
11061	3	 	 	 	 
11061	4	 	 	 	 
11063	1	53	1200	6000	4000
11063	2	88	 	 	 
11063	3	88	 	 	 
11063	4	88	 	 	 
11069	1	53	4000	12500	6000
11069	2	56	600	1500	300
11069	3	31	-77	0	700
11069	4	96	4000	10000	2500
11074	1	53	2000	2000	4000
11074	2	88	 	 	 
11074	3	88	 	 	 
11074	4	88	 	 	 
11088	1	53	2000	2000	6000
11088	2	88	 	 	 
11088	3	88	 	 	 
11088	4	88	 	 	 
21002	1	 	 	 	 
21002	2	 	 	 	 
21002	3	 	 	 	 
21002	4	 	 	 	 
21004	1	 	 	 	 
21004	2	 	 	 	 
21004	3	 	 	 	 
21004	4	 	 	 	 
21005	1	 	 	 	 
21005	2	 	 	 	 
21005	3	 	 	 	 
21005	4	 	 	 	 
21007	1	 	 	 	 
21007	2	 	 	 	 
21007	3	 	 	 	 
21007	4	 	 	 	 
21008	1	 	 	 	 
21008	2	 	 	 	 
21008	3	 	 	 	 
21008	4	 	 	 	 
21009	1	 	 	 	 
21009	2	 	 	 	 
