FORMNO	CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	VLCRSLD	CROPCOST
R2INDX	ET020016	1	8	7	2	1125	246
R2INDX	ET020016	2	15	3	2	470	150
R2INDX	ET020016	3	42	1	2	550	160
R2INDX	ET020034	1	44	50	1	20	1
R2INDX	ET020034	2	27	4	10	20	0
R2INDX	ET020035	1	10	8	40	80	12
R2INDX	ET020035	2	39	1	41	50	4
R2INDX	ET020037	1	8	100	1	500	200
R2INDX	ET020037	2	123	50	1	60	30
R2INDX	ET020039	1	44	1	41	0	6
R2INDX	ET020076	1	8	2	40	700	400
R2INDX	ET020076	2	15	2	40	750	150
R2INDX	ET030096	1	76	6	2	1600	260
R2INDX	ET030096	2	15	1.5	2	225	68
R2INDX	ET030096	3	8	2.5	2	375	178
R2INDX	ET040009	1	15	48	52	0	60
R2INDX	ET040009	2	124	48	52	0	50
R2INDX	ET040009	3	5	32	52	0	30
R2INDX	ET040011	1	5	10	9	0	-77
R2INDX	ET040011	2	124	3	9	0	-77
R2INDX	ET040011	3	42	2	9	0	60
R2INDX	ET040011	4	55	15	9	300	80
R2INDX	ET040014	1	26	2	41	200	24
R2INDX	ET040027	1	75	15	52	120	50
R2INDX	ET040033	1	5	4	3	0	100
R2INDX	ET040035	1	75	10	41	1000	180
R2INDX	ET040035	2	124	4	41	800	100
R2INDX	ET040035	3	5	-99	99	-99	-99
R2INDX	ET040037	1	75	2	9	0	60
R2INDX	ET040037	2	42	2	9	0	70
R2INDX	ET040046	1	125	24	24	0	74
R2INDX	ET040046	2	76	25	24	0	142
R2INDX	ET040046	3	44	14	24	0	32
R2INDX	ET040047	1	125	2	9	-77	20
R2INDX	ET040047	2	79	4	9	-77	20
R2INDX	ET040049	1	124	6	8	-88	60
R2INDX	ET040049	2	5	4	8	-88	50
R2INDX	ET040055	1	26	4	52	44	0
R2INDX	ET040055	2	65	2	26	0	0
R2INDX	ET040058	1	5	17	52	130	40
R2INDX	ET040058	2	64	16	52	142	0
R2INDX	ET040075	1	125	3	41	100	50
R2INDX	ET040076	1	15	2	9	320	27
R2INDX	ET040079	1	70	-77	88	0	-77
R2INDX	ET040081	1	75	3	9	0	-77
R2INDX	ET040084	1	5	1	41	0	15
R2INDX	ET040084	2	124	2	41	0	40
R2INDX	ET040084	3	75	10	52	0	10
R2INDX	ET040084	4	75	4	41	0	36
R2INDX	ET040085	1	5	4	41	700	20
R2INDX	ET040085	2	75	4	41	800	20
R2INDX	ET040086	1	79	2.5	2	0	-77
R2INDX	ET040086	2	15	.5	2	0	-77
R2INDX	ET040086	3	75	1.5	2	0	-77
R2INDX	ET040086	4	5	1.5	2	0	-77
R2INDX	ET040086	5	124	50	1	0	-77
R2INDX	ET040089	1	124	5	41	720	96
R2INDX	ET050001	1	64	2	9	0	104
R2INDX	ET050002	1	5	1	41	0	0
R2INDX	ET050002	2	44	1	41	0	0
R2INDX	ET050002	3	75	5	41	0	0
R2INDX	ET050002	4	42	4	41	125	0
R2INDX	ET050002	5	96	10	41	300	0
R2INDX	ET050004	1	76	5	9	120	160
R2INDX	ET050004	2	125	3	9	0	60
R2INDX	ET050004	3	64	4	9	80	60
R2INDX	ET050004	4	75	4	9	0	100
R2INDX	ET050006	1	8	7	3	0	80
R2INDX	ET050006	2	5	2	9	0	17
R2INDX	ET050006	3	124	3	9	0	0
R2INDX	ET050007	1	124	8	9	0	48
R2INDX	ET050007	2	5	4	9	0	24
R2INDX	ET050007	3	75	4	9	0	38
R2INDX	ET050009	1	64	30	9	3600	-77
R2INDX	ET050009	2	8	5	9	180	-77
R2INDX	ET050009	3	124	12	9	1260	-77
R2INDX	ET050009	4	5	8	9	960	-77
R2INDX	ET050010	1	44	1	9	75	0
R2INDX	ET050010	2	20	7	9	435	0
R2INDX	ET050010	3	64	3	9	170	0
R2INDX	ET050010	4	124	10	9	185	0
R2INDX	ET050010	5	5	3	9	360	0
R2INDX	ET050011	1	64	10	9	250	50
R2INDX	ET050011	2	124	8	9	200	80
R2INDX	ET050011	3	76	12	9	400	100
R2INDX	ET050011	4	15	7	9	350	70
R2INDX	ET050012	1	44	350	1	0	60
R2INDX	ET050012	2	125	200	1	0	60
R2INDX	ET050018	1	79	15	2	1390	125
R2INDX	ET050018	2	58	3	2	846	95
R2INDX	ET050019	1	20	9	9	420	30
R2INDX	ET050019	2	64	2	9	100	20
R2INDX	ET050020	1	64	6	41	204	24
R2INDX	ET050020	2	76	8	41	200	0
R2INDX	ET050020	3	75	6	41	170	0
R2INDX	ET050020	4	15	1	41	0	0
R2INDX	ET050021	1	76	10	9	200	60
R2INDX	ET050021	2	44	12	9	0	80
R2INDX	ET050022	1	124	2	9	0	18
R2INDX	ET050022	2	76	7	9	220	24
R2INDX	ET050022	3	75	7	9	170	20
R2INDX	ET050022	4	64	5	9	0	20
R2INDX	ET050022	5	42	4	9	0	17
R2INDX	ET050022	6	43	1	9	0	15
R2INDX	ET050023	1	79	5	9	0	60
R2INDX	ET050024	1	64	14	9	640	16
R2INDX	ET050024	2	8	10	9	500	40
R2INDX	ET050026	1	44	3	9	0	90
R2INDX	ET050026	2	124	6	9	120	60
R2INDX	ET050026	3	76	2	9	0	60
R2INDX	ET050027	1	5	51	52	0	0
R2INDX	ET050027	2	75	51	52	0	0
R2INDX	ET050027	3	76	60	52	0	0
R2INDX	ET050027	4	64	30	52	0	0
R2INDX	ET050027	5	124	51	52	0	0
R2INDX	ET050028	1	76	6	9	200	150
R2INDX	ET050028	2	64	10	9	300	60
R2INDX	ET050028	3	5	4	9	0	40
R2INDX	ET050028	4	75	4	9	0	50
R2INDX	ET050028	5	124	5	9	200	100
R2INDX	ET050028	6	20	2	9	0	80
R2INDX	ET050031	1	8	4	9	0	60
R2INDX	ET050031	2	64	2	9	0	20
R2INDX	ET050031	3	75	4	9	0	80
R2INDX	ET050038	1	75	10	41	0	200
