FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R2INDX	ET070070	2	4	0	1	15	1
R2INDX	ET070074	1	13	0	1	150	80
R2INDX	ET070078	1	1	0	3	30	1
R2INDX	ET070078	2	4	1	0	-88	90
R2INDX	ET070085	1	23	0	4	21	3
R2INDX	ET070086	1	13	0	3	61	1
R2INDX	ET070089	1	13	0	3	130	1
R2INDX	ET070095	1	12	2	2	20	1
R2INDX	ET080001	1	30	0	2	4	80
R2INDX	ET080002	1	30	0	3	2360	1
R2INDX	ET080003	1	1	1	11	210	1
R2INDX	ET080004	1	30	0	3	15	1
R2INDX	ET080005	1	30	2	0	-88	88
R2INDX	ET080006	1	15	0	4	60	80
R2INDX	ET080007	1	1	0	2	30	1
R2INDX	ET080008	2	30	0	2	4300	80
R2INDX	ET080009	1	30	0	2	4	0
R2INDX	ET080010	1	1	3	0	0	90
R2INDX	ET080011	1	30	0	4	25	2
R2INDX	ET080013	1	88	88	88	88	88
R2INDX	ET080014	1	30	1	0	-88	90
R2INDX	ET080015	1	30	2	0	0	90
R2INDX	ET080016	1	30	0	1	28	1
R2INDX	ET080017	1	30	1	0	0	1
R2INDX	ET080021	1	30	0	2	4300	1
R2INDX	ET080022	1	1	0	2	20	80
R2INDX	ET080024	1	30	3	0	88	90
R2INDX	ET080025	1	30	2	0	0	90
R2INDX	ET080028	1	30	0	2	180	5
R2INDX	ET080028	2	30	2	0	-88	90
R2INDX	ET080029	1	88	88	88	88	88
R2INDX	ET080030	1	16	1	0	88	1
R2INDX	ET080031	1	30	1	0	0	90
R2INDX	ET080032	1	30	0	3	4	80
R2INDX	ET080034	1	30	2	0	0	90
R2INDX	ET080035	1	25	0	1	200000	6
R2INDX	ET080036	1	30	2	0	0	90
R2INDX	ET080038	1	30	2	0	-88	90
R2INDX	ET080039	1	1	0	4	32	80
R2INDX	ET080040	1	30	2	0	0	90
R2INDX	ET080042	1	30	1	1	25	1
R2INDX	ET080043	1	30	0	4	8	1
R2INDX	ET080044	1	30	0	2	30	1
R2INDX	ET080045	1	1	2	0	0	90
R2INDX	ET080046	1	17	0	4	25	1
R2INDX	ET080047	1	1	0	4	100	1
R2INDX	ET080049	1	17	0	5	32	1
R2INDX	ET080050	1	1	2	0	0	90
R2INDX	ET080051	1	1	1	0	0	90
R2INDX	ET080054	1	30	2	0	0	90
R2INDX	ET080055	1	30	3	0	0	90
R2INDX	ET080057	1	1	1	0	0	90
R2INDX	ET080058	1	30	0	1	1300	1
R2INDX	ET080059	1	1	1	0	0	90
R2INDX	ET080060	1	1	0	1	20	1
R2INDX	ET080063	1	30	0	900	675	80
R2INDX	ET080065	1	20	0	1	120	1
R2INDX	ET080066	1	20	0	2	230	1
R2INDX	ET080068	1	19	1	22	100	1
R2INDX	ET080071	1	1	0	6	78	80
R2INDX	ET080074	1	30	0	1	30	4
R2INDX	ET080075	1	1	0	6	98	1
R2INDX	ET080076	1	30	2	0	0	90
R2INDX	ET080078	1	1	5	0	0	90
R2INDX	ET080080	1	30	1	0	-88	90
R2INDX	ET080081	1	30	0	2	2000	1
R2INDX	ET080082	1	30	2	0	0	90
R2INDX	ET080083	1	30	2	0	0	90
R2INDX	ET080084	1	1	0	5	80	1
R2INDX	ET080085	1	1	0	1	25	1
R2INDX	ET080086	1	30	0	1	15	5
R2INDX	ET080087	1	30	0	2	70	1
R2INDX	ET080089	1	30	1	0	0	90
R2INDX	ET080091	1	30	2	0	-88	90
R2INDX	ET080092	1	30	0	400	450	1
R2INDX	ET080093	1	30	0	4	144	1
R2INDX	ET080095	1	2	0	1	200	1
R2INDX	ET080096	1	30	2	0	-88	1
R2INDX	ET080097	1	30	2	0	0	90
R2INDX	ET080098	1	1	0	4	30	1
R2INDX	ET080099	1	30	0	2	3	5
R2INDX	ET080100	1	13	0	3	200	1
R2INDX	ET090001	1	25	0	1	200	80
R2INDX	ET090001	2	23	0	3	1.5	80
R2INDX	ET090003	1	23	0	6	50	80
R2INDX	ET090004	1	1	0	2	28	2
R2INDX	ET090011	1	1	0	2	20	1
R2INDX	ET090012	1	23	0	5	30	1
R2INDX	ET090014	1	15	0	1	500	1
R2INDX	ET090017	1	23	0	3	500	1
R2INDX	ET090018	1	1	0	4	22	80
R2INDX	ET090020	1	23	0	3	83	80
R2INDX	ET090020	2	25	0	1	600	80
R2INDX	ET090022	1	23	0	4	113	1
R2INDX	ET090023	1	13	0	1	2.5	1
R2INDX	ET090026	1	1	0	1	10	1
R2INDX	ET090028	1	1	0	2	20	1
R2INDX	ET090031	1	23	0	5	500	2
R2INDX	ET090037	1	1	0	1	12	2
R2INDX	ET090039	1	23	0	2	80	1
R2INDX	ET090043	1	23	0	6	21	1
R2INDX	ET090044	1	30	0	4	47	1
R2INDX	ET090044	2	30	0	1	700	1
R2INDX	ET090045	1	21	0	5	1904	1
R2INDX	ET090047	1	23	0	2	90	1
R2INDX	ET090051	1	30	0	1	400	1
R2INDX	ET090052	1	23	0	21	150	2
R2INDX	ET090059	1	30	0	1	20	1
R2INDX	ET090060	1	30	1	6	17	3
R2INDX	ET090060	2	30	0	2	1100	80
R2INDX	ET090065	1	4	0	1	100	1
R2INDX	ET090065	2	1	0	10	77	1
R2INDX	ET090066	1	30	0	6	36	80
R2INDX	ET090069	1	1	0	5	33	80
R2INDX	ET090071	1	27	0	7	42000	1
R2INDX	ET090074	1	30	0	2	70	1
R2INDX	ET090075	1	23	0	1	200	2
R2INDX	ET090076	1	30	0	2	35	2
R2INDX	ET090080	1	4	1	0	-88	88
R2INDX	ET090080	2	1	0	3	20	1
R2INDX	ET090083	1	30	0	7	30	2
R2INDX	ET090085	1	30	0	3	5000	80
R2INDX	ET090092	1	1	0	1	8	1
R2INDX	ET090093	1	4	-99	0	88	88
R2INDX	ET090095	1	1	0	2	13	1
R2INDX	ET100001	1	23	0	4	750	4
R2INDX	ET100001	2	15	0	42	250	1
R2INDX	ET100004	1	15	0	1	20	2
R2INDX	ET100006	1	25	20	0	-88	90
R2INDX	ET100007	1	23	0	1	500	80
R2INDX	ET100009	1	30	0	3	60	2
R2INDX	ET100010	1	30	0	2	10	2
R2INDX	ET100010	2	30	0	1	13	2
R2INDX	ET100010	3	30	0	2	4	2
R2INDX	ET100011	1	1	0	5	60	2
R2INDX	ET100015	1	15	0	1	386	2
R2INDX	ET100016	1	1	0	1	7	2
R2INDX	ET100019	1	23	0	3	15	2
R2INDX	ET100020	1	1	0	3	12	2
R2INDX	ET100028	1	30	-88	-88	-88	88
R2INDX	ET100030	1	30	0	5	-77	2
R2INDX	ET100032	1	30	0	3	5	2
R2INDX	ET100034	1	13	0	2	95	80
R2INDX	ET100035	1	15	0	5	62	1
R2INDX	ET100036	1	15	0	4	92	2
R2INDX	ET100037	1	15	0	5	500	80
R2INDX	ET100040	1	30	-88	-88	-88	88
R2INDX	ET100041	1	30	0	4	13	3
R2INDX	ET100042	1	30	0	2	8	2
R2INDX	ET100047	1	30	0	4	16	17
R2INDX	ET100049	1	15	0	2	100	3
R2INDX	ET100049	2	19	0	2	70	3
R2INDX	ET100050	1	13	0	3	105	3
R2INDX	ET100054	1	30	0	1	-77	2
R2INDX	ET100055	1	30	0	4	30	80
R2INDX	ET100057	1	30	-88	-88	-88	88
R2INDX	ET100058	1	15	0	2	45	2
R2INDX	ET100058	2	19	0	4	60	2
R2INDX	ET100060	1	30	-88	-88	-88	88
R2INDX	ET100065	1	30	-88	-88	-88	88
R2INDX	ET100066	1	25	0	1	400000	80
R2INDX	ET100073	1	30	0	6	-77	2
R2INDX	ET100077	1	15	0	6	78	2
R2INDX	ET100078	1	21	5	0	-88	90
R2INDX	ET100079	1	30	0	2	22.5	2
R2INDX	ET100080	1	30	-88	-88	-88	88
R2INDX	ET100081	1	15	0	7	70	2
R2INDX	ET100082	1	30	-88	-88	-88	88
R2INDX	ET100083	1	30	-88	-88	-88	88
R2INDX	ET100086	1	15	0	6	120	2
R2INDX	ET100086	2	19	0	8	12	2
R2INDX	ET100090	1	19	0	10	150	80
R2INDX	ET100094	1	27	0	1	25000	3
R2INDX	ET100100	1	30	0	3	70	80
R2INDX	ET110001	1	1	0	1	-77	1
R2INDX	ET110002	1	30	0	3	7.5	1
R2INDX	ET110003	1	30	0	3	50	1
R2INDX	ET110005	1	30	0	3	8	2
R2INDX	ET110007	1	19	0	2	30	1
R2INDX	ET110012	1	16	1	0	-88	90
R2INDX	ET110013	1	30	-88	-88	-88	88
R2INDX	ET110014	1	30	-88	-88	-88	88
R2INDX	ET110017	1	13	3	5	30	1
R2INDX	ET110020	1	15	0	4	70	1
R2INDX	ET110022	1	15	0	6	120	2
