FORMNO	CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
R2INDX	ET010001	1	36	4	1	1	2	5	7	1
R2INDX	ET010002	1	42	4	1	1	2	5	7	1
R2INDX	ET010004	1	47	4	4	1	3	5	8	1
R2INDX	ET010005	1	48	4	1	1	3	5	7	1
R2INDX	ET010006	1	40	4	1	1	2	5	7	0
R2INDX	ET010007	1	36	4	1	1	2	5	7	1
R2INDX	ET010008	1	37	3	1	1	2	5	7	0
R2INDX	ET010009	1	46	4	1	1	2	5	8	1
R2INDX	ET010010	1	48	3	1	1	2	5	8	0
R2INDX	ET010011	1	54	4	3	1	3	5	8	1
R2INDX	ET010012	1	37	4	1	1	3	5	6	1
R2INDX	ET010015	1	43	3	1	1	2	5	7	0
R2INDX	ET010016	1	38	4	1	1	3	5	7	1
R2INDX	ET010017	1	37	4	2	1	3	5	7	1
R2INDX	ET010018	1	36	4	4	1	1	5	8	1
R2INDX	ET010020	1	60	4	1	1	2	5	8	1
R2INDX	ET010021	1	48	4	1	1	2	5	8	1
R2INDX	ET010021	2	60	1	1	1	2	5	8	1
R2INDX	ET010022	1	36	4	1	1	1	5	7	1
R2INDX	ET010023	1	36	4	1	0	2	5	6	0
R2INDX	ET010024	1	48	4	1	1	2	5	7	1
R2INDX	ET010025	1	36	4	1	1	2	5	7	1
R2INDX	ET010026	1	42	4	1	1	3	5	11	1
R2INDX	ET010027	1	36	4	1	1	2	5	7	1
R2INDX	ET010028	1	60	2	1	1	3	5	7	0
R2INDX	ET010029	1	48	4	1	1	1	5	7	1
R2INDX	ET010030	1	36	3	1	1	2	5	7	1
R2INDX	ET010031	1	48	4	1	1	2	5	8	1
R2INDX	ET010032	1	48	3	1	1	2	5	7	1
R2INDX	ET010033	1	40	4	1	1	2	5	8	1
R2INDX	ET010035	1	48	4	2	1	1	5	7	1
R2INDX	ET010036	1	53	4	1	1	2	5	8	0
R2INDX	ET010037	1	40	3	1	1	3	5	7	1
R2INDX	ET010038	1	48	4	2	1	2	5	7	1
R2INDX	ET010040	1	64	4	1	1	3	5	8	1
R2INDX	ET010041	1	51	4	1	1	1	5	7	1
R2INDX	ET010042	1	48	3	1	1	2	5	8	0
R2INDX	ET010043	1	60	1	1	1	1	5	8	1
R2INDX	ET010044	1	42	4	1	1	1	5	7	1
R2INDX	ET010045	1	48	4	1	1	3	5	7	1
R2INDX	ET010046	1	39	4	1	1	3	5	8	1
R2INDX	ET010047	1	52	4	3	1	2	5	8	1
R2INDX	ET010049	1	48	4	1	1	2	5	7	1
R2INDX	ET010050	1	36	4	1	1	3	5	8	0
R2INDX	ET010051	1	48	4	1	0	2	5	8	1
R2INDX	ET010052	1	36	3	1	1	3	5	7	1
R2INDX	ET010056	1	36	4	1	1	2	5	8	1
R2INDX	ET010057	1	36	3	1	1	2	5	7	1
R2INDX	ET010057	2	48	3	1	1	2	5	8	1
R2INDX	ET010058	1	36	4	1	1	3	5	8	1
R2INDX	ET010059	1	48	4	1	1	2	5	8	1
R2INDX	ET010060	1	48	4	1	1	3	5	8	1
R2INDX	ET010061	1	39	4	1	1	3	5	7	1
R2INDX	ET010062	1	39	4	1	1	1	5	7	1
R2INDX	ET010063	1	53	4	4	1	2	5	7	1
R2INDX	ET010064	1	48	4	1	1	2	5	7	1
R2INDX	ET010065	1	48	4	1	1	1	5	8	1
R2INDX	ET010067	1	60	4	1	1	3	5	7	1
R2INDX	ET010068	1	36	4	1	1	4	7	5	1
R2INDX	ET010069	1	38	3	3	1	3	5	8	1
R2INDX	ET010070	1	49	4	1	1	2	5	7	0
R2INDX	ET010071	1	36	4	1	1	2	5	8	1
R2INDX	ET010072	1	48	4	1	1	2	5	7	1
R2INDX	ET010073	1	48	4	2	0	2	6	7	0
R2INDX	ET010075	1	36	4	1	1	3	5	7	1
R2INDX	ET010076	1	41	3	1	1	3	5	8	1
R2INDX	ET010077	1	36	4	1	1	2	5	8	1
R2INDX	ET010079	1	36	4	1	1	3	5	7	1
R2INDX	ET010080	1	36	4	1	1	2	5	7	1
R2INDX	ET010081	1	36	4	1	1	3	5	8	1
R2INDX	ET010082	1	44	4	1	1	3	5	7	1
R2INDX	ET010083	1	36	4	1	1	2	5	7	1
R2INDX	ET010084	1	48	4	1	1	1	5	7	1
R2INDX	ET010085	1	48	4	1	1	2	5	8	1
R2INDX	ET010086	1	48	4	1	1	2	5	8	1
R2INDX	ET010087	1	36	4	1	1	2	5	7	1
R2INDX	ET010088	1	36	4	1	1	2	5	7	1
R2INDX	ET010089	1	48	4	3	0	2	5	9	1
R2INDX	ET010090	1	48	4	1	1	2	5	7	1
R2INDX	ET010091	1	48	4	2	1	3	5	8	1
R2INDX	ET010092	1	36	4	1	1	2	5	6	1
R2INDX	ET010093	1	48	4	1	1	2	5	8	1
R2INDX	ET010094	1	48	4	1	1	2	5	8	1
R2INDX	ET010095	1	48	4	2	1	3	5	8	1
R2INDX	ET010096	1	45	4	1	1	1	5	8	0
R2INDX	ET010097	1	45	4	1	1	2	5	8	1
R2INDX	ET010098	1	42	3	1	1	2	5	7	1
R2INDX	ET010099	1	36	4	1	1	1	5	7	1
R2INDX	ET010100	1	48	4	1	1	2	5	7	1
R2INDX	ET020001	1	50	4	1	1	2	5	7	1
R2INDX	ET020002	1	58	4	2	1	2	5	7	1
R2INDX	ET020003	1	48	4	1	1	2	5	7	1
R2INDX	ET020004	1	61	4	1	1	1	5	6	1
R2INDX	ET020005	1	52	4	1	1	3	5	7	1
R2INDX	ET020007	1	48	2	3	0	2	5	7	1
R2INDX	ET020008	1	52	4	1	1	2	5	7	1
R2INDX	ET020011	1	48	4	3	1	1	5	6	1
R2INDX	ET020012	1	48	4	1	1	1	5	8	1
R2INDX	ET020013	1	36	4	1	1	1	5	8	1
R2INDX	ET020014	1	38	4	1	1	1	5	7	1
R2INDX	ET020015	1	53	4	1	1	1	5	6	1
R2INDX	ET020017	1	51	4	1	1	1	5	7	1
R2INDX	ET020018	1	48	4	1	1	2	5	1	1
R2INDX	ET020019	1	48	4	1	1	2	5	8	1
R2INDX	ET020020	1	48	4	1	1	2	5	7	0
