FORMNO	CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
R2INDX	ET010075	1	1	9	0
R2INDX	ET010075	2	9	6	0
R2INDX	ET010076	1	1	11	1
R2INDX	ET010076	2	10	11	1
R2INDX	ET010077	1	1	9	1
R2INDX	ET010077	2	17	8	1
R2INDX	ET010077	3	9	6	1
R2INDX	ET010079	1	1	11	1
R2INDX	ET010079	2	10	11	1
R2INDX	ET010080	1	1	9	0
R2INDX	ET010080	2	2	1	0
R2INDX	ET010080	3	10	9	0
R2INDX	ET010081	1	1	10	1
R2INDX	ET010081	2	17	9	1
R2INDX	ET010082	1	1	9	1
R2INDX	ET010082	2	24	6	1
R2INDX	ET010083	1	1	6	0
R2INDX	ET010083	2	24	6	1
R2INDX	ET010084	1	1	10	0
R2INDX	ET010084	2	10	10	0
R2INDX	ET010085	1	1	9	0
R2INDX	ET010085	2	17	8	0
R2INDX	ET010086	1	1	9	0
R2INDX	ET010086	2	17	11	0
R2INDX	ET010087	1	1	11	1
R2INDX	ET010087	2	10	11	1
R2INDX	ET010087	3	2	11	1
R2INDX	ET010088	1	1	9	0
R2INDX	ET010088	2	23	9	0
R2INDX	ET010088	3	10	8	0
R2INDX	ET010088	4	2	1	0
R2INDX	ET010089	1	1	10	1
R2INDX	ET010089	2	17	6	1
R2INDX	ET010090	1	1	9	0
R2INDX	ET010090	2	17	8	0
R2INDX	ET010091	1	1	9	0
R2INDX	ET010091	2	17	8	0
R2INDX	ET010092	1	1	9	0
R2INDX	ET010092	2	10	3	0
R2INDX	ET010093	1	1	9	1
R2INDX	ET010093	2	17	11	1
R2INDX	ET010094	1	1	2	0
R2INDX	ET010094	2	17	9	0
R2INDX	ET010095	1	1	9	0
R2INDX	ET010095	2	17	8	0
R2INDX	ET010096	1	1	10	0
R2INDX	ET010096	2	23	10	1
R2INDX	ET010096	3	2	6	0
R2INDX	ET010097	1	1	10	1
R2INDX	ET010097	2	17	10	1
R2INDX	ET010098	1	1	10	0
R2INDX	ET010098	2	10	10	0
R2INDX	ET010098	3	2	1	0
R2INDX	ET010099	1	1	1	0
R2INDX	ET010099	2	10	2	0
R2INDX	ET010099	3	12	1	0
R2INDX	ET010100	1	1	9	0
R2INDX	ET010100	2	2	1	0
R2INDX	ET010100	3	10	8	0
R2INDX	ET010100	4	12	8	0
R2INDX	ET020001	1	1	5	0
R2INDX	ET020001	2	10	6	1
R2INDX	ET020001	3	12	6	1
R2INDX	ET020002	1	1	5	1
R2INDX	ET020002	2	10	11	0
R2INDX	ET020002	3	12	6	0
R2INDX	ET020003	1	1	10	0
R2INDX	ET020003	2	2	1	0
R2INDX	ET020003	3	10	11	1
R2INDX	ET020003	4	12	11	1
R2INDX	ET020004	1	1	10	0
R2INDX	ET020004	2	23	10	1
R2INDX	ET020004	3	12	8	1
R2INDX	ET020004	4	2	8	0
R2INDX	ET020005	1	1	10	0
R2INDX	ET020005	2	24	12	1
R2INDX	ET020007	1	1	11	0
R2INDX	ET020007	2	10	11	1
R2INDX	ET020007	3	17	8	1
R2INDX	ET020008	1	1	5	0
R2INDX	ET020008	2	18	3	1
R2INDX	ET020008	3	24	12	1
R2INDX	ET020008	4	10	11	1
R2INDX	ET020011	1	1	12	0
R2INDX	ET020011	2	10	9	1
R2INDX	ET020012	1	1	10	0
R2INDX	ET020012	2	2	11	0
R2INDX	ET020012	3	17	3	1
R2INDX	ET020012	4	10	10	1
R2INDX	ET020013	1	1	1	0
R2INDX	ET020013	2	23	6	1
R2INDX	ET020013	3	2	2	1
R2INDX	ET020014	1	1	1	1
R2INDX	ET020014	2	2	3	1
R2INDX	ET020015	1	1	1	0
R2INDX	ET020015	2	12	1	2
R2INDX	ET020015	3	10	12	2
R2INDX	ET020016	1	7	9	1
R2INDX	ET020016	2	23	9	1
R2INDX	ET020017	1	1	10	0
R2INDX	ET020017	2	2	1	0
R2INDX	ET020017	3	17	1	1
R2INDX	ET020017	4	10	10	1
R2INDX	ET020018	1	1	10	0
R2INDX	ET020018	2	10	11	1
R2INDX	ET020019	1	1	10	0
R2INDX	ET020019	2	10	1	0
R2INDX	ET020019	3	2	1	0
R2INDX	ET020020	1	1	11	0
R2INDX	ET020020	2	10	11	1
R2INDX	ET020020	3	17	8	1
R2INDX	ET020020	4	22	12	1
R2INDX	ET020020	5	24	12	1
R2INDX	ET020021	1	1	10	0
R2INDX	ET020021	2	10	1	1
