FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R2INDX	ET010001	1	19	700	0
R2INDX	ET010006	1	13	500	0
R2INDX	ET010008	1	5	0	300
R2INDX	ET010014	1	5	200	0
R2INDX	ET010021	1	6	500	0
R2INDX	ET010022	1	19	200	0
R2INDX	ET010025	1	19	200	10
R2INDX	ET010028	1	13	400	-88
R2INDX	ET010030	1	99	400	0
R2INDX	ET010051	1	5	-88	200
R2INDX	ET010052	1	5	600	200
R2INDX	ET010052	2	13	1200	0
R2INDX	ET010062	1	6	1200	0
R2INDX	ET010065	1	5	1000	200
R2INDX	ET010066	1	5	100	30
R2INDX	ET010068	1	99	80	0
R2INDX	ET010076	1	5	400	120
R2INDX	ET010076	2	6	300	120
R2INDX	ET010090	1	19	500	200
R2INDX	ET010091	1	17	3000	0
R2INDX	ET010096	1	6	150	0
R2INDX	ET010099	1	19	200	0
R2INDX	ET020015	1	5	360	0
R2INDX	ET020015	2	17	0	20
R2INDX	ET020015	3	13	150	0
R2INDX	ET020041	1	5	110	20
R2INDX	ET020046	1	19	40	-88
R2INDX	ET020048	1	5	300	0
R2INDX	ET020056	1	6	100	0
R2INDX	ET020066	1	22	8	-88
R2INDX	ET020082	1	1	0	33
R2INDX	ET020098	1	20	500	0
R2INDX	ET030007	1	5	40	10
R2INDX	ET030010	1	19	50	0
R2INDX	ET030020	1	6	360	0
R2INDX	ET030031	1	22	300	-88
R2INDX	ET030038	1	5	0	35
R2INDX	ET030043	1	7	1800	0
R2INDX	ET030053	1	5	50	0
R2INDX	ET030062	1	1	180	0
R2INDX	ET030068	1	5	150	60
R2INDX	ET030094	1	5	174	0
R2INDX	ET040005	1	8	1000	200
R2INDX	ET040005	2	7	3000	300
R2INDX	ET040023	1	6	500	200
R2INDX	ET040029	1	13	300	0
R2INDX	ET040038	1	22	200	0
R2INDX	ET040044	1	6	500	-88
R2INDX	ET040052	1	13	1000	0
R2INDX	ET040053	1	13	200	0
R2INDX	ET040057	1	13	50	200
R2INDX	ET040061	1	5	1000	-88
R2INDX	ET040061	2	13	1000	-88
R2INDX	ET040078	1	1	60	0
R2INDX	ET040080	1	13	0	70
R2INDX	ET040085	1	19	300	0
R2INDX	ET050009	1	7	400	480
R2INDX	ET050022	1	13	0	70
R2INDX	ET050068	1	7	100	0
R2INDX	ET060015	1	8	100	300
R2INDX	ET060041	1	7	200	0
R2INDX	ET060060	1	13	0	60
R2INDX	ET070011	1	15	0	90
R2INDX	ET070020	1	13	100	0
R2INDX	ET070082	1	22	300	-88
R2INDX	ET070085	1	6	120	80
R2INDX	ET080005	1	5	0	400
R2INDX	ET080008	1	15	30	0
R2INDX	ET080008	2	13	70	0
R2INDX	ET080008	3	13	0	70
R2INDX	ET080012	1	2	0	120
R2INDX	ET080030	1	7	100	0
R2INDX	ET080031	1	13	100	140
R2INDX	ET080048	1	13	0	60
R2INDX	ET080049	1	6	150	38
R2INDX	ET080049	2	12	0	50
R2INDX	ET080052	1	13	0	75
R2INDX	ET080054	1	13	0	70
R2INDX	ET080054	2	14	200	0
R2INDX	ET080072	1	13	1000	0
R2INDX	ET080075	1	13	50	0
R2INDX	ET080079	1	14	350	0
R2INDX	ET080081	1	13	10	0
R2INDX	ET080081	2	19	258	0
R2INDX	ET080083	1	13	340	0
R2INDX	ET090002	1	10	28	0
R2INDX	ET090004	1	7	40	0
R2INDX	ET090005	1	2	0	135
R2INDX	ET090018	1	13	0	120
R2INDX	ET090018	2	6	0	240
R2INDX	ET090041	1	16	200	0
R2INDX	ET090047	1	17	50	0
R2INDX	ET090053	1	13	0	115
R2INDX	ET090059	1	5	0	75
R2INDX	ET090063	1	13	300	0
R2INDX	ET090071	1	16	0	400
R2INDX	ET090071	2	19	0	200
R2INDX	ET090083	1	13	30	0
R2INDX	ET090083	2	19	0	60
R2INDX	ET090088	1	6	0	150
R2INDX	ET100006	1	19	1000	150
R2INDX	ET100008	1	14	400	0
R2INDX	ET100010	1	22	50	100
R2INDX	ET100021	1	14	0	200
R2INDX	ET100021	2	13	0	100
R2INDX	ET100023	1	19	234	-88
R2INDX	ET100044	1	13	1000	-88
R2INDX	ET100045	1	13	30	-88
R2INDX	ET100060	1	1	1000	88
R2INDX	ET100064	1	6	200	0
R2INDX	ET100066	1	5	800	-88
R2INDX	ET100066	2	13	1000	-88
R2INDX	ET100066	3	6	-77	-88
R2INDX	ET100073	1	17	900	0
R2INDX	ET100073	2	18	900	0
R2INDX	ET100074	1	5	150	50
R2INDX	ET100074	2	6	150	50
R2INDX	ET100078	1	13	20	40
R2INDX	ET100082	1	13	200	0
R2INDX	ET100084	1	6	800	60
R2INDX	ET100084	2	13	600	50
R2INDX	ET100090	1	19	900	400
R2INDX	ET100094	1	6	500	1600
R2INDX	ET100099	1	13	10	0
R2INDX	ET110024	1	22	1900	0
R2INDX	ET110025	1	13	1200	0
R2INDX	ET110031	1	19	10	0
R2INDX	ET110035	1	13	100	0
R2INDX	ET110039	1	18	240	0
R2INDX	ET110047	1	6	136	0
R2INDX	ET110047	2	5	72	0
R2INDX	ET110061	1	13	200	115
R2INDX	ET110068	1	22	30	0
R2INDX	ET110071	1	14	100	200
R2INDX	ET110073	1	5	40	200
R2INDX	ET110081	1	22	100	0
R2INDX	ET110089	1	22	50	0
R2INDX	ET120010	1	2	200	60
R2INDX	ET120010	2	14	30	50
R2INDX	ET120023	1	5	0	30
R2INDX	ET120025	1	13	150	100
R2INDX	ET120035	1	9	340	200
R2INDX	ET120037	1	7	50	0
R2INDX	ET120059	1	7	1200	-88
R2INDX	ET120068	1	5	0	150
R2INDX	ET120070	1	13	200	0
R2INDX	ET120074	1	6	200	200
R2INDX	ET130005	1	13	100	0
R2INDX	ET130009	1	22	60	0
R2INDX	ET130017	1	19	0	100
R2INDX	ET130017	2	13	0	85
R2INDX	ET130018	1	7	150	65
R2INDX	ET130024	1	19	2000	0
R2INDX	ET130025	1	7	70	0
R2INDX	ET130028	1	6	300	540
R2INDX	ET130030	1	16	3	-88
R2INDX	ET130033	1	13	300	0
R2INDX	ET130037	1	13	200	200
R2INDX	ET130037	2	11	150	150
R2INDX	ET130046	1	13	100	100
R2INDX	ET130048	1	19	100	0
R2INDX	ET130051	1	16	5	15
R2INDX	ET130055	1	19	40	0
R2INDX	ET130058	1	19	180	0
R2INDX	ET130070	1	6	50	0
R2INDX	ET130071	1	6	500	100
R2INDX	ET130081	1	1	60	180
R2INDX	ET130083	1	22	0	54
R2INDX	ET130085	1	18	50	0
R2INDX	ET130086	1	16	200	70
R2INDX	ET130092	1	6	10	70
R2INDX	ET130095	1	19	50	0
R2INDX	ET130100	1	22	0	76.5
R2INDX	ET140014	1	22	200	-88
R2INDX	ET140016	1	13	4000	-88
R2INDX	ET140017	1	14	3000	-88
R2INDX	ET140052	1	6	0	150
R2INDX	ET140053	1	13	460	0
R2INDX	ET140056	1	6	500	0
R2INDX	ET140059	1	5	200	100
R2INDX	ET140067	1	22	32	0
R2INDX	ET140068	1	22	65	0
R2INDX	ET140072	1	22	150	0
R2INDX	ET140079	1	6	50	0
R2INDX	ET140079	2	22	25	0
R2INDX	ET140085	1	1	250	0
R2INDX	ET140085	2	7	450	115
R2INDX	ET140089	1	6	1200	0
R2INDX	ET140089	2	7	2400	0
R2INDX	ET150046	1	22	0	300
R2INDX	ET150058	1	22	30	0
R2INDX	ET160014	1	13	300	0
R2INDX	ET160014	2	17	170	50
R2INDX	ET160018	1	13	200	-88
R2INDX	ET160037	1	19	710	0
R2INDX	ET160037	2	13	230	0
R2INDX	ET160045	1	13	1000	-88
R2INDX	ET160076	1	13	6000	0
R2INDX	ET160080	1	13	0	200
R2INDX	ET170080	1	5	-88	150
R2INDX	ET170080	2	6	-88	150
R2INDX	ET170097	1	13	300	0
R2INDX	ET180064	1	7	200	200
R2INDX	ET180071	1	7	1600	0
R2INDX	ET190066	1	9	250	100
R2INDX	ET190068	1	9	200	0
R2INDX	ET190094	1	7	800	0
R2INDX	ET200020	1	7	250	0
R2INDX	ET200027	1	13	600	0
R2INDX	ET200032	1	8	1200	0
R2INDX	ET200048	1	13	500	100
R2INDX	ET200049	1	13	350	45
R2INDX	ET200069	1	7	700	0
R2INDX	ET200075	1	13	400	0
R2INDX	ET200099	1	13	700	0
