FORMNO	CHILDID	LOANID	LOANYEAR	LOANWHO	LOANAMNT	LOANWHY	LOANPAID	LOANYNOP	LOANRSID
R2INDX	ET010001	1	1996	6	2000	10	1	88	16
R2INDX	ET010001	2	1998	8	3000	2	0	11	16
R2INDX	ET010002	1	1999	8	300	2	1	88	2
R2INDX	ET010004	1	1998	6	2000	3	0	11	2
R2INDX	ET010005	1	1998	6	60	17	0	12	2
R2INDX	ET010005	2	1998	5	800	10	0	12	1
R2INDX	ET010009	1	1995	8	20000	8	0	12	1
R2INDX	ET010011	1	1997	5	500	6	0	11	1
R2INDX	ET010012	1	1994	6	100	2	0	12	2
R2INDX	ET010014	1	1998	7	2000	3	1	88	4
R2INDX	ET010014	2	1999	7	500	10	0	11	4
R2INDX	ET010017	1	1998	8	1000	7	0	3	2
R2INDX	ET010017	2	1999	8	200	7	0	11	2
R2INDX	ET010020	1	1995	2	1000	3	1	88	4
R2INDX	ET010022	1	1998	8	100	13	1	88	3
R2INDX	ET010023	1	1994	6	150	19	0	11	1
R2INDX	ET010024	1	1999	6	200	15	1	88	4
R2INDX	ET010025	1	1994	8	300	2	0	11	2
R2INDX	ET010025	2	1994	5	200	16	1	88	2
R2INDX	ET010028	1	1998	7	3000	4	0	8	2
R2INDX	ET010029	1	1998	7	2000	5	1	88	2
R2INDX	ET010031	1	1997	8	260	2	1	88	80
R2INDX	ET010031	2	1998	8	500	2	0	9	80
R2INDX	ET010032	1	1999	8	200	4	0	11	3
R2INDX	ET010035	1	1997	7	1700	19	1	88	2
R2INDX	ET010036	1	1999	8	100	2	0	11	2
R2INDX	ET010037	1	1996	5	600	2	1	88	2
R2INDX	ET010037	2	1997	5	400	2	1	88	2
R2INDX	ET010037	3	1998	5	500	7	1	88	2
R2INDX	ET010038	1	1998	6	60	8	0	11	2
R2INDX	ET010038	2	1997	8	300	2	1	88	2
R2INDX	ET010040	1	1999	8	300	2	0	11	1
R2INDX	ET010041	1	1998	8	1000	3	0	12	2
R2INDX	ET010041	2	1998	5	500	3	1	88	2
R2INDX	ET010042	1	1999	8	600	7	0	8	2
R2INDX	ET010044	1	1998	8	1050	7	0	12	2
R2INDX	ET010045	1	1998	8	100	2	0	12	3
R2INDX	ET010045	2	1999	8	100	2	0	12	3
R2INDX	ET010046	1	1996	8	1000	2	1	88	1
R2INDX	ET010046	2	1997	8	800	2	1	88	1
R2INDX	ET010046	3	1998	8	500	2	0	8	1
R2INDX	ET010046	4	1999	8	300	2	0	11	2
R2INDX	ET010050	1	1996	7	2000	3	0	8	1
R2INDX	ET010051	1	1999	6	400	10	0	11	1
R2INDX	ET010052	1	1994	5	2000	8	1	88	1
R2INDX	ET010052	2	1997	5	3000	10	1	88	1
R2INDX	ET010052	3	1999	5	14000	10	0	11	1
R2INDX	ET010053	1	1998	6	250	2	0	11	7
R2INDX	ET010054	1	1999	7	2000	19	0	11	2
R2INDX	ET010055	1	1996	8	4000	3	1	88	1
R2INDX	ET010057	1	1996	7	1400	3	0	11	1
R2INDX	ET010058	1	1998	7	2000	3	0	8	2
R2INDX	ET010059	1	1997	8	100	19	1	88	1
R2INDX	ET010062	1	1996	8	3000	19	0	12	2
R2INDX	ET010063	1	1996	8	1500	2	0	6	8
R2INDX	ET010063	2	1997	8	1000	8	0	6	8
R2INDX	ET010063	3	1998	8	1000	2	0	6	8
R2INDX	ET010063	4	1999	8	800	2	0	6	8
R2INDX	ET010064	1	1998	5	100	2	0	11	1
R2INDX	ET010064	2	1997	8	100	16	0	11	1
R2INDX	ET010065	1	1995	6	10000	3	0	11	1
R2INDX	ET010066	1	1995	6	500	6	0	11	2
